State,Primary Date,Filing Deadline
Arkansas,03/03/2026,11/11/2025
North Carolina,03/03/2026,12/19/2025
Texas,03/03/2026,12/08/2025
Mississippi,03/10/2026,12/26/2025
Illinois,03/17/2026,11/03/2025
Indiana,05/05/2026,02/06/2026
Ohio,05/05/2026,02/04/2026
Nebraska,05/12/2026,03/01/2026
West Virginia,05/12/2026,01/31/2026
Louisiana,05/16/2026,01/14/2026
Alabama,05/19/2026,01/23/2026
Georgia,05/19/2026,03/06/2026
Idaho,05/19/2026,02/27/2026
Kentucky,05/19/2026,01/09/2026
Oregon,05/19/2026,03/10/2026
Pennsylvania,05/19/2026,03/10/2026
California,06/02/2026,03/06/2026
Iowa,06/02/2026,03/13/2026
Montana,06/02/2026,03/04/2026
New Jersey,06/02/2026,03/23/2026
New Mexico,06/02/2026,02/03/2026
South Dakota,06/02/2026,03/31/2026
Maine,06/09/2026,03/15/2026
Nevada,06/09/2026,03/13/2026
North Dakota,06/09/2026,06/06/2026
South Carolina,06/09/2026,03/30/2026
Oklahoma,06/16/2026,04/03/2026
Virginia,06/16/2026,04/02/2026
Maryland,06/23/2026,02/24/2026
New York,06/23/2026,03/30/2026
Utah,06/23/2026,01/09/2026
Colorado,06/30/2026,03/18/2026
Arizona,08/04/2026,04/06/2026
Kansas,08/04/2026,06/01/2026
Michigan,08/04/2026,04/21/2026
Missouri,08/04/2026,03/31/2026
Washington,08/04/2026,05/08/2026
Tennessee,08/06/2026,03/10/2026
Hawaii,08/08/2026,06/02/2026
Connecticut,08/11/2026,06/09/2026
Minnesota,08/11/2026,06/02/2026
Vermont,08/11/2026,05/28/2026
Wisconsin,08/11/2026,06/01/2026
Alaska,08/18/2026,06/01/2026
Florida,08/18/2026,04/24/2026
Wyoming,08/18/2026,05/14/2026
Massachusetts,09/01/2026,05/26/2026
New Hampshire,09/08/2026,06/12/2026
Rhode Island,09/08/2026,06/24/2026
Delaware,09/15/2026,07/14/2026
