CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Kevin Ryan,Democratic,U.S. Senate,Illinois,,Male,https://www.runwithkev.com/,https://x.com/KevforIllinois,99,https://www.instagram.com/kevryanforil/,https://www.youtube.com/@KevinRyanForIllinois,99,https://bsky.app/profile/kevryanforillinois.bsky.social,
Robin Kelly,Democratic,U.S. Senate,Illinois,,Female,https://www.robinforsenate.com/,https://x.com/robinlynnekelly,https://www.facebook.com/RobinLynneKelly,https://www.instagram.com/robinlynnekelly,https://www.youtube.com/@RobinLynneKelly,https://www.tiktok.com/@robinlynnekelly,https://bsky.app/profile/robinlynnekelly.bsky.social,
Juliana Stratton,Democratic,U.S. Senate,Illinois,,Female,https://www.julianastratton.com/,https://x.com/JulianaStratton,https://www.facebook.com/JulianaForIL,https://www.instagram.com/julianaforillinois/,https://www.youtube.com/@Juliana_Stratton,https://www.tiktok.com/@julianaforil,https://bsky.app/profile/julianastratton.bsky.social,
Raja Krishnamoorthi,Democratic,U.S. Senate,Illinois,,Male,https://rajaforil.com/,https://x.com/RajaForIL,https://www.facebook.com/RajaForIL/,https://www.instagram.com/rajaforil/,https://www.youtube.com/@RajaforIL,99,https://bsky.app/profile/rajaforil.bsky.social,
Steve Botsford Jr.,Democratic,U.S. Senate,Illinois,,Male,https://www.botsfordforillinois.com/,https://x.com/sfbots,https://www.facebook.com/people/Steve-Botsford-for-US-Senate/61581849347718/,https://www.instagram.com/botsfordforillinois,https://www.youtube.com/@BotsfordForIllinois,https://www.tiktok.com/@botsford.for.illinois,99,
Bryan Maxwell,Democratic,U.S. Senate,Illinois,,Male,https://www.maxwell4senate.com/,https://x.com/Maxwell4Senate,https://www.facebook.com/people/Bryan-Maxwell-for-US-Senate/61579804927390/,https://www.instagram.com/maxwell4senate,99,https://www.tiktok.com/@maxwell_for_senate,99,
Jonathan Dean,Democratic,U.S. Senate,Illinois,,Male,https://www.dean4il.com/,https://x.com/Dean4IL,https://www.facebook.com/dean4il/,https://www.instagram.com/Dean4IL,https://www.youtube.com/@Dean4IL,https://www.tiktok.com/@dean4il,https://bsky.app/profile/dean4il.bsky.social,
Sean Brown,Democratic,U.S. Senate,Illinois,,Male,https://www.seanbrownforsenate.com/,https://x.com/Attorney_Brown,99,https://www.instagram.com/p/DTqitilEV52/,https://www.youtube.com/channel/UCWRSKTbNVVIp6jM4ueVqx5Q,https://www.tiktok.com/@seanbrown4senate,99,"some of these may be personal, but were linked on his campaign website"
Awisi A. Bustos,Democratic,U.S. Senate,Illinois,,Female,https://awisiforussenate.us/,https://x.com/awisiqb,99,https://www.instagram.com/awisiquarteybustos/,https://www.youtube.com/@AwisiQuarteyBustos,https://www.tiktok.com/@awisiquarteybustos,99,
Christopher Swann,Democratic,U.S. Senate,Illinois,,Male,https://www.swannforsenate.com/,99,https://www.facebook.com/p/Christopher-Swann-for-US-Senate-61578531290017/,https://www.instagram.com/iamchristopherswann,https://www.youtube.com/channel/UCdfgQAadp1hA53Zr2bQLmBg,https://www.tiktok.com/@iamchristopherswann,99,
