CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes,
John 'Drew' Williams,Democrat,House,1,"white, non-Hispanic",Male,https://williamsforky.com/,https://x.com/Williamsforky1,https://www.facebook.com/WilliamsForKY,https://www.instagram.com/williamsforky1/#,99,https://www.tiktok.com/@williamsforky1,https://bsky.app/profile/williamsforky1.bsky.social,,
Penny Arcos,Republican,House,1,99,99,99,99,99,99,99,99,99,,
James R. Comer (Incumbent),Republican,House,1,"white, non-Hispanic",Male,,,,,,,,,
David Sims,Republican,House,1,"white, non-Hispanic",Male,99,99,https://www.facebook.com/people/David-Sims-for-US-House-of-Representatives-Kentucky-District-01/61584110862135/#,99,99,99,99,,
Robert James Sutherby,Republican,House,1,"white, non-Hispanic",Male,99,99,99,99,99,99,99,"there is a youtube, used for different election ",
William Dakota Compton,Democrat,House,2,"white, non-Hispanic",Male,https://www.williamcompton.com/,https://x.com/Compton4KY2024,https://www.facebook.com/Compton4KY2024/,https://www.instagram.com/compton4ky2026/,99,https://www.tiktok.com/@compton4ky2024,99,,
David S. Hatfield,Democrat,House,2,99,99,99,99,99,99,99,99,99,,
Hank Linderman,Democrat,House,2,"white, non-Hispanic",Male,see notes,https://x.com/hank4ky?lang=en,https://www.facebook.com/hank4ky/,https://www.instagram.com/hank4ky/?hl=en,https://www.youtube.com/@hanklinderman4846/featured,99,99,"website was flagged, some social media links are past 2 years",
Megan Wingfield,Democrat,House,2,"white, non-Hispanic",99,99,99,https://www.facebook.com/megan.wingfield.for.congress/,https://instagram.com/wingfieldforwashington,99,https://www.tiktok.com/@wingfieldforcongress,https://bsky.app/profile/justwingit1.bsky.social,"instagram link having issues, as is blusky",
Joshua M. Ferguson,Republican,House,2,"white, non-Hispanic",Male,https://joshuamferguson.com,99,https://www.facebook.com/voteforferguson/,99,99,99,99,,
S. Brett Guthrie (Incumbent),Republican,House,2,"white, non-Hispanic",Male,,,,,,,,,
G. 'Shay' Perry-Adelmann,Republican,House,2,"white, non-Hispanic",Female,https://www.g4ky.com/,https://x.com/GayAdelmann,99,99,99,99,99,"Website was used for 2024 run, says its under construction/twitter inactive",
Morgan McGarvey (Incumbent),Democrat,House,3,"white, non-Hispanic",Male,,,,,,,,,
Daniel Cobble,Republican,House,3,black,Male,99,99,99,99,https://www.youtube.com/@danielcobble9879,99,99,"youtube is inactive, only online presence found",
David Joseph Nichter,Republican,House,3,99,99,99,99,99,99,99,99,99,,
Donald Pay,Republican,House,3,99,99,99,99,99,99,99,99,99,"searching his name, no matter how, the internent thinks you are searching for the other donald ",
Maria Teresa Rodriguez,Republican,House,3,99,Female,99,99,99,https://www.instagram.com/rodriguezmaria_teresa/,99,99,99,,
