CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Kelvin Buck,Democratic,House,1,Black,Male,https://buckforcongress.com/,https://x.com/buck4congress,https://www.facebook.com/buckforcongress,https://www.instagram.com/buckforcongress,99,99,99,
Cliff Johnson,Democratic,House,1,White,Male,https://www.cliffjohnsonforcongress.com/,https://x.com/cliffjohnsonms,https://www.facebook.com/cliffjohnsonforcongress/,https://www.instagram.com/cliffjohnsonforcongress/,https://www.youtube.com/@CliffJohnsonCongress,https://www.tiktok.com/@cliffjohnsonms,99,
Evan Littleton Turnage,Democratic,House,2,Black,Male,https://www.evanturnage.com/,https://x.com//evan_turnage,https://www.facebook.com/evanturnageMS/,https://www.instagram.com/evan_turnage/,https://www.youtube.com/@EvanTurnageforCongress,https://www.tiktok.com/@evanturnage,https://bsky.app/profile/evanturnage.bsky.social,
Pertis Herman Williams III,Democratic,House,2,,,https://pertiswilliams.com/,99,99,99,99,99,99,
Ron Eller,Republican,House,2,White,Male,https://www.voteroneller.com/,https://x.com/VoteRon,https://www.facebook.com/VoteRonEller,https://www.instagram.com/voteroneller/,99,https://www.tiktok.com/@ronellerforcongress,99,
Kevin Wilson,Republican,House,2,White,Male,https://www.wilsonformississippi.com/,99,https://www.facebook.com/people/Wilson-For-Congress/61584725590934/,99,99,99,99,
Michael A. Chiaradio,Democratic,House,3,White,Male,https://michaelachiaradio.com/,99,https://www.facebook.com/michael.a.chiaradio/,https://www.instagram.com/michaelachiaradio,https://www.youtube.com/@michaelachiaradio,https://www.tiktok.com/@michaelachiaradio,https://bsky.app/profile/michaelachiaradio.bsky.social,
Erik Kiehle,Libertarian,House,3,White,Male,https://kiehle4congress.us/,https://x.com/kiehle4congress,99,99,99,99,99,
Paul James Blackman,Democratic,House,4,White,Male,99,99,https://www.facebook.com/people/Paul-Blackman-for-Congress/61573952642518/,99,99,99,https://bsky.app/profile/paulblackman2026.bsky.social,
D. Ryan Grover,Democratic,House,4,White,Male,99,https://x.com/dryangrover,https://www.facebook.com/DRyanGrover/,99,https://www.youtube.com/@DRyanGrover,99,99,
Jeffrey Hulum III,Democratic,House,4,Black,Male,99,99,https://www.facebook.com/people/Jeffrey-Hulum-III-for-House-of-Representatives-District-119/100082135893315/,https://www.instagram.com/mrhulumlll/,99,https://www.tiktok.com/@jeffreyhulumiii4congress,99,he hasn't updated his facebook from his previous campaign for a state position
Sawyer Walters,Republican,House,4,White,Male,https://www.sawyerwalters.ms/,99,https://www.facebook.com/p/Walters-For-Congress-61581239459727/,https://www.instagram.com/walters_for_congress/,99,99,99,
Scott Colom,Democratic,Senate,,Black,Male,https://scottcolom.com/,https://x.com/scott_colom,https://www.facebook.com/ColomForSenate/,https://www.instagram.com/scott_colom,https://www.youtube.com/channel/UCazrnIMNvjZ7rpHFrx3VBdA,https://www.tiktok.com/@scott.colom,https://bsky.app/profile/scolom.bsky.social,
Albert R. Littell,Democratic,Senate,,White,Male,https://albertlittellforsenate.org/,99,https://www.facebook.com/people/Albert-Littell-for-US-Senate/61574528755978/,https://www.instagram.com/albertlittell2026/,https://www.youtube.com/@AlbertLittellforSenate,99,99,
Priscilla W. Till,Democratic,Senate,,Black,Female,https://till4ussenate2026.com/,99,99,99,https://www.youtube.com/channel/UCpglUC4vn5bSlIrWINAHt8w,99,99,
Sarah Adlakha,Republican,Senate,,White,Female,https://www.sarahformississippi.com/,https://x.com/SarahAdlakha,https://www.facebook.com/sarahforsenate/,https://www.instagram.com/sarahadlakha/,https://www.youtube.com/@SarahAdlakha,99,99,
