CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Jasmine Crockett,,D,S,,Black,F,https://www.jasmineforus.com/,https://x.com/JasmineForUS,https://www.facebook.com/jasminefor100,https://www.instagram.com/jasmineforus,https://www.youtube.com/@JasmineForUS,https://www.tiktok.com/@jasmineforus,https://bsky.app/profile/jasmineforus.bsky.social,N/A
Ahmad R. Hassan,,D,S,,Other,M,https://hassanfortexas.com/,https://x.com/HassanDr32361,99,99,99,99,99,N/A
James Talarico,,D,S,,White,M,https://jamestalarico.com/,https://x.com/jamestalarico,https://www.facebook.com/JamesTalaricoTX,https://www.instagram.com/jamestalarico,https://www.youtube.com/@JamesTalaricoTX,https://www.tiktok.com/@jamestalarico,https://bsky.app/profile/jamestalarico.bsky.social,N/A
John O. Adefope,,R,S,,Not Sure,M,99,99,99,99,99,99,99,N/A
Anna Bender,,R,S,,Black,F,https://www.annabenderforsenate.com/,99,99,99,99,99,99,N/A
Virgil John Bierschwale,,R,S,,White,M,https://vbsenate.com/,https://x.com/VBierschwale,https://www.facebook.com/people/Virgil-Bierschwale/pfbid0qu1kwiHQH5MfGWEM9tr16C8V2SwqySU6duipPV7cRYqyN6K2MHZXyU6eyRhUg7cVl/,99,99,99,99,That is his Campaign Facebook account but it's not a page.
Sara Canady,,R,S,,White,F,https://www.saraforsenate.org/,99,https://www.facebook.com/saraforsenate#,99,99,99,99,N/A
Wesley Hunt,,R,S,,Black,M,https://wesleyfortexas.com/,https://x.com/WesleyHuntTX,https://www.facebook.com/WesleyHuntTX,https://www.instagram.com/wesleyfortexas/,https://www.youtube.com/@WesleyHuntTX,https://www.tiktok.com/@wesleyhunttx,99,N/A
"Gulrez ""Gus"" Khan",,R,S,,Asian,M,https://www.gkhanforsenate.com/,https://x.com/GKHAN4SENATE,https://www.facebook.com/gkhanforcongress/,https://www.instagram.com/gulrezkhanforussenate2026/,https://www.youtube.com/@gkhanforsenate2026/videos,https://www.tiktok.com/@gkhan4senate,99,Website won't load for me but I can see it's populated with information when I look at the metadata.
Ken Paxton,,R,S,,White,M,https://www.kenpaxton.com/,https://x.com/kenpaxtontx,https://www.facebook.com/kenpaxtontx/,https://www.instagram.com/kenpaxtontx/?hl=en,https://www.youtube.com/user/KenPaxtonTX,99,99,N/A
