CandidateName,Incumbent,Withdrawn,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Gil Cisneros,Yes,,Democrat,House,31,Hispanic,Male,,,,,,,,N/A
Eric Ching,,,Republican,House,31,Asian,Male,https://www.ericchingforcongress.com/,99,https://www.facebook.com/ericchingforcongress/,https://www.instagram.com/ericching4congress,99,99,99,"He has other social media accounts, but they haven't been updated since his 2024 run."
Erskine Levi,,,Republican,House,31,White,Male,https://www.levi4congress.com/,https://x.com/ErskineLevi,https://www.facebook.com/people/Erskine-Levi-for-Congress/100077873283952/,99,99,99,99,N/A
Brad Sherman,Yes,,Democrat,House,32,White,Male,,,,,,,,N/A
Christopher Ahuja,,,Democrat,House,32,Asian,Male,https://www.chrisahuja.com/,https://x.com/chrisahuja,https://www.facebook.com/people/Christopher-Ahuja-for-Congress/61555756018777/,https://www.instagram.com/amanknowshistools,https://www.youtube.com/@christopherahuja/,https://www.tiktok.com/@chrisahujacongress,https://bsky.app/profile/chrisahuja.bsky.social,N/A
Dory Benami,,,Democrat,House,32,Middle Eastern,Male,https://www.doryforcongress.com/,https://x.com/DoryForCongress,https://www.youtube.com/@dorybenami,https://www.instagram.com/dorybenami,https://www.youtube.com/@dorybenami,https://www.tiktok.com/@doryforcongress,99,N/A
Jake Levine,,,Democrat,House,32,White,Male,https://www.jakelevineforcongress.com/,https://x.com/jakeclevine,https://www.facebook.com/jakelevine4congress,https://www.instagram.com/jakelevine4congress/,https://www.youtube.com/channel/UCVukc_dCs6O8EfVXwt47_KQ,https://www.tiktok.com/@jakelevine4congress,99,N/A
Marena Lin,,,Democrat,House,32,Asian,Female,https://www.marenalinforcongress.com/,99,https://www.facebook.com/people/Marena-Lin-for-Congress/61578553630663/,https://www.youtube.com/channel/UCqvOzT-vlzq8GVrO4YjxzWg,https://www.youtube.com/channel/UCqvOzT-vlzq8GVrO4YjxzWg,99,https://bsky.app/profile/marenalinforcongress.com,N/A
Josh Sautter,,,Democrat,House,32,White,Male,https://joshsautterforcongress.com/,https://x.com/josh4CA32,99,https://www.instagram.com/joshsautterforcongress/,99,https://www.tiktok.com/@joshsautterforcongress,https://bsky.app/profile/sautterforcongress.bsky.social,N/A
Anna Wilding,,,Democrat,House,32,White,Female,https://www.wildingforcalifornia.com/,https://x.com/annawilding,https://www.larrythompsonforcongress.com/,https://www.instagram.com/annawildingoriginal/,https://www.youtube.com/@annawilding_unstoppable,https://www.tiktok.com/@annawilding,https://bsky.app/profile/awilding.bsky.social,"This is an interesting case, because that IS a Facebook page and categorized as such, but it's primarily used as a photography page. I'm going to follow the precedent set by other accounts and still list it because there is campaign material on it."
