CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Gabriel Cornejo,No,,Democrat,House,1,,Male,https://www.nvgabe.com/,https://x.com/thegabeusa,https://www.facebook.com/people/Gabriel-Cornejo/61556175552376/#,https://www.instagram.com/thegabeusa/,https://www.youtube.com/channel/UCRnwGOcNx02Pk4l0APQJIxg,https://www.tiktok.com/@gabeusa,99,"both the facebook and youtube were for previous campaigns from 2 years ago, they might be used again"
Joy Hoover,No,,Democrat,House,1,,Female,https://www.joyfornv.com/,99,https://www.facebook.com/people/Joyfornv/61574401975316/,https://instagram.com/joyfornv,99,https://tiktok.com/@joyfornv,https://bsky.app/profile/did:plc:vqru7nnlppufty765wagnc66,
Luis Paniagua,No,,Democrat,House,1,hispanic,Male,https://www.eastsidecampaign.com/,99,99,99,99,99,99,"the campaign website is not run by his campaign, but the party supporting him"
Dina Titus,Yes,,Democrat,House,1,,Female,,,,,,,,
Marie Encar Arnold,No,,Republican,House,1,,Female,https://www.marie-encar-arnold.org/,99,99,99,99,99,99,"the campaign website is not really campaign, its her website, but honestly unknown"
Jim Blockey,No,,Republican,House,1,"white, non-Hispanic",Male,https://www.jimblockey.com/,https://x.com/jimblockeynv1st,https://www.facebook.com/jimblockeyforcongress,https://www.instagram.com/jimblockeyforcongress/,https://www.youtube.com/@JimBlockeyforCongress,99,99,there was a link for truth social on the campaign website - https://truthsocial.com/@jimblockeyforcongress
Michael Boris,No,,Republican,House,1,"white, non-Hispanic",Male,https://www.michaelborisfornevada.com/,https://x.com/Mikeborisnv01,https://www.facebook.com/MichaelBorisforNevada/,https://www.instagram.com/michaelboriscd01nv/,https://www.youtube.com/@michaelborisforfornevada,https://www.tiktok.com/@michaelborisnv,99,"youtube hasnt been updated in 3 years, and the tiktok might be personal, not campaign"
Carrie Ann Buck,No,,Republican,House,1,"white, non-Hispanic",Female,https://carriebuckforcongress.com/,https://www.twitter.com/carriebuckforNV,https://www.facebook.com/carriebuckforNV/,https://www.instagram.com/carriebuckforNV,99,99,99,
"Rick ""indicted"" Saga",No,,Republican,House,1,black,Male,https://indictedrick.com/,99,99,99,99,99,99,"the website might be correct, unsure, it does look like a campaign site"
Teresa F. Benitez-Thompson,No,,Democrat,House,2,hispanic,Female,https://electteresa.com/,99,https://www.facebook.com/ElectTeresa/,https://www.instagram.com/ElectTeresa/,99,https://www.tiktok.com/@tbt_nv,99,
Kathy Durham,No,,Democrat,House,2,"white, non-Hispanic",Female,https://www.kathydurhamforcongress.com/,https://x.com/KathyDurhamNV,https://www.facebook.com/KathyDurhamNV,https://www.instagram.com/kathydurhamnv/,https://www.youtube.com/@KathyDurhamForCongress,https://www.tiktok.com/@kathydurhamnv,99,campaign website wouldnt load on my computer
"Gamaliel Z. ""Gamy"" Enriquez",No,,Democrat,House,2,hispanic,Male,https://www.gamyfornvcd02.com/,99,https://www.facebook.com/gze.gamy,https://www.instagram.com/gze.gamy/,https://www.youtube.com/@gamybattleborn,https://www.tiktok.com/@gamyenriquezforcongress,99,
Matthew Fonken,No,,Democrat,House,2,"white, non-Hispanic",Male,https://www.fonkenfornevada.com/,https://x.com/FonkenforNevada,https://www.facebook.com/fonkenfornevada/,https://www.instagram.com/fonkenfornevada,99,https://www.tiktok.com/@fonkenfornevada,99,
Gerold L. Gorman,No,,Democrat,House,2,"white, non-Hispanic",Male,99,99,99,99,99,99,99,
Josh Hebert,No,,Democrat,House,2,"white, non-Hispanic",Male,https://www.joshhebertfornevada.com/,99,https://www.facebook.com/JoshHebertforNevada/,https://www.instagram.com/joshhebertfornevada/,https://www.youtube.com/@JoshHebertforNevada,https://www.tiktok.com/@josh.hebert.for.nevada,https://bsky.app/profile/joshhebert4nevada.bsky.social,
Mark Jolle,No,,Democrat,House,2,"white, non-Hispanic",Male,https://www.markjolleforcongress.com/,99,99,https://www.instagram.com/markjolleforcongress/,https://www.youtube.com/@MarkJolleforCongress,https://www.tiktok.com/@mark.jolle.for.co?,99,
Johnny E. Kerns,No,,Democrat,House,2,,Male,99,99,https://www.facebook.com/61588127603332,99,99,99,99,"facebook is locked, unable to view it"
