CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Jamil O Ahmad,No,,Democrat,House,1,,Male,https://www.jamilahmadforcongress.com/,https://twitter.com/Ahmad4Congress,https://www.facebook.com/people/Jamil-Ahmad-for-Congress/61556918733952/,99,99,99,99,
Suzanne Bonamici,Yes,,Democrat,House,1,"white, non-Hispanic",Female,,,,,,,,
Barbara J Kahl,No,,Republican,House,1,"white, non-Hispanic",Female,https://drkahlforcongress.com/,https://x.com/DRKAHL4CONGRESS,https://www.facebook.com/drkahlforcongress/,https://www.instagram.com/kahl4congress/,99,99,99,
John Verbeek,No,,Republican,House,1,"white, non-Hispanic",Male,99,99,https://www.facebook.com/JohnVerbeekForOregon/,99,99,99,99,
Chris Beck,No,,Democrat,House,2,"white, non-Hispanic",Male,https://chrisbeckforcongress.com/,99,http://facebook.com/ChrisBeckforCongress,https://www.instagram.com/chrisbeckforcongress,99,99,99,
Mary Doyle,No,,Democrat,House,2,"white, non-Hispanic",Female,https://www.marydoyleforcongress.com/,https://x.com/@District2Oregon,https://facebook.com/people/Mary-Doyle-For-Congress-OR-CD2/61585253872101/,https://instagram.com/marydoyleforcongress,99,https://tiktok.com/@marydoyle4congress,https://bsky.app/profile/marydoyle4congress.bsky.social,
Rebecca Mueller,No,,Democrat,House,2,"white, non-Hispanic",Female,https://www.muellermorethanthis.com/,99,https://www.facebook.com/profile.php?id=61583834545928,https://www.instagram.com/rebeccamuellerforcongress/,99,99,99,
Peter Quince,No,,Democrat,House,2,"white, non-Hispanic",Male,https://peterquinceforcongress.com/,99,https://www.facebook.com/peter.quince/,99,99,99,99,"(different note- facebook looked more personal than campaign) this was on the website, says this is the main site - BE VERY CAREFUL. I did not open it because it the url did not look safe - https://pqnow.net/"
Dawn Rasmussen,No,,Democrat,House,2,,Female,https://dawnrasmussenforcongress.com/,99,https://www.facebook.com/DawnRasmussenforCongress/,https://www.instagram.com/dawnrasmussenforcongress/,99,https://www.tiktok.com/@dawnrasmussenforcongress,https://bsky.app/profile/did:plc:cxbn737q4j2jydbj43dx2x25,
Patty Snow,No,,Democrat,House,2,,Female,https://www.pattysnowforcongress.com/,99,see notes - 99,https://www.instagram.com/pattysnowforcongress,https://www.youtube.com/@pattysnowforcongress2026,99,https://bsky.app/profile/snowcat23.bsky.social,"there was no facebook, except for this, which is locked by facebook - https://www.facebook.com/lucym.osullivan.3/"
Cliff Bentz,Yes,,Republican,House,2,"white, non-Hispanic",Male,,,,,,,,
Andrea Carr,No,,Republican,House,2,"white, non-Hispanic",Female,https://andreacarr4cd2.com/,99,99,99,99,99,99,"this other campaign website comes up on google search, DO NOT OPEN IT. This site is not linked at all to the campaign, or anything related - https://www.andreacarrforcongress.com/team-1"
Peter J Larson,No,,Republican,House,2,"white, non-Hispanic",Male,99,99,https://www.facebook.com/PeterLarsonforCongress/,https://www.instagram.com/peterlarsonforcongress/,99,99,99,
Andrew Castilleja,No,,Democrat,House,3,,,99,99,99,99,99,99,99,
Maxine E Dexter,Yes,,Democrat,House,3,"white, non-Hispanic",Female,,,,,,,,
Jessica Salas,No,,Democrat,House,3,,Female,https://www.jsalfororegon.com/,https://x.com/jsalfororegon,https://facebook.com/profile.php?id=61581517485880,https://instagram.com/jsalfororegon,99,https://tiktok.com/@jsalfororegon,https://bsky.app/profile/jsalfororegon.bsky.social,
Loran Ayles,No,,Republican,House,3,,,99,99,99,99,99,99,99,
Daniel B Bahlen,No,,Democrat,House,4,,Male,99,99,https://www.facebook.com/people/Dan-Bahlen-for-US-Congress/61577949809534/,99,99,99,99,
Melissa Bird,No,,Democrat,House,4,Native American,Female,https://www.melissabirdforcongress.com/,99,https://www.facebook.com/melissabirdforcongress,https://www.instagram.com/melissabirdforcongress/,https://www.youtube.com/@MelissaBirdforCongress,https://www.tiktok.com/@bird4congress,https://bsky.app/profile/bird4congress.bsky.social,
Val Hoyle,Yes,,Democrat,House,4,"white, non-Hispanic",Female,,,,,,,,
Monique DeSpain,No,,Republican,House,4,99,Female,https://www.moniqueforcongress.com/,https://twitter.com/MoniqueforOR,https://www.facebook.com/MoniqueforCongress,https://www.instagram.com/monique4congress/,https://www.youtube.com/channel/UCxE0_vJbRL8XH8Jg3R6uw1A,https://www.tiktok.com/@moniqueforcongress,99,
Stefan G Strek,No,,Republican,House,4,"white, non-Hispanic",Male,http://www.votestrek.com/,see notes - 99,https://www.facebook.com/VoteStrek/,99,99,99,99,"be very careful with this twitter account, might be campaign, unknown - https://x.com/realstefanstrek?lang=ar"
Janelle S Bynum,Yes,,Democrat,House,5,black,Female,,,,,,,,
Zeva Rosenbaum,No,,Democrat,House,5,"white, non-Hispanic",Female,https://www.zevaforcongress.com/,http://twitter.com/zevaforcongress,http://facebook.com/zevaforcongress,http://instagram.com/zevaforcongress,99,99,https://bsky.app/profile/zevaforcongress.bsky.social,
Patti Adair,No,,Republican,House,5,"white, non-Hispanic",Female,https://www.pattiforcongress.com/,https://x.com/pattiadairor,https://www.facebook.com/profile.php?id=61583499556979&mibextid=wwXIfr&rdid=YrUXHKQ5JQXdi1cy#,https://www.instagram.com/pattiadairor,99,99,99,
Jonathan Lockwood,No,,Republican,House,5,"white, non-Hispanic",Male,https://lockwoodfororegon.com/,https://x.com/JNTHN_LCKWD,https://www.facebook.com/jnthnlckwd,https://www.instagram.com/jnthnlckwd/,https://www.youtube.com/@jonathanlockwood3980,https://www.tiktok.com/@jnthn_lckwd,99,
Andrea Salinas,Yes,,Democrat,House,6,"white, non-Hispanic",Female,,,,,,,,
David Russ,No,,Republican,House,6,"white, non-Hispanic",Male,https://www.russisforus.com/,99,99,99,99,99,99,
Jeff Merkley,Yes,,Democrat,Senate,,"white, non-Hispanic",Male,,,,,,,,
Paul Damian Wells,No,,Democrat,Senate,,"white, non-Hispanic",Male,99,99,99,99,99,99,99,
Brent Barker,No,,Republican,Senate,,"white, non-Hispanic",Male,https://www.brentbarkerfororegon.com/,https://x.com/BrentBarker2022,99,99,99,99,99,
Deborah C Brown,No,,Republican,Senate,,,,99,99,99,99,99,99,99,
David A Burch,No,,Republican,Senate,,"white, non-Hispanic",Male,99,99,99,99,99,99,99,
Russell McAlmond,No,,Republican,Senate,,"white, non-Hispanic",Male,https://mcalmondforcongress.org/,https://x.com/UniversalRabbi,https://www.facebook.com/groups/1602226124160533/posts/1613999382983207/,99,99,99,99,"there are two campaign website that come up, the one i trusted is in the website section, this one my computer didnt trust - https://mcalmondforsenate.org/"
Jo Rae Perkins,No,,Republican,Senate,,"white, non-Hispanic",Female,https://joraeperkins.com/,https://www.x.com/JoraePerkins,https://www.facebook.com/PerkinsForUSSenator,https://www.instagram.com/PerkinsForUSSenator/,https://www.youtube.com/@joraeperkins2026,99,99,
