CandidateName,Incumbent,,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Brian Montgomery,No,,Republican,House ,1,White,Male,https://www.brianmontgomery.org/,https://x.com/Vote_Montgomery,https://www.facebook.com/profile.php?id=61578922209199,https://www.instagram.com/votebrianmontgomery/,https://www.youtube.com/@BrianMontgomeryGA,99,99,
Eugene Yu,No,,Republican,House ,1,Asian,Male,https://yuforyou.org/,https://x.com/YuForyou2026,https://www.facebook.com/EugeneYuforCongress/,99,https://www.youtube.com/@eugeneyu1894,99,99,
Jim Kingston,No,,Republican,House ,1,White,Male,https://www.jimkingston.org/,https://x.com/JimKingstonGA,https://www.facebook.com/JimKingstonGA/,https://www.instagram.com/jimkingstonga/,99,99,99,
Kandiss S Taylor,No,,Republican,House ,1,White,Female,https://kandisstaylor.com/,https://x.com/kandisstaylor,https://www.facebook.com/drkandisstaylor/,https://www.instagram.com/kandisstaylor,99,https://www.tiktok.com/@kandisstaylor4ga,99,
Krista Penn,No,,Republican,House ,1,White,Female,https://krista4congress.com/,https://x.com/krista4congress,https://www.facebook.com/profile.php?id=61577016614543,https://www.instagram.com/kpenn711/,99,99,99,
Pat Farrell,No,,Republican,House ,1,White,Male,https://www.patfarrellforcongress.com/,99,https://www.facebook.com/profile.php?id=61576310646779,https://www.instagram.com/pat_farrell_for_congress/,https://www.youtube.com/@patfarrellforcongress,https://www.tiktok.com/@patfarrellforcongress,99,
Amanda Hollowell,No,,Democrat,House ,1,Not sure,Female,https://www.amandaforga.com/,99,https://www.facebook.com/amanda4ga,https://www.instagram.com/amanda4ga,https://www.youtube.com/@Amanda4GA,https://www.tiktok.com/@amanda4ga,https://bsky.app/profile/amanda4ga.bsky.social,
Defonsio Daniels,No,,Democrat,House ,1,Black,Male,https://daniels979.com/,https://x.com/defonsiodaniels,https://www.facebook.com/dephonzio,https://www.instagram.com/dephonzio/,https://www.youtube.com/@Defonsio/,https://www.tiktok.com/@defonsiodaniels,99,second website: https://www.daniels4ga.com/ second facebook: https://www.facebook.com/profile.php?id=61560100801800 
Joey Palimeno,No,,Democrat,House ,1,White,Male,https://www.joeyforga.com/,https://x.com/PalimenoForGAD1,https://www.facebook.com/Palimenoforthepeople/,https://www.instagram.com/joey4gacongresscd1/,99,https://www.tiktok.com/@joeyforga,https://bsky.app/profile/palimenoforga.bsky.social,
Joyce Marie Griggs,No,,Democrat,House ,1,Black,Female,https://joycegriggsforcongress.com/,https://x.com/joycegriggs2022,99,https://www.instagram.com/joycegriggs2020,https://www.youtube.com/channel/UC1VwjG6t_jXKIajYD23TDWA,99,99,
Michael Mccord,No,,Democrat,House ,1,White,Male,https://www.mccordforcongress.com/,https://x.com/McCord4GA,https://www.facebook.com/McCordForCongress/,https://www.instagram.com/mccordforga/,99,https://www.tiktok.com/@mmccord5861,99,
Patrick J Wilver,No,,Democrat,House ,1,White,Male,99,99,https://www.facebook.com/pat.wilver.71,https://www.instagram.com/pat_wilver/,99,99,99,
Randall Jay Zurcher,No,,Democrat,House ,1,White,Male,https://www.randy4georgia.com/,99,99,https://www.instagram.com/randy4georgia/,99,https://www.tiktok.com/@randy4georgia,https://bsky.app/profile/randallmonium.bsky.social,
Sharon Stokes-Williamson,No,,Democrat,House ,1,Not sure,Female,https://sswilliamsonforcongress.com/,99,https://www.facebook.com/profile.php?id=61587282206510&sk=reels_tab,99,https://www.youtube.com/@sharonwilliamson2925,99,99,
Sanford Dixon Bishop Jr,Yes,,Democrat,House ,2,Black,Male,,,,,,,,
