CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Russell Cleveland,No,,Democrat,House,1,,Male,https://russellcleveland.org/,https://x.com/Cleveland4MT_01,https://www.facebook.com/cleveland4mt01/,https://www.instagram.com/cleveland4mt_01/,https://www.youtube.com/@ClevelandforMontana,https://www.tiktok.com/@cleveland4mt_01,https://bsky.app/profile/russellcleveland.org,
Matt Rains,No,,Democrat,House,1,"white, non-Hispanic",Male,https://www.mattrainsformontana.com/,https://x.com/RainsforMT,https://facebook.com/MattRains4MT,https://instagram.com/mattrains4mt,https://www.youtube.com/@mattrains6090,99,99,
Ryan Busse,No,,Democrat,House,1,"white, non-Hispanic",Male,https://busseformontana.com/,https://twitter.com/ryandbusse?s=20,https://www.facebook.com/ryan.busse.39/,https://www.instagram.com/ryandbusse/,https://www.youtube.com/@BusseForMontana,https://www.tiktok.com/@ryan.busse,99,both youtube and tiktok most recent is for his run for governor
Sam Forstag,No,,Democrat,House,1,"white, non-Hispanic",Male,https://samformontana.com/,https://x.com/SamForstag,https://www.facebook.com/p/Sam-Forstag-61585766866234/,https://www.instagram.com/samforstag/,https://www.youtube.com/@SamForstag,https://www.tiktok.com/@sam.forstag,https://bsky.app/profile/samforstag.bsky.social,
Al 'Doc' Olszewski,No,,Republican,House,1,"white, non-Hispanic",Male,99,https://x.com/alformontana,https://www.facebook.com/alformontana/,https://www.instagram.com/alformontana/?hl=en,99,99,99,instagram hasnt been used since 2024
Aaron Flint,No,,Republican,House,1,"white, non-Hispanic",Male,https://flintformontana.com/,https://x.com/aaronflint,https://www.facebook.com/FlintReport/,https://www.instagram.com/aaronflintmt/?hl=en,https://www.youtube.com/@flintformontana,99,99,
Christi Jacobsen,No,,Republican,House,1,"white, non-Hispanic",Female,https://christijacobsen.com/,https://x.com/christi4montana,https://www.facebook.com/Christi4Montana/,see notes,99,99,99,this is official account - not campaign = https://www.instagram.com/secretarychristijacobsen/
Ray Curtis,No,,Republican,House,1,,,99,99,99,99,99,99,99,
Nick Sheedy,No,,Libertarian,House,1,,,99,99,99,99,99,99,99,
Kimberly A Persico,No,,Independent,House,1,"white, non-Hispanic",Female,https://keepingamericaspromise.com/,https://x.com/KeepAmPromise?s=20,https://www.facebook.com/people/Keeping-Americas-Promise/61586352969889/,https://www.instagram.com/keepingamericaspromise2026/,https://www.youtube.com/channel/UCry0F9Jgr9KZrt2-_QICvmg,99,99,Montana Sec of State website says Petition Pending
