CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Eric Moyer,No,,Democrat,House,1,"white, non-Hispanic",Male,https://www.ericmoyerforcongress.com/,https://x.com/moyer4congress,https://www.facebook.com/profile.php?id=61579643360489,https://www.instagram.com/ericmoyerforcongress/,https://www.youtube.com/@EricMoyerforCongress,https://www.tiktok.com/@eric.moyer.congress?_r=1&_t=ZP-93OiNVsKfmw,https://bsky.app/profile/ericmoyer4congress.bsky.social,
Chris Backemeyer,No,,Democrat,House,1,"white, non-Hispanic",Male,https://backnebraska.com/,https://x.com/ChrisBackemeyer,https://www.facebook.com/chrisbackemeyerNE,https://www.instagram.com/chrisbackemeyerne/,https://www.youtube.com/channel/UCNfOaZcAMuM7es-ibhf7tXA,https://www.tiktok.com/@chrisbackemeyerne,99,
Mike Flood,Yes,,Republican,House,1,"white, non-Hispanic",Male,,,,,,,,
Nik Sandman,No,,Libertarian,House,1,"white, non-Hispanic",Male,99,99,99,99,99,99,99,
Van Argyrakis,No,,Democrat,House,2,99,Male,99,99,99,99,99,99,99,
John Cavanaugh,No,,Democrat,House,2,"white, non-Hispanic",Male,https://www.johncavanaugh.org/,https://x.com/JCavNE02,https://facebook.com/johncavanaughforcongress,https://instagram.com/johncavanaughne,https://www.youtube.com/channel/UCnKKIcRZ9NhGLuhOuSHxsdQ,99,https://bsky.app/profile/johncavanaugh.org,
Crystal Rhoades,No,,Democrat,House,2,"white, non-Hispanic",Female,https://crystal4congress.com/,99,https://www.facebook.com/CrystalRhoadesforcongress,https://www.instagram.com/crystal4congressne/,99,99,99,
Kishla Askins,No,,Democrat,House,2,"white, non-Hispanic",Female,https://www.kishlaforcongress.com/,https://x.com/kishlaaskins,https://facebook.com/kishlaaskinsforcongress,https://instagram.com/kishlaaskinsforcongress,99,99,https://bsky.app/profile/kishlaaskins.bsky.social,
Denise Powell,No,,Democrat,House,2,99,Female,https://deniseforcongress.org/,https://x.com/DeniseForNE,https://www.facebook.com/deniseforcongress,https://www.instagram.com/deniseforcongress,99,https://www.tiktok.com/@deniseforcongressne,https://bsky.app/profile/deniseforcongress.bsky.social,
James Leuschen,No,,Democrat,House,2,"white, non-Hispanic",Male,https://www.jamesleuschen.com/,https://x.com/James_Leuschen,https://facebook.com/people/James-Leuschen/61580872869095/,https://instagram.com/jamesleuschen,99,99,99,
Melanie Williams,No,,Democrat,House,2,"white, non-Hispanic",Female,https://www.melaniewilliamsforcongress.com/,99,99,99,99,99,99,"be careful about the campaign website, my computer wouldnt load it"
Brinker Harding,No,,Republican,House,2,"white, non-Hispanic",Male,https://www.brinkerharding.com/,https://x.com/brinkerharding,https://www.facebook.com/brinkerhardingNE02,https://instagram.com/brinkerharding,https://www.youtube.com/@Brinker.Harding,99,99,website had a truth social link - https://www.truthsocial.com/@brinkerharding
Eric Michael Foreman,No,,Libertarian,House,2,99,99,99,99,99,99,99,99,99,
Becky Kelly Stille,No,,Democrat,House,3,"white, non-Hispanic",Female,https://www.beckystille2026.com/,https://x.com/beckylstille,99,99,99,99,https://bsky.app/profile/beckystille2026.bsky.social,
David P. Huebner,No,,Republican,House,3,"white, non-Hispanic",Male,https://davidphuebner.com/,https://x.com/huebner4nebrcd3?s=11,https://www.facebook.com/profile.php?id=61576664724275,99,99,https://www.tiktok.com/@huebner.for.congr,99,website had a truth social link - https://truthsocial.com/@Huebner4Nebraska
Adrian Smith,Yes,,Republican,House,3,"white, non-Hispanic",Male,,,,,,,,
David J. Else,No,,Legal Marijuana NOW,House,3,"white, non-Hispanic",Male,https://dave-else-for-congress.square.site/,99,https://www.facebook.com/DaveElseforCongress/posts/1075210751297659/,https://www.instagram.com/daveelseforcongress/,https://www.youtube.com/@daveelse9901,99,99,"be careful about the campaign website, also the youtube is inactive "
William J. Forbes,No,,Democrat,Senate,,99,99,99,99,99,99,99,99,99,
Cindy Burbank,No,,Democrat,Senate,,"white, non-Hispanic",Female,https://cindyburbank.com/,99,99,99,99,99,99,
Eric Mortimore,No,,Republican,Senate,,99,99,99,99,99,99,99,99,99,
Pete Ricketts,Yes,,Republican,Senate,,"white, non-Hispanic",Male,,,,,,,,
Todd Knobel,No,,Republican,Senate,,"white, non-Hispanic",Male,https://toddknobel.org/,99,99,99,99,99,99,
Mac Stevens,No,,Republican,Senate,,"white, non-Hispanic",Male,https://www.mac4nebraska.com/,https://x.com/MSenate92939,https://www.facebook.com/mac.stevens.9619/,99,99,99,99,
Debb Axtell Schultz,No,,Republican,Senate,,"white, non-Hispanic",Female,99,99,https://www.facebook.com/people/Debb-Schultz-for-US-Senate/61587793347600/#,99,99,99,99,
Earl Starkey,No,,Legal Marijuana NOW,Senate,,"white, non-Hispanic",Male,99,99,https://www.facebook.com/earl.starkey.35/,https://www.instagram.com/earl.starkey/,99,99,99,"both instagram and facebook are personal, but being used for campaign posts"
Mike Marvin,No,,Legal Marijuana NOW,Senate,,"white, non-Hispanic",Male,https://marvinforsenate.com/,99,99,99,99,99,99,
Dan Osborn,No,,Non-Partisan/Independent,Senate,,"white, non-Hispanic",Male,https://www.osbornforsenate.com/,https://x.com/OsbornForNE,https://www.facebook.com/osbornforne,https://www.instagram.com/osbornforne/,https://www.youtube.com/@OsbornforNE,https://www.tiktok.com/@osbornforne?_t=ZP-8xqWJvGoTVO&_r=1,https://bsky.app/profile/osbornforne.bsky.social,
