state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
GA,Brian Montgomery,false,false,Republican,U.S. House,1,White,Male,https://www.brianmontgomery.org/,https://x.com/Vote_Montgomery,https://www.facebook.com/profile.php?id=61578922209199,https://www.instagram.com/votebrianmontgomery/,https://www.youtube.com/@BrianMontgomeryGA,,,
GA,Eugene Yu,false,false,Republican,U.S. House,1,Asian,Male,https://yuforyou.org/,https://x.com/YuForyou2026,https://www.facebook.com/EugeneYuforCongress/,,https://www.youtube.com/@eugeneyu1894,,,
GA,Jim Kingston,false,false,Republican,U.S. House,1,White,Male,https://www.jimkingston.org/,https://x.com/JimKingstonGA,https://www.facebook.com/JimKingstonGA/,https://www.instagram.com/jimkingstonga/,,,,
GA,Kandiss S Taylor,false,false,Republican,U.S. House,1,White,Female,https://kandisstaylor.com/,https://x.com/kandisstaylor,https://www.facebook.com/drkandisstaylor/,https://www.instagram.com/kandisstaylor,,https://www.tiktok.com/@kandisstaylor4ga,,
GA,Krista Penn,false,false,Republican,U.S. House,1,White,Female,https://krista4congress.com/,https://x.com/krista4congress,https://www.facebook.com/profile.php?id=61577016614543,https://www.instagram.com/kpenn711/,,,,
GA,Pat Farrell,false,false,Republican,U.S. House,1,White,Male,https://www.patfarrellforcongress.com/,,https://www.facebook.com/profile.php?id=61576310646779,https://www.instagram.com/pat_farrell_for_congress/,https://www.youtube.com/@patfarrellforcongress,https://www.tiktok.com/@patfarrellforcongress,,
GA,Amanda Hollowell,false,false,Democratic,U.S. House,1,,Female,https://www.amandaforga.com/,,https://www.facebook.com/amanda4ga,https://www.instagram.com/amanda4ga,https://www.youtube.com/@Amanda4GA,https://www.tiktok.com/@amanda4ga,https://bsky.app/profile/amanda4ga.bsky.social,
GA,Defonsio Daniels,false,false,Democratic,U.S. House,1,Black,Male,https://daniels979.com/,https://x.com/defonsiodaniels,https://www.facebook.com/dephonzio,https://www.instagram.com/dephonzio/,https://www.youtube.com/@Defonsio/,https://www.tiktok.com/@defonsiodaniels,,second website: https://www.daniels4ga.com/ second facebook: https://www.facebook.com/profile.php?id=61560100801800
GA,Joey Palimeno,false,false,Democratic,U.S. House,1,White,Male,https://www.joeyforga.com/,https://x.com/PalimenoForGAD1,https://www.facebook.com/Palimenoforthepeople/,https://www.instagram.com/joey4gacongresscd1/,,https://www.tiktok.com/@joeyforga,https://bsky.app/profile/palimenoforga.bsky.social,
GA,Joyce Marie Griggs,false,false,Democratic,U.S. House,1,Black,Female,https://joycegriggsforcongress.com/,https://x.com/joycegriggs2022,,https://www.instagram.com/joycegriggs2020,https://www.youtube.com/channel/UC1VwjG6t_jXKIajYD23TDWA,,,
GA,Michael Mccord,false,false,Democratic,U.S. House,1,White,Male,https://www.mccordforcongress.com/,https://x.com/McCord4GA,https://www.facebook.com/McCordForCongress/,https://www.instagram.com/mccordforga/,,https://www.tiktok.com/@mmccord5861,,
GA,Patrick J Wilver,false,false,Democratic,U.S. House,1,White,Male,,,https://www.facebook.com/pat.wilver.71,https://www.instagram.com/pat_wilver/,,,,
GA,Randall Jay Zurcher,false,false,Democratic,U.S. House,1,White,Male,https://www.randy4georgia.com/,,,https://www.instagram.com/randy4georgia/,,https://www.tiktok.com/@randy4georgia,https://bsky.app/profile/randallmonium.bsky.social,
GA,Sharon Stokes-Williamson,false,false,Democratic,U.S. House,1,,Female,https://sswilliamsonforcongress.com/,,https://www.facebook.com/profile.php?id=61587282206510&sk=reels_tab,,https://www.youtube.com/@sharonwilliamson2925,,,
GA,Sanford Dixon Bishop Jr,true,false,Democratic,U.S. House,2,Black,Male,,,,,,,,
GA,Matt Day,false,false,Republican,U.S. House,2,White,Male,https://www.votemattday.com/,https://x.com/MattDayCongress,https://www.facebook.com/matt.day.5245961,https://www.instagram.com/mattdayforcongress/,https://www.youtube.com/@MattDayForCongress,https://www.tiktok.com/@mattdayforcongress1776,,not sure about the facebook
GA,George Melville Johnson,false,false,Democratic,U.S. House,3,,,,,,,,,,there's nothing about this person as a candidate
GA,Maura Kathleen Keller,false,false,Democratic,U.S. House,3,White,Female,https://maurakeller.com/,https://x.com/MauraKellerGA,https://www.facebook.com/MauraKellerforGeorgia,https://www.instagram.com/maurakellerforgeorgia/,https://www.youtube.com/@GetMoreWithMaura,https://www.tiktok.com/@maurakellerforgeorgia,https://bsky.app/profile/maurakellerforga.bsky.social,
GA,Brian Timothy Jack,true,false,Republican,U.S. House,3,White,Male,,,,,,,,
GA,Ansel Postell,false,false,Democratic,U.S. House,4,Black,Male,https://www.apostellforcongress.com/,,,,,,,
GA,Ben Truman,false,false,Democratic,U.S. House,4,Black,Male,https://bentrumanforcongress.com/,https://x.com/bentruman4,https://www.facebook.com/truman4congress,https://www.instagram.com/truman4congress,https://www.youtube.com/@truman4congress,https://www.tiktok.com/@truman4congress,https://bsky.app/profile/trumanforcongress.bsky.social,
GA,Hank Johnson Jr,true,false,Democratic,U.S. House,4,Black,Male,,,,,,,,
GA,James Raymond Duffie,false,false,Republican,U.S. House,4,,,,,,,,,,couldnt find anything on this person
GA,Arnetress Elaine Beatty,false,false,Democratic,U.S. House,5,Black,Female,https://goddown.net/,https://x.com/ArnetressB51854,https://www.facebook.com/arnetress.beatty,https://www.instagram.com/p/DRJai_TDTRw/,,,,
GA,Nikema Williams,true,false,Democratic,U.S. House,5,Black,Female,,,,,,,,
GA,John Oscar Salvesen II,false,false,Republican,U.S. House,5,White,Male,,,https://www.facebook.com/p/John-Salvesen-For-Congress-61550223338582/,,,,,
GA,Justin Lee Pinker,false,false,Republican,U.S. House,6,White,Male,https://justinpinkerforcongress.com/,https://x.com/pinker4congress,https://www.facebook.com/profile.php?id=61583284294273,https://www.instagram.com/justinpinkerforcongress,https://www.youtube.com/@justinpinkerforcongressc,,,
GA,Kevin Eugene Martin,false,false,Republican,U.S. House,6,,,,,,,,,,nothing on this person
GA,Lucy Mcbath,true,false,Democratic,U.S. House,6,Black,Female,,,,,,,,
GA,Richard Dean Mccormick,true,false,Republican,U.S. House,7,White,Male,,,,,,,,
GA,Case Norton,false,false,Democratic,U.S. House,7,White,Male,https://www.case4congress.com/,https://x.com/case4congress,https://www.facebook.com/people/Case-Norton-for-Congress-GA-07/61584811101119/,https://www.instagram.com/caseforcongressga,,https://www.tiktok.com/@caseforcongress,,
GA,Jayson Toweh,false,false,Democratic,U.S. House,7,Black,Male,https://towehforcongress.com/,https://x.com/Toweh4Congress,https://www.facebook.com/profile.php?id=61588658321841&mibextid=ZbWKwL,https://www.instagram.com/towehforcongress,https://www.youtube.com/@towehforcongress,https://www.tiktok.com/@toweh4congress,,
GA,Larry D Long,false,false,Democratic,U.S. House,7,White,Male,https://electlarrylong.com/,https://x.com/electlarrylong,https://www.facebook.com/electlarrylong/,https://www.instagram.com/electlarrylong/,https://www.youtube.com/@electlarrylong,,,
GA,Tony Kozycki,false,false,Democratic,U.S. House,7,White,Male,https://www.kozyckiforcongress.com/,,https://www.facebook.com/KozyckiforCongress,https://www.instagram.com/kozycki_for_congress/,,,,
GA,James Austin Scott,true,false,Republican,U.S. House,8,White,Male,,,,,,,,
GA,Justin M. Lucas,false,false,Democratic,U.S. House,8,Black,Male,,,https://www.facebook.com/people/Elect-Justin-M-Lucas-Ga-8th-Congressional-District/61586467530528/,,,,,
GA,Kelly Esti,false,false,Democratic,U.S. House,8,Black,Male,https://www.kellyesti4congress.com/,,https://www.facebook.com/DrKellyEstiGA,https://www.instagram.com/grouchycarmichael,https://www.youtube.com/@drkellyesti,https://www.tiktok.com/@grouchycarmichael,,
GA,Andrew S Clyde,true,false,Republican,U.S. House,9,White,Male,,,,,,,,
GA,Joel Gregory Poole,false,false,Republican,U.S. House,9,,,,,,,,,,
GA,Sam Couvillon,false,false,Republican,U.S. House,9,White,Male,https://samforhouse.com/,https://x.com/sam_couvillon,https://www.facebook.com/profile.php?id=61572635485741,https://www.instagram.com/sendsamtocongress/,,,,
GA,Caitlyn Gegen,false,false,Democratic,U.S. House,9,White,Female,https://www.caitlynforgeorgia.com/,,,https://www.instagram.com/caitlynforga9/,,https://www.tiktok.com/@caitlynforga9,,
GA,Nick Alex,false,false,Democratic,U.S. House,9,White,Male,https://www.nickalex2026.com/,https://x.com/NickAlex_GA,https://www.facebook.com/NickAlex2026/,https://www.instagram.com/nickalex2026/,https://www.youtube.com/@NickAlex_GA,https://www.tiktok.com/@nick.alex.2026,https://bsky.app/profile/nickalexcongressga.bsky.social,
GA,Houston Gaines,false,false,Republican,U.S. House,10,White,Male,https://houstongaines.com/,https://x.com/houstongaines,https://www.facebook.com/HoustonGaines/,https://www.instagram.com/houstongaines/,,,,
GA,Jeff Baker,false,false,Republican,U.S. House,10,White,Male,https://jeffbakerforcongress.com/,,,,,,,
GA,Ryan Millsap,false,false,Republican,U.S. House,10,White,Male,https://ryanmillsapforcongress.com/,,,,,,,
GA,Lexy Doherty,false,false,Democratic,U.S. House,10,White,Female,https://www.lexydoherty.com/,https://x.com/LexyDohertyGA,https://www.facebook.com/lexydoherty4congress,https://www.instagram.com/lexydohertyforcongress/,https://www.youtube.com/@LexyDohertyforCongress,https://www.tiktok.com/@lexy.doherty,https://bsky.app/profile/lexydoherty.bsky.social,
GA,John B. Dority,false,false,Democratic,U.S. House,10,,,,,,,,,,
