state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
IA,Jim Carlin,false,false,Republican,U.S. Senate,,White,Male,https://carlinforussenate.com,https://x.com/Carlin4USSenate,https://www.facebook.com/Carlin4USSenate/,https://www.instagram.com/carlin4ussenate/,,https://www.tiktok.com/@carlin4ussenate,,
IA,Ashley Hinson,false,false,Republican,U.S. Senate,,White,Female,https://ashleyhinson.com,https://x.com/hinsonashley,https://www.facebook.com/AshleyHinsonIowa/,https://www.instagram.com/hinsonforhouse/?hl=en,https://www.youtube.com/channel/UCaPhZwEDLgaDU-Q4ehMSvHA,,,
IA,Josh Turek,false,false,Democratic,U.S. Senate,,White,Male,https://turek4iowa.com,https://x.com/Turek4Iowa,https://www.facebook.com/Turek4Iowa,https://www.instagram.com/joshturek4iowa,https://www.youtube.com/@JoshTurek4Iowa,https://www.tiktok.com/@turek4iowa,https://bsky.app/profile/joshturek4iowa.bsky.social,
IA,Zach Wahls,false,false,Democratic,U.S. Senate,,White,Male,https://zachwahls.com,https://x.com/zachwahls,https://www.facebook.com/zach.wahls,https://www.instagram.com/zachwahls,https://www.youtube.com/@ZachWahls,https://www.tiktok.com/@zachwahls,https://bsky.app/profile/zachwahls.bsky.social,
IA,Mariannette Miller-Meek,true,false,Republican,U.S. House,1,White,Female,https://drmillermeeks.com,https://x.com/millermeeks,https://www.facebook.com/MillerMeeksIA,https://www.instagram.com/millermeeks/,https://www.youtube.com/@mariannettemiller-meeks7222,,,Her youtube acct. has not been used in years.
IA,David Pautsch,false,false,Republican,U.S. House,1,White,Male,https://www.davidpautsch.com,https://x.com/DavidPautsch,https://www.facebook.com/davidpautschforuscongress,,,,,
IA,Christina Bohannan,false,false,Democratic,U.S. House,1,White,Female,https://bohannanforcongress.com,https://x.com/BohannanIowa,https://www.facebook.com/BohannanforIowa,https://www.instagram.com/christinaforcongress/,https://www.youtube.com/@bohannanforcongress,https://www.tiktok.com/@christinabohannan,https://bsky.app/profile/bohannaniowa.bsky.social,
IA,Travis Terrell,false,false,Democratic,U.S. House,1,White,Male,https://terrellforcongress.com,,https://www.facebook.com/terrellforcongress,https://www.instagram.com/terrellforcongress/,,https://www.tiktok.com/@terrellforcongress,,
IA,Charlie McClintock,false,false,Republican,U.S. House,2,White,Male,https://mcclintockforiowa.com,,https://www.facebook.com/McClintockforIowa/,,,,,
IA,Joe Mitchell,false,false,Republican,U.S. House,2,White,Male,https://joemitchell.com/about,https://x.com/joemitchelliowa,https://www.facebook.com/people/Joe-Mitchell-for-Congress/61580346786195/,https://www.instagram.com/mitchell4iowa/,https://www.youtube.com/@JoeMitchellforCongress,,,
IA,Kathy Dolter,false,false,Democratic,U.S. House,2,White,Female,https://dolterforcongress.org,,https://www.facebook.com/people/Kathryn-Dolter/pfbid02Zcwmx4JGsta6S5nS936W7yofMn5SB9fHRMPy4Y37pa8ph9GQgNyrEzrA1ncfNxEZl/,https://www.instagram.com/kathydolter/,,,,
IA,Lindsay James,false,false,Democratic,U.S. House,2,White,Female,https://www.lindsayforiowa.com,https://x.com/lindsay4iowa,https://www.facebook.com/lindsayjamesIA,https://www.instagram.com/lindsay4iowa,https://www.youtube.com/@LindsayForIowa,,https://bsky.app/profile/lindsay4iowa.bsky.social,
IA,Clint Twedt-Ball,false,false,Democratic,U.S. House,2,White,Male,https://clintforiowa.com,https://x.com/clintforiowa,https://www.facebook.com/clintforiowa,https://www.instagram.com/clintforiowa,https://www.youtube.com/@ClintforIowa,https://www.tiktok.com/@clintforiowa,https://bsky.app/profile/clintforiowa.bsky.social,
IA,Zach Nunn,true,false,Republican,U.S. House,3,White,Male,https://zachnunn.com,https://x.com/nunnforcongress,https://www.facebook.com/ZachNunnforCongress,https://www.instagram.com/NunnForIowa/,https://www.youtube.com/@NunnforCongress,https://www.tiktok.com/@zachnunnforcongress/video/7628667846402362637,,
IA,Sarah Trone Garriott,false,false,Democratic,U.S. House,3,White,Female,https://sarahforiowa.com,https://x.com/SarahforIowa,https://www.facebook.com/sarahforiowa,https://www.instagram.com/sarahforiowa/?hl=en,https://www.youtube.com/@sarahforIA,https://www.tiktok.com/@sarahforiowa,https://bsky.app/profile/sarahforiowa.bsky.social,
IA,Chris McGowan,false,false,Republican,U.S. House,4,White,Male,https://mcgowanforiowa.com,https://x.com/McGowanForIowa,https://www.facebook.com/people/McGowan-for-Iowa/61577314967973/,,,,,
IA,Dave Dawson,false,false,Democratic,U.S. House,4,White,Male,https://davedawsonforiowa.com,,https://www.facebook.com/davedawsonforiowa,,,,,
IA,Stephanie Steiner,false,false,Democratic,U.S. House,4,White,Female,https://votestephaniesteinerforiowadistrict4.org,https://x.com/SteinerDist_IA4?t=CmPmaLu56tt7QZO1kitzMA&s=09,,,,,,
IA,Ashley WolfTornabane,false,false,Democratic,U.S. House,4,White,Female,https://www.wolftornabaneforiowa.com,,https://www.facebook.com/Ash4Iowa/,,,https://www.tiktok.com/@ashleywolftornabane4iowa,,
