state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
IN,Frank J. Mrvan,true,false,Democratic,U.S. House,1,White,Male,,,,,,,,
IN,LaVetta Sparks-Wade,false,false,Democratic,U.S. House,1,Black,Female,,,,,,,,
IN,Richard Benedict (Sieg Heil) Mayers,false,false,Republican,U.S. House,1,White,Male,,,,,,,,Okay.
IN,Barb Regnitz,false,false,Republican,U.S. House,1,White,Female,https://barbregnitzforcongress.com/,https://x.com/BarbRegnitz,https://www.facebook.com/people/Barb-Regnitz-for-Congress/61582929778613/,https://www.instagram.com/barbregnitzforcongress/,https://www.youtube.com/channel/UCvUUWYTl4AXo3ne_jfyHYhQ,,,
IN,Ben Ruiz,false,false,Republican,U.S. House,1,Hispanic,Male,https://www.benruizforcongress.com/,https://x.com/RealBenRuiz,https://www.facebook.com/benruizforcongress/,https://www.instagram.com/benruizforcongress,,,,
IN,James Kent (Jim) Schenke,false,false,Republican,U.S. House,1,White,Male,https://schenkeforcongress.com/,https://x.com/JamesSchenke,https://www.facebook.com/JimSchenke/,https://www.instagram.com/schenkeforcongress/,https://www.youtube.com/@SchenkeForCongress,,,
IN,Rudy Yakym,true,false,Republican,U.S. House,2,White,Male,,,,,,,,
IN,Jamee Decio,false,false,Democratic,U.S. House,2,White,Female,https://decioforcongress.com/,,https://www.facebook.com/people/Decio-For-Congress/61582641874935/,https://www.instagram.com/decioforcongress/,https://www.youtube.com/channel/UChSgegWWwQLwZsweGKwSDJA,,,
IN,Shaun Michael Maeyens,false,false,Democratic,U.S. House,2,,Male,,,,,,,,
IN,Marlin A. Stutzman,true,false,Republican,U.S. House,3,White,Male,,,,,,,,
IN,Kelly Thompson,false,false,Democratic,U.S. House,3,White,Female,https://www.kellythompsonforcongress.com/,https://x.com/KellyForIN03,https://www.facebook.com/kellyforcongress,https://www.instagram.com/kellythompsonforcongress/,,https://www.tiktok.com/@kelly.for.indiana,,
IN,Jon M. Kenworthy,false,false,Republican,U.S. House,3,White,Male,,,https://www.facebook.com/p/Jon-Kenworthy-for-Congress-100092435948405/,,,,,"He has other social media accounts, but they haven't been updated since his 2024 run."
IN,Jim Baird,true,false,Republican,U.S. House,4,White,Male,,,,,,,,
IN,Drew Cox,false,false,Democratic,U.S. House,4,White,Male,https://www.drewcox.org/,https://x.com/officialdrewcox,https://www.facebook.com/drewcoxforcongress/,https://www.instagram.com/drewcox4indiana,,https://www.tiktok.com/@officialdrewcox,,
IN,Roger D. Day,false,false,Democratic,U.S. House,4,White,Male,,https://x.com/DayForCongress,https://www.facebook.com/dayforcongress/,,,,,
IN,Darin Patrick Griesey,false,false,Democratic,U.S. House,4,White,Male,https://darinpatrick.com/,,https://www.facebook.com/people/Griesey-for-Congress/61586333789332/,https://www.instagram.com/grieseyforcongress,https://www.youtube.com/channel/UChbiBTi_xNuPjycniFZoOzw,https://www.tiktok.com/@darinpatrick,,
IN,"Thomas D. Hall, Jr.",false,false,Democratic,U.S. House,4,White,Male,https://electthomas.com/,https://x.com/TDHJROFFICIAL,https://www.facebook.com/ThomasDHallJrOfficial/,https://www.instagram.com/thomasdhalljrofficial,https://www.youtube.com/@thomasdhalljrofficial,https://www.tiktok.com/@thomasdhalljrofficial,https://bsky.app/profile/electthomas.com,
IN,Robert Walter Lovely,false,false,Democratic,U.S. House,4,White,Male,,,,,https://www.youtube.com/@12013-y,,,"Policies: Mandatory voting, and if you vote Republican, you go to a re-education camp. I'm not kidding. "
IN,Joe Mackey,false,false,Democratic,U.S. House,4,White,Male,https://joe4hoosiers.org/,,https://www.facebook.com/people/Joe4hoosiersorg/61586939040279/,,,,https://bsky.app/profile/joe4hoosiers.bsky.social,"He has other social media accounts, but they haven't been updated since his 2022 run."
IN,Jayden McCash,false,false,Democratic,U.S. House,4,,Male,,,,,,,,
IN,Paul McPherson,false,false,Democratic,U.S. House,4,,Male,,,,,,,,
IN,John Phillip Whetstone,false,false,Democratic,U.S. House,4,White,Male,https://www.whetstoneforcongress.com/,https://x.com/johnPwhetstone,https://www.facebook.com/people/John-Whetstone-for-Congress/61580323941957/,https://www.instagram.com/whetstone4congress/,,,,
IN,Craig Haggard,false,false,Republican,U.S. House,4,White,Male,https://www.haggardforcongress.com/,https://x.com/HaggardforRep57,https://www.facebook.com/hoosiersforhaggard,https://www.instagram.com/hoosiersforhaggard/,https://www.youtube.com/@haggardforcongress,,,
