state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
LA,Nick Albares,false,false,Democratic,U.S. Senate,,White,Male,https://www.nickforlouisiana.com/,,,https://www.instagram.com/nickalbares4louisiana/,,,,
LA,Gary Crockett,false,false,Democratic,U.S. Senate,,Black,Male,,,,,,,,only personal accounts
LA,Jamie Davis,false,false,Democratic,U.S. Senate,,Black,Male,https://www.jamieforlouisiana.com/,,https://www.facebook.com/jamieforlouisiana/,https://www.instagram.com/jamieforlouisiana,,https://www.tiktok.com/@jamieforlouisiana,https://bsky.app/profile/jamieforlouisiana.bsky.social,
LA,Bill Cassidy,true,false,Republican,U.S. Senate,,White,Male,,,,,,,,
LA,John Fleming,false,false,Republican,U.S. Senate,,White,Male,https://flemingsenatecampaign.com/,https://flemingsenatecampaign.com/,https://www.facebook.com/flemingforlouisiana,https://www.instagram.com/flemingsenatecampaign,,https://www.tiktok.com/@flemingforlouisiana,,
LA,Julia Letlow,false,false,Republican,U.S. Senate,,White,Female,https://www.julialetlow.com/,https://x.com/jbletlow,https://www.facebook.com/julialetlow/,https://www.instagram.com/julialetlowla05/,https://www.youtube.com/channel/UCOwFFI7RR__hc67BdW6gUMA,,,current representative LA-5
LA,Mark Spencer,false,false,Republican,U.S. Senate,,White,Male,https://markforlouisiana.com/,https://x.com/MarkSpencerLA,https://www.facebook.com/profile.php?id=61587995110294,,,,,
LA,Lauren Jewett,false,false,Democratic,U.S. House,1,White,Female,https://www.laurenjewett.com/,https://x.com/ElectLJewett,https://www.facebook.com/electlaurenjewett,https://www.instagram.com/electlaurenjewett,,https://www.tiktok.com/@electlaurenjewett,https://bsky.app/profile/doitjewett.bsky.social,
LA,Jim Long,false,false,Democratic,U.S. House,1,White,Male,,,,,,,,
LA,Randall Arrington,false,false,Republican,U.S. House,1,White,Male,,https://x.com/RandyArrington8,,https://www.instagram.com/randyarrington/,https://www.youtube.com/@randyarringtonphd506?app=desktop,,,"also claims to be running for senate, but was not on the official list of filed candidates for that race"
LA,Steve Scalise,true,false,Republican,U.S. House,1,White,Male,,,,,,,,
LA,Troy Carter,true,false,Democratic,U.S. House,2,Black,Male,,,,,,,,
LA,Renada Honey Collins,false,false,Democratic,U.S. House,2,Other,Female,https://www.renadacollinsforyou.com/,,https://www.facebook.com/RenadaCollinsforyou/,https://www.instagram.com/Renada_Collins,,,,Black?-registered to run as Other
LA,John Day,false,false,Democratic,U.S. House,3,White,Male,https://johndayforcongress.com/,,,,,,,
LA,Tia LeBrun,false,false,Democratic,U.S. House,3,Other,Female,https://lebrun4la.com/,,https://www.facebook.com/LeBrun4LA/,https://www.instagram.com/lebrun4la,https://www.youtube.com/@lebrun4la,https://www.tiktok.com/@lebrun4la,https://bsky.app/profile/lebrun4la.bsky.social,American Indian
LA,Caleb Walker,false,false,Democratic,U.S. House,3,Black,Male,https://www.calebforcongress.org/,,,https://www.instagram.com/calebforcongress,,https://www.tiktok.com/@calebwalker_337,,
LA,Clay Higgins,true,false,Republican,U.S. House,3,White,Male,,,,,,,,
LA,Conrad Cable,false,false,Democratic,U.S. House,4,White,Male,https://www.conrad4congress2026.com/,https://x.com/Conrad4Congress,https://www.facebook.com/conrad4congress,https://www.instagram.com/conrad4congress/,https://www.youtube.com/@conrad4congress,https://www.tiktok.com/@conrad4congress,https://bsky.app/profile/conrad4congress.bsky.social,
LA,Matt Gromlich,false,false,Democratic,U.S. House,4,White,Male,https://fightersforourfuture.com/,,https://www.facebook.com/MattGromlichForCongress/,https://www.instagram.com/matt_gromlich_for_congress,https://www.youtube.com/@MattGromlichForCongress,https://www.tiktok.com/@gromlich4congress,https://bsky.app/profile/mattgromlichla4.bsky.social,
LA,Mike Johnson,true,false,Republican,U.S. House,4,White,Male,,,,,,,,
LA,Joshua Morott,false,false,Republican,U.S. House,4,White,Male,https://www.louisianafreshstart.com/,https://x.com/joshuamorott,https://www.facebook.com/joshua.morott.37,https://www.instagram.com/joshmorott,,https://www.tiktok.com/@joshmorott,,
LA,Mike Nichols,false,false,Republican,U.S. House,4,White,Male,https://mikenicholsforcongress.com/,,https://www.facebook.com/p/Mike-Nichols-for-Congress-The-Right-Mike-for-the-job-61579100096370/,,,https://www.tiktok.com/@mike.nichols.the,,not sure about tiktok
LA,Jessee Fleenor,false,false,Democratic,U.S. House,5,White,Male,https://votejessee.com/,https://x.com/VoteJessee,https://www.facebook.com/VoteJessee/,https://www.instagram.com/votejessee,https://www.youtube.com/@irisjcf,,,
LA,Larry Foy,false,false,Democratic,U.S. House,5,Black,Male,https://www.larryfoyforcongress.com/,https://x.com/FoyDr,https://www.facebook.com/profile.php?id=61577876651389,https://www.instagram.com/lawrencefoy1/,https://www.youtube.com/@lawrencefoy8260,https://www.tiktok.com/@lwfoy,https://bsky.app/profile/foyd5.bsky.social,youtube link doesnt work but was on his website
LA,Lindsay Rubia Garcia,false,false,Democratic,U.S. House,5,White,Female,,,,,,,,i found socials that might be hers but no mention of any campaign
LA,Dan McKay,false,false,Democratic,U.S. House,5,White,Male,,,,,,,,
LA,Tania Nyman,false,false,Democratic,U.S. House,5,White,Female,https://www.tanianyman.com/,,,,,,,not sure if website counts
LA,Misti Cordell,false,false,Republican,U.S. House,5,White,Female,https://www.cordellforcongress.com/,https://x.com/MistiCordell,https://www.facebook.com/MistiCordellForCongress/,,,,,
LA,Michael Echols,false,false,Republican,U.S. House,5,White,Male,https://www.michaelechols.com/,https://x.com/MichaelEchols,https://www.facebook.com/MichaelEchols4Louisiana,https://www.instagram.com/michaelcharlesechols/,https://www.youtube.com/@EcholsCongressLA5,,,
