state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
MD,Andrew Harris,true,false,Republican,U.S. House,1,White,Male,,,,,,,,
MD,Victor Guidice,false,false,Democratic,U.S. House,1,White,Male,,,,https://www.instagram.com/guidiceforcongress/,,,,
MD,Dan Schwartz,false,false,Democratic,U.S. House,1,White,Male,https://schwartzforcongress.com/,https://x.com/Schwartz4_MD1st,https://www.facebook.com//p/Dan-Schwartz-for-Congress-61576082344186/,https://www.instagram.com/schwartz4congress,https://www.youtube.com/channel/UC13ZPurFXxKpCorDQrukp5Q,https://www.tiktok.com/@schwartz4congress,https://bsky.app/profile/schwartzforcongress.com,
MD,George Walish,false,false,Democratic,U.S. House,1,White,Male,https://walishforcongress.org/,https://x.com/walish4congress,https://www.facebook.com/people/George-Walish-for-Congress/61581688256666/#,,https://www.youtube.com/channel/UCjJQ6pxLprdCRznIjzOzgAQ,,,
MD,Randi White,false,false,Democratic,U.S. House,1,Black,Female,https://randiformd.com/,https://x.com/Randiformd,https://www.facebook.com/randiformd,https://www.instagram.com/randiformd,https://www.youtube.com/@RandiforMD,https://www.tiktok.com/@randiformd,,
MD,Christopher Bruneau,false,false,Republican,U.S. House,1,White,Male,,,,,,,,He has social media accounts which haven't been update since his 2024 run.
MD,John Olszewski Jr.,true,false,Democratic,U.S. House,2,White,Male,,,,,,,,
MD,Enrico Bailey,false,false,Democratic,U.S. House,2,,Male,,,,,,,,
MD,Nnabu Eze,false,false,Republican,U.S. House,2,Black,Male,,,,,,,,He has social media accounts which haven't been update since his 2024 run.
MD,Dave Wallace,false,false,Republican,U.S. House,2,White,Male,https://davewallace.us/,https://x.com/DaveWallaceUS/,https://www.facebook.com/DaveWallaceUSA/?ref=embed_page#,,,,,He has social media accounts which haven't been update since his 2024 run.
MD,Sarah Elfreth,true,false,Democratic,U.S. House,3,White,Female,,,,,,,,
MD,Jennifer Cross,false,false,Democratic,U.S. House,3,White,Female,https://jencrossforcongress.com/,https://x.com/JCross,,,,https://www.tiktok.com/@jenforcongress,,
