state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
ME,Chellie Pingree,true,false,Democratic,U.S. House,1,White,Female,,,,,,,,
ME,Joshua Pietrowicz,false,false,Republican,U.S. House,1,White,Male,https://www.joshuapietrowicz.com/,,https://www.facebook.com/profile.php?id=100069135673062,,,,,
ME,Ronald Russell,false,false,Republican,U.S. House,1,White,Male,https://ronrussellforcongress.com/,https://x.com/RussellForHouse/,https://www.facebook.com/RonRussellforCongress/,https://www.instagram.com/ronrussellforcongress/,,,,
ME,Joseph Baldacci,false,false,Democratic,U.S. House,2,,Male,https://baldacciforcongress.com/,https://x.com/JoeBaldacci,https://www.facebook.com/baldacciforcongress/,https://www.instagram.com/joebaldacci,,,,
ME,Matthew Dunlap,false,false,Democratic,U.S. House,2,White,Male,https://www.mattdunlapforuscongress.com/,https://x.com/dunlap4congress,https://www.facebook.com/people/Matt-Dunlap-For-Congress/61581329537939/,https://www.instagram.com/mattforcongress/,https://www.youtube.com/@dunlapforcongress,https://www.tiktok.com/@mattforcongress,https://bsky.app/profile/dunlapforcongress.bsky.social,
ME,Paige Loud,false,false,Democratic,U.S. House,2,White,Female,https://www.loudforcongress.com/,https://x.com/loudforcongress,https://www.facebook.com/loudforcongress,https://www.instagram.com/loudforcongress/,https://www.youtube.com/@loudforcongress,https://www.tiktok.com/@loudforcongress,https://bsky.app/profile/loudforcongress.com,
ME,Jordan Wood,false,false,Democratic,U.S. House,2,White,Male,https://electjordan.com/,https://x.com/JordanWood,https://www.facebook.com/jordanwoodmaine,https://www.instagram.com/jordanwoodmaine/,https://www.youtube.com/channel/UCygY2sDZVK1fCrqeGd8IHpA,https://www.tiktok.com/@jordanwoodmaine,https://bsky.app/profile/jordanwood.bsky.social,
ME,Paul LePage,false,false,Republican,U.S. House,2,White,Male,https://www.lepageforcongress.com/,https://x.com/MainePaulLePage,https://www.facebook.com/paullepage/,https://www.instagram.com/govpaullepage/,,,,facebook is an older campaign accout for governor in 2022
ME,David Costello,false,false,Democratic,U.S. Senate,,White,Male,https://www.costelloforsenate.com/,https://x.com/costello4senate,https://www.facebook.com/CostelloForMaine,https://www.instagram.com/costelloforsenate/,,,https://bsky.app/profile/davidcostello.bsky.social,
ME,Janet Mills,false,true,Democratic,U.S. Senate,,White,Female,https://janetmills.com/,https://x.com/JanetMillsforME,https://www.facebook.com/janetmillsforme,https://www.instagram.com/janetmillsforme/,https://www.youtube.com/channel/UCILNkl9D7V5UxJryRpygBHw,https://www.tiktok.com/@janetmillsforme,https://bsky.app/profile/janetmillsforme.bsky.social,
ME,Graham Platner,false,false,Democratic,U.S. Senate,,White,Male,https://www.grahamforsenate.com/,http://x.com/grahamformaine,http://facebook.com/grahamformaine,http://instagram.com/grahamformaine,https://www.youtube.com/@grahamformaine,https://www.tiktok.com/@grahamformaine,https://bsky.app/profile/grahamformaine.bsky.social,
ME,Andrea LaFlamme,false,false,Democratic,U.S. Senate,,White,Female,https://www.andreaformaine.com/,,https://www.facebook.com/people/Andrea-LaFlamme/61588507985730/,https://www.instagram.com/andreaformaine/,,,https://bsky.app/profile/andrealaflamme.bsky.social,
ME,Susan Collins,true,false,Republican,U.S. Senate,,White,Female,,,,,,,,
