state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
MT,Russell Cleveland,false,false,Democratic,U.S. House,1,,Male,https://russellcleveland.org/,https://x.com/Cleveland4MT_01,https://www.facebook.com/cleveland4mt01/,https://www.instagram.com/cleveland4mt_01/,https://www.youtube.com/@ClevelandforMontana,https://www.tiktok.com/@cleveland4mt_01,https://bsky.app/profile/russellcleveland.org,
MT,Matt Rains,false,false,Democratic,U.S. House,1,White,Male,https://www.mattrainsformontana.com/,https://x.com/RainsforMT,https://facebook.com/MattRains4MT,https://instagram.com/mattrains4mt,https://www.youtube.com/@mattrains6090,,,
MT,Ryan Busse,false,false,Democratic,U.S. House,1,White,Male,https://busseformontana.com/,https://twitter.com/ryandbusse?s=20,https://www.facebook.com/ryan.busse.39/,https://www.instagram.com/ryandbusse/,https://www.youtube.com/@BusseForMontana,https://www.tiktok.com/@ryan.busse,,both youtube and tiktok most recent is for his run for governor
MT,Sam Forstag,false,false,Democratic,U.S. House,1,White,Male,https://samformontana.com/,https://x.com/SamForstag,https://www.facebook.com/p/Sam-Forstag-61585766866234/,https://www.instagram.com/samforstag/,https://www.youtube.com/@SamForstag,https://www.tiktok.com/@sam.forstag,https://bsky.app/profile/samforstag.bsky.social,
MT,Al 'Doc' Olszewski,false,false,Republican,U.S. House,1,White,Male,,https://x.com/alformontana,https://www.facebook.com/alformontana/,https://www.instagram.com/alformontana/?hl=en,,,,instagram hasnt been used since 2024
MT,Aaron Flint,false,false,Republican,U.S. House,1,White,Male,https://flintformontana.com/,https://x.com/aaronflint,https://www.facebook.com/FlintReport/,https://www.instagram.com/aaronflintmt/?hl=en,https://www.youtube.com/@flintformontana,,,
MT,Christi Jacobsen,false,false,Republican,U.S. House,1,White,Female,https://christijacobsen.com/,https://x.com/christi4montana,https://www.facebook.com/Christi4Montana/,,,,,this is official account - not campaign = https://www.instagram.com/secretarychristijacobsen/
MT,Ray Curtis,false,false,Republican,U.S. House,1,,,,,,,,,,
MT,Nick Sheedy,false,false,Libertarian,U.S. House,1,,,,,,,,,,
MT,Kimberly A Persico,false,false,Independent,U.S. House,1,White,Female,https://keepingamericaspromise.com/,https://x.com/KeepAmPromise?s=20,https://www.facebook.com/people/Keeping-Americas-Promise/61586352969889/,https://www.instagram.com/keepingamericaspromise2026/,https://www.youtube.com/channel/UCry0F9Jgr9KZrt2-_QICvmg,,,Montana Sec of State website says Petition Pending
MT,Brian J Miller,false,false,Democratic,U.S. House,2,White,Male,https://www.miller4congress.com/,,https://www.facebook.com/people/Brian-Miller/1276706866/,https://www.instagram.com/brian.miller2021/,,https://www.tiktok.com/@brianmiller904,,"both facebook and instagram dont really look campaign, maybe personal"
MT,Sam Lux,false,false,Democratic,U.S. House,2,,Male,https://www.luxformontana.com/home,https://x.com/luxformontana,https://www.facebook.com/profile.php?id=61578387818006,https://www.instagram.com/luxformontana/,,https://www.tiktok.com/@lux.for.montana,https://bsky.app/profile/luxformontana.bsky.social,
MT,Jonathan Windy Boy,false,false,Democratic,U.S. House,2,Native American,Male,,,,,,,,
MT,Troy Downing,true,false,Republican,U.S. House,2,White,Male,,,,,,,,
MT,Patrick McCracken,false,false,Libertarian,U.S. House,2,,,,,,,,,,
MT,Michael D Eisenhauer,false,false,Independent,U.S. House,2,White,Male,https://eisenhauerforcongress.com/,https://x.com/EisenhauerMT2,https://www.facebook.com/profile.php?id=61586057669240,https://www.instagram.com/eisenhauerforcongress/,,,,
MT,Michael Hummert,false,false,Democratic,U.S. Senate,,White,Male,https://www.mikeformt.com/,https://twitter.com/mikeformt,https://www.facebook.com/profile.php?id=61557318835411,https://www.instagram.com/mikeformt/,https://www.youtube.com/channel/UCIonkgwxOMsnMI2x3xC8xZg,https://www.tiktok.com/@mikeformt?lang=en,,"facebook is locked, unable to see it"
MT,Alani Bankhead,false,false,Democratic,U.S. Senate,,,Female,https://alaniformt.com/,,https://www.facebook.com/alaniformt/,https://www.instagram.com/alaniformt/,,,,
MT,Michael Black Wolf,false,false,Democratic,U.S. Senate,,Native American,Male,https://www.blackwolfformontana.com/,,https://www.facebook.com/profile.php?id=61580669624459,https://www.instagram.com/blackwolfformontana/,https://www.youtube.com/@BlackWolfForMontana,https://www.tiktok.com/@mblackwolfformt,,
MT,Reilly Neill,false,false,Democratic,U.S. Senate,,,Female,https://reillyformontana.com/,https://x.com/RepRNeill,https://www.facebook.com/reillyformontana,https://www.instagram.com/reillyformontana/,https://www.youtube.com/@ReillyNeill,https://www.tiktok.com/@reillyneill,https://bsky.app/profile/reillyneill.bsky.social,
MT,Christopher Kehoe,false,false,Democratic,U.S. Senate,,,,,,,,,,,
