state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
NE,Eric Moyer,false,false,Democratic,U.S. House,1,White,Male,https://www.ericmoyerforcongress.com/,https://x.com/moyer4congress,https://www.facebook.com/profile.php?id=61579643360489,https://www.instagram.com/ericmoyerforcongress/,https://www.youtube.com/@EricMoyerforCongress,https://www.tiktok.com/@eric.moyer.congress?_r=1&_t=ZP-93OiNVsKfmw,https://bsky.app/profile/ericmoyer4congress.bsky.social,
NE,Chris Backemeyer,false,false,Democratic,U.S. House,1,White,Male,https://backnebraska.com/,https://x.com/ChrisBackemeyer,https://www.facebook.com/chrisbackemeyerNE,https://www.instagram.com/chrisbackemeyerne/,https://www.youtube.com/channel/UCNfOaZcAMuM7es-ibhf7tXA,https://www.tiktok.com/@chrisbackemeyerne,,
NE,Mike Flood,true,false,Republican,U.S. House,1,White,Male,,,,,,,,
NE,Nik Sandman,false,false,Libertarian,U.S. House,1,White,Male,,,,,,,,
NE,Van Argyrakis,false,false,Democratic,U.S. House,2,,Male,,,,,,,,
NE,John Cavanaugh,false,false,Democratic,U.S. House,2,White,Male,https://www.johncavanaugh.org/,https://x.com/JCavNE02,https://facebook.com/johncavanaughforcongress,https://instagram.com/johncavanaughne,https://www.youtube.com/channel/UCnKKIcRZ9NhGLuhOuSHxsdQ,,https://bsky.app/profile/johncavanaugh.org,
NE,Crystal Rhoades,false,false,Democratic,U.S. House,2,White,Female,https://crystal4congress.com/,,https://www.facebook.com/CrystalRhoadesforcongress,https://www.instagram.com/crystal4congressne/,,,,
NE,Kishla Askins,false,false,Democratic,U.S. House,2,White,Female,https://www.kishlaforcongress.com/,https://x.com/kishlaaskins,https://facebook.com/kishlaaskinsforcongress,https://instagram.com/kishlaaskinsforcongress,,,https://bsky.app/profile/kishlaaskins.bsky.social,
NE,Denise Powell,false,false,Democratic,U.S. House,2,,Female,https://deniseforcongress.org/,https://x.com/DeniseForNE,https://www.facebook.com/deniseforcongress,https://www.instagram.com/deniseforcongress,,https://www.tiktok.com/@deniseforcongressne,https://bsky.app/profile/deniseforcongress.bsky.social,
NE,James Leuschen,false,false,Democratic,U.S. House,2,White,Male,https://www.jamesleuschen.com/,https://x.com/James_Leuschen,https://facebook.com/people/James-Leuschen/61580872869095/,https://instagram.com/jamesleuschen,,,,
NE,Melanie Williams,false,false,Democratic,U.S. House,2,White,Female,https://www.melaniewilliamsforcongress.com/,,,,,,,"be careful about the campaign website, my computer wouldnt load it"
NE,Brinker Harding,false,false,Republican,U.S. House,2,White,Male,https://www.brinkerharding.com/,https://x.com/brinkerharding,https://www.facebook.com/brinkerhardingNE02,https://instagram.com/brinkerharding,https://www.youtube.com/@Brinker.Harding,,,website had a truth social link - https://www.truthsocial.com/@brinkerharding
NE,Eric Michael Foreman,false,false,Libertarian,U.S. House,2,,,,,,,,,,
NE,Becky Kelly Stille,false,false,Democratic,U.S. House,3,White,Female,https://www.beckystille2026.com/,https://x.com/beckylstille,,,,,https://bsky.app/profile/beckystille2026.bsky.social,
NE,David P. Huebner,false,false,Republican,U.S. House,3,White,Male,https://davidphuebner.com/,https://x.com/huebner4nebrcd3?s=11,https://www.facebook.com/profile.php?id=61576664724275,,,https://www.tiktok.com/@huebner.for.congr,,website had a truth social link - https://truthsocial.com/@Huebner4Nebraska
NE,Adrian Smith,true,false,Republican,U.S. House,3,White,Male,,,,,,,,
NE,David J. Else,false,false,Legal Marijuana NOW,U.S. House,3,White,Male,https://dave-else-for-congress.square.site/,,https://www.facebook.com/DaveElseforCongress/posts/1075210751297659/,https://www.instagram.com/daveelseforcongress/,https://www.youtube.com/@daveelse9901,,,"be careful about the campaign website, also the youtube is inactive"
NE,William J. Forbes,false,false,Democratic,U.S. Senate,,,,,,,,,,,
NE,Cindy Burbank,false,false,Democratic,U.S. Senate,,White,Female,https://cindyburbank.com/,,,,,,,
NE,Eric Mortimore,false,false,Republican,U.S. Senate,,,,,,,,,,,
NE,Pete Ricketts,true,false,Republican,U.S. Senate,,White,Male,,,,,,,,
NE,Todd Knobel,false,false,Republican,U.S. Senate,,White,Male,https://toddknobel.org/,,,,,,,
NE,Mac Stevens,false,false,Republican,U.S. Senate,,White,Male,https://www.mac4nebraska.com/,https://x.com/MSenate92939,https://www.facebook.com/mac.stevens.9619/,,,,,
NE,Debb Axtell Schultz,false,false,Republican,U.S. Senate,,White,Female,,,https://www.facebook.com/people/Debb-Schultz-for-US-Senate/61587793347600/#,,,,,
NE,Earl Starkey,false,false,Legal Marijuana NOW,U.S. Senate,,White,Male,,,https://www.facebook.com/earl.starkey.35/,https://www.instagram.com/earl.starkey/,,,,"both instagram and facebook are personal, but being used for campaign posts"
NE,Mike Marvin,false,false,Legal Marijuana NOW,U.S. Senate,,White,Male,https://marvinforsenate.com/,,,,,,,
NE,Dan Osborn,false,false,Nonpartisan,U.S. Senate,,White,Male,https://www.osbornforsenate.com/,https://x.com/OsbornForNE,https://www.facebook.com/osbornforne,https://www.instagram.com/osbornforne/,https://www.youtube.com/@OsbornforNE,https://www.tiktok.com/@osbornforne?_t=ZP-8xqWJvGoTVO&_r=1,https://bsky.app/profile/osbornforne.bsky.social,
