state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
NJ,Cory Booker,true,false,Democratic,U.S. Senate,,Black,Male,,,,,,,,
NJ,Robert S. Lebovics,false,false,Republican,U.S. Senate,,White,Male,https://lebovicsforsenate.com/,https://x.com/drboblebovics,https://www.facebook.com/drboblebovics,https://www.instagram.com/drboblebovics/,,,,
NJ,Justin Murphy,false,false,Republican,U.S. Senate,,White,Male,https://jerseyjustin4senate.org/,https://x.com/JerseyJustinUSA,,https://www.instagram.com/justsenate,,,,"He has other social media accounts, but they haven't been updated since his 2024 run."
NJ,Richard Tabor,false,false,Republican,U.S. Senate,,Black,Male,https://www.taborforsenate.com/,,,https://www.instagram.com/richtabor4nj,,,,
NJ,Alex Zdan,false,false,Republican,U.S. Senate,,White,Male,https://zdanforsenate.com/,https://x.com/ActualAlexZ,https://www.facebook.com/people/Alex-Zdan-for-US-Senate/61587953410661/,https://www.instagram.com/alexzdanforussenate,https://www.youtube.com/channel/UCpbx0gujfuUiBRyNy-wlQLQ,,,
NJ,Donald Norcross,true,false,Democratic,U.S. House,1,White,Male,,,,,,,,
NJ,Damon Galdo,false,false,Republican,U.S. House,1,,Male,https://votedamongaldo.com/,https://x.com/DamonGaldoNJ,https://www.facebook.com/DamonGaldo,https://www.instagram.com/officialdamongaldo/,,,,
NJ,Jeff Van Drew,true,false,Republican,U.S. House,2,White,Male,,,,,,,,
NJ,Tim Alexander,false,false,Democratic,U.S. House,2,Black,Male,https://www.timalexander4congress.com/,https://x.com/talexander_NJ02,https://www.facebook.com/Tim4SouthJersey,https://www.instagram.com/timalexandernj02,https://www.youtube.com/@TACD2/,https://www.tiktok.com/@tim4congress2026,,
NJ,Zack Mullock,false,false,Democratic,U.S. House,2,White,Male,https://mullockforcongress.com/,https://x.com/ZMullock,https://www.facebook.com/MullockforCongress/,https://www.instagram.com/zmullock,https://www.youtube.com/@zackmullock5887,,,
NJ,Terri Reese,false,false,Democratic,U.S. House,2,White,Female,https://terrireesefornjcd2.com/,https://x.com/terrireesenjcd2,https://www.facebook.com/terrireesefornjcd2/,https://www.instagram.com/terrilreesefornjcd2/,https://www.youtube.com/@terrireesefornjcd2,https://www.tiktok.com/@terrireesefornjcd2,,
NJ,Bayly Winder,false,false,Democratic,U.S. House,2,White,Male,https://winderforcongress.com/,https://x.com/winder4congress,https://www.facebook.com/people/Bayly-Winder-For-Congress/61578363337839/,https://www.instagram.com/winder4congress,https://www.youtube.com/@Winder4Congress,https://www.tiktok.com/@winder4congress,https://bsky.app/profile/winder4congress.bsky.social,
NJ,Herb Conaway,true,false,Democratic,U.S. House,3,Black,Male,,,,,,,,
NJ,Justin Barbera,false,false,Republican,U.S. House,3,White,Male,https://justinbarbera.com/,https://x.com/tip1776,,https://www.instagram.com/justin.barbera.75,https://www.youtube.com/@REPUBLICAN-JustinBarbera/,https://www.tiktok.com/@justinbarbera36,,
NJ,Jason Cullen,false,false,Republican,U.S. House,3,White,Male,https://cullen4congress.com/,https://x.com/cullen4congress,https://www.facebook.com/people/Cullen4Congress/61586720236310/,https://www.instagram.com/cullen4congress,,https://www.tiktok.com/@cullen4congress,,
NJ,Michael McGuire,false,false,Republican,U.S. House,3,White,Male,https://michaelmcguireforcongress.com/,https://x.com/MikeMcGuireNJ,https://www.facebook.com/people/Michael-P-McGuire-for-Congress-NJ-03/61585312319321/,https://www.instagram.com/michaelmcguireforcongressnj03/,https://www.youtube.com/@MichaelMcGuireNJ,,,
NJ,Christopher H. Smith,true,false,Republican,U.S. House,4,White,Male,,,,,,,,
NJ,John Blake,false,false,Democratic,U.S. House,4,White,Male,,,,https://www.instagram.com/blake4congress2026/,,https://www.tiktok.com/@blake4congress2026,,
NJ,Rachel Peace,false,false,Democratic,U.S. House,4,White,Female,https://www.peace4shore.com/,,https://www.facebook.com/peace4shore,https://www.instagram.com/peace4shore/,https://www.youtube.com/@peace4shore,https://www.tiktok.com/@.peace4shore,,
NJ,Josh Gottheimer,false,false,Democratic,U.S. House,5,White,Male,,,,,,,,
NJ,Sean Kirrane,false,false,Republican,U.S. House,5,White,Male,https://www.seankirrane.com/,https://x.com/votekirrane,https://www.facebook.com/people/Sean-Kirrane-For-Congress/61580643457489/,https://www.instagram.com/vote.kirrane,,,,
NJ,Frank Pallone Jr.,true,false,Democratic,U.S. House,6,White,Male,,,,,,,,
NJ,Katie Bansil,false,false,Democratic,U.S. House,6,Asian,Female,https://www.katiebansil.com/,https://x.com/katiebansil4nj,https://www.facebook.com/people/Katie-Bansil-For-Congress/61579563611107/,https://www.instagram.com/katiebansil,https://www.youtube.com/channel/UCy4KJDhVKPcK7apyj8SmnbQ,,https://bsky.app/profile/katiebansil.bsky.social,
NJ,John Hsu,false,false,Democratic,U.S. House,6,Asian,Male,https://www.johnhsuforcongress.com/,https://x.com/johnhsu4nj,https://www.facebook.com/johnhsuforcongress/,https://www.instagram.com/johnhsuforcongress,https://www.youtube.com/@JohnHsu-for-Congress,https://www.tiktok.com/@johnhsuforcongress,https://bsky.app/profile/johnhsufornj.bsky.social,
NJ,Hillary Herzig,false,false,Republican,U.S. House,6,White,Female,https://www.herzigforcongress.com/,https://x.com/HillaryHerzig,,https://www.instagram.com/hillaryherzig/,,https://www.tiktok.com/@herzig.for.congre,,
NJ,Thomas H. Kean Jr.,true,false,Republican,U.S. House,7,White,Male,,,,,,,,
NJ,Rebecca Bennett,false,false,Democratic,U.S. House,7,White,Female,https://rebeccabennettforcongress.com/,https://x.com/rebeccafornj07,https://www.facebook.com/p/Rebecca-Bennett-for-Congress-61572992483996/,https://www.instagram.com/rebeccafornj07,https://www.youtube.com/@RebeccaBennettforCongress,https://www.tiktok.com/@rebeccafornj07,https://bsky.app/profile/rebeccabennettforcongress.com,
NJ,Michael Roth,false,false,Democratic,U.S. House,7,White,Male,https://www.michaelrothforcongress.com/,https://x.com/michaelrothnj,https://www.facebook.com/michaelrothnj/,https://www.instagram.com/michaelrothnj,https://www.youtube.com/@michaelrothnj,https://www.tiktok.com/@michaelrothnj,https://bsky.app/profile/michaelrothnj.bsky.social,
NJ,Tina Shah,false,false,Democratic,U.S. House,7,Asian,Female,https://www.drtinashahforcongress.com/,https://x.com/drtinashahnj,https://www.facebook.com/drtinashahnj,https://www.instagram.com/drtinashahnj,,https://www.tiktok.com/@drtinashahnj,https://bsky.app/profile/drtinashahnj.bsky.social,
NJ,Brian Varela,false,false,Democratic,U.S. House,7,Hispanic,Male,https://varelaforcongress.com/,https://x.com/Varela4NJ/,https://www.facebook.com/varela4congress,https://www.instagram.com/varela4nj/,https://www.youtube.com/@Varela4NJ,https://www.tiktok.com/@varela4nj,https://bsky.app/profile/varela4nj.bsky.social,
NJ,Rob Menendez,true,false,Democratic,U.S. House,8,White,Male,,,,,,,,
NJ,Mussab Ali,false,false,Democratic,U.S. House,8,Asian,Male,https://www.alifornj.com/,https://x.com/mussabalijc,https://www.facebook.com/mussabalijc,https://www.instagram.com/mussabalijc,https://www.youtube.com/@AliForCongress,https://www.tiktok.com/@alifornj,,
NJ,Nelinda Pou,true,false,Democratic,U.S. House,9,White,Female,,,,,,,,
NJ,Tiffany Burress,false,false,Republican,U.S. House,9,Black,Female,https://tiffanyburress.com/,https://x.com/BurressForNJ,https://www.facebook.com/BurressForNJ,https://www.instagram.com/BurressForNJ,https://www.youtube.com/@TiffanyBurressForCongress,,,
NJ,Rosie Pino,false,false,Republican,U.S. House,9,Hispanic,Female,https://rosiepinofornj.com/,https://x.com/RosiePinoNJ,https://www.facebook.com/RosiePinoNJ,https://www.instagram.com/rosiepinonj,https://www.youtube.com/@RosiePinoNJ,,,
NJ,LaMonic McIver,true,false,Democratic,U.S. House,10,Black,Female,,,,,,,,
NJ,Lawrence D. Poster,false,false,Democratic,U.S. House,10,,Male,,,,,,,,
NJ,Carmen Bucco,false,false,Republican,U.S. House,10,White,Male,https://carmenbucco.com/,https://x.com/BuccoForNJ,https://www.facebook.com/Buccofornewjersey,https://www.instagram.com/buccofornewjersey,,https://www.tiktok.com/@buccofornewjersey,,
NJ,Donald Cresitello,false,false,Democratic,U.S. House,11,White,Male,,,,,,,,
NJ,Joseph B. Lewis II,false,false,Democratic,U.S. House,11,Black,Male,https://www.josephblewis.com/,,,https://www.instagram.com/josephblewisnj/,,,,
NJ,Analilia Meija,false,false,Democratic,U.S. House,11,Hispanic,Female,https://www.analiliafornj.com/,https://x.com/analiliafornj,https://www.facebook.com/AnaliliaForNJ/,https://www.instagram.com/analiliafornj,https://www.youtube.com/@AnaliliaForNJ,https://www.tiktok.com/@analiliafornj,https://bsky.app/profile/analiliafornj.bsky.social,Will likely be the incumbent soon.
NJ,Justin Strickland,false,false,Democratic,U.S. House,11,White,Male,https://www.justinstrickland.com/,https://x.com/we_votejustin,https://www.facebook.com/WeVoteJustin,https://www.instagram.com/wevotejustin,https://www.youtube.com/@WeVoteJustin,https://www.tiktok.com/@wevotejustin,,
NJ,Joe Hathaway,false,false,Republican,U.S. House,11,White,Male,https://www.joehathawayforcongress.com/,https://x.com/HathawayForNJ11,https://www.facebook.com/hathawayforcongress,https://www.instagram.com/hathawayforcongress,https://www.youtube.com/channel/UClesdBV3fdEU1VSD8QiWtXw,,,
NJ,Matt Adams,false,false,Democratic,U.S. House,12,White,Male,https://www.mattadamsforcongress.com/,,,https://www.instagram.com/mattadamsfornj12/,,,,
NJ,Sue Altman,false,false,Democratic,U.S. House,12,White,Female,https://suealtman.com/,https://x.com/suealtman,https://www.facebook.com/altmanforcongress,https://www.instagram.com/altmanforcongress,https://www.youtube.com/@AltmanForCongress,https://www.tiktok.com/@suealtman,,
NJ,Brad Cohen,false,false,Democratic,U.S. House,12,White,Male,https://bradcohenforcongress.com/,https://x.com/bradcohenfornj,https://www.facebook.com/bradcohenfornj,https://www.instagram.com/bcmd516/,,,,
NJ,Elijah Dixon,false,false,Democratic,U.S. House,12,Black,Male,https://www.elijahfornj.com/,,,https://www.instagram.com/elijahedixon/,,,,
NJ,Adam Hamawy,false,false,Democratic,U.S. House,12,Middle Eastern,Male,https://hamawyfornj.com/,https://x.com/HamawyForNJ,https://www.facebook.com/people/Dr-Adam-Hamawy/61586742410220/,https://www.instagram.com/hamawyfornj/,https://www.youtube.com/channel/UCRV6zeZeJTo135rRx1pV1_Q,https://www.tiktok.com/@hamawyfornj,https://bsky.app/profile/HamawyForNJ.bsky.social,
NJ,Kyle Little,false,false,Democratic,U.S. House,12,Black,Male,https://www.kylelittleforcongress.com/,,https://www.facebook.com/people/Kyle-Little-For-Congress/61576836195373/,https://www.instagram.com/kylelittleforcongress,https://www.youtube.com/@kylelittleforcongressnj12,https://www.tiktok.com/@kylelittleforcongress,,
NJ,Adrian O. Mapp,false,false,Democratic,U.S. House,12,Black,Male,https://www.mapp4congress.com/,https://x.com/Mapp4Congress,https://www.facebook.com/people/Mapp-4-Congress/61588409010469/,https://www.instagram.com/mapp4congress,https://www.youtube.com/@MappforCongress,https://www.tiktok.com/@mapp4congress,,
NJ,Verlina Reynolds-Jackson,false,false,Democratic,U.S. House,12,Black,Female,https://www.verlinaforcongress.com/,,https://www.facebook.com/people/Verlina-Reynolds-Jackson-for-Congress/61587100435181/,https://www.instagram.com/verlina4congress/,,,,
NJ,Shanel Y. Robinson,false,false,Democratic,U.S. House,12,Black,Female,https://shanel4congress.com/,https://x.com/Shanel4Congress,https://www.facebook.com/people/Shanel-4-Congress/61583496398955/#,https://www.instagram.com/shanel4congress/,https://www.youtube.com/@Shanel4Congress,,,
NJ,Squire Servance,false,false,Democratic,U.S. House,12,Black,Male,https://www.squireservance.com/,https://x.com/squireservance,https://www.facebook.com/people/Squire-Servance/61586904404507/,https://www.instagram.com/squire.servance,https://www.youtube.com/@SquireServance-ki3xo,https://www.tiktok.com/@squire.servance,,
NJ,Sujit Singh,false,false,Democratic,U.S. House,12,Asian,Male,https://sujitsinghforcongress.com/,,https://www.facebook.com/people/Sujit-Singh-For-Congress/61584682316390/,https://www.instagram.com/sujitsinghforcongress/,https://www.youtube.com/@SujitSinghForCongress/,https://www.tiktok.com/@sujitforcongress,,
NJ,Jay Vaingankar,false,false,Democratic,U.S. House,12,Asian,Male,https://www.jayvaingankar.com/,https://x.com/jayforjersey,https://www.facebook.com/@jayforjersey,https://www.instagram.com/jayforjersey/,https://www.youtube.com/@JayforJersey/,https://www.tiktok.com/@jayforjersey,,
NJ,Samuel Wang,false,false,Democratic,U.S. House,12,Asian,Male,https://www.samfornj.org/,https://x.com/SamWangPhD/,,https://www.instagram.com/samfornj/,,,https://bsky.app/profile/samwang.bsky.social,
