state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
NM,Ben Ray Lujan,true,false,Democratic,U.S. Senate,,Hispanic,Male,,,,,,,,
NM,Matt Dodson,false,false,Democratic,U.S. Senate,,,Male,https://mattdodsonfornm.com/,https://x.com/matt4usnm,https://www.facebook.com/mattdodsonfornm/,https://www.instagram.com/mattdodsonfornm,https://www.youtube.com/MattDodsonforNM,https://www.tiktok.com/@mattdodsonfornm,https://bsky.app/profile/mattdodsonfornm.bsky.social,"youtube is a bad link, was on his website"
NM,Christopher J Vanden Heuvel,false,false,Republican,U.S. Senate,,,,,,,,,,,couldn't find anything about this person
NM,Melanie Ann Stansbury,true,false,Democratic,U.S. House,1,White,Female,,,,,,,,
NM,Didi Okpareke,false,false,Republican,U.S. House,1,,Female,https://www.didiforcongress.com/,https://x.com/DidiForCongress,https://www.facebook.com/DidiForCongress/,https://www.instagram.com/didiforcongress/,,,,Black?
NM,Carlton Pennington,false,false,Republican,U.S. House,1,White,Male,https://penningtonvote.com/,,,,,,,
NM,Steve Jones,false,false,Republican,U.S. House,1,,Male,https://stevejones4nm.com/,https://x.com/SteveRuidoso,https://www.facebook.com/people/Steve-Jones-4-New-Mexico/61558539897578/,,https://www.youtube.com/channel/UC47xmE4Sk6IgnGDggL_qXRA,https://www.tiktok.com/@steve.jones9728,,White? old yt: https://www.youtube.com/channel/UCwTSg0VDJ3hMsCEsJ9VgcCQ
NM,Tom Wakely,false,false,Democratic,U.S. House,2,Hispanic,Male,https://tomwakelyforcongress.com/,https://x.com/Wakely4Senate,,,,,https://bsky.app/profile/tomwakely.bsky.social,some accounts were outdated from another race
NM,Gabriel Vasquez,true,false,Democratic,U.S. House,2,Hispanic,Male,,,,,,,,
NM,Gregory Cunningham,false,false,Republican,U.S. House,2,,Male,https://www.cunninghamfornm.com/,https://x.com/cunninghamfornm,https://www.facebook.com/cunninghamfornm/,https://www.instagram.com/cunninghamfornm,https://www.youtube.com/@gregcunningham3317,,,Hispanic?
NM,Jose Orozco,false,false,Republican,U.S. House,2,,Male,https://www.orozcofornewmexico.com/,https://x.com/JoseOrozcoNM,https://www.facebook.com/p/Jose-Orozco-for-Congress-61582235768614/,https://www.instagram.com/joseorozconm,,,,Hispanic?
NM,Teresa Leger Fernandez,true,false,Democratic,U.S. House,3,Hispanic,Female,,,,,,,,
NM,Martin Zamora,false,false,Republican,U.S. House,3,Hispanic,Male,https://zamorafornewmexico.com/,,https://www.facebook.com/martinzamora4nm/,,,,,
