state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
NV,Gabriel Cornejo,false,false,Democratic,U.S. House,1,,Male,https://www.nvgabe.com/,https://x.com/thegabeusa,https://www.facebook.com/people/Gabriel-Cornejo/61556175552376/#,https://www.instagram.com/thegabeusa/,https://www.youtube.com/channel/UCRnwGOcNx02Pk4l0APQJIxg,https://www.tiktok.com/@gabeusa,,"both the facebook and youtube were for previous campaigns from 2 years ago, they might be used again"
NV,Joy Hoover,false,false,Democratic,U.S. House,1,,Female,https://www.joyfornv.com/,,https://www.facebook.com/people/Joyfornv/61574401975316/,https://instagram.com/joyfornv,,https://tiktok.com/@joyfornv,https://bsky.app/profile/did:plc:vqru7nnlppufty765wagnc66,
NV,Luis Paniagua,false,false,Democratic,U.S. House,1,Hispanic,Male,https://www.eastsidecampaign.com/,,,,,,,"the campaign website is not run by his campaign, but the party supporting him"
NV,Dina Titus,true,false,Democratic,U.S. House,1,,Female,,,,,,,,
NV,Marie Encar Arnold,false,false,Republican,U.S. House,1,,Female,https://www.marie-encar-arnold.org/,,,,,,,"the campaign website is not really campaign, its her website, but honestly unknown"
NV,Jim Blockey,false,false,Republican,U.S. House,1,White,Male,https://www.jimblockey.com/,https://x.com/jimblockeynv1st,https://www.facebook.com/jimblockeyforcongress,https://www.instagram.com/jimblockeyforcongress/,https://www.youtube.com/@JimBlockeyforCongress,,,there was a link for truth social on the campaign website - https://truthsocial.com/@jimblockeyforcongress
NV,Michael Boris,false,false,Republican,U.S. House,1,White,Male,https://www.michaelborisfornevada.com/,https://x.com/Mikeborisnv01,https://www.facebook.com/MichaelBorisforNevada/,https://www.instagram.com/michaelboriscd01nv/,https://www.youtube.com/@michaelborisforfornevada,https://www.tiktok.com/@michaelborisnv,,"youtube hasnt been updated in 3 years, and the tiktok might be personal, not campaign"
NV,Carrie Ann Buck,false,false,Republican,U.S. House,1,White,Female,https://carriebuckforcongress.com/,https://www.twitter.com/carriebuckforNV,https://www.facebook.com/carriebuckforNV/,https://www.instagram.com/carriebuckforNV,,,,
NV,"Rick ""indicted"" Saga",false,false,Republican,U.S. House,1,Black,Male,https://indictedrick.com/,,,,,,,"the website might be correct, unsure, it does look like a campaign site"
NV,Teresa F. Benitez-Thompson,false,false,Democratic,U.S. House,2,Hispanic,Female,https://electteresa.com/,,https://www.facebook.com/ElectTeresa/,https://www.instagram.com/ElectTeresa/,,https://www.tiktok.com/@tbt_nv,,
NV,Kathy Durham,false,false,Democratic,U.S. House,2,White,Female,https://www.kathydurhamforcongress.com/,https://x.com/KathyDurhamNV,https://www.facebook.com/KathyDurhamNV,https://www.instagram.com/kathydurhamnv/,https://www.youtube.com/@KathyDurhamForCongress,https://www.tiktok.com/@kathydurhamnv,,campaign website wouldnt load on my computer
NV,"Gamaliel Z. ""Gamy"" Enriquez",false,false,Democratic,U.S. House,2,Hispanic,Male,https://www.gamyfornvcd02.com/,,https://www.facebook.com/gze.gamy,https://www.instagram.com/gze.gamy/,https://www.youtube.com/@gamybattleborn,https://www.tiktok.com/@gamyenriquezforcongress,,
NV,Matthew Fonken,false,false,Democratic,U.S. House,2,White,Male,https://www.fonkenfornevada.com/,https://x.com/FonkenforNevada,https://www.facebook.com/fonkenfornevada/,https://www.instagram.com/fonkenfornevada,,https://www.tiktok.com/@fonkenfornevada,,
NV,Gerold L. Gorman,false,false,Democratic,U.S. House,2,White,Male,,,,,,,,
NV,Josh Hebert,false,false,Democratic,U.S. House,2,White,Male,https://www.joshhebertfornevada.com/,,https://www.facebook.com/JoshHebertforNevada/,https://www.instagram.com/joshhebertfornevada/,https://www.youtube.com/@JoshHebertforNevada,https://www.tiktok.com/@josh.hebert.for.nevada,https://bsky.app/profile/joshhebert4nevada.bsky.social,
NV,Mark Jolle,false,false,Democratic,U.S. House,2,White,Male,https://www.markjolleforcongress.com/,,,https://www.instagram.com/markjolleforcongress/,https://www.youtube.com/@MarkJolleforCongress,https://www.tiktok.com/@mark.jolle.for.co?,,
NV,Johnny E. Kerns,false,false,Democratic,U.S. House,2,,Male,,,https://www.facebook.com/61588127603332,,,,,"facebook is locked, unable to view it"
NV,"Robert G. ""Greg"" Kidd",false,false,Democratic,U.S. House,2,White,Male,https://www.kiddfornevada.com/,https://x.com/gregkidd,https://www.facebook.com/GregKiddNV/,https://www.instagram.com/gregkiddnv/,https://www.youtube.com/@GregKiddforNevada/videos,,,
NV,Morgan Wadsworth,false,false,Democratic,U.S. House,2,White,Female,https://www.wadsworthfornevada.com/,,https://www.facebook.com/profile.php?id=61583348624330,https://www.instagram.com/wadsworthnv02/,,https://www.tiktok.com/@wadsworthnv02,,
NV,Samuel White,false,false,Democratic,U.S. House,2,White,Male,https://www.samuelforcongress.com/,,,https://www.instagram.com/samuelwhitenv/,,,,
NV,Jennifer Billat,false,false,Republican,U.S. House,2,White,Female,https://jennbillatforcongress.com/,,https://www.facebook.com/badassbossjenn,https://www.instagram.com/badassbossjenn,https://www.youtube.com/@badassbossjenn,https://www.tiktok.com/@badassbossjenn,,"there are two campaign sites, BE CAREFUL WITH BOTH, there is no actual site there, just placeholder or unknown - https://badassbossjenn.com/"
NV,Tom Doyle,false,false,Republican,U.S. House,2,White,Male,https://doyle4nevada.org/,,,,,,,
NV,David Flippo,false,false,Republican,U.S. House,2,White,Male,https://flippo4nv.com/,https://x.com/davidflipponv,https://www.facebook.com/votedavidflippo,https://www.instagram.com/electdavidflippo/,https://www.youtube.com/@davidflippo7402,,,there was a link for truth social on the campaign website - https://truthsocial.com/@davidflippo
NV,George Forbush,false,false,Republican,U.S. House,2,,Male,https://forbushforcongress.com/,,https://www.facebook.com/people/George-Forbush-for-Congress/61585111597557/,https://www.instagram.com/forbushforcongress/,,,,
NV,Bruce Grego,false,false,Republican,U.S. House,2,White,Male,,,,,,,,
NV,Andrea Lowe,false,false,Republican,U.S. House,2,White,Female,https://www.voteandrealowe.com/,https://x.com/AndreaLoweNV,https://www.facebook.com/profile.php?id=61583765181934,,,https://www.tiktok.com/@andrealowenv02,,
NV,Jerry Olsen,false,false,Republican,U.S. House,2,White,Male,https://olsen4congress.com/,,,,,,,
NV,James A. Settelmeyer,false,false,Republican,U.S. House,2,White,Male,https://jamesfornv.com/,https://x.com/SettelmeyerNV,,,,,,
NV,Rick Shepherd,false,false,Republican,U.S. House,2,White,Male,https://rickshepherd.com/,https://x.com/RepRickShepherd,https://www.facebook.com/RickShepherdforCongress/,,https://www.youtube.com/@RickShepherd/featured,,,
NV,"Fred J. Simon, Jr.",false,false,Republican,U.S. House,2,White,Male,https://simonforcongresscd2.com/,,https://www.facebook.com/SimonforNevada/,https://www.instagram.com/fredsimonfornevada/?hl=en,https://www.youtube.com/@simonforcongresscd2,,,"my computer would not or could not load the campaign website, be careful when checking"
NV,"Michael ""Mike"" Smith",false,false,Republican,U.S. House,2,White,Male,https://www.mikesmithfornevada.com/,,,,,,,
NV,Sherman Tylawsky,false,false,Republican,U.S. House,2,,Male,https://www.sherman4congress.org/,,https://www.facebook.com/sherman.tylawsky,https://www.instagram.com/shermtanknv/,,,,
NV,Jesse J. Watts,false,false,Republican,U.S. House,2,White,Male,https://jessefornevada.com/,https://x.com/sheriffwatts,https://www.facebook.com/JesseforNevada/,https://www.instagram.com/jessewattsfornevada/,https://www.youtube.com/@Jessefornevada,,,
NV,James A. Lally,false,false,Democratic,U.S. House,3,White,Male,https://www.lallyfornv.com/,https://x.com/LallyForNV,https://www.facebook.com/LallyForNV/,https://www.instagram.com/lallyfornv,,,https://bsky.app/profile/lallyfornv.bsky.social,
NV,Susie Lee,true,false,Democratic,U.S. House,3,White,Female,,,,,,,,
NV,Terrill Robinson,false,false,Democratic,U.S. House,3,Black,Male,https://www.terrillrobinsonforcongress.com/,,https://www.facebook.com/profile.php?id=61585198423366,https://www.instagram.com/terrill4nv3?igsh=dHl5dXJza2ZueGc0,,https://www.tiktok.com/@terrill4congressnv,,
NV,Brandon West,false,false,Democratic,U.S. House,3,Black,Male,,,,https://www.instagram.com/west4nv/,,,,
NV,Tera Anderson,false,false,Republican,U.S. House,3,White,Female,https://www.teraanderson.com/,http://x.com/teraandersonnv,http://facebook.com/teraandersonnv,http://instagram.com/teraandersonnv,,,,
NV,Jeff Gunter,false,false,Republican,U.S. House,3,,Male,https://drjeffgunter.com/,https://twitter.com/DrJeffGunter,https://www.facebook.com/jeffgunterforsenate%20,https://www.instagram.com/drjeffgunter/,,,,there was a truth social linked on the campaign website - https://truthsocial.com/@AmbJeffreyRossGunter
