state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
OH,Jon Husted,true,false,Republican,U.S. Senate,,White,Male,,,,,,,,
OH,Sherrod Brown,false,false,Democratic,U.S. Senate,,White,Male,https://www.sherrodbrown.com/,https://x.com/sherrodbrown,https://www.facebook.com/sherrod,https://www.instagram.com/sherrod/,https://www.youtube.com/channel/UCt_l7Nge_872rTm5Jvbo6Mw,https://www.tiktok.com/@sherrodbrown,https://bsky.app/profile/sherrodbrownoh.bsky.social,
OH,Ron Kincaid,false,false,Democratic,U.S. Senate,,White,Male,https://kincaidforsenate.com/,,https://www.facebook.com/KincaidForSenate#,,https://www.youtube.com/@RonKincaidForSenate_2026,,https://bsky.app/profile/kincaidforsenate.bsky.social,
OH,Jeffrey M. Kanter,false,false,Libertarian,U.S. Senate,,,Male,,,,,,,,
OH,William B. Redpath,false,false,Libertarian,U.S. Senate,,White,Male,,,,,,,,
OH,Greg Levy,false,false,Independent,U.S. Senate,,Black,Male,https://www.greg4senate.com/,https://x.com/GregLevy4Senate,,https://www.instagram.com/greglevy4senate,,https://www.tiktok.com/@greglevy4senate,,
OH,Greg Landsman,true,false,Democratic,U.S. House,1,White,Male,,,,,,,,
OH,Damon Lynch,false,false,Democratic,U.S. House,1,Black,Male,https://www.friendsofdamonlynch.com/,,https://www.facebook.com/people/Damon-Lynch-IV/61585558940212/,https://www.instagram.com/dameforever/,,,,"There's something weird going on here. I think an AI company scraped his website and social media and has created a fake website and TikTok for him, which I didn't list... Safe to ignore, but in case you find those when checking my work, be cautious."
OH,Holly Adams,false,false,Republican,U.S. House,1,,Female,,,,,,,,
OH,Eric Conroy,false,false,Republican,U.S. House,1,White,Male,https://ericconroy.com/,https://x.com/theeric42,https://www.facebook.com/ericconroyforcongress/,https://www.instagram.com/Eric_c42,https://www.youtube.com/channel/UCvz-apSIJj9rTD_AeyiJJJA,,,
OH,Steven Erbeck,false,false,Republican,U.S. House,1,White,Male,https://www.erbeckforcongress.com/,https://x.com/stevenberbeck,https://www.facebook.com/erbeckforcongress,https://www.instagram.com/erbeckforcongress,,,,
OH,Rosemary Oglesby-Henry,false,false,Republican,U.S. House,1,Black,Female,https://www.votemsrosemary.com/,https://x.com/votemsrosemary,https://www.facebook.com/VoteMsRosemary/,https://www.instagram.com/votemsrosemary,https://www.youtube.com/@VoteMsRosemary,https://www.tiktok.com/@votemsrosemary,,
OH,John Hancock,false,false,Libertarian,U.S. House,1,White,Male,https://hancock4liberty.com/,https://x.com/HancockCincy,https://www.facebook.com/people/John-Hancock-for-Congress/61566603867413/,https://www.instagram.com/Hancock4Liberty,https://www.youtube.com/@Hancock4Liberty,https://www.tiktok.com/@john.hancock4liberty,,
OH,David Taylor,true,false,Republican,U.S. House,2,White,Male,,,,,,,,
OH,Andrew Gage,false,false,Democratic,U.S. House,2,,Male,,,,,,,,
OH,Brian Kenderes,false,false,Democratic,U.S. House,2,White,Male,,,,,,,,
OH,Jen Mazzuckelli,false,false,Democratic,U.S. House,2,White,Female,,,https://www.facebook.com/p/Mazzuckelli-for-Ohio-2-61555550788214/,,,,,
OH,Todd Wilson,false,false,Democratic,U.S. House,2,White,Male,,,https://www.facebook.com/people/Todd-Wilson-for-US-House-of-Representatives-OH-2nd/61586534617563/,,,,,
OH,Bob Carr,false,false,Republican,U.S. House,2,,Male,,,,,,,,
OH,Joyce Beatty,true,false,Democratic,U.S. House,3,Black,Female,,,,,,,,
OH,Joe Gerard,false,false,Democratic,U.S. House,3,White,Male,https://www.joegforcongress.com/,,,https://www.instagram.com/votejoeg/,,,,
OH,Cleophus Dulaney,false,false,Republican,U.S. House,3,Black,Male,,https://x.com/KDSFurnishings,,,,,,
OH,Jim Jordan,true,false,Republican,U.S. House,4,White,Male,,,,,,,,
OH,Joshua Kolasinski,false,false,Democratic,U.S. House,4,White,Male,,,https://www.facebook.com/people/Joshua-Kolasinski-for-Ohios-4th-Congressional-District/61586747067579/,,,,,
OH,Tamie Wilson,false,false,Democratic,U.S. House,4,Other,Female,,,,,,,,"Several social media accounts, plus a website, from her last campaign, but none updated to 2026."
