state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
OR,Jamil O Ahmad,false,false,Democratic,U.S. House,1,,Male,https://www.jamilahmadforcongress.com/,https://twitter.com/Ahmad4Congress,https://www.facebook.com/people/Jamil-Ahmad-for-Congress/61556918733952/,,,,,
OR,Suzanne Bonamici,true,false,Democratic,U.S. House,1,White,Female,,,,,,,,
OR,Barbara J Kahl,false,false,Republican,U.S. House,1,White,Female,https://drkahlforcongress.com/,https://x.com/DRKAHL4CONGRESS,https://www.facebook.com/drkahlforcongress/,https://www.instagram.com/kahl4congress/,,,,
OR,John Verbeek,false,false,Republican,U.S. House,1,White,Male,,,https://www.facebook.com/JohnVerbeekForOregon/,,,,,
OR,Chris Beck,false,false,Democratic,U.S. House,2,White,Male,https://chrisbeckforcongress.com/,,http://facebook.com/ChrisBeckforCongress,https://www.instagram.com/chrisbeckforcongress,,,,
OR,Mary Doyle,false,false,Democratic,U.S. House,2,White,Female,https://www.marydoyleforcongress.com/,https://x.com/@District2Oregon,https://facebook.com/people/Mary-Doyle-For-Congress-OR-CD2/61585253872101/,https://instagram.com/marydoyleforcongress,,https://tiktok.com/@marydoyle4congress,https://bsky.app/profile/marydoyle4congress.bsky.social,
OR,Rebecca Mueller,false,false,Democratic,U.S. House,2,White,Female,https://www.muellermorethanthis.com/,,https://www.facebook.com/profile.php?id=61583834545928,https://www.instagram.com/rebeccamuellerforcongress/,,,,
OR,Peter Quince,false,false,Democratic,U.S. House,2,White,Male,https://peterquinceforcongress.com/,,https://www.facebook.com/peter.quince/,,,,,"(different note- facebook looked more personal than campaign) this was on the website, says this is the main site - BE VERY CAREFUL. I did not open it because it the url did not look safe - https://pqnow.net/"
OR,Dawn Rasmussen,false,false,Democratic,U.S. House,2,,Female,https://dawnrasmussenforcongress.com/,,https://www.facebook.com/DawnRasmussenforCongress/,https://www.instagram.com/dawnrasmussenforcongress/,,https://www.tiktok.com/@dawnrasmussenforcongress,https://bsky.app/profile/did:plc:cxbn737q4j2jydbj43dx2x25,
OR,Patty Snow,false,false,Democratic,U.S. House,2,,Female,https://www.pattysnowforcongress.com/,,,https://www.instagram.com/pattysnowforcongress,https://www.youtube.com/@pattysnowforcongress2026,,https://bsky.app/profile/snowcat23.bsky.social,"there was no facebook, except for this, which is locked by facebook - https://www.facebook.com/lucym.osullivan.3/"
OR,Cliff Bentz,true,false,Republican,U.S. House,2,White,Male,,,,,,,,
OR,Andrea Carr,false,false,Republican,U.S. House,2,White,Female,https://andreacarr4cd2.com/,,,,,,,"this other campaign website comes up on google search, DO NOT OPEN IT. This site is not linked at all to the campaign, or anything related - https://www.andreacarrforcongress.com/team-1"
OR,Peter J Larson,false,false,Republican,U.S. House,2,White,Male,,,https://www.facebook.com/PeterLarsonforCongress/,https://www.instagram.com/peterlarsonforcongress/,,,,
OR,Andrew Castilleja,false,false,Democratic,U.S. House,3,,,,,,,,,,
OR,Maxine E Dexter,true,false,Democratic,U.S. House,3,White,Female,,,,,,,,
OR,Jessica Salas,false,false,Democratic,U.S. House,3,,Female,https://www.jsalfororegon.com/,https://x.com/jsalfororegon,https://facebook.com/profile.php?id=61581517485880,https://instagram.com/jsalfororegon,,https://tiktok.com/@jsalfororegon,https://bsky.app/profile/jsalfororegon.bsky.social,
OR,Loran Ayles,false,false,Republican,U.S. House,3,,,,,,,,,,
OR,Daniel B Bahlen,false,false,Democratic,U.S. House,4,,Male,,,https://www.facebook.com/people/Dan-Bahlen-for-US-Congress/61577949809534/,,,,,
OR,Melissa Bird,false,false,Democratic,U.S. House,4,Native American,Female,https://www.melissabirdforcongress.com/,,https://www.facebook.com/melissabirdforcongress,https://www.instagram.com/melissabirdforcongress/,https://www.youtube.com/@MelissaBirdforCongress,https://www.tiktok.com/@bird4congress,https://bsky.app/profile/bird4congress.bsky.social,
OR,Val Hoyle,true,false,Democratic,U.S. House,4,White,Female,,,,,,,,
