state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
PA,Brian Fitzpatrick,true,false,Republican,U.S. House,1,White,Male,,,,,,,,
PA,Robert J Harvie Jr.,false,false,Democratic,U.S. House,1,White,Male,https://bobharvieforcongress.com/,https://www.facebook.com/BobHarviePA/,https://www.facebook.com/BobHarviePA/,https://www.instagram.com/bobharvie_pa/,https://www.youtube.com/@BobHarvieforCongressPA01,,https://bsky.app/profile/bobharvie-pa.bsky.social,
PA,Lucia Dora Simonelli,false,false,Democratic,U.S. House,1,White,Female,https://www.luciaforcongress.com/,https://x.com/lucia4congress,https://www.facebook.com/luciaforcongress/,https://www.instagram.com/luciaforcongress,https://www.youtube.com/@LuciaforCongress/,https://www.tiktok.com/@luciaforcongress,https://bsky.app/profile/luciaforcongress.com,
PA,Brendan Boyle,true,false,Democratic,U.S. House,2,White,Male,,,,,,,,
PA,Jessica Arriaga,false,false,Republican,U.S. House,2,Other,Female,https://jessforphilly.com/,,,https://www.instagram.com/jessicaarriaga4philly/,,https://www.tiktok.com/@jess4philly,,
PA,Cole Carter,false,false,Democratic,U.S. House,3,Black,Male,https://ammsites.com/post?id=1074&c=467,,https://www.facebook.com/colecarterforcongress/,https://www.instagram.com/coleofphilly/,,https://www.tiktok.com/@colecarterforphilly,,
PA,Morgan B Cephas,false,true,Democratic,U.S. House,3,Black,Female,https://morganforphilly.com/,https://x.com/Morganforphilly/,https://www.facebook.com/people/Morganforphilly/61580339652479/,https://www.instagram.com/morganforphilly/,https://www.youtube.com/@Morgan_Cephas/,https://www.naderahgriffin4usthepeople.com/,,
PA,Jamillah NaDerah Griffin,false,false,Democratic,U.S. House,3,Black,Female,https://www.naderahgriffin4usthepeople.com/,,,https://www.instagram.com/naderahgriffin4congresspa3/,,https://www.tiktok.com/@naderahgriffin4congress3,,
PA,Shaun D Griffith,false,false,Democratic,U.S. House,3,White,Male,https://griffithforcongress.org/,https://x.com/ShaunforUSHouse,https://www.facebook.com/people/Shaun-Griffith-for-US-House/61586493226346/,https://www.instagram.com/shaunforushouse,,,,
PA,Karl Morris,false,false,Democratic,U.S. House,3,Black,Male,https://karlforcongress.us/,,,https://www.instagram.com/karlmorrispa,https://www.youtube.com/@karlmorrispa,https://www.tiktok.com/@karlmorrispa,,
PA,Dave Oxman,false,true,Democratic,U.S. House,3,White,Male,https://www.daveoxman.com/,https://x.com/drdaveforphilly,https://www.facebook.com/drdaveforphilly,https://www.instagram.com/drdaveforphilly/,https://www.youtube.com/@DrDaveForPhilly,https://www.tiktok.com/@drdaveforphilly,https://bsky.app/profile/drdaveforphilly.bsky.social,
PA,Christopher M Rabb,false,false,Democratic,U.S. House,3,Black,Male,https://www.chrisrabb.com/,https://x.com/chrisrabb,https://www.facebook.com/chrisrabbCD03/,https://www.instagram.com/chrisrabb/,https://www.youtube.com/@RabbForCongressPA3,https://www.tiktok.com/@chris.rabb,https://bsky.app/profile/did:plc:kphnazvewyibosdihcztrz5v,
PA,Ala Stanford,false,false,Democratic,U.S. House,3,Black,Female,https://stanfordforcongress.com/,https://x.com/stanfordforpa,https://www.facebook.com/people/Dr-Ala-Stanford-for-Congress/61581080985239/,https://www.instagram.com/stanfordforcongress?utm_source=qr,https://www.youtube.com/@Dr.AlaStanford,https://www.tiktok.com/@alastanford,https://bsky.app/profile/did:plc:aff2r4ni226g3pe6uatofqhh,
PA,Sharif T Street,false,false,Democratic,U.S. House,3,Black,Male,https://streetforus.com/,https://x.com/StreetForUs,https://www.facebook.com/StreetforUs/,https://www.instagram.com/sharif_street,https://www.youtube.com/@StreetForCongress,,,
PA,Madeleine Dean Cunnane,true,false,Democratic,U.S. House,4,White,Female,,,,,,,,
PA,Aurora Stuski,false,false,Republican,U.S. House,4,White,Female,,,,,,,,
PA,Mary Gay Scanlon,true,false,Democratic,U.S. House,5,White,Female,,,,,,,,
PA,Nicholas W Manganaro,false,false,Republican,U.S. House,5,White,Male,,,,,,,,
PA,Chrissy Jampoler Houlahan,true,false,Democratic,U.S. House,6,White,Female,,,,,,,,
