state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
SC,Dan Brown,false,false,Republican,U.S. House,1,White,Male,https://www.votedanbrown.com/,,https://www.facebook.com/profile.php?id=61583421777614,,,,,
SC,Jay Byars,false,false,Republican,U.S. House,1,White,Male,https://www.votejaybyars.com/,https://x.com/jaybyars,https://www.facebook.com/councilmanjaybyars,https://www.instagram.com/jaybyars_sc/,,,,
SC,Jenny Costa Honeycutt,false,false,Republican,U.S. House,1,White,Female,https://www.jennycostahoneycutt.com/,https://x.com/jennyhoneycutt,https://www.facebook.com/jennycostahoneycutt,https://www.instagram.com/jennycostahoneycutt/,https://www.youtube.com/@JennyCostaHoneycutt,,,
SC,Logan Cunningham,false,false,Republican,U.S. House,1,White,Male,https://www.logancunningham.com/,https://x.com/mr_maga1776,https://www.facebook.com/LoganCunninghamForCongress,https://www.instagram.com/logan_cunningham_countycouncil,https://www.youtube.com/@LoganCunninghamForCongress,,,
SC,Francina Dantzler,false,false,Democratic,U.S. House,1,Black,Female,,,,,,,,only info I could find on this candidate: https://abcnews4.com/news/local/francina-dantzler-emphasizes-people-first-polic
SC,Mac Deford,false,false,Democratic,U.S. House,1,White,Male,https://defordforcongress.com/,https://x.com/MacDeford,https://www.facebook.com/MacDeford,https://www.instagram.com/macdeford,https://www.youtube.com/@MacDefordForCongress,https://www.tiktok.com/@macdeford,https://bsky.app/profile/macdeford.bsky.social,
SC,Max Diaz,false,false,Democratic,U.S. House,1,White,Male,https://www.maxdiazforcongress.com/,https://x.com/VoteMaxDiaz,https://www.facebook.com/profile.php?id=61578935840866,https://www.instagram.com/vote_max_diaz_sc/,https://www.youtube.com/@VoteMaxDiaz,https://www.tiktok.com/@max_diaz_for_congress_sc,https://bsky.app/profile/vote-max-diaz.bsky.social,
SC,Tyler Dykes,false,false,Republican,U.S. House,1,White,Male,https://www.votetylersc.com/,https://x.com/Dykes4Congress,https://www.facebook.com/profile.php?id=61588038596867,https://www.instagram.com/dykes4congress,https://www.youtube.com/@TylerDykes4Congress,https://www.tiktok.com/@thetylerdykes,,
SC,Ben Frasier,false,false,Democratic,U.S. House,1,Black,Male,,,,,,,,only info: https://www.live5news.com/story/12495024/ben-frasier-for-congress/
SC,Matthew Fulmer,false,false,Democratic,U.S. House,1,White,Male,https://www.fulmerforcongress.com/,https://x.com/MattForCarolina,https://www.facebook.com/mattforcarolina/,https://www.instagram.com/mattforcarolina/,https://www.youtube.com/@mattforcarolina,https://www.tiktok.com/@mattforcarolina,,
SC,Nancy Lacore,false,false,Democratic,U.S. House,1,White,Female,https://www.nancylacore.com/,https://x.com/nancylacore,https://www.facebook.com/Nancylacore/,https://www.instagram.com/nancylacore/,https://www.youtube.com/@NancyLacore,https://www.tiktok.com/@nancy.lacore,https://bsky.app/profile/nancylacore.bsky.social,
SC,Kendal Ludden,false,false,Republican,U.S. House,1,White,Male,https://ludden4liberty.org/,https://x.com/kendalludden,https://www.facebook.com/profile.php?id=61568009679251,,,,,also: https://kendal-ludden.org/
SC,Sam McCown,false,false,Republican,U.S. House,1,White,Male,https://sammccown.com/,https://x.com/DrSamMcCown,https://www.facebook.com/McCownforCongress,https://www.instagram.com/mccownforcongress/,https://www.youtube.com/@DrSamMcCown,,,
SC,Alex Pelbath,false,false,Republican,U.S. House,1,White,Male,https://pelbathforcongress.com/,https://x.com/PelbathForSC,https://www.facebook.com/profile.php?id=61579768019800,https://www.instagram.com/pelbathforsc/,https://www.youtube.com/@PelbathForSC,,,
SC,Cindy Wagers Riley,false,false,Republican,U.S. House,1,,,,,,,,,,
SC,Mayra Rivera Vazquez,false,false,Democratic,U.S. House,1,Hispanic,Female,https://www.mayra4congress.com/,https://x.com/mayra4congress,https://www.facebook.com/MayraForCongress/,https://www.instagram.com/mayraforcongress/,https://www.youtube.com/@Mayra4Congress,https://www.tiktok.com/@mayra4congress,https://bsky.app/profile/mayra4congress.bsky.social,
SC,Mark Sanford,false,false,Republican,U.S. House,1,White,Male,https://marksanford.com/,https://marksanford.com/,https://www.facebook.com/marksanford,https://www.instagram.com/marksanford/,https://www.youtube.com/@marksanfordsc,,,not sure if some of these count
SC,Mark Smith,false,false,Republican,U.S. House,1,White,Male,https://votemarksmith.com/,https://x.com/VoteMarkSmith,https://www.facebook.com/votemarksmith/,https://www.instagram.com/votemarksmith/,https://www.youtube.com/votemarksmith,,,
SC,Joe Wilson,true,false,Republican,U.S. House,2,White,Male,,,,,,,,
SC,Sam Gibbons,false,false,Republican,U.S. House,2,White,Male,https://sam4sc.com/,https://x.com/Gibbons4SC,https://www.facebook.com/gibbons4sc,https://www.instagram.com/gibbons4sc/,,https://www.tiktok.com/@gibbons4sc,,
SC,Zyon Khalifa,false,false,Democratic,U.S. House,2,Black,Male,https://www.khalifaforcongress.com/,,https://www.facebook.com/KhalifaforCongress,https://www.instagram.com/khalifaforcongress/,,https://www.tiktok.com/@khalifaforcongres,,
SC,Roger Pruitt,false,false,Democratic,U.S. House,2,White,Male,https://www.pruitt4congress.com/,https://x.com/pruitt4sc2,https://www.facebook.com/pruitt4congress,https://www.instagram.com/pruitt4congress,https://www.youtube.com/@pruitt4congress,https://www.tiktok.com/@pruitt4congress,https://bsky.app/profile/pruitt4congress.com,
SC,Hamp Redmond,false,false,Republican,U.S. House,2,White,Male,https://www.hampredmond.com/,https://x.com/hamp_redmond,https://www.facebook.com/hamp.redmond/,https://www.instagram.com/hampredmond4congress/,https://www.youtube.com/@HampRedmond,https://www.tiktok.com/@hampredmond4congress,,
SC,David Robinson II,false,false,Democratic,U.S. House,2,Black,Male,https://davidrobinsonforcongress.com/,https://x.com/VoteDavid2026,https://www.facebook.com/davidrobinsonforcongress,https://www.instagram.com/davidrobinsonforcongress/,https://www.youtube.com/@DAVIDROBINSONIIFORCONGRESS,https://www.tiktok.com/@realdavidrobinsonii,,
SC,Daniel J Shrief,false,false,Democratic,U.S. House,2,White,Male,,,,,,,,
SC,Sheri Biggs,true,false,Republican,U.S. House,3,White,Female,,,,,,,,
SC,Eunice Lehmacher,false,false,Democratic,U.S. House,3,White,Female,https://www.euniceforsc.com/,,https://www.facebook.com/EuniceforSC/,https://www.instagram.com/euniceforsc,,,https://bsky.app/profile/euniceforsc.bsky.social,
SC,Ernest E Mackins,false,false,Democratic,U.S. House,3,Black,Male,https://www.mackinsforushouse.com/,,https://www.facebook.com/mackinsforushouse,https://www.instagram.com/mackinsforushouse,,,,also https://www.mackinsenterprises.com/
SC,William Timmons,true,false,Republican,U.S. House,4,White,Male,,,,,,,,
SC,David Atchley,false,false,Republican,U.S. House,4,White,Male,https://www.davidatchleyforcongress.com/,,https://www.facebook.com/profile.php?id=61586931675369,https://www.instagram.com/davidatchleyforcongress/,,,,
SC,Robert E Lee,false,false,Republican,U.S. House,4,White,Male,https://www.roberteleeforcongress.com/,,,,,,,
SC,Ralph Norman,true,false,Republican,U.S. House,5,White,Male,,,,,,,,
SC,Andrew Clough,false,false,Democratic,U.S. House,5,White,Male,https://www.cloughforsc5.com/,https://x.com/CloughForSC5,https://www.facebook.com/p/Vote-Andrew-Clough-SC-5-Congressional-Candidate-61577300285975/,https://www.instagram.com/cloughforsc5/,,https://www.tiktok.com/@cloughforsc5,,
SC,Mallory Dittmer,false,false,Democratic,U.S. House,5,White,Female,https://www.dittmerforcongress.com/,https://x.com/dittmerforsc,https://www.facebook.com/dittmerforcongress,https://www.instagram.com/dittmerforcongress/,https://www.youtube.com/@MalloryDittmer,,https://bsky.app/profile/dittmerforcongress.bsky.social,
SC,Jim Clyburn,true,false,Democratic,U.S. House,6,Black,Male,,,,,,,,
SC,Frederick R Goodwin,false,false,Democratic,U.S. House,6,,,,,,,,,,no info
SC,John Peterson,false,false,Republican,U.S. House,6,White,Male,https://www.johnpeterson.org/,,,,,,,
SC,Maurice Washington,false,false,Republican,U.S. House,6,,,,,,,,,,no info
SC,Russell Fry,true,false,Republican,U.S. House,7,White,Male,,,,,,,,
SC,Lindsey Graham,true,false,Republican,U.S. Senate,,White,Male,,,,,,,,
SC,Annie Andrews,false,false,Democratic,U.S. Senate,,White,Female,https://drannieandrews.com/,https://x.com/AnnieAndrewsMD,https://www.facebook.com/AnnieAndrewsMD,https://www.instagram.com/annieandrewsmd/,https://www.youtube.com/@AnnieAndrewsSC,https://www.tiktok.com/@annie.andrewsmd,https://bsky.app/profile/drannieandrews.com,
SC,Brandon P Brown,false,false,Democratic,U.S. Senate,,,Male,https://brandonpbrown.com/,https://x.com/brownforsc,https://www.facebook.com/profile.php?id=61577620127455,https://www.instagram.com/brandonbrownforsc/,,https://www.tiktok.com/@brandonbrownforsc,https://bsky.app/profile/brandonbrownforsc.bsky.social,
SC,Calvin Cowen,false,false,Republican,U.S. Senate,,,,,,,,,,,no info
SC,Paul Dans,false,false,Republican,U.S. Senate,,White,Male,https://www.pauldans.com/,https://x.com/PaulDansUSA,https://www.facebook.com/pauldansforussenate/,https://www.instagram.com/pauldansforussenate/,https://www.youtube.com/@PaulDansforUSSenate,https://www.tiktok.com/@dansforsenate,,facebook is private
