state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
UT,Luis A. Villarreal,false,false,Democratic,U.S. House,1,,Male,https://www.luisforutah.com/,https://x.com/LuisforUtah,https://www.facebook.com/profile.php?id=61583869991353,https://www.instagram.com/luisforutah/,https://www.youtube.com/@LuisForUtah,https://www.tiktok.com/@luisforutah,,
UT,Liban Mohamed,false,false,Democratic,U.S. House,1,Black,Male,https://www.libanforcongress.com/,https://x.com/liban4congress,,https://www.instagram.com/liban4congress/,https://www.youtube.com/@liban4congress,https://www.tiktok.com/@libanmohamed,,
UT,Nate Blouin,false,false,Democratic,U.S. House,1,White,Male,https://www.nateforutah.com/,https://x.com/nateforutah,https://facebook.com/nbforutah,https://instagram.com/nateforutah,https://www.youtube.com/@nateforutah,https://tiktok.com/@nateforutah,https://bsky.app/profile/nateforutah.bsky.social,"youtube is inactive, last post was 4 years ago"
UT,Eva Lopez,false,false,Democratic,U.S. House,1,Hispanic,Female,https://www.evaforutah.com/,https://x.com/evaforutah,https://www.facebook.com/Evaforutah,https://www.instagram.com/evaforutah/,https://www.youtube.com/channel/UCFTKONyLpkjLMeerZ25PE2g,https://www.tiktok.com/@evaforutah,,
UT,Michael Farrell,false,false,Democratic,U.S. House,1,White,Male,https://www.michaelforutah.com/,,https://facebook.com/michaelfarrellforcongress,https://instagram.com/farrellforcongress/,https://www.youtube.com/@farrellforcongress,https://tiktok.com/@farrellforcongress,https://bsky.app/profile/farrellforcongress.bsky.social,
UT,Ben McAdams,false,false,Democratic,U.S. House,1,White,Male,https://benmcadamsutah.com/,https://x.com/BenMcAdams,https://www.facebook.com/benmcadamsutah,https://www.instagram.com/benmcadamsforcongress/,https://www.youtube.com/channel/UCnrF_rv_I_c03rHRRr3BzWg,https://www.tiktok.com/@votemcadams,https://bsky.app/profile/benmcadams.bsky.social,
UT,Derek L Kitchen,false,true,Democratic,U.S. House,1,White,Male,,https://x.com/derekkitchen,https://www.facebook.com/kitchenforutah/,https://www.instagram.com/kitchenforutah/,https://www.youtube.com/@KitchenForUtah/featured,,,
UT,Kathleen A. Riebe,false,true,Democratic,U.S. House,1,White,Female,https://riebeforcongress.com/,https://x.com/SenatorRiebe,https://www.facebook.com/riebeforcongress/,https://www.instagram.com/sen.kathleenriebe/,,,,
UT,Dave Robinson,false,false,Republican,U.S. House,1,White,Male,https://daverobinsonutah.com/,https://x.com/DaveRobinsonUT,,,,,,
UT,Stone Fonua,false,false,Republican,U.S. House,1,,Male,,,,,,,,
UT,Riley Owen,false,false,Republican,U.S. House,1,White,Male,https://www.utahriley.com/,https://x.com/utahriley,https://www.facebook.com/people/Riley-Owen-for-Utah/61588417742948/,https://www.instagram.com/utahriley/,https://www.youtube.com/@utahriley,,,
UT,Jonathan Lopez,false,false,Republican,U.S. House,1,,,,,,,,,,
UT,Adam Clayton,false,true,Republican,U.S. House,1,,,,,,,,,,
UT,Jesse West,false,false,Libertarian,U.S. House,1,White,Male,,,,,,,,
UT,January Walker,false,false,Forward,U.S. House,1,White,Female,https://home.forwardparty.com/utahpolitician,,,,,,,massive questions about this one
UT,Jarom Gillins,false,false,Democratic,U.S. House,2,White,Male,https://www.jaromforcongress.com/,https://x.com/JaromGillins,https://www.facebook.com/p/Jarom-For-Congress-61582609032071/,https://www.instagram.com/jaromforcongress,,https://www.tiktok.com/@jaromforcongress,,
UT,Tyler Farnsworth,false,false,Democratic,U.S. House,2,White,Male,https://www.tylerfarnsworthforutah.com/,https://x.com/TFarns4UT_CD2,https://www.facebook.com/p/Tyler-Farnsworth-For-Congress-61577498497074/,https://www.instagram.com/tfarns4ut_cd2/,,,,
UT,Ian Parrish,false,false,Democratic,U.S. House,2,White,Male,https://www.ian4utah.org/,,https://www.facebook.com/profile.php?id=61587470971652,https://www.instagram.com/ian4utah/,,,,
UT,Peter Crosby,false,false,Democratic,U.S. House,2,White,Male,https://petercrosbyforcongress.org/,,https://www.facebook.com/people/Peter-Crosby-for-Congress/61583498494612/,https://www.instagram.com/petercrosbyut/,https://www.youtube.com/@PeterCrosbyforCongress,https://www.tiktok.com/@petercrosbyforcongress,,
UT,Blake D. Moore,true,false,Republican,U.S. House,2,White,Male,,,,,,,,
UT,Karianne Lisonbee,false,false,Republican,U.S. House,2,White,Female,https://www.votekarianne.com/,https://x.com/KariLisonbee,https://www.facebook.com/votekarianne/,https://www.instagram.com/kariannelisonbee,https://www.youtube.com/channel/UCGUHgE74sruHQ3j27F2pqrQ,,,
UT,Colton R Hatch,false,false,Republican,U.S. House,2,White,Female,https://www.coltonhatchut.com/,https://x.com/ColtonHatchUT,,,,,,
UT,Neil Hansen,false,false,Independent American,U.S. House,2,,Male,,,https://www.facebook.com/p/One-Neil-Hansen-100063904521348/,,,,,"there were two facebooks, here is the other - https://www.facebook.com/Rep.NeilHansen/"
UT,Carlton E. Bowen,false,false,Independent American,U.S. House,2,White,Male,https://www.carlton4ussenate.com/,https://twitter.com/Carlton4USenate,https://www.facebook.com/people/Carlton-4-US-Senate/61558114139321/,https://www.instagram.com/carlton4ussenate/,,,,"these social media sites look like they are for previous campaigns, but active"
UT,Daniel Cottam,false,false,Libertarian,U.S. House,2,White,Male,,,https://www.facebook.com/GovernorCottam/,,,,,the facebook page is for an past campaign run
UT,Kent S. Udell,false,false,Democratic,U.S. House,3,White,Male,https://www.kentudell.com/,,https://www.facebook.com/stewart.udell,,,,,
UT,Steven Merrill,false,false,Democratic,U.S. House,3,White,Male,https://www.vote4merrill.com/,,https://www.facebook.com/Vote4Merrill/,https://www.instagram.com/vote4merrill/,,https://www.tiktok.com/@vote4merrill,,
UT,Celeste Maloy,true,false,Republican,U.S. House,3,,Female,,,,,,,,
UT,Tyler Murset,false,false,Republican,U.S. House,3,,Male,https://tylermurset.com/,https://x.com/tylermurset,https://www.facebook.com/profile.php?id=61555896358347,https://www.instagram.com/tylermurset,,,,
UT,David A. Harris,false,false,Republican,U.S. House,3,White,Male,https://generalharris.com/,,,,,,,
UT,Phil Lyman,false,false,Republican,U.S. House,3,White,Male,https://lymanforutah.com/,https://x.com/prior_phil,https://www.facebook.com/PhilLymanUtah,https://www.instagram.com/phillyman_utah,https://www.youtube.com/@LymanforUtah,https://www.tiktok.com/@lymanforutah,,the tiktok was used for a run for governor
UT,Michael R. Stoddard,false,false,Libertarian,U.S. House,3,White,Male,,,,,,,,
UT,Cassie Easley,false,false,Constitution,U.S. House,3,White,Female,https://cassieforcongress.com/,https://x.com/casse4congress,https://www.facebook.com/ironcountyconstitutionparty,https://www.instagram.com/cassie_4congress/?hl=bg,,,,"the facebook is not mainly hers, but her party, and the instagram - be careful when checking"
UT,Archie Williams,false,false,Democratic,U.S. House,4,White,Male,,,,,,,,
UT,Jonny Larsen,false,false,Democratic,U.S. House,4,White,Male,https://jonnyutah4congress.com/,https://x.com/vote4jonnyutah,https://www.facebook.com/jonnyutah4congress,https://www.instagram.com/jonnyutah4congress,,https://www.tiktok.com/@jonnyutah4congress,,
UT,Seth A Stewart,false,false,Republican,U.S. House,4,White,Male,https://sethandrewstewart.com/,,https://www.facebook.com/groups/26861515750104853/,https://www.instagram.com/pygosceles/,https://www.youtube.com/@truthfromearth/featured,,,"facebook might be locked, the link is for groups he is admin of/double check the instagram is campaign"
UT,Pasitale F. Lupeamanu,false,false,Republican,U.S. House,4,,,,,,,,,,
UT,Tyrone Jensen,false,false,Republican,U.S. House,4,White,Male,https://jensen4utah.com/,https://x.com/realTyJensen,https://www.facebook.com/tyjensenelitebball/,https://www.instagram.com/jensen4utah/,https://www.youtube.com/@TyroneJensenforCongress,,,
UT,Scott Hatfield,false,false,Republican,U.S. House,4,White,Male,https://www.scottforutah.com/home,https://x.com/ScottHatfieldJr,https://www.facebook.com/scott.hatfield3,https://www.instagram.com/scotthatfieldutah/,,,,
UT,Isaiah Hardman,false,false,Republican,U.S. House,4,White,Male,https://hardmanforcongress.com/,https://x.com/hardmangohard,https://www.facebook.com/isaiah.hardman/,https://www.instagram.com/hardmanforcongress/,https://www.youtube.com/@IsaiahHardmanNR,,,"faecbook is possibly personal, but might be campaign related"
UT,Mike Kennedy,true,false,Republican,U.S. House,4,White,Male,,,,,,,,
UT,Taylor Wright,false,false,Libertarian,U.S. House,4,White,Male,https://wrightforutah.com/,https://x.com/CoachTWright87/,,https://www.instagram.com/savinghumanitypodcast/,,,,"this one was hard, this candidate runs a podcast, which shares the same social media with his campaign social media, alot of double checking is needed"
UT,Steven Burt,false,false,Unaffiliated,U.S. House,4,White,Male,https://stevenburt.com/,,https://www.facebook.com/856988594159152,https://www.instagram.com/voteforstevenburt/,,,,
