state,candidate_name,is_incumbent,withdrew,party,office,district,race,gender,website,twitter,facebook,instagram,youtube,tiktok,bluesky,notes
WV,"Britta ""Brita"" Aguirre",false,false,Democratic,U.S. House,1,White,Female,https://britforwv.com/,,https://www.facebook.com/britforwv,https://www.instagram.com/britforwv/,,https://www.tiktok.com/@britforwv,,
WV,Vince George,false,false,Democratic,U.S. House,1,White,Male,,,https://www.facebook.com/people/Vince-George-For-Congress-WV-01-District/61585501780299/#,,,,,
WV,Larry Jackson,false,false,Republican,U.S. House,1,White,Male,https://jacksonforwv.com/,,https://www.facebook.com/JacksonforWV/,,https://www.youtube.com/@LarryJacksonforWV,,,
WV,Carol Miller,true,false,Republican,U.S. House,1,White,Female,https://www.electcarolmiller.com/,https://x.com/CarolMillerWV,https://www.facebook.com/carolforcongress/?hc_ref=ARQ-WIbBkr2eRZeXlZP_FN5Cpxu17tqvzWGCcZzQO3QmJNxxiAJLP03mRyFYGxJm_3w,https://www.instagram.com/repcarolmiller/?hl=en,https://www.youtube.com/@carolforcongress3741,,,"instagram looks official, not campaign related, but could change"
WV,Ace Parsi,false,false,Democratic,U.S. House,2,,Male,https://www.aceforcongress.com/,https://x.com/AceforCongress,https://www.facebook.com/profile.php?id=61584377288489,https://www.instagram.com/aceforcongress/?e=3e45708a-c415-4089-a6ab-b31e82894504&g=5,https://www.youtube.com/@AceforCongress-q9e,https://www.tiktok.com/@aceforcongress?lang=en,,
WV,Stephanie Spears Tomana,false,false,Democratic,U.S. House,2,White,Female,,,,,,,,
WV,Steven Wendelin,false,false,Democratic,U.S. House,2,White,Male,https://wendelinforcongress.com/,https://x.com/Wendelin4WV,https://www.facebook.com/profile.php?id=61550962770186,http://instagram.com/that_sailor_for_congress,,https://www.tiktok.com/@steven_wendelin,,
WV,Riley Moore,true,false,Republican,U.S. House,2,White,Male,https://www.mooreforwv.com/,http://x.com/rileymoorewv,https://www.facebook.com/MooreforWV,https://www.instagram.com/moore4wv,,,,
WV,Thornton Cooper,false,false,Democratic,U.S. Senate,,White,Male,,,,,,,,
WV,Rachel Fetty Anderson,false,false,Democratic,U.S. Senate,,White,Female,https://www.fettyandersonforsenate.com/,,https://www.facebook.com/profile.php?id=61586342750527,https://www.instagram.com/rachelfettyanderson/,,,https://bsky.app/profile/fettyandersonforsenate.com,
WV,Jeffrey V. Kessler,false,false,Democratic,U.S. Senate,,White,Male,,,https://www.facebook.com/jeffkessler4wv/,https://www.instagram.com/jeffkessler4us_senate/,,,,
WV,Rio Phillips,false,false,Democratic,U.S. Senate,,,Male,https://www.rioforsenate.com/,http://x.com/rioforsenate,https://www.facebook.com/rioforsenate,http://instagram.com/rioforsenate,https://www.youtube.com/@RioForSenate,http://www.tiktok.com/@rioforsenate,,
WV,Zachary Shrewsbury,false,false,Democratic,U.S. Senate,,White,Male,https://www.shrewsburyforsenate.com/,https://twitter.com/zachshrewsbury,https://www.facebook.com/profile.php?id=61551725805826&mibextid=LQQJ4d,https://www.instagram.com/zachs4senate/,,https://www.tiktok.com/@shrewsbury.for.senate?_t=8gmNyTuPCxO&_r=1,,
WV,Shelley Moore Capito,true,false,Republican,U.S. Senate,,White,Female,,,,,,,,
WV,Alexander Gaaserud,false,false,Republican,U.S. Senate,,White,Male,https://gaaserud4wv.com/,https://twitter.com/AlexGaaserud4WV,https://www.facebook.com/groups/1439205683259032/,,https://youtu.be/8yiZy34-TuU,,,
WV,Bryan McKinney,false,false,Republican,U.S. Senate,,White,Male,https://www.deathtotaxes.com/,,https://www.facebook.com/bryan.mckinney.748058,,https://www.youtube.com/@Death2taxes,,,
WV,Janet McNulty,false,false,Republican,U.S. Senate,,White,Female,https://www.mcnultywv.com/,https://x.com/Janet1McNulty,https://www.facebook.com/therealJanetMcNulty/,,,,,
WV,David Purkey,false,false,Republican,U.S. Senate,,,,,,,,,,,
WV,Tom Willis,false,false,Republican,U.S. Senate,,White,Male,https://tomwillis.com/,https://x.com/TomWillisWV,https://www.facebook.com/WillisforWV,https://www.instagram.com/tomwilliswv/,https://www.youtube.com/@WillisForWV,,,
WV,Isaiah Rucker,false,false,Independent,U.S. House,1,,,,https://x.com/IsaiahRuck25691,,,,,,"there is another account for an Isaiah rucker jr, for instagram and tiktok, but they look like a completely different person"
WV,Patrick Carney,false,false,Independent,U.S. House,2,,,,,,,,,,
WV,Christopher Whitcomb,false,false,Independent,U.S. House,2,White,Male,https://groundup2026.com/,,https://www.facebook.com/people/Ground-Up-2026-Christopher-Whitcomb-for-US-House/61578363543739/,https://www.instagram.com/christopher.whitcomb/,,,,
