CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Jim Carlin,No,No,Republican,Senate,,White,Male,https://carlinforussenate.com,https://x.com/Carlin4USSenate,https://www.facebook.com/Carlin4USSenate/,https://www.instagram.com/carlin4ussenate/,99,https://www.tiktok.com/@carlin4ussenate,99,
Ashley Hinson,No,No,Republican,Senate,,White,Female,https://ashleyhinson.com,https://x.com/hinsonashley,https://www.facebook.com/AshleyHinsonIowa/,https://www.instagram.com/hinsonforhouse/?hl=en,https://www.youtube.com/channel/UCaPhZwEDLgaDU-Q4ehMSvHA,99,99,
Josh Turek,No,No,Democratic,Senate,,White,Male,https://turek4iowa.com,https://x.com/Turek4Iowa,https://www.facebook.com/Turek4Iowa,https://www.instagram.com/joshturek4iowa,https://www.youtube.com/@JoshTurek4Iowa,https://www.tiktok.com/@turek4iowa,https://bsky.app/profile/joshturek4iowa.bsky.social,
Zach Wahls,No,No,Democratic,Senate,,White,Male,https://zachwahls.com,https://x.com/zachwahls,https://www.facebook.com/zach.wahls,https://www.instagram.com/zachwahls,https://www.youtube.com/@ZachWahls,https://www.tiktok.com/@zachwahls,https://bsky.app/profile/zachwahls.bsky.social,
Mariannette Miller-Meek,Yes,No,Republican,House,1,White,Female,https://drmillermeeks.com,https://x.com/millermeeks,https://www.facebook.com/MillerMeeksIA,https://www.instagram.com/millermeeks/,https://www.youtube.com/@mariannettemiller-meeks7222,99,99,Her youtube acct. has not been used in years.
David Pautsch,No,No,Republican,House,1,White,Male,https://www.davidpautsch.com,https://x.com/DavidPautsch,https://www.facebook.com/davidpautschforuscongress,99,99,99,99,
Christina Bohannan,No,No,Democratic,House,1,White,Female,https://bohannanforcongress.com,https://x.com/BohannanIowa,https://www.facebook.com/BohannanforIowa,https://www.instagram.com/christinaforcongress/,https://www.youtube.com/@bohannanforcongress,https://www.tiktok.com/@christinabohannan,https://bsky.app/profile/bohannaniowa.bsky.social,
Travis Terrell,No,No,Democratic,House,1,White,Male,https://terrellforcongress.com,99,https://www.facebook.com/terrellforcongress,https://www.instagram.com/terrellforcongress/,99,https://www.tiktok.com/@terrellforcongress,99,
Charlie McClintock,No,No,Republican,House,2,White,Male,https://mcclintockforiowa.com,99,https://www.facebook.com/McClintockforIowa/,99,99,99,99,
Joe Mitchell,No,No,Republican,House,2,White,Male,https://joemitchell.com/about,https://x.com/joemitchelliowa,https://www.facebook.com/people/Joe-Mitchell-for-Congress/61580346786195/,https://www.instagram.com/mitchell4iowa/,https://www.youtube.com/@JoeMitchellforCongress,99,99,
Kathy Dolter,No,No,Democratic,House,2,White,Female,https://dolterforcongress.org,99,https://www.facebook.com/people/Kathryn-Dolter/pfbid02Zcwmx4JGsta6S5nS936W7yofMn5SB9fHRMPy4Y37pa8ph9GQgNyrEzrA1ncfNxEZl/,https://www.instagram.com/kathydolter/,99,99,99,
Lindsay James,No,No,Democratic,House,2,White,Female,https://www.lindsayforiowa.com,https://x.com/lindsay4iowa,https://www.facebook.com/lindsayjamesIA,https://www.instagram.com/lindsay4iowa,https://www.youtube.com/@LindsayForIowa,99,https://bsky.app/profile/lindsay4iowa.bsky.social,
Clint Twedt-Ball,No,No,Democratic,House,2,White,Male,https://clintforiowa.com,https://x.com/clintforiowa,https://www.facebook.com/clintforiowa,https://www.instagram.com/clintforiowa,https://www.youtube.com/@ClintforIowa,https://www.tiktok.com/@clintforiowa,https://bsky.app/profile/clintforiowa.bsky.social,
Zach Nunn,Yes,No,Republican,House,3,White,Male,https://zachnunn.com,https://x.com/nunnforcongress,https://www.facebook.com/ZachNunnforCongress,https://www.instagram.com/NunnForIowa/,https://www.youtube.com/@NunnforCongress,https://www.tiktok.com/@zachnunnforcongress/video/7628667846402362637,99,
Sarah Trone Garriott,No,No,Democratic,House,3,White,Female,https://sarahforiowa.com,https://x.com/SarahforIowa,https://www.facebook.com/sarahforiowa,https://www.instagram.com/sarahforiowa/?hl=en,https://www.youtube.com/@sarahforIA,https://www.tiktok.com/@sarahforiowa,https://bsky.app/profile/sarahforiowa.bsky.social,
Chris McGowan,No,No,Republican,House,4,White,Male,https://mcgowanforiowa.com,https://x.com/McGowanForIowa,https://www.facebook.com/people/McGowan-for-Iowa/61577314967973/,99,99,99,99,
Dave Dawson,No,No,Democratic,House,4,White,Male,https://davedawsonforiowa.com,99,https://www.facebook.com/davedawsonforiowa,99,99,99,99,
Stephanie Steiner,No,No,Democratic,House,4,White,Female,https://votestephaniesteinerforiowadistrict4.org,https://x.com/SteinerDist_IA4?t=CmPmaLu56tt7QZO1kitzMA&s=09,99,99,99,99,99,
Ashley WolfTornabane,No,No,Democratic,House,4,White,Female,https://www.wolftornabaneforiowa.com,99,https://www.facebook.com/Ash4Iowa/,99,99,https://www.tiktok.com/@ashleywolftornabane4iowa,99,
