CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Chellie Pingree,Yes,,Democrat,House,1,"white, non-Hispanic",Female,,,,,,,,
Joshua Pietrowicz,No,,Republican,House,1,"white, non-Hispanic",Male,https://www.joshuapietrowicz.com/,99,https://www.facebook.com/profile.php?id=100069135673062,99,99,99,99,
Ronald Russell,No,,Republican,House,1,"white, non-Hispanic",Male,https://ronrussellforcongress.com/,https://x.com/RussellForHouse/,https://www.facebook.com/RonRussellforCongress/,https://www.instagram.com/ronrussellforcongress/,99,99,99,
Joseph Baldacci,No,,Democrat,House,2,,Male,https://baldacciforcongress.com/,https://x.com/JoeBaldacci,https://www.facebook.com/baldacciforcongress/,https://www.instagram.com/joebaldacci,99,99,99,
Matthew Dunlap,No,,Democrat,House,2,"white, non-Hispanic",Male,https://www.mattdunlapforuscongress.com/,https://x.com/dunlap4congress,https://www.facebook.com/people/Matt-Dunlap-For-Congress/61581329537939/,https://www.instagram.com/mattforcongress/,https://www.youtube.com/@dunlapforcongress,https://www.tiktok.com/@mattforcongress,https://bsky.app/profile/dunlapforcongress.bsky.social,
Paige Loud,No,,Democrat,House,2,"white, non-Hispanic",Female,https://www.loudforcongress.com/,https://x.com/loudforcongress,https://www.facebook.com/loudforcongress,https://www.instagram.com/loudforcongress/,https://www.youtube.com/@loudforcongress,https://www.tiktok.com/@loudforcongress,https://bsky.app/profile/loudforcongress.com,
Jordan Wood,No,,Democrat,House,2,"white, non-Hispanic",Male,https://electjordan.com/,https://x.com/JordanWood,https://www.facebook.com/jordanwoodmaine,https://www.instagram.com/jordanwoodmaine/,https://www.youtube.com/channel/UCygY2sDZVK1fCrqeGd8IHpA,https://www.tiktok.com/@jordanwoodmaine,https://bsky.app/profile/jordanwood.bsky.social,
Paul LePage,No,,Republican,House,2,"white, non-Hispanic",Male,https://www.lepageforcongress.com/,https://x.com/MainePaulLePage,https://www.facebook.com/paullepage/,https://www.instagram.com/govpaullepage/,99,99,99,facebook is an older campaign accout for governor in 2022
David Costello,No,,Democrat,Senate,,"white, non-Hispanic",Male,https://www.costelloforsenate.com/,https://x.com/costello4senate,https://www.facebook.com/CostelloForMaine,https://www.instagram.com/costelloforsenate/,99,99,https://bsky.app/profile/davidcostello.bsky.social,
Janet Mills,No,Yes,Democrat,Senate,,"white, non-Hispanic",Female,https://janetmills.com/,https://x.com/JanetMillsforME,https://www.facebook.com/janetmillsforme,https://www.instagram.com/janetmillsforme/,https://www.youtube.com/channel/UCILNkl9D7V5UxJryRpygBHw,https://www.tiktok.com/@janetmillsforme,https://bsky.app/profile/janetmillsforme.bsky.social,
Graham Platner,No,,Democrat,Senate,,"white, non-Hispanic",Male,https://www.grahamforsenate.com/,http://x.com/grahamformaine,http://facebook.com/grahamformaine,http://instagram.com/grahamformaine,https://www.youtube.com/@grahamformaine,https://www.tiktok.com/@grahamformaine,https://bsky.app/profile/grahamformaine.bsky.social,
Andrea LaFlamme,No,,Democrat,Senate,,"white, non-Hispanic",Female,https://www.andreaformaine.com/,99,https://www.facebook.com/people/Andrea-LaFlamme/61588507985730/,https://www.instagram.com/andreaformaine/,99,99,https://bsky.app/profile/andrealaflamme.bsky.social,
Susan Collins,Yes,,Republican,Senate,,"white, non-Hispanic",Female,,,,,,,,
