CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Kelly B. Walsh,,,Republican,House,1,White,Male,https://walsh2026.com/,99,https://www.facebook.com/profile.php?id=61582041220082,99,99,99,99,
Kim David,,,Republican,House,1,White,Female,https://votekimdavid.com/,https://x.com/votekimdavid,https://www.facebook.com/votekimdavid,99,99,99,99,
Jed Cochran,,,Republican,House,1,White,Male,https://jedcochran.com/,99,99,99,https://www.youtube.com/@jedcochranforcongress,99,99,
Mark Tedford,,,Republican,House,1,White,Male,https://www.tedfordforcongress.com/,https://x.com/MarkTedfordOK,https://www.facebook.com/tedfordforoklahoma,https://www.instagram.com/tedford.mark/,99,99,99,
Dan Rooney,,,Republican,House,1,White,Male,https://www.danrooney.com/,https://x.com/LtColDanRooney,https://www.facebook.com/ltcoldanrooney13/,https://www.instagram.com/ltcoldanrooney/,99,99,99,
Courtney Gill,,,Republican,House,1,White,Female,https://okgill.com/,99,99,https://www.instagram.com/GillforOklahoma,99,99,99,
Nathan Butterfield,,,Republican,House,1,White,Male,https://nathanbutterfield.com/,https://x.com/NathanForOK,https://www.facebook.com/NathanforOK,https://www.instagram.com/nathanforOK,https://www.youtube.com/@nathanforOK,99,99,
Jackson Lahmeyer,,,Republican,House,1,White,Male,https://www.jacksonlahmeyer.com/,https://x.com/JacksonLahmeyer,https://www.facebook.com/JacksonRhodesLahmeyer/,https://www.instagram.com/jacksonlahmeyer/,https://www.youtube.com/channel/UCd8rGJ-eFPVNWshVlQZyvFg,99,99,
Nancy Dyson,,,Republican,House,1,99,99,99,99,99,99,99,99,99,no info
"Ronald Edward Durbin, II",,Yes,Republican,House,1,White,Male,https://auditthehouse.com/,https://x.com/auditthehouse,https://www.facebook.com/auditthehouse,https://www.instagram.com/auditthehouse,99,https://www.tiktok.com/@auditthehouse,https://bsky.app/profile/auditthehouse.bsky.social,not sure about some of these but he has withdrawn anyways
Todd Woods,,,Republican,House,1,99,99,99,99,99,99,99,99,99,no info
Paul Royse,,,Republican,House,1,White,Male,https://paulroyse.com/,99,https://www.facebook.com/paulroysetulsa/,99,99,99,99,
John Croisant,,,Democratic,House,1,White,Male,https://www.croisantforcongress.com/,99,https://www.facebook.com/croisantforcongress,https://www.instagram.com/johncroisant/,https://www.youtube.com/@CroisantForCongress2026,https://www.tiktok.com/@john.croisant,99,also: https://www.instagram.com/teamcroisant
Josh Brecheen,Yes,,Republican,House,2,White,Male,,,,,,,,
Will Webb,,,Republican,House,2,White,Male,https://willwebbforok.wixsite.com/willwebbforok-1,99,https://www.facebook.com/WILLWEBBFOROK/,https://www.instagram.com/willwebbforok/,99,https://www.tiktok.com/@oklahoma_will,99,
Erik Terwey,,,Democratic,House,2,White,Male,https://www.terweyforcongress.com/,https://x.com/terwey4congress,https://www.facebook.com/terweyforcongress,https://www.instagram.com/terweyforcongress,https://www.youtube.com/@terweyforcongress,https://www.tiktok.com/@terweyforcongress,https://bsky.app/profile/terweyforcongress.bsky.social,
Brandon Wade,,,Democratic,House,2,White,Male,https://brandon4congress.com/,https://x.com/Wade4OKCD2,https://www.facebook.com/brandon4congress,99,99,https://www.tiktok.com/@brandon.wadewade4,https://bsky.app/profile/brandon4congress.bsky.social,
Frank D. Lucas,Yes,,Republican,House,3,White,Male,,,,,,,,
Wade Burleson,,,Republican,House,3,White,Male,99,99,99,99,https://www.youtube.com/channel/UClApbhN2oel_Vtd9NU5RngA,99,99,only has a personal profile facebook
Jules Roberson,,,Democratic,House,3,White,Female,https://www.oklahomafight.com/,https://x.com/OklahomaFight,99,https://www.instagram.com/jules_roberson.okf/,https://www.youtube.com/@OklahomaFight,https://www.tiktok.com/@oklahoma.fight,99,
Suzie Byrd,,,Democratic,House,3,White,Female,99,99,https://www.facebook.com/SuzieByrd4Congress/,99,99,99,99,
Tom Cole,Yes,,Republican,House,4,White,Male,,,,,,,,
Marcie Everhart,,,Republican,House,4,White,Female,https://everhartforcongress.com/,https://x.com/EverhartMarcie,https://www.facebook.com/profile.php?id=61575652209640,https://www.instagram.com/marcieeverhart7415/,https://www.youtube.com/@EverhartForCongress,99,99,
Jeff Pixley,,,Democratic,House,4,White,Male,https://pixleyforcongress.com/,99,https://www.facebook.com/jeffpixleyforcongress,https://www.instagram.com/pixley4congress/,https://www.youtube.com/@pixleyforcongress,https://www.tiktok.com/@pixleyforcongress,https://bsky.app/profile/pixleyforcongress.bsky.social,
Mitchell Jacob,,,Democratic,House,4,White,Male,https://www.mitchelljacob.com/,99,https://www.facebook.com/electmitchelljacob,https://www.instagram.com/electmitchelljacob/,https://www.youtube.com/@ElectMitchellJacob,https://www.tiktok.com/@electmitchelljacob,https://bsky.app/profile/electmitchelljacob.bsky.social,
Stephanie Bice,Yes,,Republican,House,5,White,Female,,,,,,,,
Jena Nelson,,,Democratic,House,5,White,Female,https://jenanelson.com/,https://x.com/jenanelsonforok,https://www.facebook.com/Jena4OK/,https://www.instagram.com/jenanelsonok,https://www.youtube.com/@JenaNelsonforOK,https://www.tiktok.com/@jenanelsonforok,https://bsky.app/profile/jenanelson.bsky.social,
Trey Martin,,,Democratic,House,5,White,Male,https://www.treyforoklahoma.com/,https://x.com/treyforoklahoma,https://www.facebook.com/treyforoklahoma,https://www.instagram.com/treyforoklahoma,https://www.youtube.com/@treyforoklahoma,https://www.tiktok.com/@treyforoklahoma,https://bsky.app/profile/treyforoklahoma.bsky.social,
Kevin Hern,,,Republican,Senate,,White,Male,https://hernforsenate.com/,https://x.com/krhern,https://www.facebook.com/KevinRHern/,https://www.instagram.com/kevinrhern/,https://www.youtube.com/channel/UC9xqyfYJrYn7tPTm62ld-Ig,99,99,instagram and youtube are from old campaigns and have not been updated
Sean Buckner,,,Republican,Senate,,White,Male,https://auditthesenate.com/,https://x.com/AuditTheSenate,https://www.facebook.com/auditthesenate,https://www.instagram.com/auditthesenate,https://www.youtube.com/@auditthesenate,https://www.tiktok.com/@auditthesenate,https://bsky.app/profile/auditthesenate.bsky.social,
Brian Ragain,,,Republican,Senate,,White,Male,https://ragainforsenate.com/,https://x.com/ragainok,https://www.facebook.com/profile.php?id=61578431498720,99,99,99,99,
Nick Hankins,,,Republican,Senate,,White,Male,https://www.oksaysno.com/,https://x.com/indless,https://www.facebook.com/people/Nick-Hankins-for-US-Senate/61558391486848/,99,99,99,99,
Gary Ty England,,,Republican,Senate,,White,Male,https://www.garytyenglandforsenate.com/,https://x.com/TyEngland63,https://www.facebook.com/profile.php?id=61575360343088,99,99,99,99,twitter is probably personal but was on website
