CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Brian Fitzpatrick,Yes,,Republican,House,1,White,Male,,,,,,,,N/A
Robert J Harvie Jr.,,,Democrat,House,1,White,Male,https://bobharvieforcongress.com/,https://www.facebook.com/BobHarviePA/,https://www.facebook.com/BobHarviePA/,https://www.instagram.com/bobharvie_pa/,https://www.youtube.com/@BobHarvieforCongressPA01,99,https://bsky.app/profile/bobharvie-pa.bsky.social,N/A
Lucia Dora Simonelli,,,Democrat,House,1,White,Female,https://www.luciaforcongress.com/,https://x.com/lucia4congress,https://www.facebook.com/luciaforcongress/,https://www.instagram.com/luciaforcongress,https://www.youtube.com/@LuciaforCongress/,https://www.tiktok.com/@luciaforcongress,https://bsky.app/profile/luciaforcongress.com,N/A
Brendan Boyle,Yes,,Democrat,House,2,White,Male,,,,,,,,N/A
Jessica Arriaga,,,Republican,House,2,Mixed,Female,https://jessforphilly.com/,99,99,https://www.instagram.com/jessicaarriaga4philly/,,https://www.tiktok.com/@jess4philly,99,N/A
Cole Carter,,,Democrat,House,3,Black,Male,https://ammsites.com/post?id=1074&c=467,99,https://www.facebook.com/colecarterforcongress/,https://www.instagram.com/coleofphilly/,99,https://www.tiktok.com/@colecarterforphilly,99,N/A
Morgan B Cephas,,Yes,Democrat,House,3,Black,Female,https://morganforphilly.com/,https://x.com/Morganforphilly/,https://www.facebook.com/people/Morganforphilly/61580339652479/,https://www.instagram.com/morganforphilly/,https://www.youtube.com/@Morgan_Cephas/,https://www.naderahgriffin4usthepeople.com/,99,N/A
Jamillah NaDerah Griffin,,,Democrat,House,3,Black,Female,https://www.naderahgriffin4usthepeople.com/,99,99,https://www.instagram.com/naderahgriffin4congresspa3/,99,https://www.tiktok.com/@naderahgriffin4congress3,99,N/A
Shaun D Griffith,,,Democrat,House,3,White,Male,https://griffithforcongress.org/,https://x.com/ShaunforUSHouse,https://www.facebook.com/people/Shaun-Griffith-for-US-House/61586493226346/,https://www.instagram.com/shaunforushouse,99,99,99,N/A
Karl Morris,,,Democrat,House,3,Black,Male,https://karlforcongress.us/,99,99,https://www.instagram.com/karlmorrispa,https://www.youtube.com/@karlmorrispa,https://www.tiktok.com/@karlmorrispa,99,N/A
Dave Oxman,,Yes,Democrat,House,3,White,Male,https://www.daveoxman.com/,https://x.com/drdaveforphilly,https://www.facebook.com/drdaveforphilly,https://www.instagram.com/drdaveforphilly/,https://www.youtube.com/@DrDaveForPhilly,https://www.tiktok.com/@drdaveforphilly,https://bsky.app/profile/drdaveforphilly.bsky.social,N/A
Christopher M Rabb,,,Democrat,House,3,Black,Male,https://www.chrisrabb.com/,https://x.com/chrisrabb,https://www.facebook.com/chrisrabbCD03/,https://www.instagram.com/chrisrabb/,https://www.youtube.com/@RabbForCongressPA3,https://www.tiktok.com/@chris.rabb,https://bsky.app/profile/did:plc:kphnazvewyibosdihcztrz5v,N/A
Ala Stanford,,,Democrat,House,3,Black,Female,https://stanfordforcongress.com/,https://x.com/stanfordforpa,https://www.facebook.com/people/Dr-Ala-Stanford-for-Congress/61581080985239/,https://www.instagram.com/stanfordforcongress?utm_source=qr,https://www.youtube.com/@Dr.AlaStanford,https://www.tiktok.com/@alastanford,https://bsky.app/profile/did:plc:aff2r4ni226g3pe6uatofqhh,N/A
