CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Dan Brown,,,Republican,House,1,White,Male,https://www.votedanbrown.com/,99,https://www.facebook.com/profile.php?id=61583421777614,99,99,99,99,
Jay Byars,,,Republican,House,1,White,Male,https://www.votejaybyars.com/,https://x.com/jaybyars,https://www.facebook.com/councilmanjaybyars,https://www.instagram.com/jaybyars_sc/,99,99,99,
Jenny Costa Honeycutt,,,Republican,House,1,White,Female,https://www.jennycostahoneycutt.com/,https://x.com/jennyhoneycutt,https://www.facebook.com/jennycostahoneycutt,https://www.instagram.com/jennycostahoneycutt/,https://www.youtube.com/@JennyCostaHoneycutt,99,99,
Logan Cunningham,,,Republican,House,1,White,Male,https://www.logancunningham.com/,https://x.com/mr_maga1776,https://www.facebook.com/LoganCunninghamForCongress,https://www.instagram.com/logan_cunningham_countycouncil,https://www.youtube.com/@LoganCunninghamForCongress,99,99,
Francina Dantzler,,,Democratic,House,1,Black,Female,99,99,99,99,99,99,99,only info I could find on this candidate: https://abcnews4.com/news/local/francina-dantzler-emphasizes-people-first-polic
Mac Deford,,,Democratic,House,1,White,Male,https://defordforcongress.com/,https://x.com/MacDeford,https://www.facebook.com/MacDeford,https://www.instagram.com/macdeford,https://www.youtube.com/@MacDefordForCongress,https://www.tiktok.com/@macdeford,https://bsky.app/profile/macdeford.bsky.social,
Max Diaz,,,Democratic,House,1,White,Male,https://www.maxdiazforcongress.com/,https://x.com/VoteMaxDiaz,https://www.facebook.com/profile.php?id=61578935840866,https://www.instagram.com/vote_max_diaz_sc/,https://www.youtube.com/@VoteMaxDiaz,https://www.tiktok.com/@max_diaz_for_congress_sc,https://bsky.app/profile/vote-max-diaz.bsky.social,
Tyler Dykes,,,Republican,House,1,White,Male,https://www.votetylersc.com/,https://x.com/Dykes4Congress,https://www.facebook.com/profile.php?id=61588038596867#,https://www.instagram.com/dykes4congress,https://www.youtube.com/@TylerDykes4Congress,https://www.tiktok.com/@thetylerdykes,99,
Ben Frasier,,,Democratic,House,1,Black,Male,99,99,99,99,99,99,99,only info: https://www.live5news.com/story/12495024/ben-frasier-for-congress/
Matthew Fulmer,,,Democratic,House,1,White,Male,https://www.fulmerforcongress.com/,https://x.com/MattForCarolina,https://www.facebook.com/mattforcarolina/,https://www.instagram.com/mattforcarolina/,https://www.youtube.com/@mattforcarolina,https://www.tiktok.com/@mattforcarolina,99,
Nancy Lacore,,,Democratic,House,1,White,Female,https://www.nancylacore.com/,https://x.com/nancylacore,https://www.facebook.com/Nancylacore/,https://www.instagram.com/nancylacore/,https://www.youtube.com/@NancyLacore,https://www.tiktok.com/@nancy.lacore,https://bsky.app/profile/nancylacore.bsky.social,
Kendal Ludden,,,Republican,House,1,White,Male,https://ludden4liberty.org/,https://x.com/kendalludden,https://www.facebook.com/profile.php?id=61568009679251,99,99,99,99,also: https://kendal-ludden.org/ 
Sam McCown,,,Republican,House,1,White,Male,https://sammccown.com/,https://x.com/DrSamMcCown,https://www.facebook.com/McCownforCongress,https://www.instagram.com/mccownforcongress/,https://www.youtube.com/@DrSamMcCown,99,99,
Alex Pelbath,,,Republican,House,1,White,Male,https://pelbathforcongress.com/,https://x.com/PelbathForSC,https://www.facebook.com/profile.php?id=61579768019800,https://www.instagram.com/pelbathforsc/,https://www.youtube.com/@PelbathForSC,99,99,
Cindy Wagers Riley,,,Republican,House,1,99,99,99,99,99,99,99,99,99,
Mayra Rivera Vazquez,,,Democratic,House,1,Hispanic,Female,https://www.mayra4congress.com/,https://x.com/mayra4congress,https://www.facebook.com/MayraForCongress/,https://www.instagram.com/mayraforcongress/,https://www.youtube.com/@Mayra4Congress,https://www.tiktok.com/@mayra4congress,https://bsky.app/profile/mayra4congress.bsky.social,
Mark Sanford,,,Republican,House,1,White,Male,https://marksanford.com/,https://marksanford.com/,https://www.facebook.com/marksanford,https://www.instagram.com/marksanford/,https://www.youtube.com/@marksanfordsc,99,99,not sure if some of these count
Mark Smith,,,Republican,House,1,White,Male,https://votemarksmith.com/,https://x.com/VoteMarkSmith,https://www.facebook.com/votemarksmith/,https://www.instagram.com/votemarksmith/,https://www.youtube.com/votemarksmith,99,99,
Joe Wilson,Yes,,Republican,House,2,White,Male,,,,,,,,
Sam Gibbons,,,Republican,House,2,White,Male,https://sam4sc.com/,https://x.com/Gibbons4SC,https://www.facebook.com/gibbons4sc,https://www.instagram.com/gibbons4sc/,99,https://www.tiktok.com/@gibbons4sc,99,
Zyon Khalifa,,,Democratic,House,2,Black,Male,https://www.khalifaforcongress.com/,99,https://www.facebook.com/KhalifaforCongress,https://www.instagram.com/khalifaforcongress/,99,https://www.tiktok.com/@khalifaforcongres,99,
Roger Pruitt,,,Democratic,House,2,White,Male,https://www.pruitt4congress.com/,https://x.com/pruitt4sc2,https://www.facebook.com/pruitt4congress,https://www.instagram.com/pruitt4congress,https://www.youtube.com/@pruitt4congress,https://www.tiktok.com/@pruitt4congress,https://bsky.app/profile/pruitt4congress.com,
Hamp Redmond,,,Republican,House,2,White,Male,https://www.hampredmond.com/,https://x.com/hamp_redmond,https://www.facebook.com/hamp.redmond/,https://www.instagram.com/hampredmond4congress/,https://www.youtube.com/@HampRedmond,https://www.tiktok.com/@hampredmond4congress,99,
David Robinson II,,,Democratic,House,2,Black,Male,https://davidrobinsonforcongress.com/,https://x.com/VoteDavid2026,https://www.facebook.com/davidrobinsonforcongress,https://www.instagram.com/davidrobinsonforcongress/,https://www.youtube.com/@DAVIDROBINSONIIFORCONGRESS,https://www.tiktok.com/@realdavidrobinsonii,99,
Daniel J Shrief,,,Democratic,House,2,White,Male,99,99,99,99,99,99,99,
Sheri Biggs,Yes,,Republican,House,3,White,Female,,,,,,,,
Eunice Lehmacher,,,Democratic,House,3,White,Female,https://www.euniceforsc.com/,99,https://www.facebook.com/EuniceforSC/,https://www.instagram.com/euniceforsc,99,99,https://bsky.app/profile/euniceforsc.bsky.social,
Ernest E Mackins,,,Democratic,House,3,Black,Male,https://www.mackinsforushouse.com/,99,https://www.facebook.com/mackinsforushouse,https://www.instagram.com/mackinsforushouse,99,99,99,also https://www.mackinsenterprises.com/
William Timmons,Yes,,Republican,House,4,White,Male,,,,,,,,
David Atchley,,,Republican,House,4,White,Male,https://www.davidatchleyforcongress.com/,99,https://www.facebook.com/profile.php?id=61586931675369,https://www.instagram.com/davidatchleyforcongress/,99,99,99,
Robert E Lee,,,Republican,House,4,White,Male,https://www.roberteleeforcongress.com/,99,99,99,99,99,99,
Ralph Norman,Yes,,Republican,House,5,White,Male,,,,,,,,
Andrew Clough,,,Democratic,House,5,White,Male,https://www.cloughforsc5.com/,https://x.com/CloughForSC5,https://www.facebook.com/p/Vote-Andrew-Clough-SC-5-Congressional-Candidate-61577300285975/,https://www.instagram.com/cloughforsc5/,99,https://www.tiktok.com/@cloughforsc5,99,
Mallory Dittmer,,,Democratic,House,5,White,Female,https://www.dittmerforcongress.com/,https://x.com/dittmerforsc,https://www.facebook.com/dittmerforcongress,https://www.instagram.com/dittmerforcongress/,https://www.youtube.com/@MalloryDittmer,99,https://bsky.app/profile/dittmerforcongress.bsky.social,
Jim Clyburn,Yes,,Democratic,House,6,Black,Male,,,,,,,,
Frederick R Goodwin,,,Democratic,House,6,99,99,99,99,99,99,99,99,99,no info
John Peterson,,,Republican,House,6,White,Male,https://www.johnpeterson.org/,99,99,99,99,99,99,
Maurice Washington,,,Republican,House,6,99,99,99,99,99,99,99,99,99,no info
Russell Fry,Yes,,Republican,House,7,White,Male,,,,,,,,
Lindsey Graham,Yes,,Republican,Senate,,White,Male,,,,,,,,
Annie Andrews,,,Democratic,Senate,,White,Female,https://drannieandrews.com/,https://x.com/AnnieAndrewsMD,https://www.facebook.com/AnnieAndrewsMD,https://www.instagram.com/annieandrewsmd/,https://www.youtube.com/@AnnieAndrewsSC,https://www.tiktok.com/@annie.andrewsmd,https://bsky.app/profile/drannieandrews.com,
