CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Luis A. Villarreal,No,,Democrat,House,1,99,Male,https://www.luisforutah.com/,https://x.com/LuisforUtah,https://www.facebook.com/profile.php?id=61583869991353#,https://www.instagram.com/luisforutah/,https://www.youtube.com/@LuisForUtah,https://www.tiktok.com/@luisforutah,99,
Liban Mohamed,No,,Democrat,House,1,black,Male,https://www.libanforcongress.com/,https://x.com/liban4congress,99,https://www.instagram.com/liban4congress/,https://www.youtube.com/@liban4congress,https://www.tiktok.com/@libanmohamed,99,
Nate Blouin,No,,Democrat,House,1,"white, non-Hispanic",Male,https://www.nateforutah.com/,https://x.com/nateforutah,https://facebook.com/nbforutah,https://instagram.com/nateforutah,https://www.youtube.com/@nateforutah,https://tiktok.com/@nateforutah,https://bsky.app/profile/nateforutah.bsky.social,"youtube is inactive, last post was 4 years ago"
Eva Lopez,No,,Democrat,House,1,hispanic,Female,https://www.evaforutah.com/,https://x.com/evaforutah,https://www.facebook.com/Evaforutah,https://www.instagram.com/evaforutah/,https://www.youtube.com/channel/UCFTKONyLpkjLMeerZ25PE2g,https://www.tiktok.com/@evaforutah,99,
Michael Farrell,No,,Democrat,House,1,"white, non-Hispanic",Male,https://www.michaelforutah.com/,99,https://facebook.com/michaelfarrellforcongress,https://instagram.com/farrellforcongress/,https://www.youtube.com/@farrellforcongress,https://tiktok.com/@farrellforcongress,https://bsky.app/profile/farrellforcongress.bsky.social,
Ben McAdams,No,,Democrat,House,1,"white, non-Hispanic",Male,https://benmcadamsutah.com/,https://x.com/BenMcAdams,https://www.facebook.com/benmcadamsutah,https://www.instagram.com/benmcadamsforcongress/,https://www.youtube.com/channel/UCnrF_rv_I_c03rHRRr3BzWg,https://www.tiktok.com/@votemcadams,https://bsky.app/profile/benmcadams.bsky.social,
Derek L Kitchen,No,Yes,Democrat,House,1,"white, non-Hispanic",Male,99,https://x.com/derekkitchen,https://www.facebook.com/kitchenforutah/,https://www.instagram.com/kitchenforutah/,https://www.youtube.com/@KitchenForUtah/featured,99,99,
Kathleen A. Riebe,No,Yes,Democrat,House,1,"white, non-Hispanic",Female,https://riebeforcongress.com/,https://x.com/SenatorRiebe,https://www.facebook.com/riebeforcongress/,https://www.instagram.com/sen.kathleenriebe/,99,99,99,
Dave Robinson,No,,Republican,House,1,"white, non-Hispanic",Male,https://daverobinsonutah.com/,https://x.com/DaveRobinsonUT,99,99,99,99,99,
Stone Fonua,No,,Republican,House,1,99,Male,99,99,99,99,99,99,99,
Riley Owen,No,,Republican,House,1,"white, non-Hispanic",Male,https://www.utahriley.com/,https://x.com/utahriley,https://www.facebook.com/people/Riley-Owen-for-Utah/61588417742948/,https://www.instagram.com/utahriley/,https://www.youtube.com/@utahriley,99,99,
Jonathan Lopez,No,,Republican,House,1,99,99,99,99,99,99,99,99,99,
Adam Clayton,No,Yes,Republican,House,1,99,99,99,99,99,99,99,99,99,
Jesse West,No,,Libertarian,House,1,"white, non-Hispanic",Male,99,99,99,99,99,99,99,
January Walker,No,,Forward,House,1,"white, non-Hispanic",Female,https://home.forwardparty.com/utahpolitician,,99,,99,,99,massive questions about this one
Jarom Gillins,No,,Democrat,House,2,"white, non-Hispanic",Male,https://www.jaromforcongress.com/,https://x.com/JaromGillins,https://www.facebook.com/p/Jarom-For-Congress-61582609032071/,https://www.instagram.com/jaromforcongress,99,https://www.tiktok.com/@jaromforcongress,99,
Tyler Farnsworth,No,,Democrat,House,2,"white, non-Hispanic",Male,https://www.tylerfarnsworthforutah.com/,https://x.com/TFarns4UT_CD2,https://www.facebook.com/p/Tyler-Farnsworth-For-Congress-61577498497074/,https://www.instagram.com/tfarns4ut_cd2/,99,99,99,
Ian Parrish,No,,Democrat,House,2,"white, non-Hispanic",Male,https://www.ian4utah.org/,99,https://www.facebook.com/profile.php?id=61587470971652,https://www.instagram.com/ian4utah/,99,99,99,
Peter Crosby,No,,Democrat,House,2,"white, non-Hispanic",Male,https://petercrosbyforcongress.org/,99,https://www.facebook.com/people/Peter-Crosby-for-Congress/61583498494612/,https://www.instagram.com/petercrosbyut/,https://www.youtube.com/@PeterCrosbyforCongress,https://www.tiktok.com/@petercrosbyforcongress,99,
Blake D. Moore,Yes,,Republican,House,2,"white, non-Hispanic",Male,,,,,,,,
Karianne Lisonbee,No,,Republican,House,2,"white, non-Hispanic",Female,https://www.votekarianne.com/,https://x.com/KariLisonbee,https://www.facebook.com/votekarianne/,https://www.instagram.com/kariannelisonbee,https://www.youtube.com/channel/UCGUHgE74sruHQ3j27F2pqrQ,99,99,
Colton R Hatch,No,,Republican,House,2,"white, non-Hispanic",Female,https://www.coltonhatchut.com/,https://x.com/ColtonHatchUT,99,99,99,99,99,
Neil Hansen,No,,Independent American,House,2,99,Male,99,99,https://www.facebook.com/p/One-Neil-Hansen-100063904521348/,99,99,99,99,"there were two facebooks, here is the other - https://www.facebook.com/Rep.NeilHansen/"
Carlton E. Bowen,No,,Independent American,House,2,"white, non-Hispanic",Male,https://www.carlton4ussenate.com/,https://twitter.com/Carlton4USenate,https://www.facebook.com/people/Carlton-4-US-Senate/61558114139321/,https://www.instagram.com/carlton4ussenate/,99,99,99,"these social media sites look like they are for previous campaigns, but active "
Daniel Cottam,No,,Libertarian,House,2,"white, non-Hispanic",Male,99,99,https://www.facebook.com/GovernorCottam/,99,99,99,99,the facebook page is for an past campaign run
Kent S. Udell,No,,Democrat,House,3,"white, non-Hispanic",Male,https://www.kentudell.com/,99,https://www.facebook.com/stewart.udell,99,99,99,99,
Steven Merrill,No,,Democrat,House,3,"white, non-Hispanic",Male,https://www.vote4merrill.com/,99,https://www.facebook.com/Vote4Merrill/,https://www.instagram.com/vote4merrill/,99,https://www.tiktok.com/@vote4merrill,99,
Celeste Maloy,Yes,,Republican,House,3,99,Female,,,,,,,,
Tyler Murset,No,,Republican,House,3,99,Male,https://tylermurset.com/,https://x.com/tylermurset,https://www.facebook.com/profile.php?id=61555896358347,https://www.instagram.com/tylermurset,99,99,99,
David A. Harris,No,,Republican,House,3,"white, non-Hispanic",Male,https://generalharris.com/,99,99,99,99,99,99,
Phil Lyman,No,,Republican,House,3,"white, non-Hispanic",Male,https://lymanforutah.com/,https://x.com/prior_phil,https://www.facebook.com/PhilLymanUtah,https://www.instagram.com/phillyman_utah,https://www.youtube.com/@LymanforUtah,https://www.tiktok.com/@lymanforutah,99,the tiktok was used for a run for governor
Michael R. Stoddard,No,,Libertarian,House,3,"white, non-Hispanic",Male,99,99,99,99,99,99,99,
Cassie Easley,No,,Constitution,House,3,"white, non-Hispanic",Female,https://cassieforcongress.com/,https://x.com/casse4congress,https://www.facebook.com/ironcountyconstitutionparty,https://www.instagram.com/cassie_4congress/?hl=bg,99,99,99,"the facebook is not mainly hers, but her party, and the instagram - be careful when checking"
Archie Williams,No,,Democrat,House,4,"white, non-Hispanic",Male,99,99,99,99,99,99,99,
Jonny Larsen,No,,Democrat,House,4,"white, non-Hispanic",Male,https://jonnyutah4congress.com/,https://x.com/vote4jonnyutah,https://www.facebook.com/jonnyutah4congress,https://www.instagram.com/jonnyutah4congress,99,https://www.tiktok.com/@jonnyutah4congress,99,
Seth A Stewart,No,,Republican,House,4,"white, non-Hispanic",Male,https://sethandrewstewart.com/,99,https://www.facebook.com/groups/26861515750104853/,https://www.instagram.com/pygosceles/,https://www.youtube.com/@truthfromearth/featured,99,99,"facebook might be locked, the link is for groups he is admin of/double check the instagram is campaign"
Pasitale F. Lupeamanu,No,,Republican,House,4,99,99,99,99,99,99,99,99,99,
Tyrone Jensen,No,,Republican,House,4,"white, non-Hispanic",Male,https://jensen4utah.com/,https://x.com/realTyJensen,https://www.facebook.com/tyjensenelitebball/,https://www.instagram.com/jensen4utah/,https://www.youtube.com/@TyroneJensenforCongress,99,99,
Scott Hatfield,No,,Republican,House,4,"white, non-Hispanic",Male,https://www.scottforutah.com/home,https://x.com/ScottHatfieldJr,https://www.facebook.com/scott.hatfield3,https://www.instagram.com/scotthatfieldutah/,99,99,99,
Isaiah Hardman,No,,Republican,House,4,"white, non-Hispanic",Male,https://hardmanforcongress.com/,https://x.com/hardmangohard,https://www.facebook.com/isaiah.hardman/,https://www.instagram.com/hardmanforcongress/,https://www.youtube.com/@IsaiahHardmanNR,99,99,"faecbook is possibly personal, but might be campaign related"
Mike Kennedy,Yes,,Republican,House,4,"white, non-Hispanic",Male,,,,,,,,
Taylor Wright,No,,Libertarian,House,4,"white, non-Hispanic",Male,https://wrightforutah.com/,https://x.com/CoachTWright87/,99,https://www.instagram.com/savinghumanitypodcast/,99,99,99,"this one was hard, this candidate runs a podcast, which shares the same social media with his campaign social media, alot of double checking is needed"
Steven Burt,No,,Unaffiliated,House,4,"white, non-Hispanic",Male,https://stevenburt.com/,99,https://www.facebook.com/856988594159152,https://www.instagram.com/voteforstevenburt/,99,99,99,
