CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Frank J. Mrvan,X,,D,House,1,White,M,,,,,,,,Incumbent
LaVetta Sparks-Wade,,,D,House,1,Black,F,99,99,99,99,99,99,99,N/A
Richard Benedict (Sieg Heil) Mayers,,,R,House,1,White,M,99,99,99,99,99,99,99,Okay.
Barb Regnitz,,,R,House,1,White,F,https://barbregnitzforcongress.com/,https://x.com/BarbRegnitz,https://www.facebook.com/people/Barb-Regnitz-for-Congress/61582929778613/,https://www.instagram.com/barbregnitzforcongress/,https://www.youtube.com/channel/UCvUUWYTl4AXo3ne_jfyHYhQ,99,99,N/A
Ben Ruiz,,,R,House,1,Hispanic,M,https://www.benruizforcongress.com/,https://x.com/RealBenRuiz,https://www.facebook.com/benruizforcongress/,https://www.instagram.com/benruizforcongress,99,99,99,N/A
James Kent (Jim) Schenke,,,R,House,1,White,M,https://schenkeforcongress.com/,https://x.com/JamesSchenke,https://www.facebook.com/JimSchenke/,https://www.instagram.com/schenkeforcongress/,https://www.youtube.com/@SchenkeForCongress,99,99,N/A
Rudy Yakym,X,,R,House,2,White,M,,,,,,,,Incumbent
Jamee Decio,,,D,House,2,White,F,https://decioforcongress.com/,99,https://www.facebook.com/people/Decio-For-Congress/61582641874935/,https://www.instagram.com/decioforcongress/,https://www.youtube.com/channel/UChSgegWWwQLwZsweGKwSDJA,99,99,N/A
Shaun Michael Maeyens,,,D,House,2,Not Sure,M,99,99,99,99,99,99,99,N/A
Marlin A. Stutzman,X,,R,House,3,White,M,,,,,,,,Incumbent
Kelly Thompson,,,D,House,3,White,F,https://www.kellythompsonforcongress.com/,https://x.com/KellyForIN03,https://www.facebook.com/kellyforcongress,https://www.instagram.com/kellythompsonforcongress/,99,https://www.tiktok.com/@kelly.for.indiana,99,N/A
Jon M. Kenworthy,,,R,House,3,White,M,99,99,https://www.facebook.com/p/Jon-Kenworthy-for-Congress-100092435948405/,99,99,99,99,"He has other social media accounts, but they haven't been updated since his 2024 run."
Jim Baird,X,,R,House,4,White,M,,,,,,,,Incumbent
Drew Cox,,,D,House,4,White,M,https://www.drewcox.org/,https://x.com/officialdrewcox,https://www.facebook.com/drewcoxforcongress/,https://www.instagram.com/drewcox4indiana,99,https://www.tiktok.com/@officialdrewcox,99,N/A
Roger D. Day,,,D,House,4,White,M,99,https://x.com/DayForCongress,https://www.facebook.com/dayforcongress/,99,99,99,99,N/A
Darin Patrick Griesey,,,D,House,4,White,M,https://darinpatrick.com/,99,https://www.facebook.com/people/Griesey-for-Congress/61586333789332/,https://www.instagram.com/grieseyforcongress,https://www.youtube.com/channel/UChbiBTi_xNuPjycniFZoOzw,https://www.tiktok.com/@darinpatrick,99,N/A
"Thomas D. Hall, Jr.",,,D,House,4,White,M,https://electthomas.com/,https://x.com/TDHJROFFICIAL,https://www.facebook.com/ThomasDHallJrOfficial/,https://www.instagram.com/thomasdhalljrofficial,https://www.youtube.com/@thomasdhalljrofficial,https://www.tiktok.com/@thomasdhalljrofficial,https://bsky.app/profile/electthomas.com,N/A
Robert Walter Lovely,,,D,House,4,White,M,99,99,99,99,https://www.youtube.com/@12013-y,99,99,"Policies: Mandatory voting, and if you vote Republican, you go to a re-education camp. I'm not kidding. "
Joe Mackey,,,D,House,4,White,M,https://joe4hoosiers.org/,99,https://www.facebook.com/people/Joe4hoosiersorg/61586939040279/,99,99,99,https://bsky.app/profile/joe4hoosiers.bsky.social,"He has other social media accounts, but they haven't been updated since his 2022 run."
Jayden McCash,,,D,House,4,Not Sure,M,99,99,99,99,99,99,99,N/A
Paul McPherson,,,D,House,4,Not Sure,M,99,99,99,99,99,99,99,N/A
John Phillip Whetstone,,,D,House,4,White,M,https://www.whetstoneforcongress.com/,https://x.com/johnPwhetstone,https://www.facebook.com/people/John-Whetstone-for-Congress/61580323941957/,https://www.instagram.com/whetstone4congress/,99,99,99,N/A
Craig Haggard,,,R,House,4,White,M,https://www.haggardforcongress.com/,https://x.com/HaggardforRep57,https://www.facebook.com/hoosiersforhaggard,https://www.instagram.com/hoosiersforhaggard/,https://www.youtube.com/@haggardforcongress,99,99,N/A
John Piper,,,R,House,4,White,M,99,99,99,99,99,99,99,He has a weird online presence that includes some references to Congressional runs but I can find nothing from this cycle. 
Victoria Spartz,X,,R,House,5,White,F,,,,,,,,Incumbent
Steven Avitabile Avit,,,D,House,5,White,M,https://steveavit.com/,99,https://www.facebook.com/steveavitforcongress/,99,99,99,99,N/A
J.D. Ford,,,D,House,5,White,M,https://www.electjdford.com/,99,99,https://www.instagram.com/jdfordforcongress,https://www.youtube.com/@electjdford,99,99,N/A
Jackson Franklin,,,D,House,5,White,M,https://jacksonfranklinforcongress.com/,https://x.com/jacksonfrankli,https://www.facebook.com/franklinforcongress/,https://www.instagram.com/jacksonfranklinforcongress/,https://www.youtube.com/@JacksonFranklinForCongress,https://www.tiktok.com/@jacksonfrankli,https://bsky.app/profile/jacksonfranklin.bsky.social,N/A
Phil Goss,,,D,House,5,White,M,99,99,99,99,99,99,99,"He has other social media accounts, but they haven't been updated since his 2024 run."
Dylan McKenna,,,D,House,5,Not Sure,M,99,99,99,99,99,99,99,This guy is running his campaign out of the Notre Dame sports forums.
Tara Nelson,,,D,House,5,White,F,https://taranelsoncongress.com/,99,99,https://www.instagram.com/tnelson.0,99,99,99,N/A
Deborah A Pickett,,,D,House,5,White,F,https://pickettforcongress.com/,99,99,99,99,99,99,"She has other social media accounts, but they haven't been updated since her 2024 run."
Scott A. King,,,R,House,5,White,M,99,https://x.com/ScottyK317,99,https://www.instagram.com/scottanthony_317/,99,99,99,N/A
Jefferson Shreve,,,R,House,6,White,M,,,,,,,,Incumbent
William Kory Amyx,,,D,House,6,White,M,https://amyxforcongress.com/,https://x.com/AmyxForCongress,https://www.facebook.com/p/Amyx-For-Congress-61577026380249/,https://www.instagram.com/williamkoryamyx/,99,https://www.tiktok.com/@amyxforcongress,99,N/A
Nicholas Frederick Baker,,,D,House,6,White,M,https://electnickbaker.com/,99,99,https://www.instagram.com/nickbakerforcongress/,99,99,99,N/A
David Lawrence Boyd,,,D,House,6,Black,M,https://davidlboyd.com/,https://x.com/DavidLBoyd,https://www.facebook.com/people/David-Boyd-For-Congress/61586805194834/,https://www.instagram.com/david_lboyd/,https://www.youtube.com/@DavidLBoyd,https://www.tiktok.com/@david_lboyd,99,N/A
Cynthia Cinde Wirth,,,D,House,6,White,F,https://wirth4congress.com/,https://x.com/cwirth4congress,https://www.facebook.com/cwirth4congress,https://www.instagram.com/wirth4congress,99,https://www.tiktok.com/@cindewirth4in,99,"There's a nonbinary flag in her Twitter PFP but I'm going to stick with ""F"" since she uses exclusively she/her pronouns and female terms for herself."
Sarah Janisse Brown,,,R,House,6,Not Sure,F,99,99,99,99,99,99,99,N/A
AndrÈ Carson,X,,D,House,7,Black,M,,,,,,,,Incumbent
Denise Paul Hatch,,,D,House,7,Black,F,99,99,99,99,99,99,99,N/A
George Hornedo,,,D,House,7,Hispanic,M,https://www.georgehornedo.com/,https://x.com/GeorgeHornedo,99,https://www.instagram.com/georgehornedo/,https://www.youtube.com/@georgehornedo,https://www.tiktok.com/@georgehornedo,https://bsky.app/profile/georgehornedo.bsky.social,N/A
Pierre Quincy Pullins,X,,D,House,7,Black,M,99,99,99,99,99,99,99,N/A
Destiny Wells,,,D,House,7,White,F,99,https://x.com/thedestinywells,https://www.facebook.com/wellsforindiana,https://www.instagram.com/wellsforindiana,99,99,99,N/A
Patrick McAuley,,,R,House,7,Not Sure,M,99,99,99,99,99,99,99,N/A
Felipe Rios,,,R,House,7,Hispanic,M,99,99,99,99,99,99,99,"He's running for seventeen quadrillion different offices at once, including president, but none of his social media presence mentions Congress."
Mark Messmer,X,,R,House,8,White,M,,,,,,,,Incumbent
Mary Allen,,,D,House,8,White,F,https://www.maryallenforcongress.com/,99,https://www.facebook.com/people/Mary-Allen-for-Congress/61578949239875/,https://www.instagram.com/maryallenforcongress,https://www.tiktok.com/@maryallenforcongr,https://www.youtube.com/@MaryAllenForCongress/videos,99,N/A
Mario Foradori,,,D,House,8,White,M,99,99,99,https://www.instagram.com/marioforadoriforcongress/,99,https://www.tiktok.com/@marioforadoriforcongress,99,N/A
Christopher Rector,,,D,House,8,White,M,https://7evenforcongress.com/,https://x.com/cdrectorauthor,https://www.facebook.com/p/Christopher-Rector-for-Congress-61580131125294/,99,99,99,99,N/A
Tabitha Zeigler,,,D,House,8,White,F,99,99,99,99,99,99,99,Large social media presence. Nothing about Congress.
Erin Houchin,X,,R,House,9,White,F,,,,,,,,Incumbent
James H. (Jim) Graham,,,D,House,9,White,M,https://www.jimgrahamforcongress.com/,https://x.com/JimGraham4IN,https://www.facebook.com/JimGrahamForCongress/,https://www.instagram.com/grahamforcongress/,99,99,https://bsky.app/profile/jimgraham4in.bsky.social,N/A
Brad A. Meyer,,,D,House,9,White,M,https://bradmeyer.org/,https://x.com/BMeyer4Congress,https://www.facebook.com/bradmeyerforindiana/,https://www.instagram.com/bradmeyerforindiana/,https://www.youtube.com/@BradMeyer4congress,99,https://bsky.app/profile/bradmeyer4congress.bsky.social,N/A
Tim Peck,,,D,House,9,White,M,https://timpeckforcongress.com/,https://x.com/TimPeckforCong,https://www.facebook.com/timpeckforcongress,https://www.instagram.com/timpeckforcongress,https://www.youtube.com/@TimPeckForCong/shorts,https://www.tiktok.com/@tim.peck.for.cong,https://bsky.app/profile/timpeckforcongress.bsky.social,N/A
Keil L. Roark,,,D,House,9,White,M,https://www.keilroark.com/,99,https://www.facebook.com/Keil4Indiana/,https://www.instagram.com/keilroarkforcongress/,99,99,99,N/A
