CandidateName,Incumbent,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Nick Albares,,Democrat,Senate,,White,Male,https://www.nickforlouisiana.com/,99,99,https://www.instagram.com/nickalbares4louisiana/,99,99,99,
Gary Crockett,,Democrat,Senate,,Black,Male,99,99,99,99,99,99,99,only personal accounts
Jamie Davis,,Democrat,Senate,,Black,Male,https://www.jamieforlouisiana.com/,99,https://www.facebook.com/jamieforlouisiana/,https://www.instagram.com/jamieforlouisiana,99,https://www.tiktok.com/@jamieforlouisiana,https://bsky.app/profile/jamieforlouisiana.bsky.social,
Bill Cassidy,X,Republican,Senate,,White,Male,,,,,,,,Incumbent
John Fleming,,Republican,Senate,,White,Male,https://flemingsenatecampaign.com/,https://flemingsenatecampaign.com/,https://www.facebook.com/flemingforlouisiana,https://www.instagram.com/flemingsenatecampaign,,https://www.tiktok.com/@flemingforlouisiana,99,
Julia Letlow,,Republican,Senate,,White,Female,https://www.julialetlow.com/,https://x.com/jbletlow,https://www.facebook.com/julialetlow/,https://www.instagram.com/julialetlowla05/,https://www.youtube.com/channel/UCOwFFI7RR__hc67BdW6gUMA,99,99,current representative LA-5
Mark Spencer,,Republican,Senate,,White,Male,https://markforlouisiana.com/,https://x.com/MarkSpencerLA,https://www.facebook.com/profile.php?id=61587995110294,99,99,99,99,
Lauren Jewett,,Democrat,House,1,White,Female,https://www.laurenjewett.com/,https://x.com/ElectLJewett,https://www.facebook.com/electlaurenjewett,https://www.instagram.com/electlaurenjewett,99,https://www.tiktok.com/@electlaurenjewett,https://bsky.app/profile/doitjewett.bsky.social,
Jim Long,,Democrat,House,1,White,Male,99,99,99,99,99,99,99,
Randall Arrington,,Republican,House,1,White,Male,99,https://x.com/RandyArrington8,99,https://www.instagram.com/randyarrington/,https://www.youtube.com/@randyarringtonphd506?app=desktop,99,99,"also claims to be running for senate, but was not on the official list of filed candidates for that race"
Steve Scalise,X,Republican,House,1,White,Male,,,,,,,,Incumbent
Troy Carter,X,Democrat,House,2,Black,Male,,,,,,,,Incumbent
Renada Honey Collins,,Democrat,House,2,Other,Female,https://www.renadacollinsforyou.com/,99,https://www.facebook.com/RenadaCollinsforyou/,https://www.instagram.com/Renada_Collins,99,99,99,Black?-registered to run as Other
