CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Andrew Harris,X,,R,House,1,White,M,,,,,,,,N/A
Victor Guidice,,,D,House,1,White,M,99,99,99,https://www.instagram.com/guidiceforcongress/,99,99,99,N/A
Dan Schwartz,,,D,House,1,White,M,https://schwartzforcongress.com/,https://x.com/Schwartz4_MD1st,https://www.facebook.com//p/Dan-Schwartz-for-Congress-61576082344186/,https://www.instagram.com/schwartz4congress,https://www.youtube.com/channel/UC13ZPurFXxKpCorDQrukp5Q,https://www.tiktok.com/@schwartz4congress,https://bsky.app/profile/schwartzforcongress.com,N/A
George Walish,,,D,House,1,White,M,https://walishforcongress.org/,https://x.com/walish4congress,https://www.facebook.com/people/George-Walish-for-Congress/61581688256666/#,99,https://www.youtube.com/channel/UCjJQ6pxLprdCRznIjzOzgAQ,99,99,N/A
Randi White,,,D,House,1,Black,F,https://randiformd.com/,https://x.com/Randiformd,https://www.facebook.com/randiformd,https://www.instagram.com/randiformd,https://www.youtube.com/@RandiforMD,https://www.tiktok.com/@randiformd,99,N/A
Christopher Bruneau,,,R,House,1,White,M,99,99,99,99,99,99,99,He has social media accounts which haven't been update since his 2024 run.
John Olszewski Jr.,X,,D,House,2,White,M,,,,,,,,N/A
Enrico Bailey,,,D,House,2,Not Sure,M,99,99,99,99,99,99,99,N/A
Nnabu Eze,,,R,House,2,Black,M,99,99,99,99,99,99,99,He has social media accounts which haven't been update since his 2024 run.
Dave Wallace,,,R,House,2,White,M,https://davewallace.us/,https://x.com/DaveWallaceUS/,https://www.facebook.com/DaveWallaceUSA/?ref=embed_page#,99,99,99,99,He has social media accounts which haven't been update since his 2024 run.
Sarah Elfreth,X,,D,House,3,White,F,,,,,,,,N/A
Jennifer Cross,,,D,House,3,White,F,https://jencrossforcongress.com/,https://x.com/JCross,99,99,99,https://www.tiktok.com/@jenforcongress,99,N/A
Austin Dyches,,,D,House,3,White,M,https://www.austinformaryland.com/,https://x.com/AustinDyches,99,https://www.instagram.com/austinformd/,99,99,99,N/A
Sean Hammond,,,D,House,3,Not Sure,M,99,99,99,99,99,99,99,N/A
Robert Morrison,,,D,House,3,Not Sure,M,99,99,99,99,99,99,99,N/A
Ray Bly,,,R,House,3,White,M,99,99,99,99,99,99,99,He has social media accounts which haven't been update since his 2024 run.
Bernard Flowers,,,R,House,3,Black,M,https://flowersformaryland.com/,https://x.com/Berney_Flowers,https://www.facebook.com/BerneyFlowers,https://www.instagram.com/berneyflowers,https://www.youtube.com/@Berney_Flowers/,https://www.tiktok.com/@berneyflowers,99,N/A
Felix Seier,,,R,House,3,Not Sure,M,https://www.felixseier.com/let-s-talk-policy,https://x.com/FelixSeierMD,https://www.facebook.com/FelixSeierMD/,https://www.instagram.com/felixseiermd,,99,99,After I saw his YouTube account I had to go on a walk and have a drink of tea. And I was still mad.
John White,,,R,House,3,Not Sure,M,99,99,99,99,99,99,99,N/A
Glenn Ivey,X,,D,House,4,Black,M,,,,,,,,N/A
Joseph Gomes,,,D,House,4,Hispanic,M,99,99,99,99,99,99,99,He has social media accounts which haven't been update since his 2024 run.
Shavonne Hedgepeth,,,D,House,4,Black,F,https://voteshavonneforcongress.com/,https://x.com/shavonnemd_04,99,https://www.instagram.com/shavonne4congress,99,https://www.tiktok.com/@shavonne4congress,99,N/A
Jakeya Johnson,,,D,House,4,Black,F,https://jakeyajohnson.com/,https://x.com/jakeya4congress,https://www.facebook.com/JakeyaHQ/,https://www.instagram.com/jakeya_hq,https://www.youtube.com/@jakeya4md,https://www.tiktok.com/@jakeya_hq,99,N/A
Jonathan White,,,D,House,4,White,M,https://jonathanwhiteforcongress.org/,99,https://www.facebook.com/people/Jonathan-White-for-Congress/61581867428276/,https://www.instagram.com/jonathanwhiteforcongress/,99,https://www.tiktok.com/@jonathanwhite4md4,99,N/A
George McDermott,,,R,House,4,White,M,https://georgemcdermott.com/,99,99,99,99,99,99,He has social media accounts which haven't been update since his 2024 run.
Mark Kenneth Arness,,,D,House,5,White,M,https://arnessforcongress.com/,99,99,99,99,99,99,N/A
Rushern Baker III,,,D,House,5,Black,M,https://www.rushernbaker.com/,https://x.com/RushernLBaker,https://www.facebook.com/RushernLBaker/,https://www.instagram.com/rushernbkr/,99,99,99,N/A
Quincy Bareebe,,,D,House,5,Black,F,https://quincyforcongress.com/,https://x.com/QuincyforMD05,https://www.facebook.com/QuincyForMD05/,https://www.instagram.com/QuincyforMD05,https://www.youtube.com/@QuincyForCongress-qn4cz,https://www.tiktok.com/@quincyforcongress,https://bsky.app/profile/quincyformd05.bsky.social,N/A
Wala Blegay,,,D,House,5,Black,F,https://walablegay.com/,99,https://www.facebook.com/WalaBlegay/,https://www.instagram.com/walakb/reels/,https://www.youtube.com/@WalakewonBlegay/videos,99,99,N/A
Adrian Boafo,,,D,House,5,Black,M,https://www.adrianboafo.com/,https://x.com/AdrianBoafoMD,https://www.facebook.com/AdrianBoafo/,https://www.instagram.com/adrianboafo/,99,99,https://bsky.app/profile/adrianboafo.bsky.social,N/A
Reuben Collins II,,,D,House,5,Black,M,https://votecollinsforcongress.my.canva.site/,99,https://www.facebook.com/VoteReubenCollins/,99,99,99,99,N/A
