CandidateName,Incumbent,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Ben Ray Lujan,X,Democratic,Senate,,Hispanic,Male,,,,,,,,
Matt Dodson,,Democratic,Senate,,not sure,Male,https://mattdodsonfornm.com/,https://x.com/matt4usnm,https://www.facebook.com/mattdodsonfornm/,https://www.instagram.com/mattdodsonfornm,https://www.youtube.com/MattDodsonforNM,https://www.tiktok.com/@mattdodsonfornm,https://bsky.app/profile/mattdodsonfornm.bsky.social,"youtube is a bad link, was on his website"
Christopher J Vanden Heuvel,,Republican,Senate,,,,99,99,99,99,99,99,99,couldn't find anything about this person
Melanie Ann Stansbury,X,Democratic,House,1,White,Female,,,,,,,,
Didi Okpareke,,Republican,House,1,not sure,Female,https://www.didiforcongress.com/,https://x.com/DidiForCongress,https://www.facebook.com/DidiForCongress/,https://www.instagram.com/didiforcongress/,99,99,99,Black?
Carlton Pennington,,Republican,House,1,White,Male,https://penningtonvote.com/,99,99,99,99,99,99,
Steve Jones,,Republican,House,1,not sure,Male,https://stevejones4nm.com/,https://x.com/SteveRuidoso,https://www.facebook.com/people/Steve-Jones-4-New-Mexico/61558539897578/,99,https://www.youtube.com/channel/UC47xmE4Sk6IgnGDggL_qXRA,https://www.tiktok.com/@steve.jones9728,99,White? old yt: https://www.youtube.com/channel/UCwTSg0VDJ3hMsCEsJ9VgcCQ
Tom Wakely,,Democratic,House,2,Hispanic,Male,https://tomwakelyforcongress.com/,https://x.com/Wakely4Senate,99,99,99,99,https://bsky.app/profile/tomwakely.bsky.social,some accounts were outdated from another race
Gabriel Vasquez,X,Democratic,House,2,Hispanic,Male,,,,,,,,
Gregory Cunningham,,Republican,House,2,not sure,Male,https://www.cunninghamfornm.com/,https://x.com/cunninghamfornm,https://www.facebook.com/cunninghamfornm/,https://www.instagram.com/cunninghamfornm,https://www.youtube.com/@gregcunningham3317,99,99,Hispanic?
Jose Orozco,,Republican,House,2,not sure,Male,https://www.orozcofornewmexico.com/,https://x.com/JoseOrozcoNM,https://www.facebook.com/p/Jose-Orozco-for-Congress-61582235768614/,https://www.instagram.com/joseorozconm,99,99,99,Hispanic?
Teresa Leger Fernandez,X,Democratic,House,3,Hispanic,Female,,,,,,,,
Martin Zamora,,Republican,House,3,Hispanic,Male,https://zamorafornewmexico.com/,99,https://www.facebook.com/martinzamora4nm/,99,99,99,99,
