CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes,Incumbent
Jon Husted,,R,Senate,,White,M,,,,,,,,Incumbent,X
Sherrod Brown,,D,Senate,,White,M,https://www.sherrodbrown.com/,https://x.com/sherrodbrown,https://www.facebook.com/sherrod,https://www.instagram.com/sherrod/,https://www.youtube.com/channel/UCt_l7Nge_872rTm5Jvbo6Mw,https://www.tiktok.com/@sherrodbrown,https://bsky.app/profile/sherrodbrownoh.bsky.social,N/A,
Ron Kincaid,,D,Senate,,White,M,https://kincaidforsenate.com/,99,https://www.facebook.com/KincaidForSenate#,99,https://www.youtube.com/@RonKincaidForSenate_2026,99,https://bsky.app/profile/kincaidforsenate.bsky.social,N/A,
Jeffrey M. Kanter,,L,Senate,,Not Sure,M,99,99,99,99,99,99,99,N/A,
William B. Redpath,,L,Senate,,White,M,99,99,99,99,99,99,99,N/A,
Greg Levy,,I,Senate,,Black,M,https://www.greg4senate.com/,https://x.com/GregLevy4Senate,99,https://www.instagram.com/greglevy4senate,99,https://www.tiktok.com/@greglevy4senate,99,N/A,
Greg Landsman,,D,House,1,White,M,,,,,,,,Incumbent,X
Damon Lynch,,D,House,1,Black,M,https://www.friendsofdamonlynch.com/,99,https://www.facebook.com/people/Damon-Lynch-IV/61585558940212/,https://www.instagram.com/dameforever/,99,99,99,"There's something weird going on here. I think an AI company scraped his website and social media and has created a fake website and TikTok for him, which I didn't list... Safe to ignore, but in case you find those when checking my work, be cautious.",
Holly Adams,,R,House,1,Not Sure,F,99,99,99,99,99,99,99,N/A,
Eric Conroy,,R,House,1,White,M,https://ericconroy.com/,https://x.com/theeric42,https://www.facebook.com/ericconroyforcongress/,https://www.instagram.com/Eric_c42,https://www.youtube.com/channel/UCvz-apSIJj9rTD_AeyiJJJA,99,99,N/A,
Steven Erbeck,,R,House,1,White,M,https://www.erbeckforcongress.com/,https://x.com/stevenberbeck,https://www.facebook.com/erbeckforcongress,https://www.instagram.com/erbeckforcongress,99,99,99,N/A,
Rosemary Oglesby-Henry,,R,House,1,Black,F,https://www.votemsrosemary.com/,https://x.com/votemsrosemary,https://www.facebook.com/VoteMsRosemary/,https://www.instagram.com/votemsrosemary,https://www.youtube.com/@VoteMsRosemary,https://www.tiktok.com/@votemsrosemary,99,N/A,
John Hancock,,L,House,1,White,M,https://hancock4liberty.com/,https://x.com/HancockCincy,https://www.facebook.com/people/John-Hancock-for-Congress/61566603867413/,https://www.instagram.com/Hancock4Liberty,https://www.youtube.com/@Hancock4Liberty,https://www.tiktok.com/@john.hancock4liberty,99,N/A,
David Taylor,,R,House,2,White,M,,,,,,,,Incumbent,X
Andrew Gage,,D,House,2,Not Sure,M,99,99,99,99,99,99,99,N/A,
Brian Kenderes,,D,House,2,White,M,99,99,99,99,99,99,99,N/A,
Jen Mazzuckelli,,D,House,2,White,F,99,99,https://www.facebook.com/p/Mazzuckelli-for-Ohio-2-61555550788214/,99,99,99,99,N/A,
Todd Wilson,,D,House,2,White,M,99,99,https://www.facebook.com/people/Todd-Wilson-for-US-House-of-Representatives-OH-2nd/61586534617563/,99,99,99,99,N/A,
Bob Carr,,R,House,2,Not Sure,M,99,99,99,99,99,99,99,N/A,
Joyce Beatty,,D,House,3,Black,F,,,,,,,,Incumbent,X
Joe Gerard,,D,House,3,White,M,https://www.joegforcongress.com/,99,99,https://www.instagram.com/votejoeg/,99,99,99,N/A,
Cleophus Dulaney,,R,House,3,Black,M,99,https://x.com/KDSFurnishings,99,99,99,99,99,N/A,
Jim Jordan,,R,House,4,White,M,,,,,,,,Incumbent,X
Joshua Kolasinski,,D,House,4,White,M,99,99,https://www.facebook.com/people/Joshua-Kolasinski-for-Ohios-4th-Congressional-District/61586747067579/,99,99,99,99,N/A,
Tamie Wilson,,D,House,4,Mixed,F,99,99,99,99,99,99,99,"Several social media accounts, plus a website, from her last campaign, but none updated to 2026.",
Bob Latta,,R,House,5,White,M,,,,,,,,Incumbent,X
Charles Brown,,D,House,5,Not Sure,M,99,99,99,99,99,99,99,N/A,
Daniel Burket,,D,House,5,White,M,https://www.burketforcongress.com/,99,https://www.facebook.com/people/Daniel-Burket-for-Congress-OH-5/61584521987124/,99,99,99,99,N/A,
Martin Heberling III,,D,House,5,White,M,https://www.heberlingforohio.com/,https://x.com/HeberlingOH,https://www.facebook.com/HeberlingOH,99,99,99,99,N/A,
Brian Shaver,,D,House,5,White,M,99,99,99,99,99,99,99,N/A,
Scott Tabor,,D,House,5,White,M,https://setandready.org/,99,99,99,99,99,99,N/A,
Erica Kelley,,R,House,5,White,F,99,99,https://www.facebook.com/p/Erica-4-Congress-61576134134222/,99,99,99,99,N/A,
Robert Owsiak Jr.,,R,House,5,White,M,99,99,https://www.facebook.com/RobertOwsiakJrforcongress/,99,99,99,99,N/A,
