CandidateName,Incumbent,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
"Britta ""Brita"" Aguirre",,Democrat,House,1,"white, non-Hispanic",Female,https://britforwv.com/,99,https://www.facebook.com/britforwv,https://www.instagram.com/britforwv/,99,https://www.tiktok.com/@britforwv,99,
Vince George,,Democrat,House,1,"white, non-Hispanic",Male,99,99,https://www.facebook.com/people/Vince-George-For-Congress-WV-01-District/61585501780299/#,99,99,99,99,
Larry Jackson,,Republican,House,1,"white, non-Hispanic",Male,https://jacksonforwv.com/,99,https://www.facebook.com/JacksonforWV/,99,https://www.youtube.com/@LarryJacksonforWV,99,99,
Carol Miller,X,Republican,House,1,"white, non-Hispanic",Female,https://www.electcarolmiller.com/,https://x.com/CarolMillerWV,https://www.facebook.com/carolforcongress/?hc_ref=ARQ-WIbBkr2eRZeXlZP_FN5Cpxu17tqvzWGCcZzQO3QmJNxxiAJLP03mRyFYGxJm_3w,https://www.instagram.com/repcarolmiller/?hl=en,https://www.youtube.com/@carolforcongress3741,99,99,"instagram looks official, not campaign related, but could change"
Ace Parsi,,Democrat,House,2,99,Male,https://www.aceforcongress.com/,https://x.com/AceforCongress,https://www.facebook.com/profile.php?id=61584377288489,https://www.instagram.com/aceforcongress/?e=3e45708a-c415-4089-a6ab-b31e82894504&g=5,https://www.youtube.com/@AceforCongress-q9e,https://www.tiktok.com/@aceforcongress?lang=en,,
Stephanie Spears Tomana,,Democrat,House,2,"white, non-Hispanic",Female,99,99,99,99,99,99,99,
Steven Wendelin,,Democrat,House,2,"white, non-Hispanic",Male,https://wendelinforcongress.com/,https://x.com/Wendelin4WV,https://www.facebook.com/profile.php?id=61550962770186,http://instagram.com/that_sailor_for_congress,99,https://www.tiktok.com/@steven_wendelin,99,
Riley Moore,X,Republican,House,2,"white, non-Hispanic",Male,https://www.mooreforwv.com/,http://x.com/rileymoorewv,https://www.facebook.com/MooreforWV,https://www.instagram.com/moore4wv,99,99,99,
Thornton Cooper,,Democrat,Senate,,"white, non-Hispanic",Male,99,99,99,99,99,99,99,
Rachel Fetty Anderson,,Democrat,Senate,,"white, non-Hispanic",Female,https://www.fettyandersonforsenate.com/,99,https://www.facebook.com/profile.php?id=61586342750527,https://www.instagram.com/rachelfettyanderson/,99,99,https://bsky.app/profile/fettyandersonforsenate.com,
Jeffrey V. Kessler,,Democrat,Senate,,"white, non-Hispanic",Male,99,99,https://www.facebook.com/jeffkessler4wv/,https://www.instagram.com/jeffkessler4us_senate/,99,99,99,
Rio Phillips,,Democrat,Senate,,99,Male,https://www.rioforsenate.com/,http://x.com/rioforsenate,https://www.facebook.com/rioforsenate,http://instagram.com/rioforsenate,https://www.youtube.com/@RioForSenate,http://www.tiktok.com/@rioforsenate,99,
Zachary Shrewsbury,,Democrat,Senate,,"white, non-Hispanic",Male,https://www.shrewsburyforsenate.com/,https://twitter.com/zachshrewsbury,https://www.facebook.com/profile.php?id=61551725805826&mibextid=LQQJ4d,https://www.instagram.com/zachs4senate/,99,https://www.tiktok.com/@shrewsbury.for.senate?_t=8gmNyTuPCxO&_r=1,99,
Shelley Moore Capito,X,Republican,Senate,,"white, non-Hispanic",Female,,,,,,,,
Alexander Gaaserud,,Republican,Senate,,"white, non-Hispanic",Male,https://gaaserud4wv.com/,https://twitter.com/AlexGaaserud4WV,https://www.facebook.com/groups/1439205683259032/,99,https://youtu.be/8yiZy34-TuU,99,99,
Bryan McKinney,,Republican,Senate,,"white, non-Hispanic",Male,https://www.deathtotaxes.com/,99,https://www.facebook.com/bryan.mckinney.748058,99,https://www.youtube.com/@Death2taxes,99,99,
Janet McNulty,,Republican,Senate,,"white, non-Hispanic",Female,https://www.mcnultywv.com/,https://x.com/Janet1McNulty,https://www.facebook.com/therealJanetMcNulty/,99,99,99,99,
David Purkey,,Republican,Senate,,99,99,99,99,99,99,99,99,99,
Tom Willis,,Republican,Senate,,"white, non-Hispanic",Male,https://tomwillis.com/,https://x.com/TomWillisWV,https://www.facebook.com/WillisforWV,https://www.instagram.com/tomwilliswv/,https://www.youtube.com/@WillisForWV,99,99,
Isaiah Rucker,,Independent/Write in,House,1,99,99,99,https://x.com/IsaiahRuck25691,99,99,99,99,99,"there is another account for an Isaiah rucker jr, for instagram and tiktok, but they look like a completely different person"
Patrick Carney,,Independent/Write in,House,2,99,99,99,99,99,99,99,99,99,
Christopher Whitcomb,,Independent/Write in,House,2,"white, non-Hispanic",Male,https://groundup2026.com/,99,https://www.facebook.com/people/Ground-Up-2026-Christopher-Whitcomb-for-US-House/61578363543739/,https://www.instagram.com/christopher.whitcomb/,99,99,99,
