State,Ballotpedia Page,State Page,Election Date,Filing Deadline
Alabama,"https://ballotpedia.org/Alabama_elections,_2026",https://www.sos.alabama.gov/sites/default/files/fcpa/2026FCPAFilingCalendar.pdf,5/19/2026,01/23/2026
Alaska,"https://ballotpedia.org/Alaska_elections,_2026",https://www.elections.alaska.gov/doc/forms/Updated/B05P-F.pdf,8/18/2026,06/01/2026
Arizona,"https://ballotpedia.org/Arizona_elections,_2026",https://azsos.gov/sites/default/files/docs/2025-2026-Elections-MasterCalendar-08012025.pdf,8/4/2026,04/06/2026
Arkansas,"https://ballotpedia.org/Arkansas_elections,_2026",https://www.sos.arkansas.gov/uploads/elections/2026_Election_Calendar_Rev._6-2025_.pdf,3/3/2026,11/11/2025
California,"https://ballotpedia.org/California_elections,_2026",https://www.sos.ca.gov/elections/upcoming-elections/primary-election-june-2-2026/key-dates-and-deadlines,6/2/2026,03/06/2026
Colorado,"https://ballotpedia.org/Colorado_elections,_2026",https://www.sos.state.co.us/pubs/elections/calendars/2026ElectionCalendar.pdf,6/30/2026,03/18/2026
Connecticut,,,8/11/2026,06/09/2026
Delaware,"https://ballotpedia.org/Delaware_elections,_2026",https://elections.delaware.gov/public/calendar/pdfs/2026ElectionCalendar.pdf,9/15/2026,07/14/2026
Florida,"https://ballotpedia.org/Florida_elections,_2026",https://dos.fl.gov/elections/candidates-committees/qualifying/,8/18/2026,04/24/2026
Georgia,"https://ballotpedia.org/Georgia_elections,_2026",https://sos.ga.gov/sites/default/files/forms/2026%20Election%20Calendar%20Summary.pdf,5/19/2026,03/06/2026
Hawaii,"https://ballotpedia.org/Hawaii_elections,_2026",https://elections.hawaii.gov/about-us/calendar/,8/8/2026,06/02/2026
Idaho,,,5/19/2026,02/27/2026
Illinois,"https://ballotpedia.org/Illinois_elections,_2026",https://www.elections.il.gov/RunningForOffice.aspx?MID=rOlNCTNZd9A%3D,3/17/2026,11/03/2025
Indiana,"https://ballotpedia.org/Indiana_elections,_2026",https://www.in.gov/counties/clarkcountyclerkofcourts/voting-and-elections/files/2026-Indiana-Election-Calendar.pdf,5/5/2026,02/06/2026
Iowa,"https://ballotpedia.org/Iowa_elections,_2026",https://sos.iowa.gov/elections/pdf/cal3yr.pdf,6/2/2026,03/13/2026
Kansas,,,8/4/2026,06/01/2026
Kentucky,"https://ballotpedia.org/Kentucky_elections,_2026",https://elect.ky.gov/Resources/Documents/2026%20Election%20Calendar.pdf,5/19/2026,01/09/2026
Louisiana,"https://ballotpedia.org/Louisiana_elections,_2026",https://www.sos.la.gov/ElectionsAndVoting/PublishedDocuments/ElectionsCalendar2026.pdf,5/16/2026,01/14/2026
Maine,,,6/9/2026,03/15/2026
Maryland,"https://ballotpedia.org/Maryland_elections,_2026",https://elections.maryland.gov/elections/2026/2026%20Election%20Calendar.pdf,6/23/2026,02/24/2026
Massachusetts,,,9/1/2026,05/26/2026
Michigan,"https://ballotpedia.org/Michigan_elections,_2026",https://www.michigan.gov/sos/-/media/Project/Websites/sos/Elections/Ballot-Access/FDC-FC-MAN-8-Partisan-Petition-Manual.pdf?rev=d2bc808a4418411bbf214433589bed31&hash=8A57E28269EEFE8314E8CE2D5093B270,8/4/2026,04/21/2026
Minnesota,,,8/11/2026,06/02/2026
Mississippi,,,6/2/2026,12/26/2025
Missouri,"https://ballotpedia.org/Missouri_elections,_2026",https://www.sos.mo.gov/elections/calendar/2026cal,8/4/2026,03/31/2026
Montana,,,6/2/2026,03/04/2026
Nebraska,,,5/12/2026,03/01/2026
Nevada,"https://ballotpedia.org/Nevada_elections,_2026",https://www.nvsos.gov/sos/elections/election-information/2026-election-information,6/9/2026,03/13/2026
New Hampshire,,,9/8/2026,06/12/2026
New Jersey,,,5/12/2026,03/23/2026
New Mexico,,,3/3/2026,02/03/2026
New York,,,6/23/2026,03/30/2026
North Carolina,"https://ballotpedia.org/North%20Carolina_elections,_2026",https://www.ncsbe.gov/current-sbe-events?field_event_terms_target_id=763,3/3/2026,12/19/2025
Ohio,"https://ballotpedia.org/Ohio_elections,_2026",https://www.ohiosos.gov/globalassets/publications/election/2026electionscalendar_11x17.pdf,5/5/2026,02/04/2026
Oklahoma,"https://ballotpedia.org/Oklahoma_elections,_2026",https://oklahoma.gov/elections/candidates/2026-candidate-filing-information.html,6/16/2026,04/03/2026
Oregon,"https://ballotpedia.org/Oregon_elections,_2026",https://sos.oregon.gov/elections/Documents/open-offices.pdf,5/19/2026,03/10/2026
Pennsylvania,,,5/19/2026,03/10/2026
Rhode Island,"https://ballotpedia.org/Rhode%20Island_elections,_2026",,9/8/2026,06/24/2026
South Carolina,,,5/9/2026,03/30/2026
South Dakota,"https://ballotpedia.org/South%20Dakota_elections,_2026",https://sdsos.gov/elections-voting/upcoming-elections/general-information/2026/2026-candidate-calendar.aspx,6/2/2026,03/31/2026
Tennessee,"https://ballotpedia.org/Tennessee_elections,_2026",https://sos.tn.gov/elections/calendar#2026,8/6/2026,03/10/2026
Texas,"https://ballotpedia.org/Texas_elections,_2026",https://www.sos.state.tx.us/elections/voter/important-election-dates.shtml#f1-1-4,3/3/2026,12/08/2025
Utah,,,6/23/2026,01/09/2026
Virginia ,,,6/16/2026,04/02/2026
Vermont,"https://ballotpedia.org/Vermont_elections,_2026",https://sos.vermont.gov/elections/election-info-resources/faqs/#state,8/11/2026,05/28/2026
Washington,"https://ballotpedia.org/Washington_elections,_2026",https://www.sos.wa.gov/elections/calendar,8/4/2026,05/08/2026
West Virginia,"https://ballotpedia.org/West%20Virginia_elections,_2026",https://sos.wv.gov/elections/Documents/West%20Virginia%20Election%20Calendar.pdf,5/12/2026,01/31/2026
Wisconsin ,,,2/17/2026,06/01/2026
