State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
OK	country	legislatorUpperBody	United States	ocd-division/country:us	Oklahoma	ocd-division/country:us/state:ok	4562594c-ec17-4e82-8e27-db0d096ca17b		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2015-01-06		2028-11-07	1968-03-04	James_Lankford	https://www.youtube.com/channel/UCz8T6sK5fEycyWmVz6Vpe5Q	https://www.instagram.com/senatorlankford/	SenatorLankford	https://www.facebook.com/SenatorLankford	https://www.lankford.senate.gov/imo/media/image/Senator%20Lankford%20Official%20Portrait.jpg	https://www.lankford.senate.gov/contact/email		316 Hart Senate Office Building Washington, DC 20510	(202) 224-5754	https://www.lankford.senate.gov/			a9b6dbf1-c7da-405e-bff1-906b55af75cc	James Lankford	Republican Party	Republican Party
OK	country	legislatorUpperBody	United States	ocd-division/country:us	Oklahoma	ocd-division/country:us/state:ok	22663e7d-0b30-4e3a-a5f4-e771727031e7		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2023-01-03		2026-11-03	1977-07-26	Markwayne_Mullin		https://www.instagram.com/senmullin/	SenMullin	https://www.facebook.com/SenMullin	https://www.mullin.senate.gov/wp-content/uploads/2022/12/Mullin-Initial.jpg	https://www.mullin.senate.gov/share-your-opinion/		205 Russell Senate Office Building, 2 Constitution Ave NE, Washington DC 20510	(202) 224-4721	https://www.mullin.senate.gov/			4f6ccab0-ea39-4dc3-b4d4-9ee8d14f5e8e	Markwayne Mullin	Republican Party	Republican Party
OK	country	legislatorLowerBody	United States	ocd-division/country:us	Oklahoma's 1st congressional district	ocd-division/country:us/state:ok/cd:1	f6f77bdf-77db-42d2-a638-c6e1b816f5a0	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2018-11-13		2026-11-03	1961-12-04	Kevin_Hern	https://www.youtube.com/@repkevinhern	https://www.instagram.com/repkevinhern/	repkevinhern	https://www.facebook.com/repkevinhern/	https://clerk.house.gov/images/members/H001082.jpg	https://hern.house.gov/contact/		171 Cannon House Office Building, Washington, DC 20515-3601	(202) 225-2211	https://hern.house.gov/			435e8cc2-f348-41e8-aadd-97b2ffb30a06	Kevin Hern	Republican Party	Republican Party
OK	country	legislatorLowerBody	United States	ocd-division/country:us	Oklahoma's 2nd congressional district	ocd-division/country:us/state:ok/cd:2	4a014557-5d7e-46d6-bd59-c4216711113e	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1979-06-19	Josh_Brecheen	https://www.youtube.com/@RepBrecheen	https://www.instagram.com/repbrecheen/	RepBrecheen	https://www.facebook.com/profile.php?id=100089040632497	https://brecheen.house.gov/uploadedphotos/highresolution/d9d95182-4c5e-43ad-9a36-cde86af7820b.jpg	https://brecheen.house.gov/contact/		351 Cannon House Office Building Washington, DC 20515	(202) 225-2701	https://brecheen.house.gov/			376deaa4-08a0-4153-855f-c1897d9b8fc2	Josh Brecheen	Republican Party	Republican Party
OK	country	legislatorLowerBody	United States	ocd-division/country:us	Oklahoma's 3rd congressional district	ocd-division/country:us/state:ok/cd:3	ecd1836f-22ce-4eb7-8fbd-c3e672af4fe3	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1994-05-10		2026-11-03	1960-01-06	Frank_Lucas_(Oklahoma_politician)	https://www.youtube.com/@repfranklucas	https://www.instagram.com/repfranklucas/	RepFrankLucas	https://www.facebook.com/RepFrankLucas/	https://clerk.house.gov/images/members/L000491.jpg	https://lucas.house.gov/contact		2405 Rayburn House Office Building, Washington, DC 20515	(202) 225-5565	https://lucas.house.gov/			56c97783-9fa0-49d4-9525-9758923db88e	Frank Lucas	Republican Party	Republican Party
OK	country	legislatorLowerBody	United States	ocd-division/country:us	Oklahoma's 4th congressional district	ocd-division/country:us/state:ok/cd:4	4b08896f-266a-4ac8-9f54-f006e76e3001	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2003-01-07		2026-11-03	1949-04-28	Tom_Cole	https://www.youtube.com/@tomcoleok04	https://www.instagram.com/TomColeOK04/	TomColeOK04	https://www.facebook.com/TomColeOK04	https://cole.house.gov/sites/evo-subsites/cole.house.gov/files/styles/large/public/wysiwyg_uploaded/Rep-Tom-Cole-hi-res_2.jpg	https://cole.house.gov/contact/email		2207 Rayburn House Office Building, Washington, DC 20515	(202) 225-6165	https://cole.house.gov/			e993c654-960d-45fc-876b-c42749b7157c	Tom Cole	Republican Party	Republican Party
OK	country	legislatorLowerBody	United States	ocd-division/country:us	Oklahoma's 5th congressional district	ocd-division/country:us/state:ok/cd:5	b8e6994f-3bda-4095-bc81-5a1d57598423	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1973-11-11	Stephanie_Bice		https://www.instagram.com/RepStephanieBice	RepBice	https://www.facebook.com/RepStephanieBice	https://bice.house.gov/sites/evo-subsites/bice.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/bice-headshot.jpg	https://biceforms.house.gov/contact/		2402 Rayburn House Office Building, Washington, DC 20515	(202) 225-2132	https://bice.house.gov/			c8ae680f-a0c2-40dc-b434-d996738fbbc8	Stephanie Bice	Republican Party	Republican Party
OK	administrativeArea1	headOfGovernment	Oklahoma	ocd-division/country:us/state:ok	Oklahoma	ocd-division/country:us/state:ok	a3906fcb-a874-466a-8a03-fda551220691		Governor of Oklahoma	Governor			2027-01-11		2019-01-14		2026-11-03	1972-12-28	Kevin_Stitt	https://www.youtube.com/channel/UCyE0TZqyRF9AAd6PGzfcfjA		GovStitt	https://www.facebook.com/GovStitt	https://oklahoma.gov/content/dam/ok/en/governor/images/gov-stitt-official-photo.jpg	https://oklahoma.gov/governor/contact/general-information/contact-the-governor.html		2300 N Lincoln Blvd, Suite 212 Oklahoma City, OK 73105	(405) 521-2342	https://oklahoma.gov/governor.html			f951604e-448d-46b1-aa29-ca866a6a486a	Kevin Stitt	Republican Party	Republican Party
OK	administrativeArea1	deputyHeadOfGovernment	Oklahoma	ocd-division/country:us/state:ok	Oklahoma	ocd-division/country:us/state:ok	b1dac81e-d1dc-4ff4-aafe-7a80b1b6e1be		Lieutenant Governor of Oklahoma	Lieutenant Governor			2027-01-11		2019-01-14		2026-11-03	1979-08-15	Matt_Pinnell		https://www.instagram.com/ltgovpinnell/	LtGovPinnell	https://www.facebook.com/LtGovPinnell/	https://www.ok.gov/ltgovpinnell/images/LtGovMattPinnell.jpg	https://www.ok.gov/triton/contact.php?ac=348&id=323		2300 N Lincoln Blvd, Rm 117, Oklahoma City, OK 73105	(405) 521-2161	https://www.ok.gov/ltgovpinnell/			7654abdd-175a-4176-ba42-91ed1630016c	Matt Pinnell	Republican Party	Republican Party
OK	administrativeArea1	governmentOfficer	Oklahoma	ocd-division/country:us/state:ok	Oklahoma	ocd-division/country:us/state:ok	322351e5-04e9-4abd-8b10-dbd37b7c7b45		OK State Attorney General	Attorney General			2027-01-11		2023-01-09		2026-11-03	1963-10-03	Gentner_Drummond			okla_oag	https://www.facebook.com/AttorneyGeneralofOklahoma/	https://www.oag.ok.gov/sites/g/files/gmc766/f/gentner-drummond-2023.jpg			313 NE 21st Street Oklahoma City, OK 73105	(405) 521-3921	https://www.oag.ok.gov/			edf03d7b-fcc3-44c0-a7b8-b922d06c7203	Gentner F. Drummond	Republican Party	Republican Party
OK	administrativeArea1	governmentOfficer	Oklahoma	ocd-division/country:us/state:ok	Oklahoma	ocd-division/country:us/state:ok	41c137f8-b588-454d-85f9-6c8ea617e22c		OK State Auditor and Inspector	State Auditor			2027-01-11		2019-01-14		2026-11-03	1973-01-18	Cindy_Byrd		https://www.instagram.com/okstateauditorcindybyrd/	SAICindyByrd	https://www.facebook.com/OKStateAuditorCindyByrd	https://www.sai.ok.gov/images/administration/Cindy_Byrd.jpg		auditor@sai.ok.gov	2300 N Lincoln Blvd, Rm 123, Oklahoma City, OK 73105	(405) 521-3495	https://www.sai.ok.gov/			7522ced7-2ba4-46a6-a308-5ba231d53096	Cindy Byrd	Republican Party	Republican Party
OK	administrativeArea1	governmentOfficer	Oklahoma	ocd-division/country:us/state:ok	Oklahoma	ocd-division/country:us/state:ok	9d09c5f3-7e86-4205-8b21-d757c59e41e8		OK State Commissioner of Insurance	State Insurance Commissioner			2027-01-11		2019-01-14		2026-11-03	1960-11-21	Glen_Mulready			glen_mulready	https://www.facebook.com/CommissionerGlenMulready/	https://oidgov.wpenginepowered.com/wp-content/uploads/2020/03/Mulready-Glen-scaled.jpg	https://www.oid.ok.gov/contact-us/		400 NE 50th St, Oklahoma City, OK 73105	(405) 521-2828	https://www.oid.ok.gov/			133663a3-372f-4abd-8818-2c9ea6a5c787	Glen Mulready	Republican Party	Republican Party
OK	administrativeArea1	governmentOfficer	Oklahoma	ocd-division/country:us/state:ok	Oklahoma	ocd-division/country:us/state:ok	d8caa58b-64dd-4b95-8769-de358fefd732		OK State Commissioner of Labor	State Labor Commissioner			2027-01-11		2019-01-14		2026-11-03	1963-10-17	Leslie_Osborn				https://www.facebook.com/okdeptoflabor/	https://oklahoma.gov/labor/_jcr_content/responsivegrid/container/image_1159418444.coreimg.100.640.jpeg/1671645878887/new-picture.jpeg		labor.info@labor.ok.gov	409 NE 28th St, 3rd Floor Oklahoma City, OK 73105	(405) 521-6100	https://oklahoma.gov/labor.html			6d8a9a16-cc1f-4458-90cb-975305cbdcd3	Leslie Osborn	Republican Party	Republican Party
OK	administrativeArea1	governmentOfficer	Oklahoma	ocd-division/country:us/state:ok	Oklahoma	ocd-division/country:us/state:ok	b1c8e232-a28d-419c-a467-e2ea8f6634cd		OK State Corporation Commissioner	State Public Service Commissioner	OK State Corporation Commission		2031-01-13		2025-01-13		2030-11-05		Brian_Bingman	https://www.youtube.com/@oklahomacorporationcommiss9250	https://www.instagram.com/okcorpcomm/	okcorpcomm	https://www.facebook.com/okcorpcomm/	https://oklahoma.gov/occ/about/commissioners/brian-bingman/_jcr_content/responsivegrid/image_copy.coreimg.100.640.jpeg/1737048452526/commission-brian-bingman-8x10.jpeg	https://oklahoma.gov/occ/about/commissioners/brian-bingman/contact-commissioner-bingman.html	contactbrianbingman@occ.ok.gov	P.O. Box 52000, Oklahoma City, OK 73152-2000	(405) 521-2211	https://oklahoma.gov/occ/about/commissioners/brian-bingman.html			344b687f-70dc-4815-871b-dd28d2f37b2e	Brian Bingman	Republican Party	Republican Party
