State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
WI	country	legislatorUpperBody	United States	ocd-division/country:us	Wisconsin	ocd-division/country:us/state:wi	6bf1cc26-ec50-461b-a0eb-89d2fa9630b9		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2011-01-03		2028-11-07	1955-04-08	Ron_Johnson_(Wisconsin_politician)	https://www.youtube.com/user/SenatorRonJohnson	https://www.instagram.com/senronjohnson/	SenRonJohnson	https://www.facebook.com/senronjohnson/	https://www.ronjohnson.senate.gov/services/files/A06A9A0A-3A48-4229-9CF0-FE1F162D88F4	https://www.ronjohnson.senate.gov/email-the-senator		328 Hart Senate Office Building, Washington DC 20510	(202) 224-5323	https://www.ronjohnson.senate.gov/			3f8359c1-3437-4c85-9c52-36ab3750e702	Ron Johnson	Republican Party	Republican Party
WI	country	legislatorUpperBody	United States	ocd-division/country:us	Wisconsin	ocd-division/country:us/state:wi	e50f68a0-babc-42af-8581-423de550f997		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2017-01-03		2030-11-05	1962-02-11	Tammy_Baldwin	https://www.youtube.com/user/SenatorTammyBaldwin	https://www.instagram.com/senatorbaldwin/	SenatorBaldwin	https://www.facebook.com/senatortammybaldwin	https://www.baldwin.senate.gov/imo/media/image/baldwin_official_senate_portrait3.jpg	https://www.baldwin.senate.gov/contact/contact-tammy		141 Hart Senate Office Building, Washington DC 20510	(202) 224-5653	https://www.baldwin.senate.gov/			da72cb37-6893-48a9-9e6d-94dbba1bd39f	Tammy Baldwin	Democratic Party	Democratic Party
WI	country	legislatorLowerBody	United States	ocd-division/country:us	Wisconsin's 1st congressional district	ocd-division/country:us/state:wi/cd:1	40a4cef5-4845-4520-9bba-73848d2bf737	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1981-03-03	Bryan_Steil	https://www.youtube.com/repbryansteil	https://www.instagram.com/repbryansteil/	RepBryanSteil	https://www.facebook.com/RepBryanSteil/	https://steil.house.gov/sites/evo-subsites/steil-evo.house.gov/files/Headshot.jpg	https://steil.house.gov/address_authentication?form=/contact/email-me		1526 Longworth House Office Building, Washington, DC 20515	(202) 225-3031	https://steil.house.gov/			458ca109-6244-4506-9f7a-0855f8dce9f9	Bryan Steil	Republican Party	Republican Party
WI	country	legislatorLowerBody	United States	ocd-division/country:us	Wisconsin's 2nd congressional district	ocd-division/country:us/state:wi/cd:2	4962193a-021c-4218-aef0-ebdf3b48589f	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2013-01-03		2026-11-03	1964-08-14	Mark_Pocan	https://www.youtube.com/@repmarkpocan	https://www.instagram.com/repmarkpocan/	repmarkpocan	https://www.facebook.com/repmarkpocan	https://pocan.house.gov/sites/evo-subsites/pocan.house.gov/files/styles/large/public/evo-media-image/2017-03-09_pnn_0018-small.jpeg?itok=I7FypLLI	https://pocan.house.gov/address_authentication?form=/contact/contact-my-team		1026 Longworth House Office Building, Washington, DC 20515-4902	(202) 225-2906	https://pocan.house.gov/	repmarkpocan	repmarkpocan	4717cef4-0203-4508-bdb5-4052cdd66a8d	Mark Pocan	Democratic Party	Democratic Party
WI	country	legislatorLowerBody	United States	ocd-division/country:us	Wisconsin's 3rd congressional district	ocd-division/country:us/state:wi/cd:3	a7a5cb1b-1ac0-40c3-bfc2-6891b46d4447	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1969-09-15	Derrick_Van_Orden		https://www.instagram.com/repvanorden/	repvanorden	https://www.facebook.com/RepVanOrden/	https://vanorden.house.gov/sites/evo-subsites/vanorden.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/2022-11-16_ike_van_orden_derrick_0010_re_web.jpg?itok=bNgHTZ9t	https://vanorden.house.gov/address_authentication?form=/contact		1513 Longworth House Office Building, Washington, DC 20515	(202) 225-5506	https://vanorden.house.gov/			a4f15c76-726a-4857-92b8-51c1b098ce6d	Derrick Van Orden	Republican Party	Republican Party
WI	country	legislatorLowerBody	United States	ocd-division/country:us	Wisconsin's 4th congressional district	ocd-division/country:us/state:wi/cd:4	b54eb0eb-a5f2-410e-b96c-e4acbe915874	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2005-01-03		2026-11-03	1951-04-18	Gwen_Moore	https://www.youtube.com/user/RepGwenMoore	https://www.instagram.com/RepGwenMoore/	RepGwenMoore	https://www.facebook.com/GwenSMoore	https://gwenmoore.house.gov/uploadedphotos/highresolution/3e87d9cf-f0e3-4ba6-84cc-126f229ac42e.jpg	https://gwenmoore.house.gov/contact/		2252 Rayburn House Office Building, Washington, DC 20515	(202) 225-4572	https://gwenmoore.house.gov/			476c5cb4-8661-43b1-b0e5-f7d6a40dd135	Gwen Moore	Democratic Party	Democratic Party
WI	country	legislatorLowerBody	United States	ocd-division/country:us	Wisconsin's 5th congressional district	ocd-division/country:us/state:wi/cd:5	927d847e-84c8-4ede-93f3-bf8f89286ade	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1963-11-16	Scott_L._Fitzgerald	https://www.youtube.com/@CongressmanFitzgerald	https://www.instagram.com/repscottfitzgerald	RepFitzgerald	https://www.facebook.com/CongressmanScottFitzgerald	https://fitzgerald.house.gov/sites/evo-subsites/fitzgerald.house.gov/files/evo-media-image/SF%20Official%20Portrait%201.jpg	https://fitzgerald.house.gov/address_authentication?form=/contact		2444 Rayburn House Office Building, Washington, DC 20515	(202) 225-5101	https://fitzgerald.house.gov/			f1b20f14-0e6f-4947-abe7-d664733adb82	Scott Fitzgerald	Republican Party	Republican Party
WI	country	legislatorLowerBody	United States	ocd-division/country:us	Wisconsin's 6th congressional district	ocd-division/country:us/state:wi/cd:6	bf3f1f47-5f01-49d6-bc90-d1ed3fa1f556	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1955-07-03	Glenn_Grothman	https://www.youtube.com/channel/UCui4k83Cot4aeVW_8T33fgg	https://www.instagram.com/repglenngrothman/	RepGrothman	https://www.facebook.com/RepGrothman/	https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Glenn_Grothman_117th_Congress_portrait.jpg/1920px-Glenn_Grothman_117th_Congress_portrait.jpg	https://grothman.house.gov/contact/		1211 Longworth House Office Building, Washington, DC 20515	(202) 225-2476	https://grothman.house.gov/			894a9c23-807f-4f20-bad5-b474ac022af3	Glenn Grothman	Republican Party	Republican Party
WI	country	legislatorLowerBody	United States	ocd-division/country:us	Wisconsin's 7th congressional district	ocd-division/country:us/state:wi/cd:7	e1fcaf4a-f758-4787-87aa-833ab2a44455	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2020-05-19		2026-11-03	1957-12-30	Tom_Tiffany	https://www.youtube.com/@rep.tomtiffany1153	https://www.instagram.com/reptiffany/	RepTiffany	https://www.facebook.com/RepTiffany/	https://tiffany.house.gov/sites/evo-subsites/tiffany.house.gov/files/styles/large/public/evo-media-image/Tom_Tiffany_official_headshot.jpg?itok=p-5HfvqS	https://tiffany.house.gov/address_authentication?form=/contact/email-me		451 Cannon House Office Building, Washington, DC 20515	(202) 225-3365	https://tiffany.house.gov/			06b143a9-f9b0-43e3-83ce-eb1ff3a9b3c3	Tom Tiffany	Republican Party	Republican Party
WI	country	legislatorLowerBody	United States	ocd-division/country:us	Wisconsin's 8th congressional district	ocd-division/country:us/state:wi/cd:8	c3257e3f-6014-422e-85e8-73adf5759d24	District 8	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2024-11-12		2026-11-03	1976-05-03	Tony_Wied		https://www.instagram.com/reptonywied/	RepTonyWied	https://www.facebook.com/profile.php?id=61568624194199	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Representative_Tony_Wied_Official_Portrait.jpg/330px-Representative_Tony_Wied_Official_Portrait.jpg	https://wied.house.gov/address_authentication?form=/contact/email-me		424 Cannon House Office Building, Washington, DC 20515	(202) 225-5665	https://wied.house.gov/			bd370d78-92a7-4e79-97a9-0f98f10b6f31	Tony Wied	Republican Party	Republican Party
