State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
MO	country	legislatorUpperBody	United States	ocd-division/country:us	Missouri	ocd-division/country:us/state:mo	2bff674e-b6fc-40d4-bc9b-be1fdc339933		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2019-01-03		2030-11-05	1979-12-31	Josh_Hawley	https://www.youtube.com/channel/UCMzt8xq6qQ3XQ_DlNfJx0-w	https://www.instagram.com/senatorhawley/	SenHawleyPress	https://www.facebook.com/SenatorHawley/	https://pbs.twimg.com/profile_images/1097246042934992898/YqXTdt3v_400x400.jpg	https://www.hawley.senate.gov/contact-senator-hawley/		115 Russell Senate Office Building, Washington DC 20510	(202) 224-6154	https://www.hawley.senate.gov/			a3bca46c-c81d-4d5f-bd90-e9dea957d86a	Josh Hawley	Republican Party	Republican Party
MO	country	legislatorUpperBody	United States	ocd-division/country:us	Missouri	ocd-division/country:us/state:mo	ef1c8e20-0448-4467-83f9-cc9cf586fe26		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2023-01-03		2028-11-07				https://www.instagram.com/senericschmitt/	SenEricSchmitt	https://www.facebook.com/SenEricSchmitt/	https://www.schmitt.senate.gov/wp-content/uploads/2022/12/Schmitt-Initial.jpg	https://www.schmitt.senate.gov/share-your-opinion/		B-11 Russell Senate Office Building, Washington, DC 20510	(202) 224-5721	https://www.schmitt.senate.gov/			8e859b97-9352-45ab-b072-3bb305834860	Eric Schmitt	Republican Party	Republican Party
MO	country	legislatorLowerBody	United States	ocd-division/country:us	Missouri's 1st congressional district	ocd-division/country:us/state:mo/cd:1	afb9c3a2-ac0b-4a40-9044-d9dcaa304bce	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2024-01-03		2025-01-03		2026-11-03	1974-11-05	Wesley_Bell			RepWesleyBellMO		https://www.bell4mo.com/static/Hero.jpg	https://bell.house.gov/address_authentication?form=/contact/email-me		1429 Longworth House Office Building, Washington, District of Columbia 20515	(202) 225-2406	https://bell.house.gov/			a6490832-b303-4bba-8c1b-2413f11f6f80	Wesley Bell	Democratic Party	Democratic Party
MO	country	legislatorLowerBody	United States	ocd-division/country:us	Missouri's 2nd congressional district	ocd-division/country:us/state:mo/cd:2	e30529b4-2579-4074-b701-d2267cbb5e11	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2024-01-03		2013-01-03		2026-11-03	1962-09-13	Ann_Wagner	https://www.youtube.com/channel/UCy2v2DXXvQnbRc8Zx77Dnsg	https://www.instagram.com/repannwagner/	RepAnnWagner	https://www.facebook.com/RepAnnWagner	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Ann_Wagner_Headshot_%28002%29_%28cropped%29.jpg/800px-Ann_Wagner_Headshot_%28002%29_%28cropped%29.jpg	https://wagner.house.gov/address_authentication?form=/contact		2350 Rayburn House Office Building, Washington, DC 20515	(202) 225-1621	https://wagner.house.gov/			6950eb95-45f1-40cd-b9f6-69711325ee54	Ann Wagner	Republican Party	Republican Party
MO	country	legislatorLowerBody	United States	ocd-division/country:us	Missouri's 3rd congressional district	ocd-division/country:us/state:mo/cd:3	6c079d07-c8ba-434f-a82c-b2a8094a13eb	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2024-01-03		2025-01-03		2026-11-03	1962-01-06	Bob_Onder		https://www.instagram.com/repbobonder	RepBobOnder	https://www.facebook.com/RepBobOnder	https://www.senate.mo.gov/22web/wp-content/uploads/2015/11/Onder-683x1024.jpg	https://onder.house.gov/address_authentication?form=/contact/email-me		2230 Rayburn House Office Building, Washington, DC 20515	(202) 225-2956	https://onder.house.gov/			8ea55962-7ab8-4bdb-82f6-76ca9f6aa28a	Bob Onder	Republican Party	Republican Party
MO	country	legislatorLowerBody	United States	ocd-division/country:us	Missouri's 4th congressional district	ocd-division/country:us/state:mo/cd:4	d4ebc055-601f-4f55-8e46-877ec289109a	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2024-01-03		2023-01-03		2026-11-03	1963-10-04	Mark_Alford_(politician)	https://www.youtube.com/@RepAlford	https://www.instagram.com/repmarkalford/	RepMarkAlford	https://www.facebook.com/RepMarkAlford	https://alford.house.gov/images/headshot.jpg	https://alford.house.gov/contact		328 Cannon House Office Building, Washington, DC 20515	(202) 225-2876	https://alford.house.gov/			33baa032-bc36-4816-bc36-2cd92f8ffbfe	Mark Alford	Republican Party	Republican Party
MO	country	legislatorLowerBody	United States	ocd-division/country:us	Missouri's 5th congressional district	ocd-division/country:us/state:mo/cd:5	2759160e-9658-44d9-b67f-bf24177dfab5	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2024-01-03		2005-01-03		2026-11-03	1944-10-26	Emanuel_Cleaver	https://www.youtube.com/user/repcleaver	https://www.instagram.com/repcleaver/	repcleaver	https://www.facebook.com/emanuelcleaverii	https://cleaver.house.gov/sites/evo-subsites/cleaver.house.gov/files/styles/large/public/wysiwyg_uploaded/Official%20Photo%202018_0.jpg?itok=X_Mx69-_	https://cleaver.house.gov/address_authentication?form=/contact/email-me		2217 Rayburn House Office Building, Washington, DC 20515	(202) 225-4535	https://cleaver.house.gov/			d6e592a0-0480-4d6d-a216-ec94cbed117f	Emanuel Cleaver	Democratic Party	Democratic Party
MO	country	legislatorLowerBody	United States	ocd-division/country:us	Missouri's 6th congressional district	ocd-division/country:us/state:mo/cd:6	8af09237-ba5c-47c8-a98e-bee40784ebca	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2024-01-03		2001-01-03		2026-11-03	1963-11-07	Sam_Graves	https://www.youtube.com/channel/UCdg2ybvoHsSW6t7iJnKHlNg	https://www.instagram.com/repsamgraves/	RepSamGraves	https://www.facebook.com/RepSamGraves/	https://graves.house.gov/sites/evo-subsites/graves.house.gov/files/evo-media-image/graves-250x349.jpg	https://graves.house.gov/contact		1135 Longworth House Office Building, Washington, DC 20515	(202) 225-7041	https://graves.house.gov/			3fe529de-b93d-448c-916a-ee704ff4c967	Sam Graves	Republican Party	Republican Party
MO	country	legislatorLowerBody	United States	ocd-division/country:us	Missouri's 7th congressional district	ocd-division/country:us/state:mo/cd:7	68001298-29e2-4821-a596-725187e9da09	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2024-01-03		2023-01-03		2026-11-03	1976-10-02	Eric_Burlison	https://www.youtube.com/@RepEricBurlisonMO	https://www.instagram.com/repericburlison/	RepEricBurlison	https://www.facebook.com/profile.php?id=100089208900263	https://www.congress.gov/img/member/b001316_200.jpg	https://burlison.house.gov/address_authentication?form=/contact		1108 Longworth House Office Building, Washington, DC 20515	(202) 225-6536	https://burlison.house.gov/			04f20cda-e0c8-4d25-b1c8-b08fac19c0eb	Eric Burlison	Republican Party	Republican Party
MO	country	legislatorLowerBody	United States	ocd-division/country:us	Missouri's 8th congressional district	ocd-division/country:us/state:mo/cd:8	2c595bc5-dddf-4787-bdbe-9e92d2606b07	District 8	U.S. Representative	U.S. Representative	U.S. House of Representatives		2024-01-03		2025-01-03		2026-11-03	1980-06-16	Jason_Smith_(American_politician)	https://www.youtube.com/user/RepJasonSmith	https://www.instagram.com/repjasonsmith/	RepJasonSmith	https://www.facebook.com/repjasonsmith	https://pbs.twimg.com/profile_images/1622283372008439809/XSg4-ieG_400x400.jpg	https://jasonsmith.house.gov/contact/		1011 Longworth House Office Building, Washington, DC 20515	(202) 225-4404	https://jasonsmith.house.gov/			382bfed8-e78c-4e79-ba59-74c4b01ce333	Jason Smith	Republican Party	Republican Party
MO	administrativeArea1	headOfGovernment	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	27adee30-f89a-47af-b479-b3c1f952f97f		Governor of Missouri	Governor			2029-01-08		2025-01-13		2028-11-07	1972-01-17	Mike_Kehoe		https://www.instagram.com/govkehoe/	GovMikeKehoe	https://www.facebook.com/GovKehoe/	https://pbs.twimg.com/profile_images/1658135678595612675/2ZeRJxpj_400x400.jpg	https://governor.mo.gov/contact-us		P.O. Box 720, Jefferson City, MO 65102	(573) 751-3222	https://governor.mo.gov/			00234ca6-4e88-41e4-bfdd-cd9c97d8a2d8	Mike Kehoe	Republican Party	Republican Party
MO	administrativeArea1	deputyHeadOfGovernment	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	de34ce69-5427-49d4-ac14-c057c3ec933d		Lieutenant Governor of Missouri	Lieutenant Governor			2029-01-08		2025-01-13		2028-11-07		David_Wasinger					https://wasingerdaming.com/wp-content/uploads/attorneys/41/david-2-002-wasinger-headshot-300x370.jpg		ltgovinfo@ltgov.mo.gov	201 W. Capitol Avenue, Room 224, Jefferson City, MO 65101	(573) 751-4727	https://ltgov.mo.gov/			d8a574a8-86a4-4a87-a5a6-4f96aaaa02e2	Dave Wasinger	Republican Party	Republican Party
MO	administrativeArea1	governmentOfficer	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	1313683c-4c5a-49b0-82ff-dfb1adf74a92		MO Secretary of State	Secretary of State			2029-01-08		2025-01-13		2028-11-07	1974-10-10	Denny_Hoskins	https://www.youtube.com/channel/UClKeWmPRNu2cpGoMotOGzgw	https://www.instagram.com/missourisos/	MissouriSOS	https://www.facebook.com/MissouriSOS	https://www.senate.mo.gov/WebPhotos/SenatorPortraits/Hoskins21.jpg		info@sos.mo.gov	600 West Main St, Jefferson City, MO 65101	(573) 751-4936	https://www.sos.mo.gov/			ea76dd8c-8cbe-4465-884b-6074bd11670a	Denny Hoskins	Republican Party	Republican Party
MO	administrativeArea1	governmentOfficer	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	a12f5b44-6bd0-4b21-a3f7-f32463cdd855		MO State Attorney General	Attorney General			2029-01-08		2025-09-08		2028-11-07	1963-11-08	Catherine_Hanaway			AGCHanaway	https://www.facebook.com/AGCHanaway	https://ago.mo.gov/wp-content/uploads/Hanaway-Headshot-230x300.jpg	https://ago.mo.gov/about-us/contact-us/		P.O. Box 899, Jefferson City, MO 65102	(573) 751-3321	https://www.ago.mo.gov/			c9639164-806f-4dd6-b91f-5faf72cdad5f	Catherine L. Hanaway	Republican Party	Republican Party
MO	administrativeArea1	governmentOfficer	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	b02b6020-7936-4b5c-a91b-7380170f4f2a		MO State Auditor	State Auditor			2027-01-04		2023-01-03		2026-11-03					FitzpatrickMO	https://www.facebook.com/MissouriStateAuditor	https://pbs.twimg.com/media/EHmS2e0WkAIBL1u?format=jpg&name=large		scott.fitzpatrick@auditor.mo.gov	201 West Capitol Avenue, Jefferson City, MO 65101	(573) 751-4824	https://auditor.mo.gov/			53854a04-b0ea-459a-97b6-a30ae9051e2d	Scott Fitzpatrick	Republican Party	Republican Party
MO	administrativeArea1	highestCourtJudge	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	145f4d4e-fbdf-48f6-b8b6-a10b81688e85		MO State Supreme Court Judge	State Supreme Court Justice	MO State Supreme Court		2026-12-31		2012-12-04		2026-11-03							https://www.courts.mo.gov/image.jsp?id=59002			P.O. Box 150, Jefferson City, MO 65102	(573) 751-4144	https://www.courts.mo.gov/page.jsp?id=59001			cf9c3870-accc-4361-8324-8db76b961a1b	Paul C. Wilson	Nonpartisan	Nonpartisan
MO	administrativeArea1	highestCourtJudge	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	957e6b5e-0c51-45a2-a7b0-f390d32d28f5		MO State Supreme Court Judge	State Supreme Court Justice	MO State Supreme Court		2032-12-31		2023-11-04		2032-11-02							https://www.courts.mo.gov/image.jsp?id=94163			P.O. Box 150, Jefferson City, MO 65102	(573) 751-4144	https://www.courts.mo.gov/page.jsp?id=190353			4cce5e47-2f22-4b6a-9d8f-5d75284833d7	Ginger K. Gooch	Nonpartisan	Nonpartisan
MO	administrativeArea1	highestCourtJudge	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	536f3f18-6a1e-4c05-8698-c6c5a238ddad		MO State Supreme Court Judge	State Supreme Court Justice	MO State Supreme Court		2034-12-31		2008-10-01		2034-11-07							https://www.courts.mo.gov/image.jsp?id=46822			P.O. Box 150, Jefferson City, MO 65102	(573) 751-4144	https://www.courts.mo.gov/page.jsp?id=27084			734aa335-48a8-4042-bf41-2399a7b9130a	Zel M. Fischer	Nonpartisan	Nonpartisan
MO	administrativeArea1	highestCourtJudge	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	d0b1ca90-2b10-4b4d-b78e-60f9760021c7		MO State Supreme Court Judge	State Supreme Court Justice	MO State Supreme Court		2030-12-31		2004-09-21		2030-11-04							https://www.courts.mo.gov/image.jsp?id=63993			P.O. Box 150, Jefferson City, MO 65102	(573) 751-4144	https://www.courts.mo.gov/page.jsp?id=203			8017ee83-f816-4cde-a88c-3bef056b4565	Mary R. Russell	Nonpartisan	Nonpartisan
MO	administrativeArea1	highestCourtJudge	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	975ecd87-3147-48bf-a68b-9df881c66f10		MO State Supreme Court Judge	State Supreme Court Justice	MO State Supreme Court		2030-12-31		2017-04-26		2030-11-04							https://www.courts.mo.gov/image.jsp?id=113630			P.O. Box 150, Jefferson City, MO 65102	(573) 751-4144	https://www.courts.mo.gov/page.jsp?id=113629			8e796130-0619-4a38-b18d-dc0323328c03	W. Brent Powell	Nonpartisan	Nonpartisan
MO	administrativeArea1	highestCourtJudge	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	f1e1af54-a00b-40c3-b21e-09b8956b966d		MO State Supreme Court Judge	State Supreme Court Justice	MO State Supreme Court		2034-12-31		2021-05-24		2034-11-07							https://www.courts.mo.gov/image.jsp?id=160954			P.O. Box 150, Jefferson City, MO 65102	(573) 751-4144	https://www.courts.mo.gov/page.jsp?id=57484			643ac4f8-c698-41b9-932d-140ea6bc222c	Robin Ransom	Nonpartisan	Nonpartisan
MO	administrativeArea1	highestCourtJudge	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	6a8d0237-307c-4c33-bc24-b1a2e85a3d5c		MO State Supreme Court Judge	State Supreme Court Justice	MO State Supreme Court		2036-12-31		2023-09-26		2036-11-04		Kelly_C._Broniec					https://www.courts.mo.gov/image.jsp?id=202213			P.O. Box 150, Jefferson City, MO 65102	(573) 751-4144	https://www.courts.mo.gov/page.jsp?id=57485			acbfcb88-e565-452f-8e67-e08de3a5709c	Kelly C. Broniec	Nonpartisan	Nonpartisan
MO	administrativeArea1	governmentOfficer	Missouri	ocd-division/country:us/state:mo	Missouri	ocd-division/country:us/state:mo	679cf573-404f-4592-bcf2-57a9e050b04f		MO State Treasurer	State Treasurer			2029-01-08		2023-01-17		2028-11-07		Vivek_Malek		https://www.instagram.com/moTreasurer	MOTreasurer	https://www.facebook.com/MOTreasurer/	https://treasurer.mo.gov/content/Images//VivekMalek-Headshot.jpg	https://treasurer.mo.gov/Content/ContactUsForm?Value=		P.O. Box 210, Jefferson City, MO 65102	(573) 751-8533	https://treasurer.mo.gov/			4bacf959-8d6d-4c9b-8956-e0baf3f13897	Vivek Malek	Republican Party	Republican Party
MO	administrativeArea1	legislatorLowerBody	Missouri	ocd-division/country:us/state:mo	Missouri State House district 1	ocd-division/country:us/state:mo/sldl:1	8bb06ee4-f3c9-4fb5-b473-5ed865c0dc21	District 1	MO State Representative	State Representative	MO State House		2027-01-06		2023-01-04		2026-11-03		Jeff_Farnan				https://www.facebook.com/forwardfarnan/	https://images.house.mo.gov/MemberPhoto.aspx?id=2354		jeff.farnan@house.mo.gov	201 W. Capitol Ave, Room 410-A, Jefferson City, MO 65101	(573) 751-9465	https://house.mo.gov/MemberDetails.aspx?year=2025&code=R&district=001			58ef3ea1-de9d-4ffb-8e6f-2678b6c3a68b	Jeff Farnan	Republican Party	Republican Party
MO	administrativeArea1	legislatorLowerBody	Missouri	ocd-division/country:us/state:mo	Missouri State House district 10	ocd-division/country:us/state:mo/sldl:10	a59c5a06-ce1f-4b37-879d-bb45c75934e5	District 10	MO State Representative	State Representative	MO State House		2027-01-06		2019-01-02		2026-11-03						https://www.facebook.com/citizensforFalkner/	https://images.house.mo.gov/MemberPhoto.aspx?id=2062		bill.falkner@house.mo.gov	201 W. Capitol Ave, Room 206-A, Jefferson City, MO 65101	(573) 751-9755	https://house.mo.gov/MemberDetails.aspx?year=2025&code=R&district=010			71eb844a-f7f3-4ae6-8646-d408b8470bf3	Bill Falkner	Republican Party	Republican Party
MO	administrativeArea1	legislatorLowerBody	Missouri	ocd-division/country:us/state:mo	Missouri State House district 100	ocd-division/country:us/state:mo/sldl:100	72a2d85d-0276-47c7-9001-0b5dee50ca1d	District 100	MO State Representative	State Representative	MO State House		2027-01-06		2023-01-04		2026-11-03		Philip_Oehlerking			missouri4philip	https://www.facebook.com/phil4missouri/	https://static.wixstatic.com/media/f6d28b_d3cf4150d63940f884cb6fa6b3551280~mv2.jpg/v1/fill/w_936,h_1656,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/030624-1036-1_edited.jpg		philip.oehlerking@house.mo.gov	201 W. Capitol Ave, Room 203-A, Jefferson City, MO 65101	(573) 751-9765	https://house.mo.gov/MemberDetails.aspx?year=2025&code=R&district=100			cbf26f8f-705c-4fdd-8719-8eb6fda800a8	Philip Oehlerking	Republican Party	Republican Party
MO	administrativeArea1	legislatorLowerBody	Missouri	ocd-division/country:us/state:mo	Missouri State House district 101	ocd-division/country:us/state:mo/sldl:101	3faff259-eaea-4113-bced-8b5338673a20	District 101	MO State Representative	State Representative	MO State House		2027-01-06		2023-01-04		2026-11-03		Ben_Keathley		https://www.instagram.com/benkeathleyformissouri/	benKeath	https://www.facebook.com/BenKeathleyforMissouri	https://media.licdn.com/dms/image/D4E03AQH3oTFBdfWzHQ/profile-displayphoto-shrink_800_800/0/1693836701098?e=1726099200&v=beta&t=5HoIX9gv9fssJuIz9BAMvHeI8iOlkvsgWV387Tch4oE		ben.keathley@house.mo.gov	201 W. Capitol Ave, Room 112, Jefferson City, MO 65101	(573) 751-1247	https://house.mo.gov/MemberDetails.aspx?year=2025&code=R&district=101			da3a898d-0605-4346-af57-9deb8d337d65	Ben Keathley	Republican Party	Republican Party
MO	administrativeArea1	legislatorLowerBody	Missouri	ocd-division/country:us/state:mo	Missouri State House district 102	ocd-division/country:us/state:mo/sldl:102	70e7e47a-4436-49fb-a57e-dc844a879022	District 102	MO State Representative	State Representative	MO State House		2027-01-06		2021-01-06		2026-11-03							https://static.wixstatic.com/media/8b3045_11935a7c27a84bf784a6ae45997659ff~mv2.png/v1/fill/w_121,h_210,al_c,lg_1,q_85,enc_auto/MemberPhoto.png		richard.west@house.mo.gov	201 W. Capitol Ave, Room 200-A, Jefferson City, MO 65101	(573) 751-9768	https://house.mo.gov/MemberDetails.aspx?year=2025&code=R&district=102			4b9cb464-875c-48d3-be13-74af9ddc2cda	Richard West	Republican Party	Republican Party
MO	administrativeArea1	legislatorLowerBody	Missouri	ocd-division/country:us/state:mo	Missouri State House district 103	ocd-division/country:us/state:mo/sldl:103	07045b59-e1fd-4b8b-8de0-158b6d63f341	District 103	MO State Representative	State Representative	MO State House		2027-01-06		2023-01-04		2026-11-03		Dave_Hinman			dhinmanmo	https://www.facebook.com/DaveHinmanforMissouriHouseDistrict103/	https://images.house.mo.gov/MemberPhoto.aspx?id=2357		dave.hinman@house.mo.gov	201 W. Capitol Ave, Room 317-B, Jefferson City, MO 65101	(573) 751-2176	https://house.mo.gov/MemberDetails.aspx?year=2025&code=R&district=103			8ee8ff47-1953-4782-8c56-f2b62a762783	Dave Hinman	Republican Party	Republican Party
MO	administrativeArea1	legislatorLowerBody	Missouri	ocd-division/country:us/state:mo	Missouri State House district 104	ocd-division/country:us/state:mo/sldl:104	e4fa1eb7-acc0-4396-b5e1-cfead7c19196	District 104	MO State Representative	State Representative	MO State House		2027-01-06		2025-01-08		2026-11-03		Terri_Violet				https://www.facebook.com/terri.violet/	https://res.cloudinary.com/micronetonline/image/upload/c_crop,h_952,w_1151,x_995,y_457/f_auto/q_auto:best/v1696517463/tenants/c4fb93f3-d8ec-4b3f-87fe-5b2005b2406f/43cbcb44aecf4922903fa1729c3a955f/1.jpg		terri.violet@house.mo.gov	201 W. Capitol Ave, Room 118-C, Jefferson City, MO 65101	(573) 751-2250	https://house.mo.gov/MemberDetails.aspx?year=2025&code=R&district=104			f7deba34-e9d6-4a5e-a1fe-c550d1471b35	Terri Violet	Republican Party	Republican Party
MO	administrativeArea1	legislatorLowerBody	Missouri	ocd-division/country:us/state:mo	Missouri State House district 105	ocd-division/country:us/state:mo/sldl:105	afff7bf0-e693-44c6-bec8-73e9eb8ab52f	District 105	MO State Representative	State Representative	MO State House		2027-01-06		2025-01-08		2026-11-03		Colin_Wellenkamp				https://www.facebook.com/WellenkampforMO	https://images.house.mo.gov/MemberPhoto.aspx?id=2513		colin.wellenkamp@house.mo.gov	201 W. Capitol Ave, Room 115-F, Jefferson City, MO 65101	(573) 751-2949	https://house.mo.gov/MemberDetails.aspx?year=2025&code=R&district=105			8066ffd7-f72d-4835-bf72-2d19c39f8785	Colin Wellenkamp	Republican Party	Republican Party
