State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
HI	country	legislatorUpperBody	United States	ocd-division/country:us	Hawaii	ocd-division/country:us/state:hi	5289dc8c-de7a-453c-bdca-71d8e7b870fe		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2013-01-03		2030-11-05	1947-11-03	Mazie_Hirono		https://www.instagram.com/maziehirono	maziehirono	https://www.facebook.com/senatorhirono	https://www.hirono.senate.gov/imo/media/image/Senator_Hirono_Portrait.jpg	https://www.hirono.senate.gov/contact		109 Hart Senate Office Building, 120 Constitution Ave NE, Washington, DC 20510	(202) 224-6361	https://www.hirono.senate.gov/			9d361403-ee41-4d5c-826f-742bef0c3e9d	Mazie K. Hirono	Democratic Party	Democratic Party
HI	country	legislatorUpperBody	United States	ocd-division/country:us	Hawaii	ocd-division/country:us/state:hi	12a420b7-4715-440f-aea8-146a6fc84fea		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2023-01-03		2028-11-04	1972-10-20	Brian_Schatz	https://www.youtube.com/senbrianschatz	https://www.instagram.com/senbrianschatz/	SenBrianSchatz	https://www.facebook.com/SenBrianSchatz	https://www.congress.gov/img/member/s001194_200.jpg	https://www.schatz.senate.gov/contact		722 Hart Senate Office Building, Washington, DC 20510	(202) 224-3934	https://www.schatz.senate.gov/			f2b242cd-6e14-410b-a57e-ce6082984724	Brian Schatz	Democratic Party	Democratic Party
HI	country	legislatorLowerBody	United States	ocd-division/country:us	Hawaii's 1st congressional district	ocd-division/country:us/state:hi/cd:1	5e27ced0-8d83-45ff-9248-748e3f5d1c35	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1952-09-27	Ed_Case	https://www.youtube.com/RepEdCase	https://www.instagram.com/repedcase/	repedcase	https://www.facebook.com/RepEdCase	https://case.house.gov/uploadedphotos/highresolution/ca1266ad-3a1d-4b7b-a4db-fd5ba71611f6.jpg	https://case.house.gov/contact/		2210 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-2726	https://case.house.gov/			cbfefb2b-25b4-4221-89d8-ffde894f9a5f	Ed Case	Democratic Party	Democratic Party
HI	country	legislatorLowerBody	United States	ocd-division/country:us	Hawaii's 2nd congressional district	ocd-division/country:us/state:hi/cd:2	4cbbab59-2301-420e-a88e-3a4356844db1	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1976-03-03	Jill_Tokuda	https://www.youtube.com/channel/UCBXwZrEZWQiSXebInVuYuvw	https://www.instagram.com/repjilltokuda/	RepJillTokuda	https://www.facebook.com/RepJillTokuda	https://www.congress.gov/img/member/t000487_200.jpg	https://tokuda.house.gov/contact	jill.tokuda@mail.house.gov	1027 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-4906	https://tokuda.house.gov/			75edf6ef-d011-4f5b-8698-13f01ceaeb50	Jill N. Tokuda	Democratic Party	Democratic Party
HI	administrativeArea1	headOfGovernment	Hawaii	ocd-division/country:us/state:hi	Hawaii	ocd-division/country:us/state:hi	f42f150b-b753-4a2b-b542-3a2c4d9b03e4		Governor of Hawaii	Governor			2026-12-07		2022-12-05		2026-11-03	1970-02-11	Josh_Green_(politician)		https://www.instagram.com/govjoshgreen/	GovJoshGreenMD	https://www.facebook.com/GovJoshGreen/	https://governor.hawaii.gov/wp-content/uploads/2023/02/governor_green_-046-873x1024.jpg	https://governor.hawaii.gov/contact-us/contact-the-governor/		Executive Chambers State Capitol, Honolulu, HI 96813	(808) 586-0034	https://governor.hawaii.gov/			bef2d4a5-1796-43d7-af53-ae449b8bb206	Josh Green	Democratic Party	Democratic Party
HI	administrativeArea1	governmentOfficer	Hawaii	ocd-division/country:us/state:hi	Hawaii	ocd-division/country:us/state:hi	0957ebac-b1cc-45f2-bfb1-be627bb62d17	At-Large	HI State Office of Hawaiian Affairs Trustee	Office of Hawaiian Affairs Board Member	HI State Office of Hawaiian Affairs Board of Trustees		2026-11-03		2000-11-07		2026-11-03			https://www.youtube.com/user/OHAHawaii	https://www.instagram.com/oha_hawaii/	oha_hawaii	https://www.facebook.com/officeofhawaiianaffairs	https://www.oha.org/wp-content/uploads/JohnWaihee.jpg		trusteewaihee@oha.org	560 N. Nimitz Hwy, Honolulu, HI 96817	(808) 594-1876	https://www.oha.org/trustees			b6657ae4-6541-4138-bcfb-2deb62a1e12a	John D. Waihe'e IV	Nonpartisan	Nonpartisan
HI	administrativeArea1	governmentOfficer	Hawaii	ocd-division/country:us/state:hi	Hawaii	ocd-division/country:us/state:hi	ba15d6f2-07b7-4d91-b63e-60cda82eb510	At-Large	HI State Office of Hawaiian Affairs Trustee	Office of Hawaiian Affairs Board Member	HI State Office of Hawaiian Affairs Board of Trustees		2026-11-03		2022-11-08		2026-11-03			https://www.youtube.com/user/OHAHawaii	https://www.instagram.com/oha_hawaii/	oha_hawaii	https://www.facebook.com/officeofhawaiianaffairs	https://www.oha.org/wp-content/uploads/Tr_Souza.jpg			560 N. Nimitz Hwy, Honolulu, HI 96817		https://www.oha.org/trustees			40d707c0-9ef7-4256-b69c-ac619990ff95	Keoni Souza	Nonpartisan	Nonpartisan
HI	administrativeArea1	governmentOfficer	Hawaii	ocd-division/country:us/state:hi	Hawaii	ocd-division/country:us/state:hi	5f5af337-8478-4036-b8ee-dffd12ab2042	At-Large	HI State Office of Hawaiian Affairs Trustee	Office of Hawaiian Affairs Board Member	HI State Office of Hawaiian Affairs Board of Trustees		2026-11-03		2022-11-08		2026-11-03			https://www.youtube.com/user/OHAHawaii	https://www.instagram.com/oha_hawaii/	oha_hawaii	https://www.facebook.com/officeofhawaiianaffairs	https://www.oha.org/wp-content/uploads/TrusteeGaluteria.jpg			560 N. Nimitz Hwy, Honolulu, HI 96817		https://www.oha.org/trustees			d3e31396-00bd-46d0-8bce-85faa18f3399	Brickwood Galuteria	Nonpartisan	Nonpartisan
HI	administrativeArea1	governmentOfficer	Hawaii	ocd-division/country:us/state:hi	Hawaii	ocd-division/country:us/state:hi	835db75c-5272-455c-95d1-351e29cd271a	At-Large	HI State Office of Hawaiian Affairs Trustee	Office of Hawaiian Affairs Board Member	HI State Office of Hawaiian Affairs Board of Trustees		2028-11-07		2016-11-08		2028-11-07			https://www.youtube.com/user/OHAHawaii	https://www.instagram.com/oha_hawaii/	oha_hawaii	https://www.facebook.com/officeofhawaiianaffairs	https://www.oha.org/wp-content/uploads/Kelii_Akina-242x300.jpg		trusteeakina@oha.org	560 N. Nimitz Hwy, #200, Honolulu, HI 96817	(808) 594-1976	https://www.oha.org/trustees			d312aed2-1001-439e-8469-aba403f5de1d	Keli'i Akina	Nonpartisan	Nonpartisan
HI	administrativeArea1	deputyHeadOfGovernment	Hawaii	ocd-division/country:us/state:hi	Hawaii	ocd-division/country:us/state:hi	bb1d5d9b-7f5b-4672-aaa7-c5078e534913		Lieutenant Governor of Hawaii	Lieutenant Governor			2026-12-07		2022-12-05		2026-11-03		Sylvia_Luke		https://www.instagram.com/lgsylvialuke/	lgsylvialuke	https://www.facebook.com/lgsylvialuke	https://portal.ehawaii.gov/assets/webp/page/government/officials/sylvia_luke.webp	https://ltgov.hawaii.gov/contact-us/contact-the-lieutenant-governor/		Executive Chambers State Capitol, Honolulu, HI 96813	(808) 586-0255				68660a3a-5648-4edf-bb7c-76b674ec693c	Sylvia Luke	Democratic Party	Democratic Party
