State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
SC	country	legislatorUpperBody	United States	ocd-division/country:us	South Carolina	ocd-division/country:us/state:sc	db02cc3e-c2c8-47c4-8400-3d1dfa9a4276		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2003-01-03		2026-11-03	1955-07-09	Lindsey_Graham	https://www.youtube.com/user/USSenLindseyGraham	https://www.instagram.com/lindseygrahamsc/	LindseyGrahamSC	https://www.facebook.com/USSenatorLindseyGraham	https://www.lgraham.senate.gov/public/_cache/files/0efe32b3-7253-4989-9d29-68cda7ff61ed/u.s.-senator-lindsey-graham-photogallery.jpg	https://www.lgraham.senate.gov/public/index.cfm?p=contact-form		290 Russell Senate Office Building, Washington DC 20510	(202) 224-5972	https://www.lgraham.senate.gov/			b7d26099-482a-4149-b133-843123d8e605	Lindsey Graham	Republican Party	Republican Party
SC	country	legislatorUpperBody	United States	ocd-division/country:us	South Carolina	ocd-division/country:us/state:sc	52b0c50d-0ff2-42e5-b079-d63d13293a4e		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2013-01-02		2028-11-07	1965-09-19	Tim_Scott	https://www.youtube.com/SenatorTimScott	https://www.instagram.com/SenatorTimScott/	SenatorTimScott	https://www.facebook.com/SenatorTimScott	https://www.scott.senate.gov/imo/media/image/Scott_Tim-012213-16025-0016-rb-CFF.jpg	https://www.scott.senate.gov/contact/email-me		104 Hart Senate Office Building, Washington DC 20510	(202) 224-6121	https://www.scott.senate.gov/			7b235730-612c-4b50-89d4-bf8b6eaddb49	Tim Scott	Republican Party	Republican Party
SC	country	legislatorLowerBody	United States	ocd-division/country:us	South Carolina's 1st congressional district	ocd-division/country:us/state:sc/cd:1	a8ca1027-7349-4178-a9e7-4aa09d6e523b	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1977-12-04	Nancy_Mace		https://www.instagram.com/repnancymace/	RepNancyMace	https://www.facebook.com/RepNancyMace/	https://mace.house.gov/sites/evo-subsites/mace.house.gov/files/styles/large/public/evo-media-image/NMHeadShot.png?itok=qsyzUuic	https://mace.house.gov/contact		1728 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-3176	https://mace.house.gov/			eef024cf-ae51-4756-9a19-74f3ac304366	Nancy Mace	Republican Party	Republican Party
SC	country	legislatorLowerBody	United States	ocd-division/country:us	South Carolina's 2nd congressional district	ocd-division/country:us/state:sc/cd:2	b6138cdf-acee-4435-b8e1-df9b7851a97a	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2001-12-18		2026-11-03	1947-07-31	Joe_Wilson_(American_politician)	https://www.youtube.com/RepJoeWilson	https://www.instagram.com/repjoewilson/	RepJoeWilson	https://www.facebook.com/JoeWilson	https://joewilson.house.gov/sites/evo-subsites/joewilson-evo.house.gov/files/wysiwyg_uploaded/Rep.%20Joe%20Wilson.jpg	https://joewilson.house.gov/contact/email-me		1436 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-2452	https://joewilson.house.gov/			93f18a54-a26f-42bf-99ca-86ae34aa5b6e	Joe Wilson	Republican Party	Republican Party
SC	country	legislatorLowerBody	United States	ocd-division/country:us	South Carolina's 3rd congressional district	ocd-division/country:us/state:sc/cd:3	31a92262-95cd-4fee-91f5-6fff489f3bff	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Sheri_Biggs	https://www.youtube.com/@repsheribiggs	https://www.instagram.com/repsheribiggs/	RepSheriBiggs	https://www.facebook.com/RepSheriBiggs/	https://sheribiggs.house.gov/sites/evo-subsites/sheribiggs.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/2024-11-18_ike_biggs_sheri_0024_re_web_0.jpg	https://sheribiggs.house.gov/contact/email-me		1530 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-5301	https://sheribiggs.house.gov/			76977ca4-f9cd-4bae-a6c2-deb5ede9cc85	Sheri Biggs	Republican Party	Republican Party
SC	country	legislatorLowerBody	United States	ocd-division/country:us	South Carolina's 4th congressional district	ocd-division/country:us/state:sc/cd:4	0577c79f-f367-4943-98ae-5848af3eddb2	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1984-04-30	William_Timmons		https://www.instagram.com/reptimmons/	reptimmons	https://www.facebook.com/RepTimmons/	https://timmons.house.gov/uploadedfiles/export_files/wysiwyg_uploaded/wrtiv%20official%20portrait_0.png	https://timmons.house.gov/contact/		267 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-6030	https://timmons.house.gov/			a0cc12cc-d941-4cb6-94cd-9cb8f5cabf5f	William Timmons	Republican Party	Republican Party
SC	country	legislatorLowerBody	United States	ocd-division/country:us	South Carolina's 5th congressional district	ocd-division/country:us/state:sc/cd:5	5d4688d5-9d24-4cae-9fc6-fe270256b410	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-06-20		2026-11-03	1953-06-20	Ralph_Norman		https://www.instagram.com/repralphnorman/	RepRalphNorman	https://www.facebook.com/RepRalphNorman/	https://norman.house.gov/uploadedphotos/mediumresolution/27cd8ed4-c93a-453d-bf6d-cbfd8ab1da16.jpg	https://norman.house.gov/contact/		569 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-5501	https://norman.house.gov/			e61d46e9-22d6-4a01-bb58-5bf8f7f2ee47	Ralph Norman	Republican Party	Republican Party
SC	country	legislatorLowerBody	United States	ocd-division/country:us	South Carolina's 6th congressional district	ocd-division/country:us/state:sc/cd:6	0d98ce23-3711-4f6c-8408-b71ba1568d33	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1993-01-03		2026-11-03	1940-07-21	Jim_Clyburn	https://www.youtube.com/user/RepJamesClyburn	https://www.instagram.com/RepJamesClyburn/	RepJamesClyburn	https://www.facebook.com/RepJamesClyburn/	https://clyburn.house.gov/wp-content/uploads/2023/12/Majority-Whip-James-Clyburn_Official-Portrait__0.jpg			274 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-3315	https://clyburn.house.gov/		repjamesclyburn	88c40d8f-1259-46f2-80d8-1ccf6577ca33	James E. Clyburn	Democratic Party	Democratic Party
SC	country	legislatorLowerBody	United States	ocd-division/country:us	South Carolina's 7th congressional district	ocd-division/country:us/state:sc/cd:7	0e820297-3e3f-4ce8-8011-4907f3bbdfb4	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1985-01-31	Russell_Fry_(politician)	https://www.youtube.com/@reprussellfry	https://www.instagram.com/reprussellfry/	RepRussellFry	https://www.facebook.com/reprussellfry	https://fry.house.gov/images/about/photo.png	https://fry.house.gov/contact		345 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-9895	https://fry.house.gov/			7e6da9ee-369f-4a0e-a8ef-8073cca881d8	Russell Fry	Republican Party	Republican Party
SC	administrativeArea1	headOfGovernment	South Carolina	ocd-division/country:us/state:sc	South Carolina	ocd-division/country:us/state:sc	d75144e1-c90f-408c-9ec5-65d870b5499f		Governor of South Carolina	Governor			2027-01-13		2017-01-24		2026-11-03	1947-05-27	Henry_McMaster	https://www.youtube.com/channel/UCto7jOZMBE8CmIXsWalhhsg	https://www.instagram.com/govhenrymcmaster/	henrymcmaster	https://www.facebook.com/HenryMcMaster/	https://governor.sc.gov/sites/governor/files/Documents/Images/newsImage_2.jpg	https://acceleratesc.my.site.com/constituents/s/contact-the-governor		1100 Gervais St, Columbia, SC 29201	(803) 734-2100	https://governor.sc.gov/			8e390be6-069c-4097-91b8-a946f26acdee	Henry McMaster	Republican Party	Republican Party
SC	administrativeArea1	deputyHeadOfGovernment	South Carolina	ocd-division/country:us/state:sc	South Carolina	ocd-division/country:us/state:sc	f14f4be0-e53a-4256-831d-faac4af1e9e1		Lieutenant Governor of South Carolina	Lieutenant Governor			2027-01-13		2019-01-09		2026-11-03	1967-08-28	Pamela_Evette					https://governor.sc.gov/sites/governor/files/Documents/Images/Lt.%20Gov.%20Evette%20Re-Resized_0.jpg	https://acceleratesc.my.site.com/constituents/s/contact-the-governor		1100 Gervais St, Columbia, SC 29201	(803) 734-2100	https://governor.sc.gov/lieutenant-governor			c4d6bfc7-cbcf-4e38-a675-0dc5dcb497ff	Pamela Evette	Republican Party	Republican Party
SC	administrativeArea1	governmentOfficer	South Carolina	ocd-division/country:us/state:sc	South Carolina	ocd-division/country:us/state:sc	4e205f94-9928-4a0b-b4d1-01a301f2c601		SC Secretary of State	Secretary of State			2027-01-13		2003-01-15		2026-11-03	1963-11-29	Mark_Hammond_(American_politician)				https://www.facebook.com/SecretaryOfStateMarkHammond/	https://sos.sc.gov/sites/sos/files/Documents/Images/SAM_6321_600.jpg	https://sos.sc.gov/contact-and-feedback		1205 Pendleton St, Ste 525, Columbia, SC 29201	(803) 734-2170	https://sos.sc.gov/			79cfc7e4-830b-4a83-b7ee-ff0722aa823f	Mark Hammond	Republican Party	Republican Party
SC	administrativeArea1	governmentOfficer	South Carolina	ocd-division/country:us/state:sc	South Carolina	ocd-division/country:us/state:sc	8a5b402f-d10e-4bc8-aaf6-b4d8940b4d3d		SC State Attorney General	Attorney General			2027-01-13		2011-01-12		2026-11-03	1973-07-16	Alan_Wilson_(South_Carolina_politician)	https://www.youtube.com/channel/UCBMm4Cu_TtVmYlsje2X_Ecw	https://www.instagram.com/scattygen/	SCAttyGenOffice	https://www.facebook.com/SCAttyGen	https://www.scag.gov/media/ie5nqrqm/about-meet.jpg	https://www.scag.gov/about-the-office/contact-us/		P.O. Box 11549, Columbia, SC 29211	(803) 734-3970	https://www.scag.gov/			a044819e-af3b-4c12-a43b-31dade8ca690	Alan Wilson	Republican Party	Republican Party
SC	administrativeArea1	governmentOfficer	South Carolina	ocd-division/country:us/state:sc	South Carolina	ocd-division/country:us/state:sc	54a94354-f895-4c29-8f02-efa7d5ebb785		SC State Commissioner of Agriculture	State Agriculture Commissioner			2027-01-13		2004-09-01		2026-11-03	1956-06-27	Hugh_Weathers		https://www.instagram.com/sc.agriculture/	SCDAgriculture	https://www.facebook.com/SCDAgriculture	https://agriculture.sc.gov/wp-content/uploads/2020/07/Weathers-Head-Shot-685x1024.jpg	https://agriculture.sc.gov/about/contact/	hweathe@scda.sc.gov	P.O. Box 11280 Columbia, SC 29211	(803) 734-2190	https://agriculture.sc.gov/			ea926603-aaed-4c3f-8f01-5b94ba0d04da	Hugh E. Weathers	Republican Party	Republican Party
SC	administrativeArea1	governmentOfficer	South Carolina	ocd-division/country:us/state:sc	South Carolina	ocd-division/country:us/state:sc	e53485c0-74a6-4606-a851-d574c6631007		SC State Comptroller	State Comptroller			2027-01-13		2023-05-12		2026-11-03		Brian_J._Gaines					https://cg.sc.gov/sites/cg/files/Documents/Images/Brian%20Gaines.png	https://cg.sc.gov/contact	cgoffice@cg.sc.gov	1200 Senate St, Wade Hampton Office Building Ste 305, Columbia, SC 29201	(803) 734-2121	https://cg.sc.gov/			1f59ae23-fc54-42c8-a8bb-1bc32c4128d7	Brian J. Gaines	Unaffiliated	Unaffiliated
