State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
NM	country	legislatorUpperBody	United States	ocd-division/country:us	New Mexico	ocd-division/country:us/state:nm	9be8021d-a56b-439f-af77-ee8924303238		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2013-01-03		2030-11-05	1971-10-17	Martin_Heinrich	https://www.youtube.com/channel/UCBxh8IK5sMxY0Ln_0G2NYcg	https://www.instagram.com/senatormartinheinrich/	MartinHeinrich	https://www.facebook.com/MartinHeinrich	https://www.heinrich.senate.gov/imo/media/image/Heinrich_About_Portrait1.jpg	https://www.heinrich.senate.gov/contact/write-martin		709 Hart Senate Office Building, 120 Constitution Ave NE, Washington DC 20510	(202) 224-5521	https://www.heinrich.senate.gov/			d03558fa-3158-4b81-b7fc-06db7610115c	Martin Heinrich	Democratic Party	Democratic Party
NM	country	legislatorUpperBody	United States	ocd-division/country:us	New Mexico	ocd-division/country:us/state:nm	47d647cc-d75d-4e83-beca-3ed68e01c8c9		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2021-01-03		2026-11-03	1972-06-07	Ben_Ray_Luján	https://www.youtube.com/channel/UCcO5AmF8HuJo4d0awEbst7Q	https://www.instagram.com/senatorlujan/	SenatorLujan	https://www.facebook.com/SenatorLujan/	https://www.lujan.senate.gov/wp-content/uploads/2021/01/Lujan-Official-Photo-crop.jpg	https://www.lujan.senate.gov/contact/contact-form/		498 Russell Senate Office Building, 2 Constitution Ave NE, Washington DC 20510	(202) 224-6621	https://www.lujan.senate.gov/			214ca1d4-8c0a-42d9-aa8c-09f1c9b75ba6	Ben Ray Luján	Democratic Party	Democratic Party
NM	country	legislatorLowerBody	United States	ocd-division/country:us	New Mexico's 1st congressional district	ocd-division/country:us/state:nm/cd:1	7078f49e-b076-4b34-a269-7d482561a881	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-06-01		2026-11-03	1979-01-31	Melanie_Stansbury	https://www.youtube.com/channel/UCcAQlm2gRM2NjRUpzc4kBNw	https://www.instagram.com/RepStansbury	Rep_Stansbury	https://www.facebook.com/RepStansbury/	https://www.congress.gov/img/member/s001218_200.jpg	https://stansbury.house.gov/contact	repstansburypress@mail.house.gov	1421 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-6316	https://stansbury.house.gov/			a57a55d5-d062-4dd3-b0d0-44e69b171849	Melanie Stansbury	Democratic Party	Democratic Party
NM	country	legislatorLowerBody	United States	ocd-division/country:us	New Mexico's 2nd congressional district	ocd-division/country:us/state:nm/cd:2	a9b32298-cd58-4055-b919-14a88f08156f	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1984-08-03	Gabe_Vasquez		https://www.instagram.com/repgabevasquez/	repgabevasquez	https://www.facebook.com/RepGabeVasquez/	https://vasquez.house.gov/sites/evo-subsites/vasquez.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/rep_vasquez_gabe.jpg?itok=6z4XR9YW	https://vasquez.house.gov/address_authentication?form=/contact	nm02constituentservices@mail.house.gov	322 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-2365	https://vasquez.house.gov/			4ac9b3d8-c0d8-4647-af5d-47ecc8c9bca8	Gabe Vasquez	Democratic Party	Democratic Party
NM	country	legislatorLowerBody	United States	ocd-division/country:us	New Mexico's 3rd congressional district	ocd-division/country:us/state:nm/cd:3	450ab563-c253-4b37-a152-fd3e9668079c	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1959-07-01	Teresa_Leger_Fernandez	https://www.youtube.com/channel/UCrNf1uQEmfRZ0Q4G8pTzqfg	https://www.instagram.com/repteresalf	RepTeresaLF	https://www.facebook.com/RepTeresaLF/	https://fernandez.house.gov/uploadedphotos/highresolution/e83a1bdd-66f6-4b3a-bbc5-4c309a87ad9c.jpg	https://fernandez.house.gov/contact		2417 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-6190	https://fernandez.house.gov/			513768a9-6a2f-4485-9ee3-580a23115fd8	Teresa Leger Fernandez	Democratic Party	Democratic Party
NM	administrativeArea1	headOfGovernment	New Mexico	ocd-division/country:us/state:nm	New Mexico	ocd-division/country:us/state:nm	945a9c41-f9d2-4e52-a339-59af7eddc3e1		Governor of New Mexico	Governor			2026-12-31		2019-01-01		2026-11-03	1959-10-24	Michelle_Lujan_Grisham	https://www.youtube.com/channel/UCWVWbeIUHc2nl-SQgTMczNA	https://www.instagram.com/govmlg/	GovMLG	https://www.facebook.com/GovMLG/	https://www.governor.state.nm.us/wp-content/uploads/2018/12/Michelle-Lujan-Grisham.jpg	https://www.governor.state.nm.us/contact-the-governor/		490 Old Santa Fe Trail, Room 400, Santa Fe, NM 87501	(505) 476-2200	https://www.governor.state.nm.us/			189616c2-553a-46f6-9085-99932c02b492	Michelle Lujan Grisham	Democratic Party	Democratic Party
NM	administrativeArea1	deputyHeadOfGovernment	New Mexico	ocd-division/country:us/state:nm	New Mexico	ocd-division/country:us/state:nm	4d61515b-e1f8-44b4-ae5f-74e51199b548		Lieutenant Governor of New Mexico	Lieutenant Governor			2026-12-31		2019-01-01		2026-11-03	1973-01-05	Howie_Morales	https://www.youtube.com/@lt.governorhowiemoralesnew1326	https://www.instagram.com/lt.gov.howiemorales/	LtGovMorales	https://www.facebook.com/LtGovMorales/	https://www.lgo.nm.gov/wp-content/uploads/2019/08/lt-gov-howie-morales-headshot.jpg	https://www.lgo.nm.gov/contact-form-lt-gov/		490 Old Santa Fe Trail, Room 417, Santa Fe, NM 87501	(505) 476-2250	http://www.ltgov.state.nm.us/			66a2ce2d-5416-43e2-92b0-3cc4c57a21f3	Howie Morales	Democratic Party	Democratic Party
NM	administrativeArea1	governmentOfficer	New Mexico	ocd-division/country:us/state:nm	New Mexico	ocd-division/country:us/state:nm	65a30a99-188d-407d-8675-fd027c2c0d5f		NM Secretary of State	Secretary of State			2026-12-31		2016-12-09		2026-11-03		Maggie_Toulouse_Oliver		https://www.instagram.com/nm_sos/	NMSecOfState	https://www.facebook.com/NMSecOfState/	https://www.sos.state.nm.us/wp-content/uploads/2019/04/maggie.jpg		sos.elections@state.nm.us	325 Don Gaspar Ave, Ste 300, Santa Fe, NM 87501	(800) 477-3632	https://www.sos.state.nm.us/			e425b045-3c7e-43b2-8abc-a6883148aa8c	Maggie Toulouse Oliver	Democratic Party	Democratic Party
NM	administrativeArea1	governmentOfficer	New Mexico	ocd-division/country:us/state:nm	New Mexico	ocd-division/country:us/state:nm	48f8d64c-0d38-4d3e-8d1a-f64ff0ae7f45		NM State Attorney General	Attorney General			2026-12-31		2023-01-01		2026-11-03		Raúl_Torrez	https://www.youtube.com/channel/UCAM1ZvNFyjSKpGNArfUL6XA	https://www.instagram.com/nmagofficial/	NewMexicoOAG	https://www.facebook.com/NMAttorneyGeneral/	https://pbs.twimg.com/profile_images/1611144986749243392/m2caX5Sf_400x400.jpg			408 Galisteo St, Santa Fe, NM 87501	(505) 490-4060	https://www.nmag.gov/			c50c65c8-3d38-4a38-bc1a-2f3cb3803c10	Raúl Torrez	Democratic Party	Democratic Party
NM	administrativeArea1	governmentOfficer	New Mexico	ocd-division/country:us/state:nm	New Mexico	ocd-division/country:us/state:nm	eedf041c-b099-4c7f-95e9-d6690f499452		NM State Auditor	State Auditor			2026-12-31		2023-01-01		2026-11-03		Joseph_Maestas	https://www.youtube.com/@auditorstateofnm5733		Maestas4NM	https://www.facebook.com/joseph.maestas.98	https://www.saonm.org/wp-content/uploads/2023/01/MaestasJoseph-0025Digital.jpg		joseph.maestas@osa.state.nm.us	2540 Camino Edward Ortiz, Ste A, Santa Fe, NM 87507	(505) 476-3800	https://www.saonm.org/			55ee5011-7a9c-4325-a000-2b7cee7a3701	Joseph M. Maestas	Democratic Party	Democratic Party
