State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
AZ	country	legislatorUpperBody	United States	ocd-division/country:us	Arizona	ocd-division/country:us/state:az	992c2d34-e804-4c58-87b7-096a9f4a201c		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2025-01-03		2030-11-05	1979-11-20	Ruben_Gallego		https://www.instagram.com/senrubengallego/	SenRubenGallego	https://www.facebook.com/SenRubenGallego/	https://www.gallego.senate.gov/wp-content/uploads/2025/02/Official-Portrait-web.jpg	https://www.gallego.senate.gov/contact/		SR-188 Russell Senate Office Building, 2 Constitution Ave, NE, Washington, DC 20510	(202) 224-4521	https://www.gallego.senate.gov/		senrubengallego	245a131d-20d3-41fd-af0d-7edfcc8aa654	Ruben Gallego	Democratic Party	Democratic Party
AZ	country	legislatorUpperBody	United States	ocd-division/country:us	Arizona	ocd-division/country:us/state:az	62fbacd2-1f4d-454c-a205-a59055368805		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2020-12-02		2028-11-07	1964-02-21	Mark_Kelly	https://www.youtube.com/@SenMarkKelly	https://www.instagram.com/senmarkkelly/	SenMarkKelly	https://www.facebook.com/SenMarkKelly	https://www.kelly.senate.gov/wp-content/uploads/2020/11/kellyseated-1024x682.jpg	https://www.kelly.senate.gov/contact/contact-form/		516 Hart Senate Office Building, 120 Constitution Ave NE, Washington DC 20510	(202) 224-2235	https://www.kelly.senate.gov/			52547b39-995c-4158-9da6-979a9d7f80be	Mark Kelly	Democratic Party	Democratic Party
AZ	country	legislatorLowerBody	United States	ocd-division/country:us	Arizona's 1st congressional district	ocd-division/country:us/state:az/cd:1	e2dbc761-0314-433b-8f22-79b2b621dd06	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2011-01-03		2026-11-03	1962-03-03	David_Schweikert	https://www.youtube.com/@RepDavidSchweikert	https://www.instagram.com/repdavid/	RepDavid	https://www.facebook.com/repdavidschweikert	https://schweikert.house.gov/wp-content/themes/schweikert/dist/img/home-hero.png	https://schweikert.house.gov/email/		166 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-2190	https://schweikert.house.gov/			ad931d7b-c046-4105-832d-618590085549	David Schweikert	Republican Party	Republican Party
AZ	country	legislatorLowerBody	United States	ocd-division/country:us	Arizona's 2nd congressional district	ocd-division/country:us/state:az/cd:2	950bb765-83c5-47aa-a174-4d237dad3c04	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1980-01-03	Eli_Crane	https://www.youtube.com/@rep.elicrane	https://www.instagram.com/rep.elicrane	RepEliCrane	https://www.facebook.com/rep.elicrane	https://crane.house.gov/wp-content/uploads/2024/03/crane.png	https://crane.house.gov/contact		307 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-3361	https://crane.house.gov/			e667d7f4-0efc-493e-bf44-17d389f1a5a2	Eli Crane	Republican Party	Republican Party
AZ	country	legislatorLowerBody	United States	ocd-division/country:us	Arizona's 3rd congressional district	ocd-division/country:us/state:az/cd:3	a08f5cd9-aba5-4f28-b87e-50dfc7869f55	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1992-04-07	Yassamin_Ansari		https://www.instagram.com/repyassansari/	RepYassAnsari	https://www.facebook.com/repyassansari	https://ansari.house.gov/sites/evo-subsites/ansari.house.gov/files/styles/large/public/evo-media-image/2024-11-19_ike_ansari_yassamin_0017_re_select.jpg.webp?itok=FRW7lgPT	https://ansari.house.gov/address_authentication?form=/contact/email-me		1432 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-4065	https://ansari.house.gov/			835a6240-c36e-4a64-bf19-86027b1d26a9	Yassamin Ansari	Democratic Party	Democratic Party
AZ	country	legislatorLowerBody	United States	ocd-division/country:us	Arizona's 4th congressional district	ocd-division/country:us/state:az/cd:4	876e334d-5e8c-4621-a597-f13eab1581c9	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1970-03-08	Greg_Stanton	https://www.youtube.com/@repgregstanton	https://www.instagram.com/repgregstanton/	RepGregStanton	https://www.facebook.com/repgregstanton	https://stanton.house.gov/index.cfm?a=Files.Serve&File_id=DC90418B-ECC5-4FA7-8BE2-07B67ECCFB4C	https://stanton.house.gov/email-me		207 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-9888	https://stanton.house.gov/		repgregstanton	20cab7e8-9f01-470c-bd80-cf26c58a0f27	Greg Stanton	Democratic Party	Democratic Party
AZ	country	legislatorLowerBody	United States	ocd-division/country:us	Arizona's 5th congressional district	ocd-division/country:us/state:az/cd:5	bde6baff-02b7-4bfc-a9cc-96a6cff6f430	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-01-03		2026-11-03	1958-11-07	Andy_Biggs	https://www.youtube.com/channel/UCqSq9kWOxk9yNTeILBCVC1w	https://www.instagram.com/repandybiggs/	RepAndyBiggsAZ	https://www.facebook.com/RepAndyBiggs	https://biggs.house.gov/sites/evo-subsites/biggs.house.gov/files/styles/evo_featured_image/public/featured_image/BIGGSWEBSITEPORTRAIT.png?h=cefefc08&itok=hH1FO-rZ	https://biggs.house.gov/contact/email		464 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-2635	https://biggs.house.gov/			619dbae7-0ac2-45ab-bf96-7abb282b92d7	Andy Biggs	Republican Party	Republican Party
AZ	country	legislatorLowerBody	United States	ocd-division/country:us	Arizona's 6th congressional district	ocd-division/country:us/state:az/cd:6	761afabd-760a-44dc-b1eb-0e733cbd8fe8	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1982-08-31	Juan_Ciscomani	https://www.youtube.com/channel/UCD329AYGX7YnMMSUaTKWHwA	https://www.instagram.com/repjuanciscomani/	RepCiscomani	https://www.facebook.com/repciscomani/	https://ciscomani.house.gov/sites/evo-subsites/ciscomani.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/2022-11-15_np_ciscomani_juan_0004_re_select.jpg?itok=XhWXuVki	https://ciscomani.house.gov/address_authentication?form=/contact		461 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-2542	https://ciscomani.house.gov/			c5929bc8-9c60-4d89-b7a9-d5b84a2ee700	Juan Ciscomani	Republican Party	Republican Party
AZ	country	legislatorLowerBody	United States	ocd-division/country:us	Arizona's 7th congressional district	ocd-division/country:us/state:az/cd:7	93f6a47f-2108-43a8-9f96-722d8ce29992	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-11-12		2026-11-03	1970-10-30	Adelita_Grijalva		https://www.instagram.com/repgrijalva/	Rep_Grijalva	https://www.facebook.com/repadelitasgrijalva	https://grijalva.house.gov/sites/evo-subsites/grijalva.house.gov/files/styles/large/public/evo-media-image/copy_c1bf8422-4591-4ae5-a419-a7b9f79fc60b.jpeg.webp?itok=lVvPGQsV			1203 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-2435	https://grijalva.house.gov/			4fb534a2-44c7-43d1-a971-d9c768db78b5	Adelita Grijalva	Democratic Party	Democratic Party
AZ	country	legislatorLowerBody	United States	ocd-division/country:us	Arizona's 8th congressional district	ocd-division/country:us/state:az/cd:8	f5baee1e-cd87-4db8-adb6-a1cc7539bc18	District 8	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1991-05-15	Abraham_Hamadeh		https://www.instagram.com/repabehamadeh/	RepAbeHamadeh	https://www.facebook.com/RepAbeHamadeh	https://hamadeh.house.gov/sites/evo-subsites/hamadeh.house.gov/files/styles/large/public/evo-media-image/hamadeh.jpeg.webp?itok=owxlrk43	https://hamadeh.house.gov/address_authentication?form=/contact/email-me		1722 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-4576	https://hamadeh.house.gov/			dbe7b0f9-d8c9-4a03-a8e3-a4e398cc0da3	Abraham Hamadeh	Republican Party	Republican Party
