State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
OR	country	legislatorUpperBody	United States	ocd-division/country:us	Oregon	ocd-division/country:us/state:or	eaf4e3ac-5ce8-46e2-9f02-406712bd85dd		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2021-01-03		2026-11-03	1956-10-24	Jeff_Merkley	https://www.youtube.com/user/SenatorJeffMerkley	https://www.instagram.com/senjeffmerkley/	SenJeffMerkley	https://www.facebook.com/jeffmerkley	https://www.merkley.senate.gov/imo/media/image/small_merkley_photo.jpg	https://www.merkley.senate.gov/contact		513 Hart Senate Office Building, Washington DC 20510	(202) 224-3753	https://www.merkley.senate.gov/			368b2873-162c-479d-9a8f-b58ebecb7b2b	Jeff Merkley	Democratic Party	Democratic Party
OR	country	legislatorUpperBody	United States	ocd-division/country:us	Oregon	ocd-division/country:us/state:or	52ab3a29-631a-4894-82c4-ecab44b7c4da		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		1996-01-30		2028-11-07	1949-05-03	Ron_Wyden	https://www.youtube.com/user/SenRonWyden	https://www.instagram.com/ronwyden/	RonWyden	https://www.facebook.com/senatorronwyden/	https://www.wyden.senate.gov/imo/media/image/060921_version2.jpg	https://www.wyden.senate.gov/contact/email-ron		221 Dirksen Senate Office Building, Washington DC 20510	(202) 224-5244	https://www.wyden.senate.gov/			ab4c6d89-6b26-4d0b-98bf-d36dd5e53d94	Ron Wyden	Democratic Party	Democratic Party
OR	country	legislatorLowerBody	United States	ocd-division/country:us	Oregon's 1st congressional district	ocd-division/country:us/state:or/cd:1	6fe43b98-dd0d-41ef-ac5e-e742c5850760	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2012-02-17		2026-11-03	1954-10-14	Suzanne_Bonamici	https://www.youtube.com/user/RepSuzanneBonamici	https://www.instagram.com/RepBonamici/	RepBonamici	https://www.facebook.com/CongresswomanBonamici	https://bonamici.house.gov/sites/evo-subsites/bonamici.house.gov/files/styles/large/public/wysiwyg_uploaded/BonamiciOfficalPhoto-small.jpg?itok=Z4NP97Q6	https://bonamici.house.gov/contact		2231 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-0855	https://bonamici.house.gov/			b68916ad-d75d-49ce-bd43-5902a29ad9af	Suzanne Bonamici	Democratic Party	Democratic Party
OR	country	legislatorLowerBody	United States	ocd-division/country:us	Oregon's 2nd congressional district	ocd-division/country:us/state:or/cd:2	32481d9a-33a2-4d6f-adbb-b651b9d1f4d3	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1952-01-12	Cliff_Bentz		https://www.instagram.com/RepBentz/	RepBentz	https://www.facebook.com/RepBentz	https://bentz.house.gov/sites/evo-subsites/bentz.house.gov/files/styles/large/public/evo-media-image/Official%20Portrait%20-%20Congressman%20Cliff%20Bentz%20%28OR-02%29%20WEBSITE.jpg?itok=rNrcC08k	https://bentz.house.gov/zip_authentication?form=/contact		409 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-6730	https://bentz.house.gov/			c8295de6-5c29-4354-9982-c6071c70a3cb	Cliff Bentz	Republican Party	Republican Party
OR	country	legislatorLowerBody	United States	ocd-division/country:us	Oregon's 3rd congressional district	ocd-division/country:us/state:or/cd:3	eb7e4905-b35b-4faa-a13a-5ccae03378ef	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1972-12-05	Maxine_Dexter	https://www.youtube.com/channel/UCUB8hSXH9tKX8sEU99jrprg	https://www.instagram.com/repdexteror	RepDexterOR	https://www.facebook.com/RepDexterOR/	https://dexter.house.gov/sites/evo-subsites/dexter.house.gov/files/styles/large/public/evo-media-image/dexter_maxine_replace.jpg.webp?itok=HCZM4dKp	https://dexter.house.gov/contact/email-me		1207 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-4811	https://dexter.house.gov/		repdexteror	0644543a-00a4-4cc0-9aa0-044e3f3ea2f9	Maxine Dexter	Democratic Party	Democratic Party
OR	country	legislatorLowerBody	United States	ocd-division/country:us	Oregon's 4th congressional district	ocd-division/country:us/state:or/cd:4	4d751b66-6a30-4639-b6b5-b891f98bfc38	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1964-02-14	Val_Hoyle		https://www.instagram.com/RepHoyle/	RepValHoyle	https://www.facebook.com/people/Val-Hoyle/100089086878873/	https://hoyle-staging.creativengine.com/imo/media/image/rep.-hoyle-headshot_or04.jpg	https://hoyle.house.gov/contact/email-val?clear		1620 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-6416	https://hoyle.house.gov/			72fe66da-8de9-43f1-ac1e-4e626055a21a	Val Hoyle	Democratic Party	Democratic Party
OR	country	legislatorLowerBody	United States	ocd-division/country:us	Oregon's 5th congressional district	ocd-division/country:us/state:or/cd:5	2a585a7d-68ff-4a83-8bcd-d6f9621eafba	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1975-01-31	Janelle_Bynum		https://www.instagram.com/repbynum	RepBynum	https://www.facebook.com/repbynum	https://bynum.house.gov/sites/evo-subsites/bynum.house.gov/files/styles/large/public/evo-media-image/2024-11-14_ike_bynum_janelle_0020_re_web.jpg.webp?itok=UopzRw8j	https://bynum.house.gov/address_authentication?form=/contact/email-me		1508 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-5711	https://bynum.house.gov/	rep.bynum	repbynum	fae4909a-2dbd-4f61-ab65-8a71c6662ec5	Janelle Bynum	Democratic Party	Democratic Party
OR	country	legislatorLowerBody	United States	ocd-division/country:us	Oregon's 6th congressional district	ocd-division/country:us/state:or/cd:6	426c7608-963c-48e0-85cc-cf327f13185c	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1969-12-06	Andrea_Salinas	https://www.youtube.com/@repsalinas	https://www.instagram.com/repsalinas/	repsalinas	https://www.facebook.com/RepSalinas	https://salinas.house.gov/sites/evo-subsites/salinas.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/rep_salinas_andrea_official.jpg?itok=WfDFgkEz	https://salinas.house.gov/address_authentication?form=/contact		403 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-5643	https://salinas.house.gov/		repsalinas	1af5f10d-e806-43fc-a6db-772b44735787	Andrea Salinas	Democratic Party	Democratic Party
OR	administrativeArea1	headOfGovernment	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	40b402a7-f112-4287-8de4-13a2bfd37006		Governor of Oregon	Governor			2027-01-04		2023-01-02		2026-11-03		Tina_Kotek			GovTinaKotek	https://www.facebook.com/GovTinaKotek	https://www.oregon.gov/gov/Headshots/meet-tina-image-2000px.jpg			900 Court Street, Suite 254, Salem, OR 97301-4047	(503) 378-4582	https://www.oregon.gov/gov/Pages/index.aspx			44945694-64b4-4909-8026-a2c7968dcf8d	Tina Kotek	Democratic Party	Democratic Party
OR	administrativeArea1	governmentOfficer	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	75f866aa-fe9d-41be-aea8-02bc162e418f		OR Secretary of State	Secretary of State			2029-01-01		2025-01-06		2028-11-07	1975-07-01	Tobias_Read			ORSecretaryRead	https://www.facebook.com/oregonsos	https://sos.oregon.gov/PublishingImages/Tobias-Read.jpg		oregon.sos@sos.oregon.gov	900 Court St NE, Capitol Rm 136, Salem, OR 97301	(503) 986-1523	https://sos.oregon.gov/Pages/index.aspx			a69fb647-1567-4a14-9efe-c7a928fd6884	Tobias Read	Democratic Party	Democratic Party
OR	administrativeArea1	governmentOfficer	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	2f244720-27b6-46d0-b942-d43edfe8704b		OR State Attorney General	Attorney General			2029-01-01		2025-01-06		2028-11-07	1979-03-01	Dan_Rayfield			ORDOJ		https://www.doj.state.or.us/wp-content/uploads/2024/12/Rayfield_400x600x96_4-17x6-25-250x375.jpg		attorneygeneral@doj.oregon.gov	1162 Court St NE, Salem, OR 97301-4096	(503) 378-4400	https://www.doj.state.or.us/			0481ffd0-dbc6-4d0d-83f9-25fcb69a527a	Dan Rayfield	Democratic Party	Democratic Party
OR	administrativeArea1	governmentOfficer	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	6e792e48-fbc0-4094-a974-7d8e5ec7915e		OR State Commissioner of Labor and Industries	State Labor Commissioner			2027-01-04		2023-01-02		2026-11-03		Christina_Stephenson					https://www.oregon.gov/boli/about/PublishingImages/commissionerStephenson.png		boli_help@boli.oregon.gov	800 NE Oregon St., Suite 1045, Portland, OR 97232	(971) 245-3844	https://www.oregon.gov/boli/Pages/index.aspx			45b37891-b347-4b3d-a1b5-4e2503e5f65b	Christina E. Stephenson	Nonpartisan	Nonpartisan
OR	administrativeArea1	highestCourtJudge	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	ef0226ff-a201-41f7-aa0f-c2c5f5237532	Position 3	OR State Supreme Court Justice	State Supreme Court Justice	OR Supreme Court		2031-01-06				2030-11-05		Meagan_Flynn					https://www.courts.oregon.gov/PublishingImages/ChiefJusticeMeaganFlynn01-CreditJonathanHouseWEBSM.jpg			1163 State St, Salem, OR 97301	(503) 986-5676	https://www.courts.oregon.gov/courts/appellate/supreme/Pages/justices.aspx			6d30cdbc-4d25-4afe-9989-132184aa500d	Meagan A. Flynn	Nonpartisan	Nonpartisan
OR	administrativeArea1	highestCourtJudge	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	8350f760-df27-4be9-816e-eb6a792a4441	Position 5	OR State Supreme Court Justice	State Supreme Court Justice	OR Supreme Court		2031-01-06		2023-09-01		2030-11-05		Aruna_Masih								1163 State St, Salem, OR 97301	(503) 986-5674	https://www.courts.oregon.gov/courts/appellate/supreme/Pages/justices.aspx			35069c33-e697-43d0-8e72-9adfb412a400	Aruna A. Masih	Nonpartisan	Nonpartisan
OR	administrativeArea1	highestCourtJudge	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	6bb6aed4-f5bb-452b-b192-09d13b32b464	Position 6	OR State Supreme Court Justice	State Supreme Court Justice	OR Supreme Court		2029-01-01		2022-01-21		2028-11-07		Roger_DeHoog					https://pbs.twimg.com/media/FJfKOXeWQAE0h1n?format=jpg&name=large			1163 State St, Salem, OR 97301	(503) 986-5701	https://www.courts.oregon.gov/courts/appellate/supreme/Pages/justices.aspx			3f091533-e859-441a-a850-be225d64321f	Roger J. DeHoog	Nonpartisan	Nonpartisan
OR	administrativeArea1	highestCourtJudge	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	e830120e-0e21-4eb8-8ef4-fb5925c44826	Position 7	OR State Supreme Court Justice	State Supreme Court Justice	OR Supreme Court		2031-01-06		2023-01-01		2030-11-05		Bronson_James					https://www.courts.oregon.gov/PublishingImages/James200px.jpg			1163 State St, Salem, OR 97301	(503) 986-5628	https://www.courts.oregon.gov/courts/appellate/supreme/Pages/justices.aspx			6afd2549-1fdc-41a9-9a64-d001741420c3	Bronson D. James	Nonpartisan	Nonpartisan
OR	administrativeArea1	highestCourtJudge	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	d13768f6-b960-4f8e-93a0-be25e12863c3	Position 4	OR State Supreme Court Justice	State Supreme Court Justice	OR Supreme Court		2027-01-04				2026-11-03		Christopher_L._Garrett					https://willamette.edu/law/images/faculty/adjunct/garrett-chris-800.jpg			1163 State St, Salem, OR 97301	(503) 986-5672	https://www.courts.oregon.gov/courts/appellate/supreme/Pages/justices.aspx			e06d65fc-f534-4a82-97e3-449d1b785ae2	Christopher L. Garrett	Nonpartisan	Nonpartisan
OR	administrativeArea1	highestCourtJudge	Oregon	ocd-division/country:us/state:or	Oregon	ocd-division/country:us/state:or	e7ba47cc-e9a7-4d4a-aaf7-95d3f98318f1	Position 2	OR State Supreme Court Justice	State Supreme Court Justice	OR Supreme Court		2031-01-06				2030-11-05		Rebecca_Duncan								1163 State St, Salem, OR 97301	(503) 986-5670	https://www.courts.oregon.gov/courts/appellate/supreme/Pages/justices.aspx			77f8d445-419e-4d7d-a350-9107df615b5c	Rebecca A. Duncan	Nonpartisan	Nonpartisan
