State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
DE	country	legislatorLowerBody	United States	ocd-division/country:us	Delaware	ocd-division/country:us/state:de	96d068c8-9217-429d-8da8-8faa99a57079		U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1990-08-09	Sarah_McBride		https://www.instagram.com/congresswomansarahmcbride/	Rep_McBride	https://www.facebook.com/CongresswomanSarahMcBride/	https://mcbride.house.gov/sites/evo-subsites/mcbride.house.gov/files/styles/large/public/evo-media-image/mcbride.jpeg.webp?itok=QpFc0Iou	https://mcbride.house.gov/contact		1306 Longworth House Office Building, Washington, DC 20515-0800	(202) 225-4165	https://mcbride.house.gov/			fbc7509f-1852-4654-a302-68d5ce45ccfb	Sarah McBride	Democratic Party	Democratic Party
DE	country	legislatorUpperBody	United States	ocd-division/country:us	Delaware	ocd-division/country:us/state:de	8beac214-146c-42e7-8f19-47c5c05a5bdd		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2025-01-03		2026-11-03	1962-02-10	Lisa_Blunt_Rochester	https://www.youtube.com/channel/UClJ6I_ROFdJTEKqgfBWM8XA	https://www.instagram.com/lbr/	SenatorLBR	https://www.facebook.com/SenLBR/	https://lisabluntrochester.com/wp-content/uploads/2024/03/h12.png	https://www.bluntrochester.senate.gov/		Dirksen Senate Office Building, Washington, DC 20510	(202) 224-2441	https://www.bluntrochester.senate.gov/			fb9b3583-a3c1-4595-b50a-dca2146654ed	Lisa Blunt Rochester	Democratic Party	Democratic Party
DE	country	legislatorUpperBody	United States	ocd-division/country:us	Delaware	ocd-division/country:us/state:de	67a7587c-9cca-45c1-a756-0df56077861f		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2010-11-15		2026-11-03	1963-09-09	Chris_Coons	https://www.youtube.com/senatorchriscoons	https://www.instagram.com/senatorchriscoons/	SenCoonsOffice	https://www.facebook.com/senatorchriscoons	https://www.coons.senate.gov/imo/media/image/OfficialPortrait41.jpg	https://www.coons.senate.gov/contact/share-your-opinion		218 Russell Senate Office Building, Washington DC 20510	(202) 224-5042	https://www.coons.senate.gov/			f775e421-73d9-44b2-982f-635d21d7379e	Christopher A. Coons	Democratic Party	Democratic Party
DE	administrativeArea1	governmentOfficer	Delaware	ocd-division/country:us/state:de	Delaware	ocd-division/country:us/state:de	d713de5c-6cb6-438c-8166-cf043e1ca108		DE State Attorney General	Attorney General			2027-01-05		2019-01-01		2026-11-03		Kathy_Jennings	https://www.youtube.com/user/DelawareDOJ/feed/	https://www.instagram.com/de_doj/	DE_DOJ	https://www.facebook.com/DE.AttorneyGeneral/	https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2020/09/ag-hero-sample-1.jpg		attorney.general@delaware.gov	820 N. French Street, Wilmington, DE 19801	(302) 577-8400	https://attorneygeneral.delaware.gov/			69472ccd-37c5-438d-bb9d-4dedf483e0f7	Kathy Jennings	Democratic Party	Democratic Party
DE	administrativeArea1	governmentOfficer	Delaware	ocd-division/country:us/state:de	Delaware	ocd-division/country:us/state:de	ba7aa141-5794-4a60-92a2-3bad2460b73d		DE State Auditor of Accounts	State Auditor			2027-01-05		2023-01-03		2026-11-03		Lydia_York				https://www.facebook.com/DEAuditor	https://auditor.delaware.gov/wp-content/uploads/sites/209/2022/12/Lydia-York-DE-State-Auditor_300px.jpg		auditorofaccounts@delaware.gov	401 Federal Street Third Floor Dover, DE 19901	(302) 739-4241	https://auditor.delaware.gov/			59aeeb78-76ed-4cc8-af62-017802c84522	Lydia E. York	Democratic Party	Democratic Party
DE	administrativeArea1	governmentOfficer	Delaware	ocd-division/country:us/state:de	Delaware	ocd-division/country:us/state:de	5edd3891-8c66-4fd1-8f4e-871dbd2ad75c		DE State Insurance Commissioner	State Insurance Commissioner			2029-01-04		2017-01-03		2028-11-07		Trinidad_Navarro	https://www.youtube.com/user/DeptOfInsurance			https://www.facebook.com/commissionernavarro/	https://insurance.delaware.gov/wp-content/uploads/sites/15/2019/12/Official-Photo.jpg		insurance.commissioner@delaware.gov	1351 W North St, Ste 101, Dover, DE 19904	(302) 674-7300	https://insurance.delaware.gov/			3b037770-51b7-45a5-a36a-bf439202e9f7	Trinidad Navarro	Democratic Party	Democratic Party
DE	administrativeArea1	governmentOfficer	Delaware	ocd-division/country:us/state:de	Delaware	ocd-division/country:us/state:de	10d6c9d9-b2c4-4662-a836-b9db5e451553		DE State Treasurer	State Treasurer			2027-01-05		2019-01-01		2026-11-03		Colleen_Davis		https://www.instagram.com/treasurerdavis/	TreasurerDavis	https://www.facebook.com/TreasurerDavis	https://treasurer.delaware.gov/wp-content/uploads/sites/55/2019/03/NAST6629-0041-cropped-min-e1563293038623.jpg			820 Silver Lake Boulveard, Ste. 100, Dover, DE 19904	(302) 672-6700	https://treasurer.delaware.gov/			2fa9bb3d-20ae-42f5-b1d5-6f20631d634d	Colleen C. Davis	Democratic Party	Democratic Party
DE	administrativeArea1	headOfGovernment	Delaware	ocd-division/country:us/state:de	Delaware	ocd-division/country:us/state:de	9e1a7598-d87f-4616-9cd9-f693c0b95928		Governor of Delaware	Governor			2029-01-18		2025-01-07		2028-11-07	1971-09-29	Matt_Meyer		https://www.instagram.com/mattmeyerde/	MattMeyerDE	https://www.facebook.com/Meyer4DE/	https://nccde.org/ImageRepository/Document?documentID=16775	https://governor.delaware.gov/contact/		150 Martin Luther King Jr Blvd South, Dover, DE 19901	(302) 744-4101	https://governor.delaware.gov/			96154e55-949d-4369-9b26-72c3de946a60	Matt Meyer	Democratic Party	Democratic Party
DE	administrativeArea1	deputyHeadOfGovernment	Delaware	ocd-division/country:us/state:de	Delaware	ocd-division/country:us/state:de	5739192f-aee9-4384-9333-6dfd7a17f079		Lieutenant Governor of Delaware	Lieutenant Governor			2029-01-18		2025-01-07		2028-11-07	1986-06-14	Kyle_Evans_Gay		https://www.instagram.com/kyleevansgay/		https://www.facebook.com/KyleEvansGay/	https://legis.delaware.gov/f4167671-3751-4322-804a-192549cf72b1	https://ltgov.delaware.gov/contact/		150 Martin Luther King Jr. Blvd South, 3rd Floor, Dover, DE 19901	(302) 744-4333	https://ltgov.delaware.gov/			662c729f-6c17-4ee1-b205-53a1120f78d4	Kyle Evans Gay	Democratic Party	Democratic Party
DE	administrativeArea1	legislatorLowerBody	Delaware	ocd-division/country:us/state:de	Delaware State House district 1	ocd-division/country:us/state:de/sldl:1	65984459-5b4c-4f69-b126-47b4b4e28c03	District 1	DE State Representative	State Representative	DE State House		2027-01-06		2018-11-07		2026-11-03		Nnamdi_Chukwuocha		https://www.instagram.com/nnamdi1ststaterep/		https://www.facebook.com/RepNnamdiChukwuocha/	https://housedems.delaware.gov/wp-content/blogs.dir/210/files/sites/210/2023/02/Chukwuocha.jpg		nnamdi.chukwuocha@delaware.gov	411 Legislative Ave. Dover, DE 19901	(302) 744-4351	https://legis.delaware.gov/AssemblyMember/151/Chukwuocha			71699e63-4526-47fb-97e1-af50b32213d7	Nnamdi O. Chukwuocha	Democratic Party	Democratic Party
