State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
NC	country	legislatorUpperBody	United States	ocd-division/country:us	North Carolina	ocd-division/country:us/state:nc	b138ce8f-1453-4718-8e29-148f1a655b76		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2015-01-03		2026-11-03	1960-08-30	Thom_Tillis	https://www.youtube.com/channel/UCUD9VGV4SSGWjGdbn37Ea2w	https://www.instagram.com/senthomtillis/	SenThomTillis	https://www.facebook.com/SenatorThomTillis	https://www.tillis.senate.gov/services/files/3110AF64-7CEC-48DA-924B-0FA107BFFF61	https://www.tillis.senate.gov/email-me		113 Dirksen Senate Office Building, Washington DC 20510	(202) 224-6342	https://www.tillis.senate.gov/			b0dc4d0b-561e-456b-a410-7090fa427296	Thom Tillis	Republican Party	Republican Party
NC	country	legislatorUpperBody	United States	ocd-division/country:us	North Carolina	ocd-division/country:us/state:nc	ac8f4ff1-1ad4-4970-9da4-30ecaa2ab02b		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2023-01-03		2028-11-07	1971-10-21	Ted_Budd	https://www.youtube.com/@sentedbudd	https://www.instagram.com/sentedbudd/	SenTedBuddNC	https://www.facebook.com/SenTedBudd/	https://www.budd.senate.gov/wp-content/uploads/2023/01/Budd_Ted-010423-JS7-031_V3-VERSION-2-819x1024.jpg	https://www.budd.senate.gov/share-your-opinion/		B85 Russell Senate Office Building Washington, DC 20510	(202) 224-3154	https://www.budd.senate.gov/			8df8c5da-976e-4f3e-9aa8-8d7bddda0b1c	Ted Budd	Republican Party	Republican Party
NC	country	legislatorLowerBody	United States	ocd-division/country:us	North Carolina's 1st congressional district	ocd-division/country:us/state:nc/cd:1	2aaa67f4-be6c-4108-a72d-dcdb189e1b00	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-01		2023-01-03		2026-11-03	1971-08-29	Don_Davis_(North_Carolina_politician)		https://www.instagram.com/RepDonDavis/	RepDonDavis	https://www.facebook.com/RepDonDavis	https://dondavis.house.gov/sites/evo-subsites/dondavis.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/rep_don_davis_official.jpg	https://dondavis.house.gov/contact/questions-comments		1123 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-3101	https://dondavis.house.gov/		repdondavis	5edccbf6-29d4-4ed8-93e4-151ed52ac383	Don Davis	Democratic Party	Democratic Party
NC	country	legislatorLowerBody	United States	ocd-division/country:us	North Carolina's 10th congressional district	ocd-division/country:us/state:nc/cd:10	84989009-6154-4e82-ad15-2b9bb9e7d63a	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-01		2025-01-03		2026-11-03		Pat_Harrigan	https://www.youtube.com/@CongressmanPatHarrigan	https://www.instagram.com/RepPatHarrigan	RepPatHarrigan	https://www.facebook.com/RepPatHarrigan	https://harrigan.house.gov/sites/evo-subsites/harrigan.house.gov/files/styles/large/public/evo-media-image/harrigan.jpeg.webp	https://harrigan.house.gov/contact/email-me		1233 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-2576	https://harrigan.house.gov/			e55f2119-d4eb-499d-b64f-65059da06fa9	Pat Harrigan	Republican Party	Republican Party
NC	country	legislatorLowerBody	United States	ocd-division/country:us	North Carolina's 11th congressional district	ocd-division/country:us/state:nc/cd:11	bba3a6ed-09d9-4869-b5c6-88922c3871c3	District 11	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-01		2023-01-03		2026-11-03	1960-09-13	Chuck_Edwards	https://www.youtube.com/@RepChuckEdwards/	https://www.instagram.com/RepChuckEdwards	RepChuckEdwards	https://www.facebook.com/RepChuckEdwards/	https://edwards.house.gov/sites/evo-subsites/edwards.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/official-chuck-edwards-nc11.jpg	https://edwards.house.gov/contact		1505 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-6401	https://edwards.house.gov/			471368b0-d663-48c8-9e4d-25570e0f7c2c	Chuck Edwards	Republican Party	Republican Party
NC	country	legislatorLowerBody	United States	ocd-division/country:us	North Carolina's 12th congressional district	ocd-division/country:us/state:nc/cd:12	d8e6410d-04be-461d-8243-e9cc61798f75	District 12	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-01		2014-11-04		2026-11-03	1946-05-27	Alma_Adams		https://www.instagram.com/repadams/	RepAdams	https://www.facebook.com/CongresswomanAdams/	https://adams.house.gov/sites/evo-subsites/adams.house.gov/files/styles/large/public/evo-media-image/Alma_Adams_official_portrait.jpg	https://adamsforms.house.gov/contact/		2436 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-0103	(202) 225-1510	https://adams.house.gov/		repadams	c2911117-4814-4aa9-8bee-0ac04c47ae01	Alma Adams	Democratic Party	Democratic Party
NC	country	legislatorLowerBody	United States	ocd-division/country:us	North Carolina's 13th congressional district	ocd-division/country:us/state:nc/cd:13	859900b5-2a0d-4b21-aa3c-8fef11b30794	District 13	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-01		2025-01-03		2026-11-03		Brad_Knott	https://www.youtube.com/@RepKnott	https://www.instagram.com/repknott/	RepKnott	https://www.facebook.com/RepKnott/	https://knott.house.gov/sites/evo-subsites/knott.house.gov/files/styles/large/public/evo-media-image/knott.jpeg.webp	https://knott.house.gov/contact/email-me		1239 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-4531	https://knott.house.gov/			364fc133-e518-4784-a7ba-d51b53458f89	Brad Knott	Republican Party	Republican Party
NC	country	legislatorLowerBody	United States	ocd-division/country:us	North Carolina's 14th congressional district	ocd-division/country:us/state:nc/cd:14	32169ba2-0596-42d3-b493-ba4572a4898e	District 14	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-01		2025-01-03		2026-11-03		Tim_Moore_(North_Carolina_politician)			RepTimMooreNC	https://www.facebook.com/CongressmanTimMoore	https://timmoore.house.gov/sites/evo-subsites/timmoore.house.gov/files/evo-media-image/2024_moore_tim_official.jpg	https://timmoore.house.gov/contact/email-me		1424 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-5634	https://timmoore.house.gov/			40860792-8d17-423e-954b-0c40094d005d	Tim Moore	Republican Party	Republican Party
NC	country	legislatorLowerBody	United States	ocd-division/country:us	North Carolina's 2nd congressional district	ocd-division/country:us/state:nc/cd:2	85339ebf-5b54-44e7-8366-769fd23880a3	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-01		2021-01-03		2026-11-03	1963-06-20	Deborah_K._Ross		https://www.instagram.com/repdeborahross/	RepDeborahRoss	https://www.facebook.com/RepDeborahRoss/	https://ross.house.gov/_cache/files/f/7/f7192048-76cb-47da-a25d-7536ff4b9074/8C2BDC068F7716CAB96F3590AFD596BD.2021-official-deborah-ross.jpg	https://rossforms.house.gov/forms/writeyourrep/		1221 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-3032	https://ross.house.gov/		repdeborahross	eabe2950-df95-484e-bc0e-233832dcf4e5	Deborah Ross	Democratic Party	Democratic Party
NC	country	legislatorLowerBody	United States	ocd-division/country:us	North Carolina's 3rd congressional district	ocd-division/country:us/state:nc/cd:3	6800bb1a-3327-478e-b9bd-7e43671557f5	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-01		2019-09-17		2026-11-03	1963-03-05	Greg_Murphy_(politician)	https://www.youtube.com/@congressmangregmurphym.d.8905	https://www.instagram.com/repgregmurphy	RepGregMurphy	https://www.facebook.com/RepGregMurphy/	https://clerk.house.gov/content/assets/img/members/M001210.jpg	https://gregmurphyforms.house.gov/contact/email-me.htm		407 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-3415	https://murphy.house.gov/			ec52ed76-c56c-4456-a4b6-37b1cd722847	Gregory F. Murphy	Republican Party	Republican Party
