State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
RI	country	legislatorUpperBody	United States	ocd-division/country:us	Rhode Island	ocd-division/country:us/state:ri	9dee36b9-2fd2-4232-9cef-f0a7777ee750		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2007-01-03		2030-11-05	1955-10-20	Sheldon_Whitehouse	https://www.youtube.com/user/SenatorWhitehouse	https://www.instagram.com/senwhitehouse/	SenWhitehouse	https://www.facebook.com/SenatorWhitehouse	https://pbs.twimg.com/profile_images/1783197080539807744/PEghSA8S_400x400.jpg	https://www.whitehouse.senate.gov/contact/email-sheldon		530 Hart Senate Office Building, Washington DC 20510	(202) 224-2921	https://www.whitehouse.senate.gov/			e48149e5-30f3-4c60-b88e-fc70d8283806	Sheldon Whitehouse	Democratic Party	Democratic Party
RI	country	legislatorUpperBody	United States	ocd-division/country:us	Rhode Island	ocd-division/country:us/state:ri	943c3585-b6f0-4173-bcc6-aaff4cb09c72		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		1997-01-03		2026-11-03	1949-11-12	Jack_Reed_(politician)	https://www.youtube.com/user/senatorreed		SenJackReed	https://www.facebook.com/SenJackReed	https://www.reed.senate.gov/imo/media/image/gridjfr1.jpg	https://www.reed.senate.gov/contact/email		728 Hart Senate Office Building, Washington DC 20510	(202) 224-4642	https://www.reed.senate.gov/			8a82d30b-e8a1-4300-b8aa-f489ca60dfc7	Jack Reed	Democratic Party	Democratic Party
RI	country	legislatorLowerBody	United States	ocd-division/country:us	Rhode Island's 1st congressional district	ocd-division/country:us/state:ri/cd:1	677a0074-5f8f-4955-8d6a-d19f0e23d80e	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-11-13		2026-11-03	1987-12-11	Gabe_Amo		https://www.instagram.com/repgabeamo/	RepGabeAmo	https://www.facebook.com/RepGabeAmo/	https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Gabe_Amo%2C_White_House_Deputy_Director.jpg/960px-Gabe_Amo%2C_White_House_Deputy_Director.jpg	https://amo.house.gov/address_authentication?form=/contact		1119 Longworth House Office Building, Washington, DC, 20515	(202) 225-4911	https://amo.house.gov/			d6050174-28ae-400b-80b1-114638b306b5	"Gabriel ""Gabe"" Amo"	Democratic Party	Democratic Party
RI	country	legislatorLowerBody	United States	ocd-division/country:us	Rhode Island's 2nd congressional district	ocd-division/country:us/state:ri/cd:2	f7ac0a76-d6db-4eea-9d44-a998acc964e9	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1983-07-22	Seth_Magaziner		https://www.instagram.com/rep.sethmagaziner/	Rep_Magaziner	https://www.facebook.com/repsethmagaziner/	https://magaziner.house.gov/sites/evo-subsites/magaziner.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/magaziner_seth_official_ri02.jpg?itok=GnhBu-E6	https://magaziner.house.gov/address_authentication?form=/contact		252 Cannon House Office Building Washington, DC 20515	(202) 225-2735	https://magaziner.house.gov/			07404cad-2c96-4052-ab95-f702da58f143	Seth M. Magaziner	Democratic Party	Democratic Party
RI	administrativeArea1	headOfGovernment	Rhode Island	ocd-division/country:us/state:ri	Rhode Island	ocd-division/country:us/state:ri	a9aaa6c4-bb93-4e5b-9ee7-d76ec99099d0		Governor of Rhode Island	Governor			2027-01-05		2021-03-02		2026-11-03		Daniel_McKee		https://www.instagram.com/govdanmckee/	GovDanMcKee	https://www.facebook.com/GovDanMckee/	https://governor.ri.gov/sites/g/files/xkgbur236/files/styles/max_2600x2600/public/2021-08/Gov.%20Dan%20Mckee%20Headshot%20July%202021_1.jpg?itok=k9LuFFW9			82 Smith Street, Providence, RI 02903	(401) 222-2080	https://governor.ri.gov/			2a6e71ef-661d-4a21-a98a-949378f1b90d	Daniel J. McKee	Democratic Party	Democratic Party
RI	administrativeArea1	deputyHeadOfGovernment	Rhode Island	ocd-division/country:us/state:ri	Rhode Island	ocd-division/country:us/state:ri	6ac207ac-b47a-4dca-a86d-f7c60f49c50b		Lieutenant Governor of Rhode Island	Lieutenant Governor			2027-01-05		2021-04-14		2026-11-03		Sabina_Matos		https://www.instagram.com/lgsabinamatos/	LGSabinaMatos	https://www.facebook.com/LGSabinaMatos	https://ltgov.ri.gov/sites/g/files/xkgbur491/files/styles/max_2600x2600/public/2021-05/Sabina-StatePhoto.png?itok=nPN4CFvW			82 Smith Street, Room 116, Providence, RI 02903	(401) 222-2371	http://www.ltgov.ri.gov/			5b5f3310-fb7b-46f3-aa08-2510fdc86866	Sabina Matos	Democratic Party	Democratic Party
RI	administrativeArea1	governmentOfficer	Rhode Island	ocd-division/country:us/state:ri	Rhode Island	ocd-division/country:us/state:ri	1257a0b3-8e73-4fee-8b8b-d528a3cf3fd1		RI Secretary of State	Secretary of State			2027-01-05		2023-01-02		2026-11-03	1966-10-28	Gregg_Amore		https://www.instagram.com/risecstate/	RISecState	https://www.facebook.com/RISecState	https://www.sos.ri.gov/assets/img/Secretary-Amore-Square-Headshot.jpg			82 Smith St, Providence, RI, United States, Rhode Island	(401) 222-2357	https://www.sos.ri.gov/			d318a2f8-8933-4a9d-b2f9-ae2cdb5844a3	Gregg Amore	Democratic Party	Democratic Party
RI	administrativeArea1	governmentOfficer	Rhode Island	ocd-division/country:us/state:ri	Rhode Island	ocd-division/country:us/state:ri	6ccb0db3-1f20-44e3-baa1-ff855b092452		RI State Attorney General	Attorney General			2027-01-05		2019-01-01		2026-11-03		Peter_Neronha	https://www.youtube.com/user/RIAttorneyGeneral		AGNeronha		http://www.riag.ri.gov/assets/img/PFN.jpg			150 South Main Street, Providence, RI 02903	(401) 274-4400	http://www.riag.ri.gov/			e4a02419-1ae7-48f9-8050-e8a3bfea378b	Peter F. Neronha	Democratic Party	Democratic Party
RI	administrativeArea1	governmentOfficer	Rhode Island	ocd-division/country:us/state:ri	Rhode Island	ocd-division/country:us/state:ri	913a030f-6e60-4b6f-afb1-481606bb0b2a		RI State General Treasurer	State Treasurer			2027-01-05		2023-01-02		2026-11-03		James_Diossa		https://www.instagram.com/james_a_diossa/	RITreasury	https://www.facebook.com/TreasurerDiossa				82 Smith Street, Room 102 Providence, RI 02903	(401) 222-2397	https://treasury.ri.gov/			3de6d70b-3222-4702-9fd1-099ab9342e37	James A. Diossa	Democratic Party	Democratic Party
RI	administrativeArea1	legislatorLowerBody	Rhode Island	ocd-division/country:us/state:ri	Rhode Island State House district 1	ocd-division/country:us/state:ri/sldl:1	930e9a5b-8346-4325-9cf4-f1dcfeac424b	District 1	RI State Representative	State Representative	RI State House		2027-01-05		1993-01-05		2026-11-03		Edith_Ajello					http://www.rilegislature.gov/representatives/Pictures/ajello.jpg		rep-ajello@rilegislature.gov	82 Smith Street, Providence, RI 02903	(401) 274-7078	https://www.rilegislature.gov/representatives/Ajello/Pages/Biography.aspx			07fa9777-3b53-44ba-a1fa-d463c415ce23	Edith H. Ajello	Democratic Party	Democratic Party
