State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
VA	country	legislatorUpperBody	United States	ocd-division/country:us	Virginia	ocd-division/country:us/state:va	39029335-490b-406c-9de0-ebfb7d7cee74		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2009-01-03		2026-11-03	1954-12-15	Mark_Warner	https://www.youtube.com/user/SenatorMarkWarner	https://www.instagram.com/senatorwarner/	MarkWarner	https://www.facebook.com/MarkRWarner	https://upload.wikimedia.org/wikipedia/commons/1/14/Mark_Warner%2C_official_112th_Congress_Senate_portrait.jpg	https://www.warner.senate.gov/public/index.cfm?p=ContactPage		703 Hart Senate Office Building, Washington, DC 20510	(202) 224-2023	https://warner.senate.gov/			8118c4de-74d1-4b86-87ca-85832eb16b04	Mark R. Warner	Democratic Party	Democratic Party
VA	country	legislatorUpperBody	United States	ocd-division/country:us	Virginia	ocd-division/country:us/state:va	edf0b4c8-760a-440a-9637-d6cc3bd41523		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2013-01-03		2030-11-05	1958-02-26	Tim_Kaine	https://www.youtube.com/@SenatorKaine/	https://www.instagram.com/sentimkaine/	timkaine	https://www.facebook.com/SenatorKaine	https://upload.wikimedia.org/wikipedia/commons/a/a3/Tim_Kaine_116th_official_portrait.jpg	https://www.kaine.senate.gov/contact/share-your-opinion		231 Russell Senate Office Building, Washington DC 20510	(202) 224-4024	https://www.kaine.senate.gov/			0209fe1f-ee03-4bb5-b842-93ddce4fa047	Tim Kaine	Democratic Party	Democratic Party
VA	country	legislatorLowerBody	United States	ocd-division/country:us	Virginia's 1st congressional district	ocd-division/country:us/state:va/cd:1	08c598f6-69c6-4599-aee1-b80116937cde	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2007-12-11		2026-11-03	1959-02-03	Rob_Wittman	https://www.youtube.com/user/RobWittman	https://www.instagram.com/reprobwittman/	RobWittman	https://www.facebook.com/RepRobWittman	https://upload.wikimedia.org/wikipedia/commons/5/5b/Rob_Wittman_117th_Congress.jpeg	https://wittman.house.gov/contact/		2055 Rayburn House Office Building, Washington, DC 20515	(202) 225-4261	https://wittman.house.gov/			ffd42701-dc2a-4459-b7cc-30a498ec6db0	Rob Wittman	Republican Party	Republican Party
VA	country	legislatorLowerBody	United States	ocd-division/country:us	Virginia's 10th congressional district	ocd-division/country:us/state:va/cd:10	e96f7880-e0f2-4abe-a7ff-0f9d9bbe54f9	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1986-09-26	Suhas_Subramanyam	https://www.youtube.com/@RepSuhas	https://www.instagram.com/repsuhas	RepSuhas	https://www.facebook.com/RepSuhasSubramanyam/	https://apps.senate.virginia.gov/Senator/images/member_photos/Subramanyam32	https://subramanyam.house.gov/address_authentication?form=/contact/email-me		1009 Longworth House Office Building, Washington, DC 20515	(202) 225-5136	https://subramanyam.house.gov/			9b92fd54-6589-4b93-9f37-34fd989e6ac9	Suhas Subramanyam	Democratic Party	Democratic Party
VA	country	legislatorLowerBody	United States	ocd-division/country:us	Virginia's 11th congressional district	ocd-division/country:us/state:va/cd:11	efd978d7-c7f2-4e2b-9b60-45e354d14188	District 11	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-09-10		2026-11-03	1982-10-22	James_Walkinshaw		https://www.instagram.com/rep_walkinshaw/	Rep_Walkinshaw	https://www.facebook.com/RepJamesWalkinshaw/	https://upload.wikimedia.org/wikipedia/commons/9/90/James_Walkinshaw_speaking_at_forum_01_%28cropped%29.jpg	https://walkinshaw.house.gov/contact		2265 Rayburn House Office Building, Washington, DC 20515	(202) 225-1492	https://walkinshaw.house.gov/		rep_walkinshaw	1bc80e1a-7729-4fb0-8680-d9ae4900a7a6	James Walkinshaw	Democratic Party	Democratic Party
VA	country	legislatorLowerBody	United States	ocd-division/country:us	Virginia's 2nd congressional district	ocd-division/country:us/state:va/cd:2	546a4c88-9ea2-4307-8ee2-d36bed000022	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1971-06-18	Jen_Kiggans	https://www.youtube.com/@repjenkiggans	https://www.instagram.com/repjenkiggans/	RepJenKiggans	https://www.facebook.com/repjenkiggans/	https://pbs.twimg.com/profile_images/1808252403562561538/xVq0rJY1_400x400.jpg	https://kiggans.house.gov/contact		152 Cannon House Office Building, Washington, DC 20515	(202) 225-4215	https://kiggans.house.gov/			615fd006-e900-4fd0-8d1c-8c05dfc46b64	Jen Kiggans	Republican Party	Republican Party
VA	country	legislatorLowerBody	United States	ocd-division/country:us	Virginia's 3rd congressional district	ocd-division/country:us/state:va/cd:3	1fe7c101-bfbe-4d02-a0d3-edccaaaf15b8	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1993-01-03		2026-11-03	1947-04-30	Bobby_Scott_(politician)	https://www.youtube.com/user/RepBobbyScott	https://www.instagram.com/repbobbyscott/	BobbyScott	https://www.facebook.com/RepBobbyScott/	https://bobbyscott.house.gov/sites/evo-subsites/bobbyscott.house.gov/files/styles/evo_image_portrait_480/public/wysiwyg_uploaded/RCS_Official_Photo_2016_optimized.jpg?itok=HaNmsMIO	https://bobbyscott.house.gov/address_authentication?form=/contact		2328 Rayburn House Office Building, Washington, DC 20515	(202) 225-8351	https://bobbyscott.house.gov/		repbobbyscott	2b620d8e-014f-4398-b161-314919b7c6b5	Bobby Scott	Democratic Party	Democratic Party
VA	country	legislatorLowerBody	United States	ocd-division/country:us	Virginia's 4th congressional district	ocd-division/country:us/state:va/cd:4	733cf1b0-e806-4ddc-8427-53430e3f7988	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-03-07		2026-11-03	1972-12-28	Jennifer_McClellan	https://www.youtube.com/@RepMcClellan	https://www.instagram.com/RepMcClellan/	RepMcClellan	https://www.facebook.com/RepMcClellan/	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Jennifer_McClellan_2021.jpg/600px-Jennifer_McClellan_2021.jpg	https://mcclellan.house.gov/address_authentication?form=/contact/email-me		1628 Longworth House Office Building, Washington, DC 20004	(202) 225-6365	https://mcclellan.house.gov/		repmcclellan	510fcfc1-91d8-4b66-8f93-6e83ae247810	Jennifer McClellan	Democratic Party	Democratic Party
VA	country	legislatorLowerBody	United States	ocd-division/country:us	Virginia's 5th congressional district	ocd-division/country:us/state:va/cd:5	fc44618d-010f-4db3-b854-e092e5a33e90	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1968-08-24	John_McGuire_(Virginia_politician)	https://www.youtube.com/@CongressmanJohnMcGuire	https://www.instagram.com/repjohnmcguire	RepJohnMcGuire	https://www.facebook.com/RepJohnMcGuire/	https://apps.senate.virginia.gov/Senator/images/member_photos/McGuire10	https://mcguire.house.gov/address_authentication?form=/contact/email-me		1013 Longworth House Office Building, Washington, DC 20515	(202) 225-4711	https://mcguire.house.gov/			867bc16b-3a64-4e65-82ad-3e5ee1e3f6a7	John McGuire	Republican Party	Republican Party
VA	country	legislatorLowerBody	United States	ocd-division/country:us	Virginia's 6th congressional district	ocd-division/country:us/state:va/cd:6	b441af68-2646-425d-83ce-77ad0b1dfb45	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1972-02-29	Ben_Cline	https://www.youtube.com/@congressmanbencline8000	https://www.instagram.com/RepBenCline/	RepBenCline	https://www.facebook.com/RepBenCline	https://upload.wikimedia.org/wikipedia/commons/8/89/Ben_Cline%2C_official_portrait%2C_116th_Congress.jpg	https://cline.house.gov/contact/		2443 Rayburn House Office Building, Washington, DC 20515	(202) 225-5431	https://cline.house.gov/		repbencline	1c2e6535-cf16-4baf-993e-42c1f050ae16	Ben Cline	Republican Party	Republican Party
