State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
KS	country	legislatorUpperBody	United States	ocd-division/country:us	Kansas	ocd-division/country:us/state:ks	18d3ed78-ff74-4c5a-9918-0b834a911526		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2011-01-03		2028-11-07	1954-05-29	Jerry_Moran	https://www.youtube.com/user/SenatorJerryMoran		JerryMoran	http://www.facebook.com/jerrymoran	https://www.moran.senate.gov/public/_cache/files/0/b/0b05daec-0f72-4431-9c1c-1b2c4c881ef7/BDB80658631F416B597B8435C83E833A.2011-official-photo---senator-jerry-moran-display.jpg	https://www.moran.senate.gov/public/index.cfm/connect?p=e-mail-jerry		521 Dirksen Senate Office Building, Washington DC 20510	(202) 224-6521	https://www.moran.senate.gov/			76f9058b-c3ba-4103-bf79-35f1397ce7bf	Jerry Moran	Republican Party	Republican Party
KS	country	legislatorUpperBody	United States	ocd-division/country:us	Kansas	ocd-division/country:us/state:ks	922c818d-4615-4b2d-a7e5-0f4f86dd2ac7		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2021-01-03		2026-11-03	1960-08-09	Roger_Marshall_(politician)	https://www.youtube.com/channel/UCR3nOFMqBB-kRpKFwgapMaQ	https://www.instagram.com/senrogermarshall/	repmarshall	https://www.facebook.com/RogerMarshallMD/	https://www.marshall.senate.gov/wp-content/uploads/Hi-Res-Photo-1-1638x2048.jpg	https://www.marshall.senate.gov/contact/contact-form/		479A Russell Senate Office Building Washington DC 20002	(202) 224-4774	https://www.marshall.senate.gov/			00601351-6365-4128-ba33-81ebbcb119b5	Roger Marshall	Republican Party	Republican Party
KS	country	legislatorLowerBody	United States	ocd-division/country:us	Kansas's 1st congressional district	ocd-division/country:us/state:ks/cd:1	c850cd1b-c977-4049-899f-5af389ed5986	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1976-12-17	Tracey_Mann	https://www.youtube.com/@rep.traceymann167	https://www.instagram.com/reptraceymann/	RepMann	https://www.facebook.com/RepTraceyMann/	https://mann.house.gov/sites/evo-subsites/mann.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/TMann%20headshot%20w%20pin.jpg	https://mann.house.gov/contact		344 Cannon House Office Building, Washington, DC 20515	(202) 225-2715	https://mann.house.gov/			def05ee5-a2af-41fc-8320-9706399abb5f	Tracey Mann	Republican Party	Republican Party
KS	country	legislatorLowerBody	United States	ocd-division/country:us	Kansas's 2nd congressional district	ocd-division/country:us/state:ks/cd:2	fcf66930-3118-477f-b2fe-b126f1a889db	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Derek_Schmidt	https://www.youtube.com/@RepDerekSchmidt	https://www.instagram.com/RepDerekSchmidt	RepDerekSchmidt	https://www.facebook.com/repderekschmidt/	https://schmidt.house.gov/sites/evo-subsites/schmidt.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/2024_schmidt_derek_official.jpg	https://schmidt.house.gov/contact/email-me		1223 Longworth House Office Building, Washington, DC 20515	(202) 225-6601	https://schmidt.house.gov/			8ce9bbc7-907d-44d7-b927-eac07a46d102	Derek Schmidt	Republican Party	Republican Party
KS	country	legislatorLowerBody	United States	ocd-division/country:us	Kansas's 3rd congressional district	ocd-division/country:us/state:ks/cd:3	a6492765-73bd-4c22-add8-bcc3192c91a4	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1980-05-22	Sharice_Davids	https://www.youtube.com/@RepShariceDavids	https://www.instagram.com/repdavids/	RepDavids	https://www.facebook.com/RepDavids	https://davids.house.gov/sites/evo-subsites/davids.house.gov/files/styles/large/public/wysiwyg_uploaded/Official%20Portrait_2.jpg	https://davids.house.gov/contact/email-me		2435 Rayburn House Office Building, Washington, DC 20515	(202) 225-2865	https://davids.house.gov/			cba69918-5fde-4ca9-be36-fe9304327419	Sharice Davids	Democratic Party	Democratic Party
KS	country	legislatorLowerBody	United States	ocd-division/country:us	Kansas's 4th congressional district	ocd-division/country:us/state:ks/cd:4	9b7a3f4d-4ce2-4255-8a7f-4ba2e4a23049	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-04-25		2026-11-03	1956-07-19	Ron_Estes	https://www.youtube.com/@RepRonEstes	https://www.instagram.com/RepRonEstes/	RepRonEstes	https://www.facebook.com/RepRonEstes	https://clerk.house.gov/images/members/E000298.jpg	https://estes.house.gov/contact/		2234 Rayburn House Office Building, Washington, DC 20515	(202) 225-6216	https://estes.house.gov/			88cbdea7-25d8-41d8-8ddc-df0d36899c93	Ron Estes	Republican Party	Republican Party
KS	administrativeArea1	headOfGovernment	Kansas	ocd-division/country:us/state:ks	Kansas	ocd-division/country:us/state:ks	4361d9e5-3f3d-4061-8736-53a2a849df81		Governor of Kansas	Governor			2027-01-11		2019-01-14		2026-11-03	1950-01-24	Laura_Kelly	https://www.youtube.com/channel/UChH3fB2PkiJjZlo55c9UH2Q	https://www.instagram.com/govlaurakelly/	GovLauraKelly	https://www.facebook.com/GovLauraKelly/	https://governor.kansas.gov/wp-content/uploads/2019/01/Kansas-Governor.jpg	https://governor.kansas.gov/questions_form/		300 SW 10th Ave, Ste 241S, Topeka, KS 66612-1590	(785) 296-3232	https://governor.kansas.gov/			64a3323c-1e80-4db1-af6e-1e718326ffbe	Laura Kelly	Democratic Party	Democratic Party
KS	administrativeArea1	governmentOfficer	Kansas	ocd-division/country:us/state:ks	Kansas	ocd-division/country:us/state:ks	c54eea54-46c6-4986-b4ef-f70514b09339		KS Secretary of State	Secretary of State			2027-01-11		2019-01-14		2026-11-03	1972-07-09	Scott_Schwab	https://www.youtube.com/@kansassecretaryofstate/		kansassos	https://www.facebook.com/KansasSecretaryofState/	https://sos.ks.gov/images/about-the-office/Schwab_Headshot.jpg		kssos@ks.gov	915 SW Harrison Street, Topeka, KS 66612	(785) 296-4564	https://sos.kansas.gov/			a8104874-2490-48e0-8b1c-39d421565bd7	Scott Schwab	Republican Party	Republican Party
KS	administrativeArea1	governmentOfficer	Kansas	ocd-division/country:us/state:ks	Kansas	ocd-division/country:us/state:ks	022b50d7-ebaa-44e1-acbb-b28c2228a0fc		KS State Attorney General	Attorney General			2027-01-11		2023-01-09		2026-11-03	1966-03-26	Kris_Kobach			ksagoffice	https://www.facebook.com/OAGKansas/	https://ag.ks.gov/images/default-source/ag-photos/kobach.jpg?sfvrsn=953bbd1a_0	https://www.ag.ks.gov/about-us/contact-us/email-us		120 SW 10th Ave, 2nd Floor, Topeka, KS 66612-1597	(785) 296-2215	https://ag.ks.gov/			7ad07de3-cb35-4426-8420-d956acf18985	Kris Kobach	Republican Party	Republican Party
KS	administrativeArea1	governmentOfficer	Kansas	ocd-division/country:us/state:ks	Kansas	ocd-division/country:us/state:ks	e53a0431-c7f4-494c-b48f-3fc88c774da0		KS State Insurance Commissioner	State Insurance Commissioner			2027-01-11		2019-01-14		2026-11-03	1955-09-15	Vicki_Schmidt			KSinsurancedept	https://www.facebook.com/KSinsurancedept/	https://insurance.kansas.gov/wp-content/uploads/2023/02/Schmidt053_wkd_crop.jpg		kdoi@ks.gov	1300 SW Arrowhead Rd, Topeka, KS 66604-4073	(785) 296-3071	https://insurance.kansas.gov/			b9d761fb-5805-4f01-9cb4-e1268e94b57a	Vicki Schmidt	Republican Party	Republican Party
