State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
AL	country	legislatorUpperBody	United States	ocd-division/country:us	Alabama	ocd-division/country:us/state:al	0742c0c6-94da-4842-bb0b-299053c9dbd5		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2023-01-03		2028-11-07	1982-02-02	Katie_Britt		https://www.instagram.com/senkatiebritt/	SenKatieBritt	https://www.facebook.com/senkatiebritt/	https://www.britt.senate.gov/wp-content/uploads/2022/12/Britt-Initial-1.jpg	https://www.britt.senate.gov/share-your-opinion/		B40A Dirksen Senate Office Building, 50 Constitution Ave NE, Washington, DC 20510	(202) 224-5744	https://www.britt.senate.gov/about/			ae61fd5f-861c-4689-aeb4-6177b8bc5649	Katie Boyd Britt	Republican Party	Republican Party
AL	country	legislatorUpperBody	United States	ocd-division/country:us	Alabama	ocd-division/country:us/state:al	d2714541-908f-4f3b-b7dc-2201ad690dbb		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2021-01-03		2026-11-03	1954-09-18	Tommy_Tuberville	https://www.youtube.com/c/SenTuberville	https://www.instagram.com/sentuberville/	sentuberville	https://www.facebook.com/SenatorTuberville/	https://www.senate.gov/general/resources/graphic/medium/tuberville-tommy.png	https://www.tuberville.senate.gov/contact/contact-form/		142 Russell Senate Office Building Washington, DC 20510	(202) 224-4124	https://www.tuberville.senate.gov/			a9482354-8133-4869-9cd6-c1b8c20ed6d8	Tommy Tuberville	Republican Party	Republican Party
AL	country	legislatorLowerBody	United States	ocd-division/country:us	Alabama's 1st congressional district	ocd-division/country:us/state:al/cd:1	2e50150a-04f4-4bf5-b226-3ded65b23352	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1966-09-26	Barry_Moore_(American_politician)		https://www.instagram.com/repbarrymoore	RepBarryMoore	https://www.facebook.com/RepBarryMoore/	https://barrymoore.house.gov/sites/evo-subsites/barrymoore.house.gov/files/evo-media-image/2020_Official_Moore_Barry.jpg	https://barrymoore.house.gov/contact		1511 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-2901	https://barrymoore.house.gov/			01013817-9e33-4891-b35b-39dadcdb4b17	Barry Moore	Republican Party	Republican Party
AL	country	legislatorLowerBody	United States	ocd-division/country:us	Alabama's 2nd congressional district	ocd-division/country:us/state:al/cd:2	ecee50ee-4623-4427-b3d0-72a3b9af14fc	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Shomari_Figures		https://www.instagram.com/repscfigures/		https://www.facebook.com/profile.php?id=61571773900898	https://figures.house.gov/sites/evo-subsites/figures.house.gov/files/styles/large/public/evo-media-image/official-headshot-4.jpg.webp	https://figures.house.gov/contact/email-me		225 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-4931	https://figures.house.gov/		repscfigures	d5b07a1a-26bd-455e-a89f-4e09960bce90	Shomari Figures	Democratic Party	Democratic Party
AL	country	legislatorLowerBody	United States	ocd-division/country:us	Alabama's 3rd congressional district	ocd-division/country:us/state:al/cd:3	88e57e00-6402-4743-86a6-ebaa3884c379	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2003-01-03		2026-11-03	1958-07-16	Mike_Rogers_(Alabama_politician)	https://www.youtube.com/@MikeRogersAL03	https://www.instagram.com/repmikerogersal/	RepMikeRogersAL	https://www.facebook.com/CongressmanMikeDRogers	https://mikerogers.house.gov/uploadedphotos/highresolution/74a60b2b-ad56-4898-8b08-0cb15f2447dd.jpg	https://mikerogers.house.gov/contact/		2469 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-0103	(202) 225-3261	https://mikerogers.house.gov/			be4a0870-95a2-4f88-afb8-34064aa97dcd	Mike Rogers	Republican Party	Republican Party
AL	country	legislatorLowerBody	United States	ocd-division/country:us	Alabama's 4th congressional district	ocd-division/country:us/state:al/cd:4	8711b260-4bde-49ea-a9fa-c1374adb50c0	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1997-01-03		2026-11-03	1965-07-22	Robert_Aderholt	https://www.youtube.com/@RobertAderholt		Robert_Aderholt	https://www.facebook.com/RobertAderholt	https://aderholt.house.gov/sites/evo-subsites/aderholt-evo.house.gov/files/evo-media-image/RBA%20Headshot%202018_fullsize.jpg	https://aderholt.house.gov/contact-robert/write-me-about-a-policy-issue		272 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-4876	https://aderholt.house.gov/			f11447e6-b3fc-4fc1-beeb-972d0c3d08bc	Robert Aderholt	Republican Party	Republican Party
AL	country	legislatorLowerBody	United States	ocd-division/country:us	Alabama's 5th congressional district	ocd-division/country:us/state:al/cd:5	39a3243d-d9b6-41a8-977f-1fc14d4de729	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1970-05-08	Dale_Strong	https://www.youtube.com/@congressmandalestrong	https://www.instagram.com/repdalestrong/	RepDaleStrong	https://www.facebook.com/repdalestrong/	https://strong.house.gov/sites/evo-subsites/strong.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/rep.dale-strong-photo-compressed.jpg	https://strong.house.gov/contact		449 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-4801	https://strong.house.gov/			2a2bb363-0bca-486f-bd2a-349013888e97	Dale Strong	Republican Party	Republican Party
AL	country	legislatorLowerBody	United States	ocd-division/country:us	Alabama's 6th congressional district	ocd-division/country:us/state:al/cd:6	9866d977-b06a-41b0-b7dc-bb159dcfbd5c	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1954-05-14	Gary_Palmer_(politician)	https://www.youtube.com/@repgarypalmer	https://www.instagram.com/repgarypalmer/	USRepGaryPalmer	https://www.facebook.com/CongressmanGaryPalmer/	https://clerk.house.gov/images/members/P000609.jpg	https://palmer.house.gov/contact		170 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0106	(202) 225-4921	https://palmer.house.gov/			7206af9c-bde5-4aef-9cb5-daeeb244fc30	Gary Palmer	Republican Party	Republican Party
AL	country	legislatorLowerBody	United States	ocd-division/country:us	Alabama's 7th congressional district	ocd-division/country:us/state:al/cd:7	92311a4e-0c2e-4908-b02c-4fc90f58fa83	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2011-01-03		2026-11-03	1965-01-01	Terri_Sewell	https://www.youtube.com/@RepSewell	https://www.instagram.com/repterriasewell	RepTerriSewell	https://www.facebook.com/RepSewell	https://sewell.house.gov/_cache/files/1/0/1044556b-f649-41e1-9188-e3145d08d87a/B935153783D9602458DCCC14F363138F.23b047dfce944cc4cd79314d6987d775.final-headshot-photogallery.jpg	https://sewell.house.gov/email-me		1035 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-2665	https://sewell.house.gov/			720ff44c-611d-431d-860b-fb424016dc42	Terri Sewell	Democratic Party	Democratic Party
AL	administrativeArea1	governmentOfficer	Alabama	ocd-division/country:us/state:al	Alabama	ocd-division/country:us/state:al	7003dc4d-18dc-48f2-beb3-51d26b26650e		AL Secretary of State	Secretary of State			2027-01-18		2023-01-16		2026-11-03	1975-08-15	Wes_Allen_(politician)	https://www.youtube.com/user/alasecretaryofstate		alasecofstate	https://www.facebook.com/alasecretaryofstate/	https://www.sos.alabama.gov/sites/default/files/inline-images/AllenBioThumb_1_0_0.jpg		wes.allen@sos.alabama.gov	P.O. Box 5616 Montgomery, AL 36103-5616	(334) 242-7200	https://www.sos.alabama.gov/			03c06567-3604-49bf-b385-8d17aa455aae	Wes Allen	Republican Party	Republican Party
