State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
TN	country	legislatorUpperBody	United States	ocd-division/country:us	Tennessee	ocd-division/country:us/state:tn	fe1b7f67-5cc3-4087-b1da-242123ff0536		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2019-01-03		2030-11-05		Marsha_Blackburn	https://www.youtube.com/@SenMarshaBlackburn	https://www.instagram.com/marshablackburn/	MarshaBlackburn	https://www.facebook.com/marshablackburn/	https://www.blackburn.senate.gov/services/files/746CA709-6FB2-48F9-AF41-41A1B6C3E25D	https://www.blackburn.senate.gov/email-me		357 Dirksen Senate Office Building, Washington DC 20510	(202) 224-3344	https://www.blackburn.senate.gov/		marshablackburn	cdeaf34b-f1e0-4128-8568-9352807a03c3	Marsha Blackburn	Republican Party	Republican Party
TN	country	legislatorUpperBody	United States	ocd-division/country:us	Tennessee	ocd-division/country:us/state:tn	b6972cd6-2a77-407b-ab7f-146fbf3fe65d		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2021-01-03		2026-11-03	1959-08-14	Bill_Hagerty_(politician)	https://www.youtube.com/channel/UCqLlLx05ScUwxVHvevyaDFg	https://www.instagram.com/senatorhagerty/	SenatorHagerty	https://www.facebook.com/SenatorBillHagerty/	https://www.hagerty.senate.gov/wp-content/uploads/2021/09/official-photo-full-color.jpg	https://www.hagerty.senate.gov/email-me/		Russell Senate Office Building Room 248 Washington, DC 20002	(202) 224-4944	https://www.hagerty.senate.gov/			065cf875-c98b-4f21-92c6-952aae616014	Bill Hagerty	Republican Party	Republican Party
TN	country	legislatorLowerBody	United States	ocd-division/country:us	Tennessee's 1st congressional district	ocd-division/country:us/state:tn/cd:1	15bcc6ee-34fd-4d5c-9b80-482112c7e06c	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1960-01-01	Diana_Harshbarger	https://www.youtube.com/@rep.dianaharshbarger5584	https://www.instagram.com/repharshbarger/	RepHarshbarger	https://www.facebook.com/RepDianaHarshbarger/	https://harshbarger.house.gov/sites/evo-subsites/harshbarger.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/cae58c4e-90e0-4c72-8a2a-332ec4743347.jpg	https://harshbarger.house.gov/contact		167 Cannon House Office Building, Washington, DC 20515	(202) 225-6356	https://harshbarger.house.gov/			2fce7ef8-9681-4f69-ae7e-d9ca2bc2b7ae	Diana Harshbarger	Republican Party	Republican Party
TN	country	legislatorLowerBody	United States	ocd-division/country:us	Tennessee's 2nd congressional district	ocd-division/country:us/state:tn/cd:2	1b0070cc-ba87-4a1d-a12c-5276431f7103	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03		Tim_Burchett		https://www.instagram.com/reptimburchett/	RepTimBurchett	https://www.facebook.com/RepTimBurchett/	https://burchett.house.gov/sites/evo-subsites/burchett.house.gov/files/styles/evo_image_portrait_480/public/documents/Burchett_headshot.jpg	https://burchett.house.gov/contact/email-me		1122 Longworth House Office Building, Washington, DC 20515-4202	(202) 225-5435	https://burchett.house.gov/			5c6aab62-8a90-4570-a569-f224371ed83c	Tim Burchett	Republican Party	Republican Party
TN	country	legislatorLowerBody	United States	ocd-division/country:us	Tennessee's 3rd congressional district	ocd-division/country:us/state:tn/cd:3	ffa812a9-75ab-4b6d-81ff-493f7be6023d	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2011-01-03		2026-11-03	1962-10-11	Chuck_Fleischmann	https://www.youtube.com/@RepChuck	https://www.instagram.com/repchuck/	repchuck	https://www.facebook.com/repchuck	https://d3n8a8pro7vhmx.cloudfront.net/acquiredigitalsandbox/pages/802/attachments/original/1530130852/photo-1.jpg?1530130852	https://fleischmann.house.gov/contact/email		2187 Rayburn House Office Building, Washington, DC 20515	(202) 225-3271	https://fleischmann.house.gov/			380a635b-860a-4f07-97ca-58a18e291e4c	Chuck Fleischmann	Republican Party	Republican Party
TN	country	legislatorLowerBody	United States	ocd-division/country:us	Tennessee's 4th congressional district	ocd-division/country:us/state:tn/cd:4	3c41e5d0-7c44-494c-b1e9-e3c96554da14	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2011-01-03		2026-11-03	1964-02-21	Scott_DesJarlais	https://www.youtube.com/@ScottDesJarlaisTN04		DesJarlaisTN04	https://www.facebook.com/ScottDesJarlaisTN04	https://www.congress.gov/img/member/d000616_200.jpg	https://desjarlais.house.gov/email-me		2304 Rayburn House Office Building, Washington, DC 20515	(202) 225-6831	https://desjarlais.house.gov/			a8355357-952e-481f-8f0f-dc1c66efde44	Scott DesJarlais	Republican Party	Republican Party
TN	country	legislatorLowerBody	United States	ocd-division/country:us	Tennessee's 5th congressional district	ocd-division/country:us/state:tn/cd:5	b46bf5d1-ce2b-4ca1-9c7b-55125cf44b66	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1971-06-18	Andy_Ogles	https://www.youtube.com/@repandyogles	https://www.instagram.com/repandyogles/	RepOgles	https://www.facebook.com/RepAndyOgles	https://ogles.house.gov/sites/evo-subsites/ogles.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/ogles_andy_portrait.jpg	https://ogles.house.gov/address_authentication?form=/contact		151 Cannon House Office Building, Washington, DC 20515	(202) 225-4311	https://ogles.house.gov/			60c0363a-2253-4ea8-a873-a433fe99df6a	Andy Ogles	Republican Party	Republican Party
TN	country	legislatorLowerBody	United States	ocd-division/country:us	Tennessee's 6th congressional district	ocd-division/country:us/state:tn/cd:6	63dfc022-f6eb-4280-b5c6-e81afdf5314d	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03		John_Rose_(Tennessee_politician)			repjohnrose	https://www.facebook.com/repjohnrose	https://johnrose.house.gov/sites/evo-subsites/johnrose.house.gov/files/styles/large/public/evo-media-image/118th-official-headshot_0.jpg	https://johnrose.house.gov/contact		2238 Rayburn House Office Building, Washington, DC 20515	(202) 225-4231	https://johnrose.house.gov/			7cd2df84-9b03-4ce5-818c-8180c7175a4f	John W. Rose	Republican Party	Republican Party
TN	country	legislatorLowerBody	United States	ocd-division/country:us	Tennessee's 7th congressional district	ocd-division/country:us/state:tn/cd:7	89e4922b-c289-4c23-9ce7-358f00b72b16	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-12-04		2026-11-03	1983-03-29	Matt_Van_Epps		https://www.instagram.com/repvaneppstn/	MattForTN	https://www.facebook.com/RepVanEpps/	https://www.congress.gov/img/member/6931b7d5f478c0f1228e9abe_200.jpg	https://vanepps.house.gov/address_authentication?form=/contact/email-me		2446 Rayburn House Office Building, Washington, DC 20515	(202) 225-2811	https://vanepps.house.gov/			f3df5b7d-a247-429b-a1d2-9c072c5d2ecb	Matt Van Epps	Republican Party	Republican Party
TN	country	legislatorLowerBody	United States	ocd-division/country:us	Tennessee's 8th congressional district	ocd-division/country:us/state:tn/cd:8	81f98d45-b1ef-4a85-9b23-b9b044c1af62	District 8	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-01-03		2026-11-03		David_Kustoff	https://www.youtube.com/@congressmandavidkustoff9463	https://www.instagram.com/repdavidkustoff/	repdavidkustoff	https://www.facebook.com/RepDavidKustoff/	https://kustoff.house.gov/sites/evo-subsites/kustoff.house.gov/files/styles/large/public/evo-media-image/2023%20Offical%20Photo.jpg	https://kustoff.house.gov/contact/email		560 Cannon House Office Building, Washington, DC 20515	(202) 225-4714	https://kustoff.house.gov/			a1a9f2c2-4d08-4099-91cc-3701b453dddc	David Kustoff	Republican Party	Republican Party
TN	country	legislatorLowerBody	United States	ocd-division/country:us	Tennessee's 9th congressional district	ocd-division/country:us/state:tn/cd:9	5ccbd6d9-d5e6-4119-bbae-928eb86e67ef	District 9	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2007-01-03		2026-11-03	1949-05-24	Steve_Cohen	https://www.youtube.com/@RepCohen	https://www.instagram.com/repcohen/	RepCohen	https://www.facebook.com/CongressmanSteveCohen/	https://clerk.house.gov/images/members/C001068.jpg	https://cohen.house.gov/contact/email		2268 Rayburn House Office Building, Washington, DC 20515	(202) 225-3265	https://cohen.house.gov/		repcohen	f8f72ce6-90fa-4765-8405-5b06ccd75ea5	Steve Cohen	Democratic Party	Democratic Party
TN	administrativeArea1	headOfGovernment	Tennessee	ocd-division/country:us/state:tn	Tennessee	ocd-division/country:us/state:tn	bbe8ee8f-a596-4d9e-8c44-b749bab52e05		Governor of Tennessee	Governor			2026-01-17		2019-01-15		2026-11-03	1958-08-23	Bill_Lee_(Tennessee_politician)		https://www.instagram.com/govbilllee/	GovBillLee	https://www.facebook.com/GovBillLee	https://www.tn.gov/content/tn/governor/about-bill-lee/jcr%3acontent/content/tn_textandimage/image.img.png/1659032370619.png			600 Dr. M.L.K. Jr Blvd, 1st Floor, Nashville, TN 37243	(615) 741-2001	https://www.tn.gov/governor.html			1326ccfb-b99a-4a37-a33b-3ef5084fc13c	Bill Lee	Republican Party	Republican Party
TN	administrativeArea1	highestCourtJudge	Tennessee	ocd-division/country:us/state:tn	Tennessee	ocd-division/country:us/state:tn	6e587561-99c5-45db-883a-04032a40a77a	Division Middle	TN State Supreme Court Justice	State Supreme Court Justice	TN Supreme Court		2030-09-01		2014-07-16		2030-08-01		Jeffrey_S._Bivins					https://tncourts.gov/sites/default/files/judge_704_0.png			401 7th Avenue North, Suite 321, Nashville, TN 37219-1407	(615) 532-7945	https://tncourts.gov/courts/supreme-court/judges/jeffrey-s-bivins			2a15b111-0a2c-4d7b-9525-b060e0414e48	Jeffrey S. Bivins	Nonpartisan	Nonpartisan
TN	administrativeArea1	highestCourtJudge	Tennessee	ocd-division/country:us/state:tn	Tennessee	ocd-division/country:us/state:tn	e1abf3ab-453e-47e1-8001-dfbc0378b62f	Division Western	TN State Supreme Court Justice	State Supreme Court Justice	TN Supreme Court		2030-09-01		2014-09-01		2030-08-01		Holly_M._Kirby					https://tncourts.gov/sites/default/files/judge_560_2.png			100 Peabody Place, 11th Floor, Memphis, TN 38103	(901) 543-6910	https://tncourts.gov/courts/supreme-court/judges/holly-kirby			c7a641d9-cdcc-45e7-87b3-20ca8d3ec6fc	Holly Kirby	Nonpartisan	Nonpartisan
