State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
CA	country	legislatorUpperBody	United States	ocd-division/country:us	California	ocd-division/country:us/state:ca	025bd16b-bc20-4d58-9fc1-72971c09ae7d		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2023-01-03		2028-11-04	1973-03-22	Alex_Padilla		https://www.instagram.com/SenAlexPadilla/	SenAlexPadilla	https://www.facebook.com/SenAlexPadilla/	https://www.padilla.senate.gov/wp-content/uploads/Padilla_Alex-Headshot-2021-scaled.jpg	https://www.padilla.senate.gov/contact/contact-form/		B03 Russell Senate Office Building, Washington DC 20510	(202) 224-3553	https://www.padilla.senate.gov/			920dfb4d-f61e-44e1-b49d-153b8afce161	Alex Padilla	Democratic Party	Democratic Party
CA	country	legislatorUpperBody	United States	ocd-division/country:us	California	ocd-division/country:us/state:ca	f9e7e229-5430-4af3-bfa1-f5f92dce3b40		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2024-12-10		2030-11-05	1960-06-22	Adam_Schiff	https://www.youtube.com/adamschiff	https://www.instagram.com/SenAdamSchiff/	SenAdamSchiff	https://www.facebook.com/SenAdamSchiff	https://www.schiff.senate.gov/wp-content/uploads/2024/12/Adam_Schiff_official_portrait-768x963.jpg	https://www.schiff.senate.gov/get-in-touch/		112 Hart Senate Office Building, 120 Constitution Ave NE, Washington, DC 20510	(202) 224-3841	https://www.schiff.senate.gov/	adamschiff	senadamschiff	899e8b39-d0c7-46eb-aac7-d8f65db8d7c2	Adam Schiff	Democratic Party	Democratic Party
CA	country	legislatorLowerBody	United States	ocd-division/country:us	California's 1st congressional district	ocd-division/country:us/state:ca/cd:1	c29f9565-afac-4450-8bc4-1eb3f7ec6b84	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03				2026-11-03															11af520f-5f3b-450e-9c3d-ed606b3d8607	VACANT		
CA	country	legislatorLowerBody	United States	ocd-division/country:us	California's 10th congressional district	ocd-division/country:us/state:ca/cd:10	f0b0a441-c029-4dd5-89a9-22ebd7515279	District 10	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03		Mark_DeSaulnier		https://www.instagram.com/repdesaulnier/	RepDeSaulnier	https://www.facebook.com/RepMarkDeSaulnier	https://desaulnier.house.gov/sites/evo-subsites/desaulnier.house.gov/files/styles/large/public/evo-media-image/MD%20Portrait.jpg?itok=AtTUF0--	https://desaulnier.house.gov/address_authentication?form=/connect/email		2134 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515	(202) 225-2095	https://desaulnier.house.gov/			c30d5768-72ee-4760-b2d2-466a4124f7e3	Mark DeSaulnier	Democratic Party	Democratic Party
CA	country	legislatorLowerBody	United States	ocd-division/country:us	California's 11th congressional district	ocd-division/country:us/state:ca/cd:11	6e02a764-077f-4ac5-b3df-9384d3440656	District 11	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1987-06-02		2026-11-03		Nancy_Pelosi	https://www.youtube.com/user/nancypelosi		SpeakerPelosi	https://www.facebook.com/NancyPelosi	https://pelosi.house.gov/sites/evo-subsites/pelosi.house.gov/files/styles/evo_image_portrait_480/public/wysiwyg_uploaded/Pelosi.2019Official.Photo_.High_.Res__0.jpg?itok=DmMOf-4K	https://pelosi.house.gov/address_authentication?form=/contact/email-me		1236 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-4965	https://pelosi.house.gov/			3e5e9cd3-c789-491d-af56-63154ddc4687	Nancy Pelosi	Democratic Party	Democratic Party
CA	country	legislatorLowerBody	United States	ocd-division/country:us	California's 12th congressional district	ocd-division/country:us/state:ca/cd:12	eb028fc4-8914-41fe-8fed-e8c142d52b03	District 12	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1977-01-29	Lateefah_Simon		https://www.instagram.com/RepLSimon	RepLSimon	https://www.facebook.com/replsimon/	https://simon.house.gov/sites/evo-subsites/simon.house.gov/files/styles/large/public/evo-media-image/2024_simon_lateefah_official.jpg.webp?itok=wl3O_tVz	https://simon.house.gov/contact		1023 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-2661	https://simon.house.gov/			a1bdde9c-888c-4387-b5e4-acd85480eafd	Lateefah Simon	Democratic Party	Democratic Party
CA	country	legislatorLowerBody	United States	ocd-division/country:us	California's 13th congressional district	ocd-division/country:us/state:ca/cd:13	c5348134-45a7-47b6-8409-cce43e6dade6	District 13	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1977-09-23	Adam_Gray		https://www.instagram.com/repadamgrayca/	RepAdamGrayCA	https://www.facebook.com/repadamgrayca	https://gray.house.gov/sites/evo-subsites/gray.house.gov/files/styles/large/public/evo-media-image/gray.jpeg.webp?itok=GlWWi_9J	https://gray.house.gov/contact		1230 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-1947	https://gray.house.gov/			08d0e4e5-ee72-4380-820f-0cc1fb62eee0	Adam Gray	Democratic Party	Democratic Party
CA	country	legislatorLowerBody	United States	ocd-division/country:us	California's 14th congressional district	ocd-division/country:us/state:ca/cd:14	0033add6-0b8b-49d0-ba47-facd900e0ad7	District 14	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2013-01-03		2026-11-03	1980-11-16	Eric_Swalwell	https://www.youtube.com/repswalwell	https://www.instagram.com/repswalwell/	RepSwalwell	https://www.facebook.com/CongressmanEricSwalwell	https://swalwell.house.gov/sites/evo-subsites/swalwell.house.gov/files/styles/large/public/evo-media-image/White%20Neutral%20Aesthetic%20Fashion%20Portfolio%20Photo%20Cover%20A4%20Document_0.jpg?itok=GLdrlaGH	https://swalwell.house.gov/address_authentication?form=/contact		174 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-0501	(202) 225-5065	https://swalwell.house.gov/			0454d049-d539-4534-9577-eed9a135f8eb	Eric Swalwell	Democratic Party	Democratic Party
CA	country	legislatorLowerBody	United States	ocd-division/country:us	California's 15th congressional district	ocd-division/country:us/state:ca/cd:15	d61cc3c6-fc25-47b9-b958-26c21e8ae788	District 15	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2023-01-03		2026-11-03	1970-06-15	Kevin_Mullin	https://www.youtube.com/channel/UCAenuXjUZagZyD4HQL7_2ZA	https://www.instagram.com/repkevinmullin/	RepKevinMullin	https://www.facebook.com/CongressmanKevinMullin	https://kevinmullin.house.gov/wp-content/uploads/2023/12/portrait.png	https://kevinmullin.house.gov/contact/		1404 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-3531	https://kevinmullin.house.gov/			bad717e5-984e-4899-aa46-036ab3637522	Kevin Mullin	Democratic Party	Democratic Party
CA	country	legislatorLowerBody	United States	ocd-division/country:us	California's 16th congressional district	ocd-division/country:us/state:ca/cd:16	5d945c08-0454-49bc-90e2-c7734e7284a4	District 16	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1970-04-16	Sam_Liccardo	https://www.youtube.com/@RepLiccardo	https://www.instagram.com/repliccardo	RepLiccardo	https://www.facebook.com/repliccardo	https://liccardo.house.gov/sites/evo-subsites/liccardo.house.gov/files/styles/large/public/evo-media-image/liccardo.jpeg.webp?itok=cfo0WJfS	https://liccardo.house.gov/contact		1117 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515	(202) 225-8104	https://liccardo.house.gov/		repliccardo	774f7092-3f58-492c-8096-a726636a72dd	Sam Liccardo	Democratic Party	Democratic Party
