State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
LA	country	legislatorUpperBody	United States	ocd-division/country:us	Louisiana	ocd-division/country:us/state:la	adf2eddc-1681-4150-8d19-89eb43c89f3e		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2017-01-03		2030-11-05	1951-11-21	John_Kennedy_(Louisiana_politician)	https://www.youtube.com/channel/UCDgjkA5Y_npoxeUiSW18JZQ	https://www.instagram.com/SenJohnKennedy/	SenJohnKennedy	https://www.facebook.com/SenatorJohnKennedy/	https://www.congress.gov/img/member/k000393_200.jpg	https://www.kennedy.senate.gov/public/email-me		437 Russell Senate Office Building, 2 Constitution Ave NE, Washington DC 20510	(202) 224-4623	https://www.kennedy.senate.gov/			86abb63b-0e43-4cae-a195-16d8b16154db	John Kennedy	Republican Party	Republican Party
LA	country	legislatorUpperBody	United States	ocd-division/country:us	Louisiana	ocd-division/country:us/state:la	1aabb5e9-b1ea-4630-831c-9d701803263e		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2015-01-03		2026-11-03	1957-09-28	Bill_Cassidy	https://www.youtube.com/@SenatorBillCassidy	https://www.instagram.com/bill_cassidy/	SenBillCassidy	https://www.facebook.com/SenBillCassidy/	https://www.congress.gov/img/member/c001075_200.jpg	https://www.cassidy.senate.gov/contact/		455 Dirksen Senate Office Building, 50 Constitution Ave NE, Washington DC 20510	(202) 224-5824	https://www.cassidy.senate.gov/			af091ce8-9873-4c8a-bfa4-d866fbd9cbf0	Bill Cassidy	Republican Party	Republican Party
LA	country	legislatorLowerBody	United States	ocd-division/country:us	Louisiana's 1st congressional district	ocd-division/country:us/state:la/cd:1	68eab0f6-0c86-4818-83a8-1c85d8dbbaf5	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2008-05-03		2026-11-03	1965-10-06	Steve_Scalise	https://www.youtube.com/@RepSteveScalise	https://www.instagram.com/stevescalise/	SteveScalise	https://www.facebook.com/RepSteveScalise	https://scalise.house.gov/sites/evo-subsites/scalise.house.gov/files/styles/large/public/evo-media-image/DSC_6371_cropped.jpg?itok=noxM4CeR	https://scaliseforms.house.gov/contact/		266 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-3015	https://scalise.house.gov/			c9849a50-15be-41a5-8eed-b5fa12496b2d	Steve Scalise	Republican Party	Republican Party
LA	country	legislatorLowerBody	United States	ocd-division/country:us	Louisiana's 2nd congressional district	ocd-division/country:us/state:la/cd:2	68518f90-4835-4156-96eb-046c6ed0b7ee	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-04-24		2026-11-03	1963-10-26	Troy_Carter_(politician)	https://www.youtube.com/channel/UC547LNCEvhr2WtH-YhdEuWA	https://www.instagram.com/RepTroyCarter/	RepTroyCarter	https://www.facebook.com/RepTroyCarter	https://troycarter.house.gov/sites/evo-subsites/troycarter.house.gov/files/evo-media-image/Approved%20TAC%20Headshot.jpg	https://troycarter.house.gov/contact		442 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-6636	https://troycarter.house.gov/			cf13a93c-4c96-407c-b704-51b01d0697b4	Troy A. Carter, Sr.	Democratic Party	Democratic Party
LA	country	legislatorLowerBody	United States	ocd-division/country:us	Louisiana's 3rd congressional district	ocd-division/country:us/state:la/cd:3	89a841a1-1a08-431e-a79d-ad327d5f6f10	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-01-03		2026-11-03	1961-08-24	Clay_Higgins	https://www.youtube.com/@CongressmanClayHiggins	https://www.instagram.com/RepClayHiggins/	RepClayHiggins	https://www.facebook.com/CongressmanClayHiggins/	https://pbs.twimg.com/profile_images/1566976921598132225/o2PD05nL_400x400.jpg	https://clayhigginsforms.house.gov/contact/		572 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515	(202) 225-2031	https://clayhiggins.house.gov/			d86d41c4-cb84-41c4-9515-e78dbee4ae5e	Clay Higgins	Republican Party	Republican Party
LA	country	legislatorLowerBody	United States	ocd-division/country:us	Louisiana's 4th congressional district	ocd-division/country:us/state:la/cd:4	8b0cf28e-e07c-4687-b3e7-b6c29e4a8f54	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2017-01-03		2026-11-03	1972-01-30	Mike_Johnson_(Louisiana_politician)	https://www.youtube.com/channel/UCzqBEpeIaDEfvAtsA53Fx2Q	https://www.instagram.com/RepMikeJohnson/	RepMikeJohnson	https://www.facebook.com/RepMikeJohnson/	https://www.congress.gov/img/member/115_rp_la_4_johnson_mike_200.jpg	https://mikejohnson.house.gov/contact/		521 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-1804	(202) 225-2777	https://mikejohnson.house.gov/			03f49860-26a2-44e7-8377-ccb8bd91e3f6	Mike Johnson	Republican Party	Republican Party
LA	country	legislatorLowerBody	United States	ocd-division/country:us	Louisiana's 5th congressional district	ocd-division/country:us/state:la/cd:5	8620c575-0b2f-44bf-babd-a0ed31d3caca	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-03-20		2026-11-03	1981-03-16	Julia_Letlow	https://www.youtube.com/@RepJuliaLetlow	https://www.instagram.com/repjulialetlow/	RepJuliaLetlow	https://www.facebook.com/repjulialetlow/	https://letlow.house.gov/sites/evo-subsites/letlow.house.gov/files/styles/large/public/evo-media-image/screenshot-2025-03-04-at-5.00.18-pm-1%29.png?itok=o_MsGSDS	https://letlow.house.gov/address_authentication?form=/contact		142 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-1804	(202) 225-8490	https://letlow.house.gov/			811b81e6-59ed-4f23-8241-8ba89a66a582	Julia Letlow	Republican Party	Republican Party
LA	country	legislatorLowerBody	United States	ocd-division/country:us	Louisiana's 6th congressional district	ocd-division/country:us/state:la/cd:6	60d0403c-bbad-4215-ba89-c6be44215378	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1962-11-22	Cleo_Fields		https://www.instagram.com/repcleofields_	RepFields	https://www.facebook.com/profile.php?id=61569937980769	https://fields.house.gov/sites/evo-subsites/fields.house.gov/files/styles/evo_image_portrait_480/public/evo-media-image/cleo-fields-headshot.jpg?itok=vRkYP8G_	https://fields.house.gov/address_authentication?form=/contact/email-me		2349 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-1806	(202) 225-3901	https://fields.house.gov/			bc10964f-7e40-4a7d-abb7-86943a62ad35	Cleo Fields	Democratic Party	Democratic Party
LA	administrativeArea1	headOfGovernment	Louisiana	ocd-division/country:us/state:la	Louisiana	ocd-division/country:us/state:la	e511208c-9316-4da4-823d-79414d48c27e		Governor of Louisiana	Governor			2028-01-10		2024-01-08		2027-10-16	1970-12-23	Jeff_Landry		https://www.instagram.com/govjefflandry/	LAGovJeffLandry	https://www.facebook.com/GovJeffLandry/	https://gov.louisiana.gov/assets/images/headshots/Jeff-Landry_HR.jpg	https://gov.louisiana.gov/index.cfm/form/home/4		PO Box 94004, Baton Rouge, LA 70804	(225) 342-7015	http://gov.louisiana.gov/		govjefflandry	03cc1f84-ec45-4995-9ffc-c7a26b812994	Jeff Landry	Republican Party	Republican Party
LA	administrativeArea1	governmentOfficer	Louisiana	ocd-division/country:us/state:la	Louisiana	ocd-division/country:us/state:la	53d3d89f-f3c4-4b60-90f2-2a5f2950e93a		LA Secretary of State	Secretary of State			2028-01-10		2024-01-08		2027-10-16	1962-06-10	Nancy_Landry	https://www.youtube.com/@SofState	https://www.instagram.com/louisianasos	Louisiana_sos	https://www.facebook.com/Louisianasos	https://www.sos.la.gov/OurOffice/LearnAboutNancyLandry/Documents/NancyLandry.png	https://coraweb.sos.la.gov/Contact/ContactForm.aspx?recipient=Secretary%20of%20State%20Nancy%20Landry&subject=Nancy%20Landry%27s%20Office%20Web%20Inquiry&returnto=/ouroffice/contactus/pages/default.aspx		P.O. Box 94125, Baton Rouge, LA 70804-9125	(225) 922-2880	https://www.sos.la.gov/Pages/default.aspx			fb1ee126-b6d0-4fcd-a437-5ba9f712d70e	Nancy Landry	Republican Party	Republican Party
