State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
NV	country	legislatorUpperBody	United States	ocd-division/country:us	Nevada	ocd-division/country:us/state:nv	0143a2eb-7035-4802-947c-c353f405c9f1		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		2017-01-03		2028-11-07	1964-03-29	Catherine_Cortez_Masto	https://www.youtube.com/@SenatorCortezMasto/featured	https://www.instagram.com/sencortezmasto/	sencortezmasto	https://www.facebook.com/SenatorCortezMasto/	https://www.cortezmasto.senate.gov/themes/cortezmasto/images/catherine.png	https://www.cortezmasto.senate.gov/contact/connect		313 Hart Senate Office Building, Washington DC 20510	(202) 224-3542	https://www.cortezmasto.senate.gov/			44b8dc2a-26e2-4120-b035-ed1222b86527	Catherine Cortez Masto	Democratic Party	Democratic Party
NV	country	legislatorUpperBody	United States	ocd-division/country:us	Nevada	ocd-division/country:us/state:nv	9e6781b7-28c0-4a49-b5c6-125a630eb4c5		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2019-01-03		2030-11-05	1957-08-02	Jacky_Rosen	https://www.youtube.com/c/SenJackyRosen	https://www.instagram.com/Senjackyrosen/	SenJackyRosen	https://www.facebook.com/SenJackyRosen/	https://www.rosen.senate.gov/wp-content/uploads/2022/07/Headshot.png	https://www.rosen.senate.gov/email-jacky/		713 Hart Senate Office Building, 120 Constitution Ave NE, Washington, DC 20510	(202) 224-6244	https://www.rosen.senate.gov/			059b52d0-2752-44e8-b5e7-0a308bb385e7	Jacky Rosen	Democratic Party	Democratic Party
NV	country	legislatorLowerBody	United States	ocd-division/country:us	Nevada's 1st congressional district	ocd-division/country:us/state:nv/cd:1	5cb6c273-a175-42ea-bce0-562687c457b8	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2013-01-03		2026-11-03	1950-05-23	Dina_Titus	https://www.youtube.com/user/CongresswomanTitus	https://www.instagram.com/dinatitusnv/	repdinatitus	https://www.facebook.com/CongresswomanTitus	https://www.congress.gov/img/member/t000468_200.jpg	https://titus.house.gov/contact/		2370 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-2801	(202) 225-5965	https://titus.house.gov/			9d032651-f969-47e5-abd6-bd62f9c004d7	Dina Titus	Democratic Party	Democratic Party
NV	country	legislatorLowerBody	United States	ocd-division/country:us	Nevada's 2nd congressional district	ocd-division/country:us/state:nv/cd:2	fe834163-04b5-4b9e-b638-9e07d0493e22	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2011-09-15		2026-11-03	1958-06-12	Mark_Amodei	https://www.youtube.com/user/MarkAmodeiNV2	https://www.instagram.com/markamodeinv2/	markamodeinv2	http://www.facebook.com/MarkAmodeiNV2	https://amodei.house.gov/sites/evo-subsites/amodei.house.gov/files/styles/evo_image_portrait_480/public/wysiwyg_uploaded/Official_Photo.jpg?itok=z6TWAeXQ	https://amodei.house.gov/address_authentication?form=/email-me		104 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-2802	(202) 225-6155	https://amodei.house.gov/			a26d7430-75ed-47c1-9f20-1af0abc2d4fe	Mark Amodei	Republican Party	Republican Party
NV	country	legislatorLowerBody	United States	ocd-division/country:us	Nevada's 3rd congressional district	ocd-division/country:us/state:nv/cd:3	76f34b83-ab11-44da-815f-c9da61006d37	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Susie_Lee	https://www.youtube.com/channel/UCjb-fEQUxeagMKN1rZQm-FA	https://www.instagram.com/repsusielee	SusieLeeNV	https://www.facebook.com/susieleenv	https://susielee.house.gov/sites/evo-subsites/susielee.house.gov/files/styles/evo_image_portrait_480/public/wysiwyg_uploaded/Rep.%20Lee%20118th%20Portrait%20-%20Compressed.jpg?itok=DuoI0Ny4	https://susielee.house.gov/address_authentication?form=/contact		365 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-2802	(202) 225-3252	https://susielee.house.gov/		repsusielee	4ffad988-4334-4b98-b114-63e011b31836	Susie Lee	Democratic Party	Democratic Party
NV	country	legislatorLowerBody	United States	ocd-division/country:us	Nevada's 4th congressional district	ocd-division/country:us/state:nv/cd:4	38592cde-cc37-48f5-ba1a-6b1548c63114	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03		Steven_Horsford	https://www.youtube.com/@rephorsford/featured	https://www.instagram.com/rephorsford	RepHorsford	https://www.facebook.com/stevenhorsford	https://horsford.house.gov/sites/evo-subsites/horsford.house.gov/files/styles/large/public/evo-media-image/2023-01-19_np_0019_re.jpg?itok=PMw4Sjd-	https://horsford.house.gov/address_authentication?form=/contact		406 Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20515-2802	(202) 225-9894	https://horsford.house.gov/		rephorsford	103fda0c-c3b4-48ba-bc37-ac8081f1f3ce	Steven Horsford	Democratic Party	Democratic Party
NV	administrativeArea1	headOfGovernment	Nevada	ocd-division/country:us/state:nv	Nevada	ocd-division/country:us/state:nv	bb505921-2f80-4419-876d-329ee29afa08		Governor of Nevada	Governor			2027-01-04		2023-01-02		2026-11-03		Joe_Lombardo					https://gov.nv.gov/uploadedImages/gov2022nvgov/content/AboutUs/Governor%20Joe%20Lombardo_Official%20Photo_600px.jpg			101 N. Carson Street, Carson City, NV 89701	(775) 684-5670	https://gov.nv.gov/			2d357f92-c35b-4549-b286-74cb758275cc	Joe Lombardo	Republican Party	Republican Party
NV	administrativeArea1	deputyHeadOfGovernment	Nevada	ocd-division/country:us/state:nv	Nevada	ocd-division/country:us/state:nv	c1b32cdf-091f-4dc3-8c8f-aad27ef989b5		Lieutenant Governor of Nevada	Lieutenant Governor			2027-01-04		2023-01-02		2026-11-03		Stavros_Anthony					https://ltgov.nv.gov/uploadedImages/ltgov2022nvgov/content/AboutUs/StavrosAnthony.jpg?n=6551			101 N. Carson Street, Carson City, NV 89701	(775) 684-7111	https://ltgov.nv.gov/			0394f41a-df82-45f5-b6c5-8ab3009bc753	Stavros Anthony	Republican Party	Republican Party
NV	administrativeArea1	governmentOfficer	Nevada	ocd-division/country:us/state:nv	Nevada	ocd-division/country:us/state:nv	1d5bebeb-7c2c-4f6b-874c-7b566f903de4		NV Secretary of State	Secretary of State			2027-01-04		2023-01-02		2026-11-03		Cisco_Aguilar			NVSOS	https://www.facebook.com/NVSOS			sosmail@sos.nv.gov	101 North Carson Street, Suite 3, Carson City, NV 89701	(775) 684-5708	https://www.nvsos.gov/sos			e71bb8d1-a86a-4c3c-95b8-9dce4c693cbe	"Francisco ""Cisco"" Aguilar"	Democratic Party	Democratic Party
NV	administrativeArea1	governmentOfficer	Nevada	ocd-division/country:us/state:nv	Nevada	ocd-division/country:us/state:nv	77daa89d-bee9-4f03-8555-f46186d90731		NV State Attorney General	Attorney General			2027-01-04		2019-01-07		2026-11-03	1972-05-24	Aaron_D._Ford			NevadaAG		https://ag.nv.gov/uploadedImages/agnvgov/Content/About/20210324_AGPic.jpg		aginfo@ag.nv.gov	100 N Carson St, Carson City, NV 89701	(775) 684-1100	https://ag.nv.gov/			a8ec24e7-f525-4069-8756-86b8b030a6ae	Aaron Ford	Democratic Party	Democratic Party
