State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
MA	country	legislatorUpperBody	United States	ocd-division/country:us	Massachusetts	ocd-division/country:us/state:ma	15deda3e-11dd-43b7-9602-ccd438ed9bdc		U.S. Senator	U.S. Senator	U.S. Senate		2031-01-03		2013-01-03		2030-11-05	1949-06-22	Elizabeth_Warren	https://www.youtube.com/senelizabethwarren	https://www.instagram.com/senwarren/	SenWarren	https://www.facebook.com/senatorelizabethwarren	https://www.warren.senate.gov/imo/media/image/Official_Portrait.jpg	https://www.warren.senate.gov/contact/shareyouropinion		309 Hart Senate Office Building, Washington DC 20510	(202) 224-4543	https://www.warren.senate.gov/			c2bd40be-f1b2-45f3-9fb8-7335279bdfa7	Elizabeth Warren	Democratic Party	Democratic Party
MA	country	legislatorUpperBody	United States	ocd-division/country:us	Massachusetts	ocd-division/country:us/state:ma	31f48ea5-fb20-4b2d-b3ba-f7ef77f7e5fd		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2013-01-03		2026-11-03	1946-07-11	Ed_Markey	https://www.youtube.com/channel/UCT1ujew5yQy2uMhGrjiKHoA	https://www.instagram.com/edmarkey/	SenMarkey	https://www.facebook.com/EdJMarkey	https://www.markey.senate.gov//imo/media/image/markey-about.jpeg	https://www.markey.senate.gov/contact/share-your-opinion		255 Dirksen Senate Office Building, Washington DC 20510	(202) 224-2742	https://www.markey.senate.gov/			defe36cf-0734-486b-9062-75d476f03770	Edward J. Markey	Democratic Party	Democratic Party
MA	country	legislatorLowerBody	United States	ocd-division/country:us	Massachusetts's 1st congressional district	ocd-division/country:us/state:ma/cd:1	83d3c383-6f66-46fe-9cc3-beb77decb1a4	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1989-01-03		2026-11-03	1949-02-14	Richard_Neal			RepRichardNeal	https://www.facebook.com/reprichardneal/	https://pbs.twimg.com/profile_images/1262920653092671489/BSCXV4mJ_400x400.jpg	https://neal.house.gov/contact/		372 Cannon House Office Building Washington, DC 20515	(202) 225-5601	https://neal.house.gov/			2ab7962b-b0d8-4f3b-8254-0a0cb8db272b	Richard E. Neal	Democratic Party	Democratic Party
MA	country	legislatorLowerBody	United States	ocd-division/country:us	Massachusetts's 2nd congressional district	ocd-division/country:us/state:ma/cd:2	837b8254-d554-4ce9-9bae-04ec24e79394	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1997-01-03		2026-11-03	1959-11-20	Jim_McGovern_(American_politician)	https://www.youtube.com/channel/UCpiUqp2ZF64tXqgR_EQo27g	https://www.instagram.com/repmcgovern/	repmcgovern	https://www.facebook.com/RepJimMcGovern	https://pbs.twimg.com/profile_images/1046936961238347777/yVxwm01X_400x400.jpg	https://mcgovern.house.gov/contact/zip-auth.htm		370 Cannon House Office Building Washington, DC 20515	(202) 225-6101	https://mcgovern.house.gov/			dc4c1101-a582-43fd-92af-e8618b3f5f26	James McGovern	Democratic Party	Democratic Party
MA	country	legislatorLowerBody	United States	ocd-division/country:us	Massachusetts's 3rd congressional district	ocd-division/country:us/state:ma/cd:3	d5143cf0-727d-460d-8495-bf1d6946ba51	District 3	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1973-10-27	Lori_Trahan	https://www.youtube.com/channel/UCsRXg0BmoS4Rkjz-pqX1PmQ	https://www.instagram.com/reploritrahan/	reploritrahan	https://www.facebook.com/RepLoriTrahan/	https://trahanstg.wpenginepowered.com/wp-content/uploads/2018/09/Lori-High-Res.jpg	https://trahan.house.gov/contact/		2233 Rayburn House Office Building Washington, DC 20515	(202) 225-3411	https://trahan.house.gov/		reploritrahan	eed402fe-5b26-462c-a787-7da7c001fcf6	Lori Trahan	Democratic Party	Democratic Party
MA	country	legislatorLowerBody	United States	ocd-division/country:us	Massachusetts's 4th congressional district	ocd-division/country:us/state:ma/cd:4	c118d4cc-77ba-406d-aef0-65ea5e883048	District 4	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2021-01-03		2026-11-03	1988-01-29	Jake_Auchincloss	https://www.youtube.com/RepAuchincloss	https://www.instagram.com/RepAuchincloss/	RepAuchincloss	https://www.facebook.com/RepAuchincloss	https://run.imgix.net/30f8036b-8ece-4c43-8db5-58aa7fcf1acc/eb76f4c7-6c43-4d52-b2f3-0528031dc1a2/eb76f4c7-6c43-4d52-b2f3-0528031dc1a2.jpeg?ixlib=js-3.8.0&bri=0&con=0&sat=0&high=0&shad=0&usm=0&rect=1299%2C0%2C2949%2C3699&auto=compress%2Cformat&fit=fillmax&w=1920&q=75	https://auchincloss.house.gov/contact/email-me		1524 Longworth House Office Building, Washington, DC 20515	(202) 225-5931	https://auchincloss.house.gov/			3bb73334-1e03-4d55-a49e-c595f1fd8c22	Jake Auchincloss	Democratic Party	Democratic Party
MA	country	legislatorLowerBody	United States	ocd-division/country:us	Massachusetts's 5th congressional district	ocd-division/country:us/state:ma/cd:5	de001c26-0964-45f5-871d-dc6bfcb655aa	District 5	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2013-12-10		2026-11-03	1963-07-17	Katherine_Clark	https://www.youtube.com/channel/UCgaI52w7QKI8LtkSeCCmSuw	https://www.instagram.com/repkclark/	WhipKClark	https://www.facebook.com/RepKClark/	https://katherineclark.org/wp-content/uploads/2022/09/KC_Headshot-1.png	https://katherineclark.house.gov/email-me		2368 Rayburn House Office Building Washington, DC 20515	(202) 225-2836	https://katherineclark.house.gov/		repkclark	945c0e55-3c40-49b1-88f7-4bc6a90fa710	Katherine Clark	Democratic Party	Democratic Party
MA	country	legislatorLowerBody	United States	ocd-division/country:us	Massachusetts's 6th congressional district	ocd-division/country:us/state:ma/cd:6	7adf0039-d9b1-4dec-a4ae-81cb318b38dc	District 6	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2015-01-03		2026-11-03	1978-10-24	Seth_Moulton		https://www.instagram.com/repmoulton/	RepMoulton	https://www.facebook.com/RepMoulton/	https://images.squarespace-cdn.com/content/v1/598dd363a5790a4026dac8ab/c3e1a9a1-6874-452b-8731-b79e5841bf01/2019-04-03_ISH_2500.jpg?format=1500w	https://moulton.house.gov/contact/write-to-me		1126 Longworth House Office Building Washington, DC 20515	(202) 225-8020	https://moulton.house.gov/			e3bc51db-3bc9-4d9c-8d90-ac6c9a0de299	Seth Moulton	Democratic Party	Democratic Party
MA	country	legislatorLowerBody	United States	ocd-division/country:us	Massachusetts's 7th congressional district	ocd-division/country:us/state:ma/cd:7	dc634f92-93e5-4fe8-b71e-9c3dbba226a7	District 7	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1974-02-03	Ayanna_Pressley	https://www.youtube.com/channel/UCkhjut8oXdxN7HGg5eRT9Fw	https://www.instagram.com/RepAyannaPressley/	RepPressley	https://www.facebook.com/RepAyannaPressley/	https://pressley.house.gov/sites/pressley.house.gov/files/wysiwyg_uploaded/AP-Official-Headshot.png	https://pressley.house.gov/contact-us/		402 Cannon House Office Building Washington, DC 20515	(202) 225-5111	https://pressley.house.gov/			836ae8f3-80ae-4e4c-9738-ab1ade1f8ff1	Ayanna Pressley	Democratic Party	Democratic Party
MA	country	legislatorLowerBody	United States	ocd-division/country:us	Massachusetts's 8th congressional district	ocd-division/country:us/state:ma/cd:8	2608661d-9d5d-44ec-ae95-7ebb89d3cf25	District 8	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2001-10-16		2026-11-03	1955-03-31	Stephen_F._Lynch		https://www.instagram.com/repstephenlynch/	RepStephenLynch	https://www.facebook.com/repstephenlynch	https://pbs.twimg.com/profile_images/601930265011728384/ys1bdBPN_400x400.jpg	https://lynch.house.gov/email-me		2109 Rayburn House Office Building, Washington, DC 20515-2108	(202) 225-8273	https://lynch.house.gov/			a4a447fc-db75-416d-9d37-4ae77f146bc7	Stephen F. Lynch	Democratic Party	Democratic Party
MA	country	legislatorLowerBody	United States	ocd-division/country:us	Massachusetts's 9th congressional district	ocd-division/country:us/state:ma/cd:9	b0b58754-7f4c-430b-891e-df470154083a	District 9	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2025-01-03		2026-11-03	1952-09-06	Bill_Keating_(politician)	https://www.youtube.com/user/RepBillKeating	https://www.instagram.com/usrepkeating/?__d=11	USRepKeating	https://www.facebook.com/USRepKeating/	https://i0.wp.com/keatingforcongress.com/wp-content/uploads/2020/09/IMG_2483.jpg?resize=1024%2C683&ssl=1	https://keating.house.gov/zip_authentication?form=/contact		2372 Rayburn House Office Building, Washington, DC 20515-2109	(202) 225-3111	https://keating.house.gov/			a95c3491-acab-4885-a620-b6f7ebcacee7	Bill Keating	Democratic Party	Democratic Party
MA	administrativeArea1	headOfGovernment	Massachusetts	ocd-division/country:us/state:ma	Massachusetts	ocd-division/country:us/state:ma	4c16cf8c-dda2-4758-a9b5-2af7c26f4061		Governor of Massachusetts	Governor			2027-01-07		2023-01-05		2026-11-03		Maura_Healey	https://www.youtube.com/@MassGovernor	https://www.instagram.com/massgovernor/	MassGovernor	https://www.facebook.com/MAGovernor	https://www.mass.gov/orgs/governor-maura-healey-and-lt-governor-kim-driscoll			24 Beacon St, Rm 280, Boston, MA 02133	(617) 725-4005	https://www.mass.gov/orgs/governor-maura-healey-and-lt-governor-kim-driscoll			dd59d91a-9815-410b-8781-fb044d8b092c	Maura Healey	Democratic Party	Democratic Party
MA	administrativeArea1	deputyHeadOfGovernment	Massachusetts	ocd-division/country:us/state:ma	Massachusetts	ocd-division/country:us/state:ma	b9ae15c1-98e7-40b4-9098-8ba3282f7a76		Lieutenant Governor of Massachusetts	Lieutenant Governor			2027-01-07		2023-01-05		2026-11-03		Kim_Driscoll		https://www.instagram.com/massltgov/	massltgov	https://www.facebook.com/MassLtGov	https://www.mass.gov/files/styles/250x250/public/2023-01/PRINTFINAL-Shopper-Kim_Driscoll_91R_0.jpg?itok=q0RBUEyX			24 Beacon St, Rm 280, Boston, MA 02133	(617) 725-4005	https://www.mass.gov/orgs/governor-maura-healey-and-lt-governor-kim-driscoll			305d7423-9482-4b63-9b6f-bba20562528d	Kim Driscoll	Democratic Party	Democratic Party
MA	administrativeArea1	governmentOfficer	Massachusetts	ocd-division/country:us/state:ma	Massachusetts	ocd-division/country:us/state:ma	282d4c53-532b-40e3-9b2f-ea245c7a970e		MA Secretary of the Commonwealth	Secretary of State			2027-01-20		1995-01-01		2026-11-03	1950-09-17	William_F._Galvin	https://www.youtube.com/channel/UCjG95tth092LSKjVlPPuFyA		SecretaryOfMass		https://pbs.twimg.com/profile_images/1009427176159088640/BC-SJCqB_400x400.jpg		cis@sec.state.ma.us	1 Ashburton Pl, Rm 1611, Boston, MA 02108-1512	(617) 727-7030	https://www.sec.state.ma.us/			ab1a428f-7d4e-47b7-a15a-ee9d779b2d01	William Francis Galvin	Democratic Party	Democratic Party
MA	administrativeArea1	governmentOfficer	Massachusetts	ocd-division/country:us/state:ma	Massachusetts	ocd-division/country:us/state:ma	97fd912d-a25d-4c8d-bf70-20829a112f51		MA State Attorney General	Attorney General			2027-01-20		2023-01-18		2026-11-03		Andrea_Campbell	https://www.youtube.com/user/MassAttorneyGeneral	https://www.instagram.com/mass_ago/	MassAGO	https://www.facebook.com/MassAttorneyGeneral	https://www.mass.gov/files/styles/250x250/public/2023-02/AJC%20WEBSITE-1.png?itok=-nCIaoRB			1 Ashburton Place, 20th Floor, Boston, MA 02108	(617) 727-2200	https://www.mass.gov/orgs/office-of-the-attorney-general			58194784-3ee0-4ce6-936d-f0083ba36c0b	Andrea Campbell	Democratic Party	Democratic Party
MA	administrativeArea1	governmentOfficer	Massachusetts	ocd-division/country:us/state:ma	Massachusetts	ocd-division/country:us/state:ma	84fe2e73-1ab7-4f34-aade-a23b9daa27ac		MA State Auditor	State Auditor			2027-01-20		2023-01-18		2026-11-03		Diana_DiZoglio		https://www.instagram.com/massauditor/	MassAuditor	https://www.facebook.com/MassAuditor	https://www.mass.gov/files/styles/250x250/public/2023-01/Updated%20Short%20-%20Diana%20--%20Headshot%20with%20Background%20.png?itok=6_D0TMvP		auditor@sao.state.ma.us	24 Beacon St, Rm 230, Boston, MA 02133	(617) 727-2075	https://www.mass.gov/orgs/office-of-the-state-auditor			ead49ec3-b937-44f1-bd3b-c4fa7dd1d46a	Diana DiZoglio	Democratic Party	Democratic Party
MA	administrativeArea1	governmentOfficer	Massachusetts	ocd-division/country:us/state:ma	Massachusetts	ocd-division/country:us/state:ma	a1e7e0ea-1f07-4a83-894b-4847cadb58d9		MA State Treasurer and Receiver General	State Treasurer			2027-01-20		2015-01-21		2026-11-03		Deb_Goldberg		https://www.instagram.com/mass_treasury/	MASSTreasury	https://www.facebook.com/masstreasury/	https://static.wixstatic.com/media/bf6902_dcb3f46adc784270b5c2e946a4991064~mv2_d_2000_1333_s_2.png/v1/fill/w_528,h_342,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/bf6902_dcb3f46adc784270b5c2e946a4991064~mv2_d_2000_1333_s_2.png		socialmedia@tre.state.ma.us	State House, Room 227 Boston, MA 02133	(617) 367-6900	https://www.masstreasury.org/			652cdaee-6bbc-4710-8cc9-adb2c2804875	Deborah B. Goldberg	Democratic Party	Democratic Party
