State	Level	Role	Jurisdiction	Jurisdiction OCDID	Electoral District	Electoral District OCDID	Office UUID	Seat	Office Name	Office Category	Body Name	County	Term End	Expires	Officeholder Start	Next Election Date	Regular Election Date	DOB	Wiki Word	Youtube (Gov)	Instagram URL (Gov)	Twitter Name (Gov)	Facebook URL (Gov)	Photo URL	Gov Email Form	Gov Email	Gov Mailing Address	Gov Phone	Website (Official)	TikTok (Gov)	Threads (Gov)	Person UUID	Official Name	Registered Political Party	Party Roll Up
ID	country	legislatorUpperBody	United States	ocd-division/country:us	Idaho	ocd-division/country:us/state:id	7b7fe5f3-bf3b-4fb3-a1db-552b4e4f77da		U.S. Senator	U.S. Senator	U.S. Senate		2027-01-03		2009-01-03		2026-11-03	1943-05-03	Jim_Risch	https://www.youtube.com/SenatorJamesRisch		SenatorRisch	https://www.facebook.com/SenatorJimRisch/	https://www.risch.senate.gov/public/_cache/files/0/e/0eca2f2d-2bc2-4614-b321-78d4d6f823e9/E70F0FBEA2A0A88DC51740103A67AFA5.official-photo-061609-display.jpg	https://www.risch.senate.gov/public/index.cfm/contact		483 Russell Senate Office Building, Washington DC 20510	(202) 224-2752	https://www.risch.senate.gov/public/			1edc0e22-ba8e-405f-91f9-296bc2c79326	James E. Risch	Republican Party	Republican Party
ID	country	legislatorUpperBody	United States	ocd-division/country:us	Idaho	ocd-division/country:us/state:id	30b532ea-ba80-4964-aa53-46a767d63697		U.S. Senator	U.S. Senator	U.S. Senate		2029-01-03		1999-01-03		2028-11-07	1951-05-20	Mike_Crapo	https://www.youtube.com/user/senatorcrapo	https://www.instagram.com/mikecrapo/	mikecrapo	https://www.facebook.com/mikecrapo	https://www.crapo.senate.gov/imo/media/image/crapo_headshot.jpg	https://www.crapo.senate.gov/contact/email-me		239 Dirksen Senate Office Building, Washington DC 20510	(202) 224-6142	https://www.crapo.senate.gov/			4e48476e-c680-445b-aaa9-bcc897a1c36a	Mike Crapo	Republican Party	Republican Party
ID	country	legislatorLowerBody	United States	ocd-division/country:us	Idaho's 1st congressional district	ocd-division/country:us/state:id/cd:1	8b25078f-1526-48cd-ace0-4df79fa99e6d	District 1	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		2019-01-03		2026-11-03	1962-03-09	Russ_Fulcher	https://www.youtube.com/channel/UCx2AS0O5frzPB8D6TqJ3Mqg	https://www.instagram.com/RepRussFulcher/	RepRussFulcher	https://www.facebook.com/RepRussFulcher	https://www.congress.gov/img/member/f000469_200.jpg	https://fulcher.house.gov/email-me		1514 Longworth House Office Building, 15 Independence Ave SE, Washington, DC 20515-1201	(202) 225-6611	https://fulcher.house.gov/			f58cda7f-7fa4-4b47-b7b9-10552183b4d5	Russ Fulcher	Republican Party	Republican Party
ID	country	legislatorLowerBody	United States	ocd-division/country:us	Idaho's 2nd congressional district	ocd-division/country:us/state:id/cd:2	95767c05-6837-414a-8a94-abf808998828	District 2	U.S. Representative	U.S. Representative	U.S. House of Representatives		2027-01-03		1999-01-03		2026-11-03	1950-09-08	Mike_Simpson	https://www.youtube.com/user/CongMikeSimpson	https://www.instagram.com/congressmanmikesimpson/	CongMikeSimpson	https://www.facebook.com/RepMikeSimpson	https://www.congress.gov/img/member/678152c81f9ad6ea6fb1eb7f_200.jpg	https://simpson.house.gov/contact/		2084 Rayburn House Office Building, 45 Independence Ave SW, Washington, DC 20515-1202	(202) 225-5531	https://simpson.house.gov/			08790440-2205-4356-bb22-305af262690e	Michael Simpson	Republican Party	Republican Party
ID	administrativeArea1	headOfGovernment	Idaho	ocd-division/country:us/state:id	Idaho	ocd-division/country:us/state:id	794e773b-16f7-4668-a720-9f25353db84d		Governor of Idaho	Governor			2027-01-04		2019-01-07		2026-11-03	1942-05-03	Brad_Little		https://www.instagram.com/governorbradlittle/	GovernorLittle	https://www.facebook.com/governorbradlittle/	https://gov.idaho.gov/wp-content/uploads/sites/74/2019/01/gov-little.jpg		governor@gov.idaho.gov	P.O. Box 83720, Boise, ID 83720-0034	(208) 334-2100	https://gov.idaho.gov/			81f4681b-0bd2-44c7-a677-db6fee387d87	Brad Little	Republican Party	Republican Party
ID	administrativeArea1	governmentOfficer	Idaho	ocd-division/country:us/state:id	Idaho	ocd-division/country:us/state:id	4e76abe7-9f5b-495c-8666-6263c77d3a67		ID Secretary of State	Secretary of State			2027-01-04		2023-01-02		2026-11-03		Phil_McGrane			IDSecOfState	https://www.facebook.com/IDSecOfState/	https://sos.idaho.gov/wp-content/uploads/2022/12/home_bg_phil-scaled.jpg		govsvc@sos.idaho.gov	700 W. Jefferson St., Room E205, Boise, ID 83702	(208) 334-2300	https://sos.idaho.gov/			d4e31c5e-c329-4db6-921e-6d709bad1b01	Phil McGrane	Republican Party	Republican Party
ID	administrativeArea1	governmentOfficer	Idaho	ocd-division/country:us/state:id	Idaho	ocd-division/country:us/state:id	63aa9f37-e82c-4904-b658-7d8f3d94add8		ID State Attorney General	Attorney General			2027-01-04		2023-01-02		2026-11-03		Raúl_Labrador					https://www.ag.idaho.gov/content/themes/site/library/img/labrador-homepage-hero.jpg		aglabrador@ag.idaho.gov	700 W. Jefferson Street, P.O. Box 83720, Boise, ID 83720-0010	(208) 334-2400	https://www.ag.idaho.gov/			e7cb1a81-6ca0-4ea3-8caa-e43e88da3ef6	Raúl R. Labrador	Republican Party	Republican Party
ID	administrativeArea1	governmentOfficer	Idaho	ocd-division/country:us/state:id	Idaho	ocd-division/country:us/state:id	e22508df-4b88-4d4a-8e2e-8d9628ba89b1		ID State Controller	State Comptroller			2027-01-04		2012-10-15		2026-11-03		Brandon_Woolf			IdahoController	https://www.facebook.com/IdahoController/	https://www.sco.idaho.gov/LivePages/img/brandon%20woolfcropped.jpg		info@sco.idaho.gov	PO Box 83720 Boise, ID 83720-0011	(208) 334-3100	https://www.sco.idaho.gov/LivePages/scohome.aspx			0879440b-2693-4e44-b30b-9b241c7db570	Brandon D. Woolf	Republican Party	Republican Party
ID	administrativeArea1	governmentOfficer	Idaho	ocd-division/country:us/state:id	Idaho	ocd-division/country:us/state:id	8e134263-1421-4e02-8ee5-48265300a3ea		ID State Superintendent of Public Instruction	State Public Education Commissioner			2027-01-04		2023-01-02		2026-11-03							https://www.sde.idaho.gov/superintendent/_images/Debbie-Critchfield-Headshot.jpg		info@sde.idaho.gov	650 West State Street, Boise, ID 83702	(208) 332-6800	https://www.sde.idaho.gov/			81a9752e-0b33-4877-9427-b666f209eb83	Debbie Critchfield	Republican Party	Republican Party
ID	administrativeArea1	highestCourtJudge	Idaho	ocd-division/country:us/state:id	Idaho	ocd-division/country:us/state:id	195e7a7a-6085-4efb-a78f-a7532acd9d7e		ID State Supreme Court Justice	State Supreme Court Justice	ID State Supreme Court		2027-01-01		2023-12-12		2026-11-03		Cynthia_Meyer_(judge)					https://isc.idaho.gov/images/justice-meyer.jpg			PO Box 83720, Boise, ID 83720	(208) 334-2210	https://isc.idaho.gov/			d019726a-e4ad-4bfd-b5b5-cfd3a41bfa7c	Cynthia K.C. Meyer	Nonpartisan	Nonpartisan
